container,host,device,model,backend,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mbps,net_tx_mbps,duration_sec
torchvision-app,edge-asus,cpu,deeplabv3_resnet101,ptc,1171.400968,198.934420,1472.248710,11.720732,550.074000,0.000000,178.193806,1.620498,0.000000,0.000000,61.127
torchvision-app,edge-asus,gpu,deeplabv3_resnet101,ptc,266.721290,46.308951,3934.591290,2.799050,1754.520000,0.000000,325.374226,2.835380,0.000000,0.000000,61.128
torchvision-app,edge-asus,cpu,deeplabv3_resnet101,sol,1149.610484,243.131397,3485.847419,18.915710,2966.086000,0.000000,183.625677,0.017279,0.000000,0.000000,61.141
torchvision-app,edge-asus,gpu,deeplabv3_resnet101,sol,286.918065,48.865234,1895.493548,16.311238,1180.902000,0.000000,2.234000,0.000000,0.000000,0.000000,61.119
torchvision-app,edge-asus,cpu,deeplabv3_resnet50,ptc,995.141935,218.288452,1188.345484,7.553200,374.109000,0.000000,173.418081,1.125779,0.000000,0.000000,61.138
torchvision-app,edge-asus,gpu,deeplabv3_resnet50,ptc,258.177581,44.954694,3803.841935,2.674453,1562.094000,0.000000,313.342468,4.292659,0.000000,0.000000,61.134
torchvision-app,edge-asus,cpu,deeplabv3_resnet50,sol,1121.096129,198.259035,3269.392258,12.929466,2731.766000,0.000000,183.547387,0.003981,0.000000,0.000000,61.125
torchvision-app,edge-asus,gpu,deeplabv3_resnet50,sol,303.825484,51.980424,1882.554355,13.747437,1180.043000,0.000000,1.938000,0.000000,0.000000,0.000000,61.121
torchvision-app,edge-asus,cpu,fcn_resnet101,ptc,1130.793871,230.830612,1649.402097,26.532723,757.887000,0.000000,181.382887,1.512205,0.000000,0.000000,61.136
torchvision-app,edge-asus,gpu,fcn_resnet101,ptc,288.995968,49.652917,3877.306452,4.433854,1754.520000,0.000000,330.678323,2.488523,0.000000,0.000000,61.123
torchvision-app,edge-asus,cpu,fcn_resnet101,sol,1159.339194,193.689687,3819.707097,30.003610,3310.473000,0.000000,183.756597,0.019800,0.000000,0.000000,61.131
torchvision-app,edge-asus,gpu,fcn_resnet101,sol,286.361935,49.536570,1752.103871,17.128581,1180.887000,0.000000,2.160000,0.000000,0.000000,0.000000,61.115
torchvision-app,edge-asus,cpu,fcn_resnet50,ptc,1144.758871,200.167611,1131.638065,34.598100,376.078000,0.000000,175.444484,0.848855,0.000000,0.000000,61.131
torchvision-app,edge-asus,gpu,fcn_resnet50,ptc,282.859516,59.941833,3732.938710,3.350647,1695.188000,0.000000,319.495306,2.262703,0.000000,0.000000,61.125
torchvision-app,edge-asus,cpu,fcn_resnet50,sol,1149.505323,200.709480,3636.075645,35.665824,3101.738000,0.000000,183.691000,0.000000,0.000000,0.000000,61.123
torchvision-app,edge-asus,gpu,fcn_resnet50,sol,296.224194,59.998599,1717.982258,13.869935,1180.887000,0.000000,2.086000,0.000000,0.000000,0.000000,61.121
torchvision-app,edge-asus,cpu,mc3_18,ptc,1139.078387,193.510022,1113.988065,15.149546,374.109000,0.000000,168.047742,0.486365,0.000000,0.000000,61.128
torchvision-app,edge-asus,gpu,mc3_18,ptc,276.401129,48.206595,3076.851290,7.920554,1152.043000,0.000000,284.795919,2.861102,0.000000,0.000000,61.120
torchvision-app,edge-asus,cpu,mc3_18,sol,1155.837097,199.422694,2954.607581,20.567155,2319.996000,0.000000,183.363645,0.003948,0.000000,0.000000,61.129
torchvision-app,edge-asus,gpu,mc3_18,sol,270.925645,46.615775,1528.128710,2.769453,756.816000,0.000000,1.699000,0.000000,0.000000,0.000000,61.121
torchvision-app,edge-asus,cpu,r2plus1d_18,ptc,1140.720968,192.679434,1268.648710,33.365546,374.109000,0.000000,171.091823,0.748205,0.000000,0.000000,61.129
torchvision-app,edge-asus,gpu,r2plus1d_18,ptc,277.799839,54.995574,3819.549516,14.186293,1399.773000,0.000000,301.570742,6.292266,0.000000,0.000000,61.124
torchvision-app,edge-asus,cpu,r2plus1d_18,sol,1157.390968,199.761754,3225.022258,24.181414,2570.539000,0.000000,183.492774,0.003924,0.000000,0.000000,61.135
torchvision-app,edge-asus,gpu,r2plus1d_18,sol,282.822258,48.457780,1805.152097,7.807768,1017.809000,0.000000,1.855000,0.000000,0.000000,0.000000,61.120
torchvision-app,edge-asus,cpu,r3d_18,ptc,1146.743871,200.483714,1239.492097,20.221117,374.109000,0.000000,169.460565,0.487982,0.000000,0.000000,61.127
torchvision-app,edge-asus,gpu,r3d_18,ptc,282.416774,49.734038,3207.307742,22.185277,1279.418000,0.000000,292.100597,3.413061,0.000000,0.000000,61.120
torchvision-app,edge-asus,cpu,r3d_18,sol,1151.919516,202.111499,3076.665645,11.034062,2449.758000,0.000000,183.426645,0.003948,0.000000,0.000000,61.127
torchvision-app,edge-asus,gpu,r3d_18,sol,289.045968,50.589792,1671.754355,13.523169,884.988000,0.000000,1.777000,0.000000,0.000000,0.000000,61.119
torchvision-app,edge-asus,cpu,resnet50,ptc,334.302903,64.326805,678.555806,7.769844,33.996000,0.000000,112.041097,0.914092,0.000000,0.000000,61.117
torchvision-app,edge-asus,gpu,resnet50,ptc,146.941774,25.794127,2105.065484,12.812637,4.066000,0.000000,8.004323,5.803639,0.000000,0.000000,61.138
torchvision-app,edge-asus,cpu,resnet50,sol,351.694355,74.158651,1358.966129,3.688818,885.891000,0.000000,182.769726,0.003493,0.000000,0.000000,61.118
torchvision-app,edge-asus,gpu,resnet50,sol,148.494839,25.255733,691.453387,5.138903,0.000000,0.000000,0.687048,0.534384,0.000000,0.000000,61.137
torchvision-app,edge-asus,cpu,swin3d_b,ptc,1156.370806,194.146158,1619.479839,20.958899,374.109000,0.000000,164.363355,3.364553,0.000000,0.000000,61.134
torchvision-app,edge-asus,gpu,swin3d_b,ptc,276.411774,60.153956,3924.915000,14.893987,1107.336000,0.000000,252.858645,33.392032,0.000000,0.000000,61.115
torchvision-app,edge-asus,cpu,swin3d_b,sol,1140.338710,226.424433,2937.891129,23.651024,2275.043000,0.000000,183.316903,0.003897,0.000000,0.000000,61.135
torchvision-app,edge-asus,gpu,swin3d_b,sol,276.272419,60.595231,1981.806774,6.289002,1180.906000,0.000000,2.305000,0.000000,0.000000,0.000000,61.114
torchvision-app,edge-asus,cpu,swin3d_s,ptc,1133.017258,247.236445,1214.680484,9.772745,135.980000,0.000000,155.320903,2.394933,0.000000,0.000000,61.137
torchvision-app,edge-asus,gpu,swin3d_s,ptc,277.497258,48.167028,3133.634194,8.420975,981.324000,0.000000,202.829226,7.906216,0.000000,0.000000,61.119
torchvision-app,edge-asus,cpu,swin3d_s,sol,1119.761613,193.258106,2574.550806,23.256516,1909.621000,0.000000,183.242806,0.029401,0.000000,0.000000,61.138
torchvision-app,edge-asus,gpu,swin3d_s,sol,272.890323,58.645016,1135.178065,6.402266,344.406000,0.000000,1.530419,0.028688,0.000000,0.000000,61.123
torchvision-app,edge-asus,cpu,swin3d_t,ptc,1146.622903,199.663248,1059.505968,12.771221,134.109000,0.000000,150.428871,2.572149,0.000000,0.000000,61.122
torchvision-app,edge-asus,gpu,swin3d_t,ptc,272.130968,60.794950,3430.061613,22.635565,764.902000,0.000000,164.708129,34.490185,0.000000,0.000000,61.130
torchvision-app,edge-asus,cpu,swin3d_t,sol,1068.633065,186.487423,2368.751613,20.870605,1690.012000,0.000000,183.168516,0.003967,0.000000,0.000000,61.144
