timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772210845509,2026-02-27T16:47:25.509375+00:00,0.04,1254.45,31441.34,3.99,7.953,583.715,2605.326,7.028
1772210846512,2026-02-27T16:47:26.512118+00:00,5.6,1254.72,31441.34,3.99,7.953,583.715,2616.84,7.063
1772210847515,2026-02-27T16:47:27.515015+00:00,8.9,1254.83,31441.34,3.99,7.953,583.715,2635.258,7.117
1772210848517,2026-02-27T16:47:28.517186+00:00,7.89,1254.91,31441.34,3.99,7.953,583.715,2651.377,7.165
1772210849520,2026-02-27T16:47:29.520060+00:00,7.6,1254.87,31441.34,3.99,7.953,583.715,2667.493,7.21
1772210850522,2026-02-27T16:47:30.522878+00:00,8.0,1254.84,31441.34,3.99,7.953,583.715,2683.609,7.257
1772210851525,2026-02-27T16:47:31.525131+00:00,7.13,1254.75,31441.34,3.99,7.953,583.715,2702.028,7.312
1772210852529,2026-02-27T16:47:32.529024+00:00,6.78,1254.78,31441.34,3.99,7.953,583.715,2718.144,7.36
1772210853532,2026-02-27T16:47:33.532165+00:00,7.25,1254.62,31441.34,3.99,7.953,583.715,2736.563,7.415
1772210854534,2026-02-27T16:47:34.534522+00:00,7.06,1254.94,31441.34,3.99,7.953,583.715,2752.68,7.462
1772210855536,2026-02-27T16:47:35.536994+00:00,7.52,1255.14,31441.34,3.99,7.953,583.715,2769.764,7.509
1772210856539,2026-02-27T16:47:36.539109+00:00,8.49,1254.8,31441.34,3.99,7.953,583.715,2787.216,7.561
1772210857541,2026-02-27T16:47:37.541164+00:00,6.61,1254.54,31441.34,3.99,7.953,583.715,2803.333,7.609
1772210858543,2026-02-27T16:47:38.543295+00:00,7.3,1254.71,31441.34,3.99,7.953,583.715,2821.617,7.661
1772210859545,2026-02-27T16:47:39.545566+00:00,7.39,1254.86,31441.34,3.99,7.953,583.715,2837.87,7.71
1772210860548,2026-02-27T16:47:40.548166+00:00,7.66,1254.77,31441.34,3.99,7.953,583.715,2856.289,7.763
1772210861550,2026-02-27T16:47:41.550657+00:00,6.47,1255.03,31441.34,3.99,7.953,583.715,2872.406,7.811
1772210862553,2026-02-27T16:47:42.553323+00:00,6.76,1254.63,31441.34,3.99,7.953,583.715,2888.522,7.857
1772210863555,2026-02-27T16:47:43.555223+00:00,8.83,1254.8,31441.34,3.99,7.953,583.715,2906.943,7.912
1772210864558,2026-02-27T16:47:44.558070+00:00,7.3,1254.96,31441.34,3.99,7.953,583.715,2923.059,7.958
1772210865560,2026-02-27T16:47:45.560299+00:00,7.22,1254.88,31441.34,3.99,7.953,583.715,2941.442,8.009
1772210866563,2026-02-27T16:47:46.563338+00:00,8.19,1254.75,31441.34,3.99,7.953,583.715,2957.595,8.056
