timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772134636379,2026-02-26T19:37:16.379238+00:00,0.0,674.78,31441.34,2.15,0.0,0.121,116.136,0.373
1772134637381,2026-02-26T19:37:17.381011+00:00,230.43,677.43,31441.34,2.15,0.0,0.121,122.471,0.428
1772134638382,2026-02-26T19:37:18.382507+00:00,333.37,677.62,31441.34,2.16,0.0,0.121,130.532,0.505
1772134639383,2026-02-26T19:37:19.383636+00:00,306.75,677.5,31441.34,2.15,0.0,0.121,138.594,0.579
1772134640385,2026-02-26T19:37:20.385441+00:00,306.34,676.23,31441.34,2.15,0.0,0.121,146.655,0.653
1772134641386,2026-02-26T19:37:21.386610+00:00,321.11,670.85,31441.34,2.13,0.0,0.121,155.292,0.728
1772134642388,2026-02-26T19:37:22.388915+00:00,304.76,676.93,31441.34,2.15,0.0,0.121,163.354,0.805
1772134643390,2026-02-26T19:37:23.390869+00:00,311.17,676.64,31441.34,2.15,0.0,0.121,171.415,0.878
1772134644392,2026-02-26T19:37:24.392258+00:00,320.45,677.8,31441.34,2.16,0.0,0.121,180.053,0.952
1772134645393,2026-02-26T19:37:25.393547+00:00,331.17,677.69,31441.34,2.16,0.0,0.121,188.113,1.028
1772134646395,2026-02-26T19:37:26.395732+00:00,316.25,676.84,31441.34,2.15,0.0,0.121,196.175,1.101
1772134647397,2026-02-26T19:37:27.397707+00:00,322.73,678.84,31441.34,2.16,0.0,0.121,204.812,1.175
1772134648399,2026-02-26T19:37:28.399170+00:00,312.84,678.11,31441.34,2.16,0.0,0.121,212.873,1.249
1772134649401,2026-02-26T19:37:29.401401+00:00,301.56,677.25,31441.34,2.15,0.0,0.121,220.359,1.323
1772134650403,2026-02-26T19:37:30.403026+00:00,315.71,677.32,31441.34,2.15,0.0,0.121,228.997,1.398
1772134651404,2026-02-26T19:37:31.404124+00:00,312.48,678.37,31441.34,2.16,0.0,0.121,236.484,1.471
1772134652406,2026-02-26T19:37:32.406841+00:00,304.53,677.74,31441.34,2.16,0.0,0.121,244.545,1.545
1772134653408,2026-02-26T19:37:33.408655+00:00,308.75,678.04,31441.34,2.16,0.0,0.121,253.183,1.621
1772134654410,2026-02-26T19:37:34.410396+00:00,326.48,680.16,31441.34,2.16,0.0,0.121,261.245,1.695
1772134655412,2026-02-26T19:37:35.412654+00:00,323.79,678.12,31441.34,2.16,0.0,0.121,269.307,1.773
1772134656414,2026-02-26T19:37:36.414122+00:00,285.85,679.76,31441.34,2.16,0.0,0.121,276.792,1.837
1772134657416,2026-02-26T19:37:37.416058+00:00,326.99,679.44,31441.34,2.16,0.0,0.121,285.429,1.915
1772134658418,2026-02-26T19:37:38.418348+00:00,315.08,670.76,31441.34,2.13,0.0,0.121,293.49,1.987
1772134659419,2026-02-26T19:37:39.419804+00:00,313.48,677.89,31441.34,2.16,0.0,0.121,301.551,2.064
1772134660421,2026-02-26T19:37:40.421558+00:00,314.76,677.42,31441.34,2.15,0.0,0.121,310.188,2.138
1772134661423,2026-02-26T19:37:41.423399+00:00,326.06,680.92,31441.34,2.17,0.0,0.121,318.249,2.21
1772134662425,2026-02-26T19:37:42.425261+00:00,319.68,678.64,31441.34,2.16,0.0,0.121,326.31,2.283
1772134663427,2026-02-26T19:37:43.427437+00:00,319.98,678.17,31441.34,2.16,0.0,0.121,334.948,2.362
1772134664428,2026-02-26T19:37:44.428901+00:00,327.36,679.41,31441.34,2.16,0.0,0.121,343.01,2.435
1772134665430,2026-02-26T19:37:45.430511+00:00,305.12,671.36,31441.34,2.14,0.0,0.121,351.071,2.508
1772134666432,2026-02-26T19:37:46.432571+00:00,315.01,677.74,31441.34,2.16,0.0,0.121,359.383,2.587
1772134667433,2026-02-26T19:37:47.433767+00:00,326.14,671.86,31441.34,2.14,0.0,197.391,367.771,2.661
1772134668435,2026-02-26T19:37:48.435336+00:00,317.04,677.75,31441.34,2.16,0.0,197.391,375.833,2.738
1772134669438,2026-02-26T19:37:49.438214+00:00,86.25,677.12,31441.34,2.15,0.0,197.391,378.136,2.759
1772134670440,2026-02-26T19:37:50.440554+00:00,1.67,675.32,31441.34,2.15,0.0,197.391,378.136,2.759
1772134671442,2026-02-26T19:37:51.442450+00:00,141.96,678.94,31441.34,2.16,0.0,197.391,381.592,2.792
1772134672444,2026-02-26T19:37:52.444368+00:00,309.2,671.04,31441.34,2.13,0.0,197.391,389.654,2.862
1772134673446,2026-02-26T19:37:53.446458+00:00,318.35,677.95,31441.34,2.16,0.0,197.391,397.716,2.939
1772134674448,2026-02-26T19:37:54.448616+00:00,322.31,678.54,31441.34,2.16,0.0,197.391,406.353,3.013
1772134675450,2026-02-26T19:37:55.450631+00:00,332.74,671.07,31441.34,2.13,0.0,197.391,414.414,3.086
1772134676452,2026-02-26T19:37:56.452213+00:00,313.37,678.02,31441.34,2.16,0.0,197.391,422.476,3.16
1772134677455,2026-02-26T19:37:57.455130+00:00,307.4,677.38,31441.34,2.15,0.0,197.391,431.08,3.237
1772134678456,2026-02-26T19:37:58.456352+00:00,318.24,677.31,31441.34,2.15,0.0,197.391,439.175,3.311
1772134679457,2026-02-26T19:37:59.457923+00:00,328.56,671.86,31441.34,2.14,0.0,197.391,447.236,3.384
