timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772210210437,2026-02-27T16:36:50.437188+00:00,0.0,2552.58,31441.34,8.12,0.0,322.988,1229.629,3.132
1772210211439,2026-02-27T16:36:51.439213+00:00,323.02,2553.41,31441.34,8.12,0.0,322.988,1234.235,3.147
1772210212443,2026-02-27T16:36:52.443564+00:00,411.04,2553.84,31441.34,8.12,0.0,322.988,1241.143,3.166
1772210213445,2026-02-27T16:36:53.445626+00:00,394.54,2616.93,31441.34,8.32,0.0,322.988,1248.051,3.187
1772210214447,2026-02-27T16:36:54.447595+00:00,475.9,2554.79,31441.34,8.13,0.0,322.988,1252.656,3.201
1772210215449,2026-02-27T16:36:55.449511+00:00,373.39,2554.61,31441.34,8.13,0.0,322.988,1259.563,3.219
1772210216452,2026-02-27T16:36:56.452391+00:00,430.78,2553.56,31441.34,8.12,0.0,322.988,1264.169,3.235
1772210217454,2026-02-27T16:36:57.454769+00:00,448.78,2554.89,31441.34,8.13,0.0,322.988,1271.077,3.255
1772210218456,2026-02-27T16:36:58.456754+00:00,396.4,2554.63,31441.34,8.13,0.0,322.988,1277.984,3.275
1772210219459,2026-02-27T16:36:59.459206+00:00,446.52,2554.96,31441.34,8.13,0.0,322.988,1282.589,3.29
1772210220461,2026-02-27T16:37:00.461326+00:00,422.78,2554.54,31441.34,8.12,0.0,322.988,1289.496,3.308
1772210221463,2026-02-27T16:37:01.463290+00:00,409.29,2626.68,31441.34,8.35,0.0,322.988,1296.403,3.328
1772210222465,2026-02-27T16:37:02.465319+00:00,452.08,2558.49,31441.34,8.14,0.0,322.988,1301.008,3.343
1772210223466,2026-02-27T16:37:03.466864+00:00,452.4,2559.48,31441.34,8.14,0.0,322.988,1307.915,3.36
1772210224467,2026-02-27T16:37:04.467866+00:00,432.35,2559.2,31441.34,8.14,0.0,322.988,1314.822,3.38
1772210225469,2026-02-27T16:37:05.469724+00:00,413.18,2634.31,31441.34,8.38,0.0,322.988,1321.73,3.399
1772210226471,2026-02-27T16:37:06.471583+00:00,466.04,2559.0,31441.34,8.14,0.0,322.988,1326.334,3.413
1772210227474,2026-02-27T16:37:07.474536+00:00,392.07,2597.94,31441.34,8.26,0.0,322.988,1333.241,3.431
1772210228475,2026-02-27T16:37:08.475881+00:00,416.89,2556.7,31441.34,8.13,0.0,583.699,1339.907,3.45
1772210229477,2026-02-27T16:37:09.477695+00:00,474.0,2558.95,31441.34,8.14,0.0,583.699,1344.754,3.464
1772210230480,2026-02-27T16:37:10.480415+00:00,384.75,2568.14,31441.34,8.17,0.0,583.699,1351.661,3.484
1772210231482,2026-02-27T16:37:11.482032+00:00,439.69,2559.69,31441.34,8.14,0.0,583.699,1356.266,3.5
1772210232483,2026-02-27T16:37:12.483791+00:00,413.63,2589.82,31441.34,8.24,0.0,583.699,1363.173,3.517
1772210233486,2026-02-27T16:37:13.486429+00:00,392.93,2559.26,31441.34,8.14,0.0,583.699,1367.84,3.531
1772210234488,2026-02-27T16:37:14.488662+00:00,465.11,2560.03,31441.34,8.14,0.0,583.699,1374.684,3.549
1772210235490,2026-02-27T16:37:15.490942+00:00,393.67,2558.57,31441.34,8.14,0.0,583.699,1381.592,3.57
1772210236493,2026-02-27T16:37:16.493023+00:00,440.46,2559.44,31441.34,8.14,0.0,583.699,1386.197,3.585
1772210237495,2026-02-27T16:37:17.495425+00:00,474.71,2559.22,31441.34,8.14,0.0,583.699,1393.104,3.603
1772210238498,2026-02-27T16:37:18.498557+00:00,372.38,2559.41,31441.34,8.14,0.0,583.699,1400.011,3.624
1772210239501,2026-02-27T16:37:19.501108+00:00,456.0,2558.7,31441.34,8.14,0.0,583.699,1404.616,3.639
1772210240502,2026-02-27T16:37:20.502530+00:00,438.58,2559.38,31441.34,8.14,0.0,583.699,1411.524,3.657
1772210241504,2026-02-27T16:37:21.504699+00:00,400.15,2568.2,31441.34,8.17,0.0,583.699,1418.431,3.676
1772210242508,2026-02-27T16:37:22.508593+00:00,459.9,2559.07,31441.34,8.14,0.0,583.699,1423.036,3.691
1772210243510,2026-02-27T16:37:23.510327+00:00,393.94,2559.27,31441.34,8.14,0.0,583.699,1429.943,3.708
1772210244513,2026-02-27T16:37:24.513084+00:00,428.67,2559.12,31441.34,8.14,0.0,583.699,1434.86,3.725
1772210245515,2026-02-27T16:37:25.515387+00:00,468.29,2558.63,31441.34,8.14,0.0,583.699,1441.455,3.743
1772210246517,2026-02-27T16:37:26.517128+00:00,385.31,2652.93,31441.34,8.44,0.0,583.699,1448.362,3.762
1772210247519,2026-02-27T16:37:27.519559+00:00,454.48,2559.18,31441.34,8.14,0.0,583.699,1452.967,3.777
1772210248521,2026-02-27T16:37:28.521187+00:00,447.04,2559.26,31441.34,8.14,0.0,583.699,1459.875,3.795
1772210249522,2026-02-27T16:37:29.522699+00:00,402.21,2626.8,31441.34,8.35,0.0,583.699,1466.782,3.815
1772210250525,2026-02-27T16:37:30.525592+00:00,443.68,2558.64,31441.34,8.14,0.0,583.699,1471.387,3.83
1772210251527,2026-02-27T16:37:31.527312+00:00,424.75,2577.82,31441.34,8.2,0.0,583.699,1478.293,3.849
1772210252529,2026-02-27T16:37:32.529192+00:00,416.53,2559.84,31441.34,8.14,0.0,583.699,1485.201,3.869
1772210253531,2026-02-27T16:37:33.531333+00:00,469.3,2559.53,31441.34,8.14,0.0,583.699,1489.806,3.884
1772210254532,2026-02-27T16:37:34.532686+00:00,416.84,2559.7,31441.34,8.14,0.0,583.699,1496.713,3.903
1772210255534,2026-02-27T16:37:35.534602+00:00,442.98,2560.2,31441.34,8.14,0.0,583.699,1503.62,3.923
