timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771487707104,2026-02-19T07:55:07.104883+00:00,0.04,1249.39,31441.34,3.97,10.836,718.594,1487.499,4.007
1771487708106,2026-02-19T07:55:08.106511+00:00,2.71,1249.84,31441.34,3.98,10.836,718.594,1489.803,4.016
1771487709108,2026-02-19T07:55:09.108967+00:00,2.15,1249.6,31441.34,3.97,10.836,764.078,1492.107,4.024
1771487710112,2026-02-19T07:55:10.112111+00:00,2.13,1249.55,31441.34,3.97,10.836,764.078,1494.411,4.031
1771487711114,2026-02-19T07:55:11.114655+00:00,2.98,1249.95,31441.34,3.98,10.836,764.078,1496.715,4.039
1771487712117,2026-02-19T07:55:12.117066+00:00,2.18,1249.72,31441.34,3.97,10.836,764.078,1499.019,4.047
1771487713119,2026-02-19T07:55:13.119407+00:00,2.06,1249.68,31441.34,3.97,10.836,764.078,1501.323,4.055
1771487714121,2026-02-19T07:55:14.121925+00:00,2.51,1249.66,31441.34,3.97,10.836,764.078,1503.626,4.063
1771487715124,2026-02-19T07:55:15.124827+00:00,2.43,1250.04,31441.34,3.98,10.836,764.078,1505.93,4.07
1771487716127,2026-02-19T07:55:16.127076+00:00,2.45,1250.12,31441.34,3.98,10.836,764.078,1508.233,4.078
1771487717129,2026-02-19T07:55:17.129101+00:00,2.33,1249.94,31441.34,3.98,10.836,764.078,1510.537,4.085
1771487718131,2026-02-19T07:55:18.131978+00:00,2.58,1250.2,31441.34,3.98,10.836,764.078,1512.839,4.092
1771487719134,2026-02-19T07:55:19.134349+00:00,2.44,1250.09,31441.34,3.98,10.836,764.078,1515.143,4.099
1771487720137,2026-02-19T07:55:20.137381+00:00,2.69,1250.11,31441.34,3.98,10.836,764.078,1517.446,4.107
1771487721139,2026-02-19T07:55:21.139949+00:00,1.33,1249.61,31441.34,3.97,10.836,764.078,1517.446,4.107
1771487722142,2026-02-19T07:55:22.142834+00:00,2.35,1250.1,31441.34,3.98,10.836,764.078,1519.749,4.114
1771487723145,2026-02-19T07:55:23.145226+00:00,2.73,1250.09,31441.34,3.98,10.836,764.078,1522.053,4.121
1771487724147,2026-02-19T07:55:24.147613+00:00,1.55,1249.76,31441.34,3.97,10.836,764.078,1522.053,4.121
1771487725149,2026-02-19T07:55:25.149142+00:00,1.24,1249.7,31441.34,3.97,10.836,764.078,1522.053,4.121
1771487726150,2026-02-19T07:55:26.150928+00:00,2.46,1250.14,31441.34,3.98,10.836,764.078,1524.357,4.129
1771487727153,2026-02-19T07:55:27.153110+00:00,2.66,1250.03,31441.34,3.98,10.836,764.078,1526.659,4.135
1771487728155,2026-02-19T07:55:28.155279+00:00,2.52,1250.02,31441.34,3.98,10.836,764.078,1528.962,4.142
1771487729157,2026-02-19T07:55:29.157186+00:00,2.3,1249.88,31441.34,3.98,10.836,764.078,1531.266,4.15
1771487730159,2026-02-19T07:55:30.159256+00:00,2.59,1249.71,31441.34,3.97,10.836,764.078,1533.57,4.158
1771487731161,2026-02-19T07:55:31.161702+00:00,2.69,1250.09,31441.34,3.98,10.836,764.078,1535.874,4.165
1771487732164,2026-02-19T07:55:32.164275+00:00,2.55,1250.14,31441.34,3.98,10.836,764.078,1538.176,4.172
1771487733166,2026-02-19T07:55:33.166376+00:00,2.84,1250.22,31441.34,3.98,10.836,764.078,1540.48,4.179
1771487734168,2026-02-19T07:55:34.168446+00:00,1.34,1249.81,31441.34,3.98,10.836,764.078,1540.48,4.179
1771487735170,2026-02-19T07:55:35.170344+00:00,3.22,1250.15,31441.34,3.98,10.836,764.078,1545.086,4.193
1771487736172,2026-02-19T07:55:36.172824+00:00,2.3,1249.64,31441.34,3.97,10.836,764.078,1547.39,4.2
1771487737174,2026-02-19T07:55:37.174717+00:00,3.11,1249.57,31441.34,3.97,10.836,764.078,1549.694,4.208
1771487738176,2026-02-19T07:55:38.176959+00:00,1.75,1249.73,31441.34,3.97,10.836,764.078,1549.694,4.208
1771487739179,2026-02-19T07:55:39.179006+00:00,2.81,1250.05,31441.34,3.98,10.836,764.078,1551.997,4.215
1771487740181,2026-02-19T07:55:40.181257+00:00,2.27,1250.13,31441.34,3.98,10.836,764.078,1554.301,4.222
1771487741184,2026-02-19T07:55:41.184764+00:00,3.58,1253.17,31441.34,3.99,10.836,764.078,1558.906,4.236
1771487742186,2026-02-19T07:55:42.186865+00:00,3.48,1252.77,31441.34,3.98,10.836,764.078,1563.513,4.25
1771487743189,2026-02-19T07:55:43.189122+00:00,1.4,1252.25,31441.34,3.98,10.836,764.078,1563.513,4.25
1771487744190,2026-02-19T07:55:44.190682+00:00,1.77,1252.14,31441.34,3.98,10.836,764.078,1563.513,4.25
1771487745192,2026-02-19T07:55:45.192505+00:00,2.59,1252.32,31441.34,3.98,10.836,764.078,1565.817,4.259
1771487746194,2026-02-19T07:55:46.194844+00:00,1.71,1251.99,31441.34,3.98,10.836,764.078,1565.817,4.259
1771487747198,2026-02-19T07:55:47.198041+00:00,1.4,1251.95,31441.34,3.98,10.836,764.078,1565.817,4.259
1771487748201,2026-02-19T07:55:48.201242+00:00,2.12,1252.3,31441.34,3.98,10.836,764.078,1568.122,4.267
1771487749203,2026-02-19T07:55:49.203139+00:00,1.22,1252.05,31441.34,3.98,10.836,764.078,1568.122,4.267
1771487750205,2026-02-19T07:55:50.205177+00:00,1.33,1252.2,31441.34,3.98,10.836,764.078,1568.122,4.267
1771487751207,2026-02-19T07:55:51.207704+00:00,2.63,1252.46,31441.34,3.98,10.836,764.078,1570.426,4.276
1771487752209,2026-02-19T07:55:52.209613+00:00,3.12,1252.11,31441.34,3.98,10.836,764.078,1575.032,4.29
1771487753211,2026-02-19T07:55:53.211998+00:00,2.83,1252.25,31441.34,3.98,10.836,764.078,1577.335,4.297
1771487754214,2026-02-19T07:55:54.214008+00:00,1.87,1252.09,31441.34,3.98,10.836,764.078,1577.335,4.297
1771487755215,2026-02-19T07:55:55.215568+00:00,1.34,1251.97,31441.34,3.98,10.836,764.078,1577.335,4.297
1771487756217,2026-02-19T07:55:56.217757+00:00,2.39,1252.35,31441.34,3.98,10.836,764.078,1579.639,4.306
1771487757220,2026-02-19T07:55:57.220208+00:00,3.24,1252.47,31441.34,3.98,10.836,764.078,1584.245,4.319
1771487758223,2026-02-19T07:55:58.223221+00:00,2.59,1252.55,31441.34,3.98,10.836,764.078,1586.548,4.326
1771487759225,2026-02-19T07:55:59.225746+00:00,2.2,1252.15,31441.34,3.98,10.836,764.078,1588.85,4.333
1771487760227,2026-02-19T07:56:00.227886+00:00,3.52,1252.25,31441.34,3.98,10.836,764.078,1593.456,4.346
1771487761230,2026-02-19T07:56:01.230275+00:00,1.7,1251.93,31441.34,3.98,10.836,764.078,1593.456,4.346
1771487762232,2026-02-19T07:56:02.232318+00:00,2.75,1252.29,31441.34,3.98,10.836,764.078,1595.759,4.353
1771487763234,2026-02-19T07:56:03.234587+00:00,1.66,1251.74,31441.34,3.98,10.836,764.078,1595.759,4.353
1771487764236,2026-02-19T07:56:04.236386+00:00,2.37,1252.43,31441.34,3.98,10.836,764.078,1598.063,4.361
1771487765238,2026-02-19T07:56:05.238627+00:00,1.29,1251.77,31441.34,3.98,10.836,764.078,1598.063,4.361
