timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771437738279,2026-02-18T18:02:18.279409+00:00,0.06,1935.07,31441.34,6.15,868.738,338.504,0.069,0.097
1771437739281,2026-02-18T18:02:19.281371+00:00,617.77,1946.5,31441.34,6.19,868.738,338.504,0.069,0.097
1771437740284,2026-02-18T18:02:20.284042+00:00,690.0,1957.22,31441.34,6.22,868.738,338.504,0.069,0.097
1771437741285,2026-02-18T18:02:21.285622+00:00,752.49,1959.94,31441.34,6.23,868.738,338.504,0.069,0.097
1771437742286,2026-02-18T18:02:22.286833+00:00,747.63,1963.56,31441.34,6.25,868.738,338.504,0.069,0.097
1771437743288,2026-02-18T18:02:23.288385+00:00,740.43,1969.96,31441.34,6.27,868.738,338.504,0.069,0.097
1771437744290,2026-02-18T18:02:24.290977+00:00,774.51,1976.21,31441.34,6.29,868.738,338.625,0.069,0.097
1771437745293,2026-02-18T18:02:25.293886+00:00,658.71,1965.15,31441.34,6.25,868.738,338.625,0.069,0.097
1771437746295,2026-02-18T18:02:26.295581+00:00,716.73,1959.96,31441.34,6.23,868.738,338.625,0.069,0.097
1771437747297,2026-02-18T18:02:27.297109+00:00,719.05,1960.87,31441.34,6.24,868.738,338.625,0.069,0.097
1771437748300,2026-02-18T18:02:28.300714+00:00,765.64,1960.89,31441.34,6.24,868.738,338.625,0.069,0.097
1771437749302,2026-02-18T18:02:29.302367+00:00,639.08,1955.19,31441.34,6.22,868.738,338.637,0.069,0.097
1771437750304,2026-02-18T18:02:30.304469+00:00,870.41,1958.96,31441.34,6.23,868.738,338.637,0.069,0.097
1771437751308,2026-02-18T18:02:31.308553+00:00,816.27,1960.31,31441.34,6.23,868.738,338.637,0.069,0.097
1771437752310,2026-02-18T18:02:32.310596+00:00,640.66,1955.12,31441.34,6.22,868.738,338.637,0.069,0.097
1771437753312,2026-02-18T18:02:33.312150+00:00,663.66,1939.15,31441.34,6.17,868.738,338.637,0.069,0.097
1771437754314,2026-02-18T18:02:34.314863+00:00,733.02,1950.73,31441.34,6.2,868.738,338.637,0.069,0.097
1771437755316,2026-02-18T18:02:35.316442+00:00,786.28,1964.41,31441.34,6.25,868.738,338.637,0.069,0.097
1771437756319,2026-02-18T18:02:36.319017+00:00,734.22,1958.04,31441.34,6.23,868.738,338.637,0.069,0.097
1771437757320,2026-02-18T18:02:37.320325+00:00,725.11,1962.52,31441.34,6.24,868.738,338.637,0.069,0.097
1771437758322,2026-02-18T18:02:38.322743+00:00,727.3,1957.87,31441.34,6.23,868.738,338.637,0.069,0.097
1771437759324,2026-02-18T18:02:39.324971+00:00,853.63,1962.32,31441.34,6.24,868.738,338.637,0.069,0.097
1771437760327,2026-02-18T18:02:40.327230+00:00,681.15,1939.45,31441.34,6.17,868.738,338.637,0.069,0.097
1771437761329,2026-02-18T18:02:41.329023+00:00,71.35,1936.43,31441.34,6.16,868.738,338.637,0.069,0.097
