timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771437692884,2026-02-18T18:01:32.884028+00:00,0.05,1948.34,31441.34,6.2,868.738,338.395,0.067,0.094
1771437693885,2026-02-18T18:01:33.885505+00:00,632.94,1939.73,31441.34,6.17,868.738,338.395,0.067,0.094
1771437694888,2026-02-18T18:01:34.888169+00:00,696.3,1962.52,31441.34,6.24,868.738,338.395,0.067,0.094
1771437695890,2026-02-18T18:01:35.890776+00:00,735.09,1961.89,31441.34,6.24,868.738,338.395,0.067,0.094
1771437696893,2026-02-18T18:01:36.893166+00:00,774.88,1936.28,31441.34,6.16,868.738,338.395,0.067,0.094
1771437697894,2026-02-18T18:01:37.894515+00:00,751.55,1954.41,31441.34,6.22,868.738,338.395,0.067,0.094
1771437698896,2026-02-18T18:01:38.896884+00:00,743.79,1964.68,31441.34,6.25,868.738,338.395,0.067,0.094
1771437699899,2026-02-18T18:01:39.899751+00:00,655.58,1959.34,31441.34,6.23,868.738,338.395,0.067,0.094
1771437700902,2026-02-18T18:01:40.902548+00:00,707.31,1959.03,31441.34,6.23,868.738,338.395,0.067,0.094
1771437701903,2026-02-18T18:01:41.903750+00:00,761.41,1964.56,31441.34,6.25,868.738,338.395,0.067,0.094
1771437702906,2026-02-18T18:01:42.906646+00:00,757.07,1957.95,31441.34,6.23,868.738,338.406,0.067,0.094
1771437703908,2026-02-18T18:01:43.908693+00:00,660.36,1939.33,31441.34,6.17,868.738,338.406,0.067,0.094
1771437704910,2026-02-18T18:01:44.910919+00:00,886.33,1958.25,31441.34,6.23,868.738,338.406,0.067,0.094
1771437705913,2026-02-18T18:01:45.913215+00:00,799.06,1956.91,31441.34,6.22,868.738,338.406,0.067,0.094
1771437706915,2026-02-18T18:01:46.915165+00:00,619.33,1954.54,31441.34,6.22,868.738,338.406,0.067,0.094
1771437707917,2026-02-18T18:01:47.917287+00:00,720.58,1942.7,31441.34,6.18,868.738,338.504,0.067,0.094
1771437708919,2026-02-18T18:01:48.919559+00:00,717.22,1956.07,31441.34,6.22,868.738,338.504,0.067,0.094
1771437709921,2026-02-18T18:01:49.921794+00:00,798.94,1958.14,31441.34,6.23,868.738,338.504,0.067,0.094
1771437710924,2026-02-18T18:01:50.924810+00:00,784.93,1936.13,31441.34,6.16,868.738,338.504,0.067,0.094
1771437711928,2026-02-18T18:01:51.928054+00:00,765.31,1961.3,31441.34,6.24,868.738,338.504,0.067,0.094
1771437712929,2026-02-18T18:01:52.929860+00:00,760.69,1939.79,31441.34,6.17,868.738,338.504,0.067,0.094
1771437713932,2026-02-18T18:01:53.932594+00:00,772.3,1955.18,31441.34,6.22,868.738,338.504,0.067,0.094
1771437714934,2026-02-18T18:01:54.934455+00:00,576.12,1938.89,31441.34,6.17,868.738,338.504,0.067,0.094
