timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771590419219,2026-02-20T12:26:59.219143+00:00,8.81,2093.93,31441.34,6.66,4.066,0.18,0.0,0.0
1771590420221,2026-02-20T12:27:00.221580+00:00,117.56,2094.3,31441.34,6.66,4.066,0.18,0.0,0.0
1771590421223,2026-02-20T12:27:01.223626+00:00,136.72,2125.07,31441.34,6.76,4.066,0.18,0.0,0.0
1771590422225,2026-02-20T12:27:02.225309+00:00,152.28,2094.44,31441.34,6.66,4.066,0.18,0.0,0.0
1771590423228,2026-02-20T12:27:03.228315+00:00,142.93,2095.35,31441.34,6.66,4.066,0.18,0.0,0.0
1771590424231,2026-02-20T12:27:04.231240+00:00,147.86,2094.54,31441.34,6.66,4.066,0.18,0.0,0.0
1771590425232,2026-02-20T12:27:05.232952+00:00,155.98,2095.68,31441.34,6.67,4.066,0.18,0.0,0.0
1771590426234,2026-02-20T12:27:06.234769+00:00,149.27,2095.18,31441.34,6.66,4.066,0.18,0.0,0.0
1771590427237,2026-02-20T12:27:07.237369+00:00,137.37,2125.32,31441.34,6.76,4.066,0.18,0.0,0.0
1771590428240,2026-02-20T12:27:08.240082+00:00,144.76,2094.87,31441.34,6.66,4.066,0.18,0.0,0.0
1771590429241,2026-02-20T12:27:09.241412+00:00,156.9,2095.71,31441.34,6.67,4.066,0.18,0.0,0.0
1771590430243,2026-02-20T12:27:10.243050+00:00,144.5,2095.54,31441.34,6.66,4.066,0.18,0.0,0.0
1771590431245,2026-02-20T12:27:11.245490+00:00,147.89,2094.94,31441.34,6.66,4.066,0.18,0.0,0.0
1771590432247,2026-02-20T12:27:12.247020+00:00,147.69,2114.77,31441.34,6.73,4.066,0.18,0.0,0.0
1771590433248,2026-02-20T12:27:13.248930+00:00,139.17,2094.56,31441.34,6.66,4.066,0.18,0.0,0.0
1771590434251,2026-02-20T12:27:14.251672+00:00,144.24,2115.25,31441.34,6.73,4.066,0.18,0.0,0.0
1771590435253,2026-02-20T12:27:15.253551+00:00,160.1,2114.91,31441.34,6.73,4.066,0.18,0.0,0.0
1771590436255,2026-02-20T12:27:16.255879+00:00,136.97,2094.76,31441.34,6.66,4.066,1.238,0.0,0.0
1771590437258,2026-02-20T12:27:17.258348+00:00,142.12,2094.71,31441.34,6.66,4.066,1.238,0.0,0.0
1771590438260,2026-02-20T12:27:18.260167+00:00,140.72,2115.33,31441.34,6.73,4.066,1.238,0.0,0.0
1771590439262,2026-02-20T12:27:19.262615+00:00,148.81,2136.41,31441.34,6.79,4.066,1.238,0.0,0.0
1771590440265,2026-02-20T12:27:20.265188+00:00,140.46,2114.97,31441.34,6.73,4.066,1.238,0.0,0.0
1771590441266,2026-02-20T12:27:21.266703+00:00,140.82,2115.83,31441.34,6.73,4.066,1.238,0.0,0.0
1771590442268,2026-02-20T12:27:22.268941+00:00,148.29,2094.51,31441.34,6.66,4.066,12.406,0.0,0.0
1771590443271,2026-02-20T12:27:23.271519+00:00,140.56,2115.13,31441.34,6.73,4.066,12.406,0.0,0.0
1771590444273,2026-02-20T12:27:24.273707+00:00,134.57,2094.16,31441.34,6.66,4.066,12.406,0.0,0.0
