timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771600580524,2026-02-20T15:16:20.524937+00:00,9.18,2560.79,31441.34,8.14,1909.621,183.172,0.0,0.0
1771600581527,2026-02-20T15:16:21.527127+00:00,873.8,2576.14,31441.34,8.19,1909.621,183.172,0.0,0.0
1771600582528,2026-02-20T15:16:22.528969+00:00,1171.37,2583.66,31441.34,8.22,1909.621,183.172,0.0,0.0
1771600583531,2026-02-20T15:16:23.531167+00:00,1167.01,2564.35,31441.34,8.16,1909.621,183.172,0.0,0.0
1771600584534,2026-02-20T15:16:24.534101+00:00,1178.19,2561.76,31441.34,8.15,1909.621,183.172,0.0,0.0
1771600585536,2026-02-20T15:16:25.536280+00:00,1194.97,2585.31,31441.34,8.22,1909.621,183.172,0.0,0.0
1771600586539,2026-02-20T15:16:26.539112+00:00,1168.26,2615.99,31441.34,8.32,1909.621,183.172,0.0,0.0
1771600587540,2026-02-20T15:16:27.540961+00:00,1160.66,2562.53,31441.34,8.15,1909.621,183.172,0.0,0.0
1771600588542,2026-02-20T15:16:28.542180+00:00,1193.6,2562.24,31441.34,8.15,1909.621,183.172,0.0,0.0
1771600589544,2026-02-20T15:16:29.544328+00:00,1192.42,2562.28,31441.34,8.15,1909.621,183.25,0.0,0.0
1771600590546,2026-02-20T15:16:30.546281+00:00,1158.43,2583.33,31441.34,8.22,1909.621,183.25,0.0,0.0
1771600591548,2026-02-20T15:16:31.548925+00:00,1106.11,2561.73,31441.34,8.15,1909.621,183.25,0.0,0.0
1771600592550,2026-02-20T15:16:32.550520+00:00,1120.48,2566.86,31441.34,8.16,1909.621,183.25,0.0,0.0
1771600593553,2026-02-20T15:16:33.553565+00:00,1080.81,2583.6,31441.34,8.22,1909.621,183.25,0.0,0.0
1771600594554,2026-02-20T15:16:34.554632+00:00,1059.49,2616.51,31441.34,8.32,1909.621,183.25,0.0,0.0
1771600595556,2026-02-20T15:16:35.556683+00:00,1084.1,2566.89,31441.34,8.16,1909.621,183.25,0.0,0.0
1771600596559,2026-02-20T15:16:36.559895+00:00,1112.72,2561.71,31441.34,8.15,1909.621,183.25,0.0,0.0
1771600597562,2026-02-20T15:16:37.562712+00:00,1140.84,2564.22,31441.34,8.16,1909.621,183.25,0.0,0.0
1771600598564,2026-02-20T15:16:38.564547+00:00,1168.67,2558.27,31441.34,8.14,1909.621,183.25,0.0,0.0
1771600599566,2026-02-20T15:16:39.566900+00:00,1167.72,2558.56,31441.34,8.14,1909.621,183.25,0.0,0.0
