timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772207143019,2026-02-27T15:45:43.019816+00:00,18.58,1335.24,11690.2,11.42,909.559,2.344,0.0,0.0
1772207144023,2026-02-27T15:45:44.023003+00:00,59.39,1357.01,11690.2,11.61,909.559,2.344,0.0,0.0
1772207145026,2026-02-27T15:45:45.026228+00:00,98.52,1378.62,11690.2,11.79,909.559,2.344,0.0,0.0
1772207146030,2026-02-27T15:45:46.030125+00:00,97.98,1378.84,11690.2,11.79,909.559,2.344,0.0,0.0
1772207147032,2026-02-27T15:45:47.032537+00:00,90.68,1400.34,11690.2,11.98,909.559,2.344,0.0,0.0
1772207148035,2026-02-27T15:45:48.035601+00:00,83.48,1357.16,11690.2,11.61,909.559,2.344,0.0,0.0
1772207149037,2026-02-27T15:45:49.037913+00:00,97.74,1400.78,11690.2,11.98,909.559,2.344,0.0,0.0
1772207150040,2026-02-27T15:45:50.040301+00:00,86.92,1357.23,11690.2,11.61,909.559,2.344,0.0,0.0
1772207151041,2026-02-27T15:45:51.041967+00:00,112.43,1400.9,11690.2,11.98,909.559,2.344,0.0,0.0
1772207152044,2026-02-27T15:45:52.044817+00:00,96.36,1357.2,11690.2,11.61,909.559,2.344,0.0,0.0
1772207153048,2026-02-27T15:45:53.048328+00:00,93.22,1400.52,11690.2,11.98,909.559,2.344,0.0,0.0
1772207154051,2026-02-27T15:45:54.051323+00:00,84.6,1400.52,11690.2,11.98,909.559,2.344,0.0,0.0
1772207155054,2026-02-27T15:45:55.054240+00:00,94.21,1335.63,11690.2,11.43,909.559,2.344,0.0,0.0
1772207156056,2026-02-27T15:45:56.056899+00:00,105.26,1335.52,11690.2,11.42,909.559,2.344,0.0,0.0
1772207157060,2026-02-27T15:45:57.060600+00:00,84.26,1400.71,11690.2,11.98,909.559,2.344,0.0,0.0
1772207158064,2026-02-27T15:45:58.064899+00:00,82.75,1400.68,11690.2,11.98,909.559,2.344,0.0,0.0
1772207159067,2026-02-27T15:45:59.067177+00:00,90.18,1357.24,11690.2,11.61,909.559,2.344,0.0,0.0
1772207160068,2026-02-27T15:46:00.068802+00:00,104.39,1379.07,11690.2,11.8,909.559,2.344,0.0,0.0
1772207161072,2026-02-27T15:46:01.072276+00:00,89.06,1378.93,11690.2,11.8,909.559,2.344,0.0,0.0
1772207162076,2026-02-27T15:46:02.076849+00:00,86.21,1378.75,11690.2,11.79,909.559,2.344,0.0,0.0
1772207163080,2026-02-27T15:46:03.080361+00:00,84.32,1378.76,11690.2,11.79,909.559,2.344,0.0,0.0
1772207164086,2026-02-27T15:46:04.086666+00:00,97.62,1400.85,11690.2,11.98,909.559,2.344,0.0,0.0
1772207165089,2026-02-27T15:46:05.089595+00:00,103.65,1400.4,11690.2,11.98,909.559,2.344,0.0,0.0
1772207166093,2026-02-27T15:46:06.093651+00:00,86.02,1403.29,11690.2,12.0,909.559,2.344,0.0,0.0
