timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772209322225,2026-02-27T16:22:02.225533+00:00,17.26,3411.1,11690.2,29.18,3090.121,4.383,0.0,0.0
1772209323228,2026-02-27T16:22:03.228430+00:00,122.7,3404.02,11690.2,29.12,3090.121,4.457,0.0,0.0
1772209324233,2026-02-27T16:22:04.233414+00:00,163.32,3403.57,11690.2,29.11,3090.121,4.457,0.0,0.0
1772209325237,2026-02-27T16:22:05.237084+00:00,146.82,3420.58,11690.2,29.26,3090.121,4.457,0.0,0.0
1772209326240,2026-02-27T16:22:06.240361+00:00,150.63,3410.92,11690.2,29.18,3090.121,4.457,0.0,0.0
1772209327242,2026-02-27T16:22:07.242836+00:00,164.21,3401.18,11690.2,29.09,3090.121,4.457,0.0,0.0
1772209328246,2026-02-27T16:22:08.246775+00:00,147.86,3421.55,11690.2,29.27,3090.121,4.457,0.0,0.0
1772209329249,2026-02-27T16:22:09.249545+00:00,163.54,3432.42,11690.2,29.36,3090.121,4.457,0.0,0.0
1772209330253,2026-02-27T16:22:10.253233+00:00,148.71,3411.23,11690.2,29.18,3090.121,4.457,0.0,0.0
1772209331259,2026-02-27T16:22:11.259364+00:00,153.61,3422.36,11690.2,29.28,3090.121,4.457,0.0,0.0
1772209332265,2026-02-27T16:22:12.265174+00:00,149.87,3432.39,11690.2,29.36,3090.121,4.457,0.0,0.0
1772209333266,2026-02-27T16:22:13.266033+00:00,162.12,3411.18,11690.2,29.18,3090.121,4.457,0.0,0.0
1772209334269,2026-02-27T16:22:14.269351+00:00,156.85,3442.85,11690.2,29.45,3090.121,4.457,0.0,0.0
1772209335271,2026-02-27T16:22:15.271916+00:00,155.13,3432.33,11690.2,29.36,3090.121,4.457,0.0,0.0
1772209336275,2026-02-27T16:22:16.275801+00:00,156.82,3432.32,11690.2,29.36,3090.121,4.457,0.0,0.0
1772209337281,2026-02-27T16:22:17.281109+00:00,156.16,3442.91,11690.2,29.45,3090.121,4.457,0.0,0.0
1772209338284,2026-02-27T16:22:18.284307+00:00,147.93,3432.27,11690.2,29.36,3090.121,4.457,0.0,0.0
1772209339287,2026-02-27T16:22:19.287592+00:00,162.02,3463.99,11690.2,29.63,3090.121,4.457,0.0,0.0
1772209340291,2026-02-27T16:22:20.291285+00:00,154.35,3453.69,11690.2,29.54,3090.121,4.457,0.0,0.0
1772209341294,2026-02-27T16:22:21.294674+00:00,151.43,3432.43,11690.2,29.36,3090.121,4.457,0.0,0.0
1772209342300,2026-02-27T16:22:22.300274+00:00,158.38,3411.29,11690.2,29.18,3090.121,4.457,0.0,0.0
1772209343304,2026-02-27T16:22:23.304023+00:00,161.15,3369.41,11690.2,28.82,3090.121,4.457,0.0,0.0
1772209344306,2026-02-27T16:22:24.306682+00:00,156.34,3443.05,11690.2,29.45,3090.121,4.457,0.0,0.0
1772209345312,2026-02-27T16:22:25.312538+00:00,155.73,3443.11,11690.2,29.45,3090.121,4.457,0.0,0.0
1772209346316,2026-02-27T16:22:26.316519+00:00,151.05,3422.18,11690.2,29.27,3090.121,4.457,0.0,0.0
1772209347319,2026-02-27T16:22:27.319208+00:00,168.14,3411.38,11690.2,29.18,3090.121,4.457,0.0,0.0
1772209348323,2026-02-27T16:22:28.323261+00:00,151.79,3443.02,11690.2,29.45,3090.121,4.457,0.0,0.0
1772209349326,2026-02-27T16:22:29.326628+00:00,148.16,3422.38,11690.2,29.28,3090.121,4.465,0.0,0.0
1772209350329,2026-02-27T16:22:30.329088+00:00,160.65,3400.84,11690.2,29.09,3090.121,4.465,0.0,0.0
1772209351338,2026-02-27T16:22:31.338410+00:00,156.83,3421.88,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209352338,2026-02-27T16:22:32.338719+00:00,160.0,3432.9,11690.2,29.37,3090.121,4.465,0.0,0.0
1772209353341,2026-02-27T16:22:33.341488+00:00,150.31,3432.96,11690.2,29.37,3090.121,4.465,0.0,0.0
1772209354345,2026-02-27T16:22:34.345480+00:00,151.31,3411.54,11690.2,29.18,3090.121,4.465,0.0,0.0
1772209355349,2026-02-27T16:22:35.349627+00:00,164.72,3412.07,11690.2,29.19,3090.121,4.465,0.0,0.0
1772209356352,2026-02-27T16:22:36.352001+00:00,150.59,3443.07,11690.2,29.45,3090.121,4.465,0.0,0.0
1772209357356,2026-02-27T16:22:37.356462+00:00,151.59,3401.07,11690.2,29.09,3090.121,4.465,0.0,0.0
1772209358358,2026-02-27T16:22:38.358692+00:00,159.51,3422.13,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209359361,2026-02-27T16:22:39.361460+00:00,153.35,3369.58,11690.2,28.82,3090.121,4.465,0.0,0.0
1772209360365,2026-02-27T16:22:40.365506+00:00,153.17,3421.99,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209361370,2026-02-27T16:22:41.370939+00:00,156.12,3369.54,11690.2,28.82,3090.121,4.465,0.0,0.0
1772209362374,2026-02-27T16:22:42.374047+00:00,157.85,3432.58,11690.2,29.36,3090.121,4.465,0.0,0.0
1772209363379,2026-02-27T16:22:43.379301+00:00,145.7,3422.26,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209364381,2026-02-27T16:22:44.381647+00:00,155.93,3390.82,11690.2,29.01,3090.121,4.465,0.0,0.0
1772209365384,2026-02-27T16:22:45.384559+00:00,161.01,3412.56,11690.2,29.19,3090.121,4.465,0.0,0.0
1772209366387,2026-02-27T16:22:46.387402+00:00,91.74,3379.93,11690.2,28.91,3090.121,4.465,0.0,0.0
1772209367390,2026-02-27T16:22:47.390307+00:00,6.58,3379.94,11690.2,28.91,3090.121,4.465,0.0,0.0
1772209368393,2026-02-27T16:22:48.393822+00:00,64.09,3401.35,11690.2,29.1,3090.121,4.465,0.0,0.0
1772209369396,2026-02-27T16:22:49.396458+00:00,180.01,3422.24,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209370400,2026-02-27T16:22:50.400292+00:00,161.12,3422.09,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209371404,2026-02-27T16:22:51.404305+00:00,164.13,3422.43,11690.2,29.28,3090.121,4.465,0.0,0.0
1772209372407,2026-02-27T16:22:52.407065+00:00,156.09,3422.11,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209373410,2026-02-27T16:22:53.410756+00:00,161.81,3422.12,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209374413,2026-02-27T16:22:54.413873+00:00,155.97,3443.52,11690.2,29.46,3090.121,4.465,0.0,0.0
1772209375416,2026-02-27T16:22:55.416351+00:00,159.72,3422.26,11690.2,29.27,3090.121,4.465,0.0,0.0
1772209376419,2026-02-27T16:22:56.419959+00:00,144.24,3453.86,11690.2,29.54,3090.121,4.465,0.0,0.0
1772209377423,2026-02-27T16:22:57.423291+00:00,162.02,3432.81,11690.2,29.36,3090.121,4.465,0.0,0.0
1772209378426,2026-02-27T16:22:58.426849+00:00,153.95,3422.64,11690.2,29.28,3090.121,4.465,0.0,0.0
1772209379430,2026-02-27T16:22:59.430458+00:00,145.93,3432.88,11690.2,29.37,3090.121,4.465,0.0,0.0
1772209380433,2026-02-27T16:23:00.433779+00:00,169.7,3401.47,11690.2,29.1,3090.121,4.465,0.0,0.0
1772209381437,2026-02-27T16:23:01.437267+00:00,148.35,3401.55,11690.2,29.1,3090.121,4.465,0.0,0.0
1772209382440,2026-02-27T16:23:02.440003+00:00,160.49,3429.78,11690.2,29.34,3090.121,4.465,0.0,0.0
1772209383442,2026-02-27T16:23:03.442808+00:00,30.56,3432.79,11690.2,29.36,3090.121,4.465,0.0,0.0
