timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771489864370,2026-02-19T08:31:04.370802+00:00,1.13,2645.71,11690.2,22.63,2371.258,1.039,13965.417,11002.318
1771489865372,2026-02-19T08:31:05.372941+00:00,39.65,2645.75,11690.2,22.63,2371.258,1.039,13990.64,11004.761
1771489866375,2026-02-19T08:31:06.375266+00:00,49.13,2646.09,11690.2,22.64,2371.258,1.039,14030.429,11007.282
1771489867380,2026-02-19T08:31:07.380232+00:00,59.13,2646.0,11690.2,22.63,2371.258,1.039,14066.302,11009.781
1771489868383,2026-02-19T08:31:08.383948+00:00,63.52,2647.89,11690.2,22.65,2371.258,1.039,14099.932,11012.844
1771489869386,2026-02-19T08:31:09.386988+00:00,47.73,2639.25,11690.2,22.58,2371.258,1.039,14134.702,11015.337
1771489870393,2026-02-19T08:31:10.393287+00:00,57.53,2644.38,11690.2,22.62,2371.258,1.039,14175.594,11017.86
1771489871394,2026-02-19T08:31:11.394872+00:00,51.23,2648.36,11690.2,22.65,2371.258,1.039,14209.225,11020.92
1771489872398,2026-02-19T08:31:12.398400+00:00,48.54,2648.58,11690.2,22.66,2371.258,1.039,14247.466,11023.431
1771489873399,2026-02-19T08:31:13.399808+00:00,55.67,2648.52,11690.2,22.66,2371.258,1.039,14284.889,11026.512
1771489874404,2026-02-19T08:31:14.404523+00:00,47.95,2642.7,11690.2,22.61,2371.258,1.039,14318.517,11028.998
1771489875407,2026-02-19T08:31:15.407501+00:00,58.57,2645.92,11690.2,22.63,2371.258,1.039,14354.808,11031.497
1771489876410,2026-02-19T08:31:16.410184+00:00,59.25,2645.77,11690.2,22.63,2371.258,1.039,14394.181,11034.588
1771489877414,2026-02-19T08:31:17.414741+00:00,47.39,2645.65,11690.2,22.63,2371.258,1.039,14427.809,11037.071
1771489878418,2026-02-19T08:31:18.418221+00:00,49.01,2646.1,11690.2,22.64,2371.258,1.039,14467.138,11039.59
1771489879420,2026-02-19T08:31:19.420251+00:00,56.6,2642.94,11690.2,22.61,2371.258,1.039,14503.472,11042.092
1771489880423,2026-02-19T08:31:20.423353+00:00,57.89,2645.75,11690.2,22.63,2371.258,1.039,14537.101,11045.154
1771489881426,2026-02-19T08:31:21.426151+00:00,47.45,2645.94,11690.2,22.63,2371.258,1.039,14572.915,11047.653
1771489882428,2026-02-19T08:31:22.428433+00:00,63.22,2645.75,11690.2,22.63,2371.258,1.039,14612.765,11050.744
