timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771454452292,2026-02-18T22:40:52.292350+00:00,0.0,4567.72,11690.2,39.07,4484.5,182.309,0.079,0.109
1771454453294,2026-02-18T22:40:53.294687+00:00,322.12,4608.89,11690.2,39.43,4484.5,182.309,0.079,0.109
1771454454297,2026-02-18T22:40:54.297076+00:00,394.47,4587.24,11690.2,39.24,4484.5,182.309,0.079,0.109
1771454455299,2026-02-18T22:40:55.299465+00:00,394.43,4589.41,11690.2,39.26,4484.5,182.309,0.079,0.109
1771454456301,2026-02-18T22:40:56.301495+00:00,394.16,4610.23,11690.2,39.44,4484.5,182.309,0.079,0.109
1771454457306,2026-02-18T22:40:57.306532+00:00,395.84,4574.46,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454458308,2026-02-18T22:40:58.308590+00:00,395.28,4631.79,11690.2,39.62,4484.5,182.309,0.079,0.11
1771454459311,2026-02-18T22:40:59.311186+00:00,394.18,4608.78,11690.2,39.42,4484.5,182.309,0.079,0.11
1771454460313,2026-02-18T22:41:00.313675+00:00,393.82,4608.96,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454461315,2026-02-18T22:41:01.315730+00:00,394.34,4590.34,11690.2,39.27,4484.5,182.309,0.079,0.11
1771454462321,2026-02-18T22:41:02.321638+00:00,392.79,4589.54,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454463323,2026-02-18T22:41:03.323726+00:00,394.92,4575.73,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454464328,2026-02-18T22:41:04.328276+00:00,395.3,4572.66,11690.2,39.12,4484.5,182.309,0.079,0.11
1771454465332,2026-02-18T22:41:05.332850+00:00,394.22,4620.4,11690.2,39.52,4484.5,182.309,0.079,0.11
1771454466334,2026-02-18T22:41:06.334495+00:00,397.43,4610.25,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454467336,2026-02-18T22:41:07.336061+00:00,392.79,4608.84,11690.2,39.42,4484.5,182.309,0.079,0.11
1771454468339,2026-02-18T22:41:08.339105+00:00,395.07,4607.12,11690.2,39.41,4484.5,182.309,0.079,0.11
1771454469341,2026-02-18T22:41:09.341758+00:00,392.7,4589.53,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454470343,2026-02-18T22:41:10.343226+00:00,394.77,4573.91,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454471345,2026-02-18T22:41:11.345475+00:00,394.5,4610.52,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454472348,2026-02-18T22:41:12.348057+00:00,395.39,4614.23,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454473350,2026-02-18T22:41:13.350159+00:00,396.11,4606.05,11690.2,39.4,4484.5,182.309,0.079,0.11
1771454474352,2026-02-18T22:41:14.352873+00:00,393.79,4608.95,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454475357,2026-02-18T22:41:15.357160+00:00,393.36,4589.57,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454476359,2026-02-18T22:41:16.359283+00:00,394.34,4610.3,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454477363,2026-02-18T22:41:17.363985+00:00,394.81,4574.55,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454478370,2026-02-18T22:41:18.370447+00:00,393.87,4614.13,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454479373,2026-02-18T22:41:19.373318+00:00,395.72,4605.83,11690.2,39.4,4484.5,182.309,0.079,0.11
1771454481378,2026-02-18T22:41:21.378316+00:00,398.22,4604.74,11690.2,39.39,4484.5,182.309,0.079,0.11
1771454482378,2026-02-18T22:41:22.378443+00:00,394.42,4589.69,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454483381,2026-02-18T22:41:23.381316+00:00,394.52,4575.74,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454484383,2026-02-18T22:41:24.383311+00:00,394.65,4575.81,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454485386,2026-02-18T22:41:25.386036+00:00,395.71,4614.17,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454486388,2026-02-18T22:41:26.388184+00:00,395.41,4609.88,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454487393,2026-02-18T22:41:27.393511+00:00,391.56,4610.25,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454488395,2026-02-18T22:41:28.395518+00:00,397.36,4586.7,11690.2,39.24,4484.5,182.309,0.079,0.11
1771454489397,2026-02-18T22:41:29.397597+00:00,393.05,4576.04,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454490400,2026-02-18T22:41:30.400280+00:00,396.09,4574.51,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454491403,2026-02-18T22:41:31.403312+00:00,395.47,4620.99,11690.2,39.53,4484.5,182.309,0.079,0.11
1771454492404,2026-02-18T22:41:32.404634+00:00,395.15,4608.91,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454493407,2026-02-18T22:41:33.407414+00:00,394.63,4604.7,11690.2,39.39,4484.5,182.309,0.079,0.11
1771454494409,2026-02-18T22:41:34.409673+00:00,392.62,4589.75,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454495411,2026-02-18T22:41:35.411407+00:00,395.77,4575.68,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454496413,2026-02-18T22:41:36.413433+00:00,395.33,4571.47,11690.2,39.11,4484.5,182.309,0.079,0.11
1771454497415,2026-02-18T22:41:37.415226+00:00,394.64,4614.22,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454498417,2026-02-18T22:41:38.417775+00:00,394.47,4609.0,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454499419,2026-02-18T22:41:39.419836+00:00,393.96,4604.86,11690.2,39.39,4484.5,182.309,0.079,0.11
1771454500421,2026-02-18T22:41:40.421226+00:00,393.9,4610.39,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454501423,2026-02-18T22:41:41.423516+00:00,395.08,4610.46,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454502425,2026-02-18T22:41:42.425632+00:00,394.48,4610.39,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454503428,2026-02-18T22:41:43.428335+00:00,393.98,4610.63,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454504430,2026-02-18T22:41:44.430081+00:00,394.2,4610.81,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454505432,2026-02-18T22:41:45.432790+00:00,394.24,4608.93,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454506435,2026-02-18T22:41:46.435181+00:00,395.04,4589.92,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454507437,2026-02-18T22:41:47.437434+00:00,394.86,4576.02,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454508438,2026-02-18T22:41:48.438722+00:00,394.63,4568.05,11690.2,39.08,4484.5,182.309,0.079,0.11
1771454509440,2026-02-18T22:41:49.440441+00:00,396.37,4610.39,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454510442,2026-02-18T22:41:50.442306+00:00,394.26,4608.93,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454511444,2026-02-18T22:41:51.444277+00:00,393.37,4610.9,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454512448,2026-02-18T22:41:52.448355+00:00,393.06,4591.6,11690.2,39.28,4484.5,182.309,0.079,0.11
1771454513448,2026-02-18T22:41:53.448588+00:00,393.95,4578.22,11690.2,39.16,4484.5,182.309,0.079,0.11
1771454514450,2026-02-18T22:41:54.450153+00:00,395.59,4572.54,11690.2,39.11,4484.5,182.309,0.079,0.11
1771454515455,2026-02-18T22:41:55.455467+00:00,394.66,4624.61,11690.2,39.56,4484.5,182.309,0.079,0.11
1771454516457,2026-02-18T22:41:56.457285+00:00,396.24,4610.1,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454517459,2026-02-18T22:41:57.459591+00:00,394.57,4610.2,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454518461,2026-02-18T22:41:58.461958+00:00,394.7,4614.96,11690.2,39.48,4484.5,182.309,0.079,0.11
1771454519466,2026-02-18T22:41:59.466300+00:00,392.26,4575.97,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454521467,2026-02-18T22:42:01.467792+00:00,399.47,4614.35,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454522470,2026-02-18T22:42:02.470049+00:00,394.98,4609.15,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454523471,2026-02-18T22:42:03.471970+00:00,393.08,4609.16,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454524473,2026-02-18T22:42:04.473850+00:00,394.04,4586.82,11690.2,39.24,4484.5,182.309,0.079,0.11
1771454525476,2026-02-18T22:42:05.476210+00:00,394.99,4575.68,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454526477,2026-02-18T22:42:06.477811+00:00,393.54,4572.43,11690.2,39.11,4484.5,182.309,0.079,0.11
1771454527481,2026-02-18T22:42:07.481835+00:00,394.45,4620.84,11690.2,39.53,4484.5,182.309,0.079,0.11
1771454528487,2026-02-18T22:42:08.487297+00:00,394.71,4609.0,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454529489,2026-02-18T22:42:09.489631+00:00,395.08,4610.67,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454530496,2026-02-18T22:42:10.496293+00:00,395.69,4610.43,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454531497,2026-02-18T22:42:11.497376+00:00,394.32,4576.23,11690.2,39.15,4484.5,182.309,0.079,0.11
1771454532499,2026-02-18T22:42:12.499170+00:00,394.8,4571.86,11690.2,39.11,4484.5,182.309,0.079,0.11
1771454533501,2026-02-18T22:42:13.501051+00:00,394.86,4614.52,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454534503,2026-02-18T22:42:14.503637+00:00,394.94,4611.18,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454535506,2026-02-18T22:42:15.506420+00:00,393.64,4593.05,11690.2,39.29,4484.5,182.309,0.079,0.11
1771454536507,2026-02-18T22:42:16.507301+00:00,394.45,4591.22,11690.2,39.27,4484.5,182.309,0.079,0.11
1771454537509,2026-02-18T22:42:17.509519+00:00,395.1,4578.05,11690.2,39.16,4484.5,182.309,0.079,0.11
1771454538510,2026-02-18T22:42:18.510991+00:00,395.5,4574.82,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454539513,2026-02-18T22:42:19.513230+00:00,395.05,4608.37,11690.2,39.42,4484.5,182.309,0.079,0.11
1771454540518,2026-02-18T22:42:20.518013+00:00,393.73,4609.52,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454541520,2026-02-18T22:42:21.520640+00:00,396.26,4593.16,11690.2,39.29,4484.5,182.309,0.079,0.11
1771454542522,2026-02-18T22:42:22.522692+00:00,392.48,4591.08,11690.2,39.27,4484.5,182.309,0.079,0.11
1771454543526,2026-02-18T22:42:23.526311+00:00,395.48,4577.89,11690.2,39.16,4484.5,182.309,0.079,0.11
1771454544526,2026-02-18T22:42:24.526662+00:00,395.54,4610.7,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454545528,2026-02-18T22:42:25.528597+00:00,395.97,4614.38,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454546531,2026-02-18T22:42:26.531118+00:00,391.7,4614.27,11690.2,39.47,4484.5,182.309,0.079,0.11
1771454547536,2026-02-18T22:42:27.536329+00:00,393.8,4591.16,11690.2,39.27,4484.5,182.309,0.079,0.11
1771454548537,2026-02-18T22:42:28.537179+00:00,393.7,4576.22,11690.2,39.15,4484.5,182.309,0.079,0.11
1771454549541,2026-02-18T22:42:29.541268+00:00,392.11,4574.86,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454551542,2026-02-18T22:42:31.542882+00:00,399.55,4607.46,11690.2,39.41,4484.5,182.309,0.079,0.11
1771454552545,2026-02-18T22:42:32.545010+00:00,393.43,4612.85,11690.2,39.46,4484.5,182.309,0.079,0.11
1771454553547,2026-02-18T22:42:33.547227+00:00,394.49,4589.73,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454554549,2026-02-18T22:42:34.549829+00:00,394.97,4610.49,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454555554,2026-02-18T22:42:35.554301+00:00,393.37,4610.73,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454557559,2026-02-18T22:42:37.559271+00:00,397.79,4623.3,11690.2,39.55,4484.5,182.309,0.079,0.11
1771454558561,2026-02-18T22:42:38.561777+00:00,396.74,4609.18,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454559566,2026-02-18T22:42:39.566328+00:00,393.33,4607.17,11690.2,39.41,4484.5,182.309,0.079,0.11
1771454560567,2026-02-18T22:42:40.567274+00:00,393.86,4610.64,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454561568,2026-02-18T22:42:41.568391+00:00,394.39,4578.21,11690.2,39.16,4484.5,182.309,0.079,0.11
1771454562570,2026-02-18T22:42:42.570538+00:00,395.39,4576.58,11690.2,39.15,4484.5,182.309,0.079,0.11
1771454563572,2026-02-18T22:42:43.572991+00:00,394.13,4626.32,11690.2,39.57,4484.5,182.309,0.079,0.11
1771454564575,2026-02-18T22:42:44.575896+00:00,394.23,4606.54,11690.2,39.41,4484.5,182.309,0.079,0.11
1771454565578,2026-02-18T22:42:45.578299+00:00,393.83,4591.68,11690.2,39.28,4484.5,182.309,0.079,0.11
1771454566580,2026-02-18T22:42:46.580367+00:00,394.19,4586.83,11690.2,39.24,4484.5,182.309,0.079,0.11
1771454567582,2026-02-18T22:42:47.582995+00:00,393.42,4575.43,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454568584,2026-02-18T22:42:48.584908+00:00,394.7,4571.14,11690.2,39.1,4484.5,182.309,0.079,0.11
1771454569587,2026-02-18T22:42:49.587275+00:00,395.63,4609.35,11690.2,39.43,4484.5,182.309,0.079,0.11
1771454570590,2026-02-18T22:42:50.590321+00:00,391.88,4606.34,11690.2,39.4,4484.5,182.309,0.079,0.11
1771454571591,2026-02-18T22:42:51.591530+00:00,394.5,4610.51,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454572594,2026-02-18T22:42:52.594978+00:00,391.54,4589.75,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454573596,2026-02-18T22:42:53.596612+00:00,394.09,4575.96,11690.2,39.14,4484.5,182.309,0.079,0.11
1771454574598,2026-02-18T22:42:54.598811+00:00,395.4,4571.1,11690.2,39.1,4484.5,182.309,0.079,0.11
1771454575600,2026-02-18T22:42:55.600612+00:00,395.49,4611.17,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454576603,2026-02-18T22:42:56.603527+00:00,395.83,4606.33,11690.2,39.4,4484.5,182.309,0.079,0.11
1771454577605,2026-02-18T22:42:57.605023+00:00,394.13,4590.01,11690.2,39.26,4484.5,182.309,0.079,0.11
1771454578608,2026-02-18T22:42:58.608458+00:00,393.32,4586.72,11690.2,39.24,4484.5,182.309,0.079,0.11
1771454579610,2026-02-18T22:42:59.610098+00:00,389.76,4574.71,11690.2,39.13,4484.5,182.309,0.079,0.11
1771454580612,2026-02-18T22:43:00.612574+00:00,394.76,4610.52,11690.2,39.44,4484.5,182.309,0.079,0.11
1771454581615,2026-02-18T22:43:01.615103+00:00,394.77,4606.27,11690.2,39.4,4484.5,182.309,0.079,0.11
1771454582618,2026-02-18T22:43:02.618977+00:00,393.87,4606.17,11690.2,39.4,4484.5,182.309,0.079,0.11
