timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771609823635,2026-02-20T17:50:23.635283+00:00,17.16,415.92,11690.2,3.56,110.934,1.145,0.0,0.0
1771609824638,2026-02-20T17:50:24.638068+00:00,114.45,421.18,11690.2,3.6,110.934,1.145,0.0,0.0
1771609825645,2026-02-20T17:50:25.645292+00:00,148.57,436.33,11690.2,3.73,110.934,1.145,0.0,0.0
1771609826652,2026-02-20T17:50:26.652544+00:00,156.05,411.01,11690.2,3.52,110.934,1.145,0.0,0.0
1771609827655,2026-02-20T17:50:27.655720+00:00,159.69,421.37,11690.2,3.6,110.934,1.145,0.0,0.0
1771609828658,2026-02-20T17:50:28.658641+00:00,161.43,432.83,11690.2,3.7,110.934,1.145,0.0,0.0
1771609829661,2026-02-20T17:50:29.661783+00:00,152.11,442.77,11690.2,3.79,110.934,1.145,0.0,0.0
1771609830666,2026-02-20T17:50:30.666228+00:00,155.17,400.41,11690.2,3.43,110.934,1.145,0.0,0.0
1771609831668,2026-02-20T17:50:31.668834+00:00,161.79,432.15,11690.2,3.7,110.934,1.145,0.0,0.0
1771609832672,2026-02-20T17:50:32.672722+00:00,147.15,421.93,11690.2,3.61,110.934,1.145,0.0,0.0
1771609833676,2026-02-20T17:50:33.676239+00:00,148.99,421.7,11690.2,3.61,110.934,1.145,0.0,0.0
1771609834679,2026-02-20T17:50:34.679277+00:00,158.63,411.73,11690.2,3.52,110.934,1.145,0.0,0.0
1771609835683,2026-02-20T17:50:35.683343+00:00,147.8,400.5,11690.2,3.43,110.934,1.145,0.0,0.0
1771609836686,2026-02-20T17:50:36.686650+00:00,155.14,411.28,11690.2,3.52,110.934,1.145,0.0,0.0
1771609837690,2026-02-20T17:50:37.690514+00:00,150.47,422.07,11690.2,3.61,110.934,1.145,0.0,0.0
1771609838694,2026-02-20T17:50:38.694064+00:00,145.71,411.11,11690.2,3.52,110.934,1.145,0.0,0.0
1771609839698,2026-02-20T17:50:39.698185+00:00,160.49,411.32,11690.2,3.52,110.934,1.145,0.0,0.0
1771609840701,2026-02-20T17:50:40.701762+00:00,149.58,411.5,11690.2,3.52,110.934,1.145,0.0,0.0
1771609841705,2026-02-20T17:50:41.705523+00:00,144.85,423.56,11690.2,3.62,110.934,1.145,0.0,0.0
1771609842709,2026-02-20T17:50:42.709045+00:00,148.07,400.92,11690.2,3.43,110.934,1.145,0.0,0.0
1771609843712,2026-02-20T17:50:43.712277+00:00,153.05,422.31,11690.2,3.61,110.934,1.145,0.0,0.0
1771609844715,2026-02-20T17:50:44.715558+00:00,148.02,421.82,11690.2,3.61,110.934,1.145,0.0,0.0
1771609845718,2026-02-20T17:50:45.718846+00:00,146.06,411.18,11690.2,3.52,110.934,1.145,0.0,0.0
1771609846725,2026-02-20T17:50:46.725039+00:00,148.45,411.86,11690.2,3.52,110.934,1.145,0.0,0.0
1771609847726,2026-02-20T17:50:47.726989+00:00,150.08,432.26,11690.2,3.7,110.934,1.145,0.0,0.0
1771609848730,2026-02-20T17:50:48.730619+00:00,145.29,414.19,11690.2,3.54,110.934,1.145,0.0,0.0
1771609849733,2026-02-20T17:50:49.733305+00:00,153.42,411.42,11690.2,3.52,110.934,1.152,0.0,0.0
1771609850735,2026-02-20T17:50:50.735607+00:00,154.02,432.38,11690.2,3.7,110.934,1.152,0.0,0.0
1771609851738,2026-02-20T17:50:51.738924+00:00,159.49,411.41,11690.2,3.52,110.934,1.152,0.0,0.0
1771609852746,2026-02-20T17:50:52.746397+00:00,146.22,411.57,11690.2,3.52,110.934,1.152,0.0,0.0
1771609853747,2026-02-20T17:50:53.747161+00:00,149.67,423.71,11690.2,3.62,110.934,1.152,0.0,0.0
1771609854750,2026-02-20T17:50:54.750210+00:00,161.59,401.08,11690.2,3.43,110.934,1.152,0.0,0.0
1771609855754,2026-02-20T17:50:55.754319+00:00,154.76,421.91,11690.2,3.61,110.934,1.152,0.0,0.0
1771609856757,2026-02-20T17:50:56.757011+00:00,154.94,411.52,11690.2,3.52,110.934,1.152,0.0,0.0
1771609857760,2026-02-20T17:50:57.760344+00:00,158.79,411.51,11690.2,3.52,110.934,1.152,0.0,0.0
