timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772143852010,2026-02-26T22:10:52.010937+00:00,4.94,0.0,49.0
1772143853011,2026-02-26T22:10:53.011090+00:00,31.03,11.6,49.0
1772143854011,2026-02-26T22:10:54.011169+00:00,32.27,12.1,55.0
1772143855011,2026-02-26T22:10:55.011312+00:00,41.22,15.5,55.0
1772143856011,2026-02-26T22:10:56.011517+00:00,31.28,12.0,53.0
1772143857011,2026-02-26T22:10:57.011662+00:00,39.38,16.7,53.0
1772143858011,2026-02-26T22:10:58.011779+00:00,31.58,12.4,51.0
1772143859011,2026-02-26T22:10:59.011938+00:00,38.35,16.4,51.0
1772143860012,2026-02-26T22:11:00.012104+00:00,31.68,12.1,50.0
1772143861012,2026-02-26T22:11:01.012269+00:00,34.84,15.4,50.0
1772143862012,2026-02-26T22:11:02.012488+00:00,33.56,13.6,53.0
1772143863012,2026-02-26T22:11:03.012681+00:00,33.97,14.5,53.0
1772143864012,2026-02-26T22:11:04.012764+00:00,36.11,14.9,54.0
1772143865012,2026-02-26T22:11:05.012843+00:00,33.04,14.0,54.0
1772143866012,2026-02-26T22:11:06.012926+00:00,38.1,14.7,53.0
1772143867013,2026-02-26T22:11:07.013078+00:00,30.97,12.3,63.0
1772143868013,2026-02-26T22:11:08.013261+00:00,39.82,16.3,63.0
1772143869013,2026-02-26T22:11:09.013459+00:00,31.44,12.3,53.0
1772143870013,2026-02-26T22:11:10.013487+00:00,39.86,16.2,53.0
1772143871013,2026-02-26T22:11:11.013672+00:00,32.23,12.4,53.0
1772143872013,2026-02-26T22:11:12.013834+00:00,40.38,15.5,60.0
1772143873013,2026-02-26T22:11:13.013982+00:00,31.86,11.9,53.0
1772143874014,2026-02-26T22:11:14.014156+00:00,38.33,14.4,53.0
1772143875014,2026-02-26T22:11:15.014329+00:00,34.26,13.1,55.0
1772143876014,2026-02-26T22:11:16.014491+00:00,34.94,13.0,68.0
1772143877014,2026-02-26T22:11:17.014667+00:00,38.35,14.0,68.0
1772143878014,2026-02-26T22:11:18.014745+00:00,32.1,12.2,64.0
1772143879014,2026-02-26T22:11:19.014915+00:00,40.63,15.9,58.0
1772143880015,2026-02-26T22:11:20.015065+00:00,31.89,11.9,58.0
1772143881015,2026-02-26T22:11:21.015206+00:00,37.82,15.3,71.0
1772143882015,2026-02-26T22:11:22.015405+00:00,34.01,13.2,59.0
1772143883015,2026-02-26T22:11:23.015634+00:00,32.08,11.9,59.0
1772143884015,2026-02-26T22:11:24.015801+00:00,39.95,15.6,60.0
1772143885015,2026-02-26T22:11:25.015934+00:00,31.33,12.1,60.0
1772143886016,2026-02-26T22:11:26.016073+00:00,40.23,16.5,55.0
1772143887016,2026-02-26T22:11:27.016304+00:00,31.25,12.3,59.0
1772143888016,2026-02-26T22:11:28.016451+00:00,39.77,16.4,59.0
1772143889016,2026-02-26T22:11:29.016637+00:00,31.42,12.6,54.0
1772143890016,2026-02-26T22:11:30.016835+00:00,39.46,16.7,54.0
1772143891017,2026-02-26T22:11:31.017060+00:00,30.44,12.5,54.0
1772143892017,2026-02-26T22:11:32.017225+00:00,39.01,15.9,54.0
1772143893017,2026-02-26T22:11:33.017404+00:00,31.62,12.9,57.0
1772143894017,2026-02-26T22:11:34.017479+00:00,30.69,13.3,64.0
1772143895017,2026-02-26T22:11:35.017551+00:00,39.39,16.2,64.0
1772143896017,2026-02-26T22:11:36.017714+00:00,32.04,12.2,54.0
1772143897017,2026-02-26T22:11:37.017792+00:00,39.84,15.6,60.0
1772143898017,2026-02-26T22:11:38.017861+00:00,32.28,12.1,60.0
1772143899018,2026-02-26T22:11:39.018029+00:00,38.19,14.4,71.0
1772143900018,2026-02-26T22:11:40.018182+00:00,34.46,13.0,71.0
1772143901018,2026-02-26T22:11:41.018383+00:00,32.55,12.5,66.0
1772143902018,2026-02-26T22:11:42.018549+00:00,40.79,14.4,57.0
1772143903018,2026-02-26T22:11:43.018725+00:00,31.68,12.4,68.0
1772143904018,2026-02-26T22:11:44.018893+00:00,41.11,15.6,68.0
1772143905019,2026-02-26T22:11:45.019096+00:00,31.94,12.4,54.0
1772143906019,2026-02-26T22:11:46.019251+00:00,41.48,15.3,54.0
1772143907019,2026-02-26T22:11:47.019429+00:00,31.58,11.8,55.0
1772143908019,2026-02-26T22:11:48.019628+00:00,36.57,14.4,55.0
1772143909019,2026-02-26T22:11:49.019796+00:00,35.93,13.9,58.0
1772143910019,2026-02-26T22:11:50.019941+00:00,32.42,12.6,58.0
1772143911020,2026-02-26T22:11:51.020225+00:00,40.08,15.8,62.0
1772143912020,2026-02-26T22:11:52.020446+00:00,32.68,11.9,55.0
1772143913020,2026-02-26T22:11:53.020646+00:00,14.77,4.4,55.0
1772143914020,2026-02-26T22:11:54.020842+00:00,5.35,0.3,53.0
