timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772136864928,2026-02-26T20:14:24.928819+00:00,0.0001,0.0
1772136865928,2026-02-26T20:14:25.928902+00:00,14.042,0.0399
1772136866928,2026-02-26T20:14:26.928967+00:00,17.1847,0.0524
1772136867929,2026-02-26T20:14:27.929104+00:00,19.2156,0.0569
1772136868929,2026-02-26T20:14:28.929266+00:00,18.1637,0.0516
1772136869929,2026-02-26T20:14:29.929436+00:00,17.8659,0.054
1772136870929,2026-02-26T20:14:30.929692+00:00,16.8143,0.05
1772136871929,2026-02-26T20:14:31.929775+00:00,19.2156,0.0554
1772136872929,2026-02-26T20:14:32.929851+00:00,16.8139,0.0496
1772136873929,2026-02-26T20:14:33.929919+00:00,19.2156,0.0565
1772136874930,2026-02-26T20:14:34.930102+00:00,16.8137,0.05
1772136875930,2026-02-26T20:14:35.930310+00:00,19.2159,0.0566
1772136876930,2026-02-26T20:14:36.930499+00:00,14.4123,0.0424
1772136877930,2026-02-26T20:14:37.930688+00:00,16.8136,0.0497
1772136878930,2026-02-26T20:14:38.930876+00:00,19.2156,0.0558
1772136879931,2026-02-26T20:14:39.931066+00:00,16.8136,0.0479
1772136880931,2026-02-26T20:14:40.931268+00:00,16.8137,0.0472
1772136881931,2026-02-26T20:14:41.931476+00:00,19.216,0.0543
1772136882931,2026-02-26T20:14:42.931642+00:00,16.8137,0.0472
1772136883931,2026-02-26T20:14:43.931825+00:00,19.2159,0.0541
1772136884932,2026-02-26T20:14:44.932011+00:00,16.8139,0.048
1772136885932,2026-02-26T20:14:45.932199+00:00,16.8136,0.0487
1772136886932,2026-02-26T20:14:46.932334+00:00,18.2351,0.05
1772136887932,2026-02-26T20:14:47.932531+00:00,17.7948,0.0526
1772136888932,2026-02-26T20:14:48.932722+00:00,16.8136,0.0476
1772136889932,2026-02-26T20:14:49.932837+00:00,17.9255,0.0514
1772136890933,2026-02-26T20:14:50.933005+00:00,18.0987,0.0515
1772136891933,2026-02-26T20:14:51.933204+00:00,16.8187,0.0506
1772136892933,2026-02-26T20:14:52.933359+00:00,17.4289,0.0486
1772136893933,2026-02-26T20:14:53.933505+00:00,18.6002,0.0534
1772136894933,2026-02-26T20:14:54.933570+00:00,16.8136,0.0476
1772136895933,2026-02-26T20:14:55.933802+00:00,16.8141,0.0499
1772136896933,2026-02-26T20:14:56.933939+00:00,18.9195,0.0516
1772136897934,2026-02-26T20:14:57.934143+00:00,17.1103,0.0511
1772136898934,2026-02-26T20:14:58.934255+00:00,19.2154,0.0523
1772136899934,2026-02-26T20:14:59.934458+00:00,16.8138,0.0502
1772136900934,2026-02-26T20:15:00.934610+00:00,18.4785,0.0531
1772136901934,2026-02-26T20:15:01.934754+00:00,17.5508,0.0525
1772136902934,2026-02-26T20:15:02.934896+00:00,17.4187,0.0481
1772136903935,2026-02-26T20:15:03.935059+00:00,18.6104,0.0539
1772136904935,2026-02-26T20:15:04.935246+00:00,16.8138,0.0499
1772136905935,2026-02-26T20:15:05.935413+00:00,16.8143,0.048
1772136906935,2026-02-26T20:15:06.935550+00:00,19.2161,0.0559
1772136907935,2026-02-26T20:15:07.935748+00:00,16.8139,0.0493
1772136908935,2026-02-26T20:15:08.935953+00:00,18.057,0.0501
1772136909936,2026-02-26T20:15:09.936148+00:00,17.9735,0.0529
1772136910936,2026-02-26T20:15:10.936342+00:00,16.8137,0.0495
1772136911936,2026-02-26T20:15:11.936551+00:00,16.8139,0.0483
1772136912936,2026-02-26T20:15:12.936702+00:00,17.4029,0.0496
1772136913936,2026-02-26T20:15:13.936895+00:00,18.6267,0.0554
1772136914937,2026-02-26T20:15:14.937131+00:00,16.8139,0.0486
1772136915937,2026-02-26T20:15:15.937267+00:00,19.2156,0.0558
1772136916937,2026-02-26T20:15:16.937499+00:00,16.8139,0.0479
1772136917937,2026-02-26T20:15:17.937694+00:00,16.8137,0.0467
1772136918937,2026-02-26T20:15:18.937877+00:00,16.8141,0.0475
1772136919938,2026-02-26T20:15:19.938012+00:00,17.5749,0.0498
1772136920938,2026-02-26T20:15:20.938217+00:00,18.4546,0.0536
1772136921938,2026-02-26T20:15:21.938415+00:00,16.8139,0.0482
1772136922938,2026-02-26T20:15:22.938560+00:00,19.2155,0.0536
1772136923938,2026-02-26T20:15:23.938759+00:00,16.8139,0.0494
1772136924939,2026-02-26T20:15:24.939001+00:00,16.8137,0.0476
1772136925939,2026-02-26T20:15:25.939189+00:00,4.8039,0.0137
1772136926939,2026-02-26T20:15:26.939386+00:00,0.001,0.0001
