timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772210497090,2026-02-27T16:41:37.090397+00:00,5.02,0.0,54.0
1772210498090,2026-02-27T16:41:38.090593+00:00,32.53,13.7,56.0
1772210499090,2026-02-27T16:41:39.090791+00:00,42.68,17.7,56.0
1772210500090,2026-02-27T16:41:40.090956+00:00,42.27,17.7,56.0
1772210501091,2026-02-27T16:41:41.091038+00:00,42.65,18.1,56.0
1772210502091,2026-02-27T16:41:42.091220+00:00,45.86,19.7,65.0
1772210503091,2026-02-27T16:41:43.091458+00:00,46.21,19.7,65.0
1772210504091,2026-02-27T16:41:44.091680+00:00,41.51,18.2,59.0
1772210505091,2026-02-27T16:41:45.091836+00:00,41.24,18.0,59.0
1772210506092,2026-02-27T16:41:46.092040+00:00,43.31,19.3,62.0
1772210507092,2026-02-27T16:41:47.092128+00:00,41.54,18.9,62.0
1772210508092,2026-02-27T16:41:48.092209+00:00,44.62,20.3,73.0
1772210509092,2026-02-27T16:41:49.092421+00:00,40.45,17.7,74.0
1772210510092,2026-02-27T16:41:50.092590+00:00,43.2,18.9,63.0
1772210511092,2026-02-27T16:41:51.092770+00:00,40.36,17.4,63.0
1772210512092,2026-02-27T16:41:52.092969+00:00,39.02,17.1,68.0
1772210513093,2026-02-27T16:41:53.093132+00:00,43.45,19.0,68.0
1772210514093,2026-02-27T16:41:54.093289+00:00,43.32,19.2,66.0
1772210515093,2026-02-27T16:41:55.093529+00:00,41.86,18.3,66.0
1772210516093,2026-02-27T16:41:56.093715+00:00,40.87,18.4,58.0
1772210517093,2026-02-27T16:41:57.093949+00:00,41.24,18.8,58.0
1772210518094,2026-02-27T16:41:58.094104+00:00,42.21,19.1,67.0
1772210519094,2026-02-27T16:41:59.094332+00:00,43.69,20.0,71.0
1772210520094,2026-02-27T16:42:00.094536+00:00,38.41,17.3,71.0
1772210521094,2026-02-27T16:42:01.094628+00:00,45.23,20.0,73.0
1772210522094,2026-02-27T16:42:02.094786+00:00,42.61,19.2,71.0
1772210523094,2026-02-27T16:42:03.094995+00:00,8.72,1.3,56.0
1772210524095,2026-02-27T16:42:04.095177+00:00,5.27,0.2,56.0
1772210525095,2026-02-27T16:42:05.095413+00:00,31.92,14.5,56.0
1772210526095,2026-02-27T16:42:06.095640+00:00,40.49,18.6,59.0
1772210527095,2026-02-27T16:42:07.095886+00:00,41.02,18.2,57.0
1772210528096,2026-02-27T16:42:08.096084+00:00,41.58,18.0,57.0
1772210529096,2026-02-27T16:42:09.096246+00:00,44.9,20.3,66.0
1772210530096,2026-02-27T16:42:10.096415+00:00,44.25,19.2,66.0
1772210531096,2026-02-27T16:42:11.096614+00:00,38.72,17.4,69.0
1772210532096,2026-02-27T16:42:12.096794+00:00,45.47,19.5,69.0
1772210533096,2026-02-27T16:42:13.096966+00:00,43.57,18.2,63.0
1772210534097,2026-02-27T16:42:14.097132+00:00,43.66,18.9,66.0
1772210535097,2026-02-27T16:42:15.097288+00:00,40.32,17.5,66.0
1772210536097,2026-02-27T16:42:16.097501+00:00,42.11,18.4,58.0
1772210537097,2026-02-27T16:42:17.097660+00:00,41.35,18.4,58.0
1772210538097,2026-02-27T16:42:18.097814+00:00,42.35,18.4,58.0
1772210539097,2026-02-27T16:42:19.097951+00:00,40.88,18.2,58.0
1772210540098,2026-02-27T16:42:20.098143+00:00,41.08,18.0,69.0
1772210541098,2026-02-27T16:42:21.098342+00:00,40.85,18.8,58.0
1772210542098,2026-02-27T16:42:22.098553+00:00,41.22,18.3,58.0
1772210543098,2026-02-27T16:42:23.098743+00:00,40.78,18.3,63.0
1772210544098,2026-02-27T16:42:24.098902+00:00,41.0,18.4,63.0
1772210545099,2026-02-27T16:42:25.099069+00:00,41.34,18.4,59.0
1772210546099,2026-02-27T16:42:26.099250+00:00,42.05,19.0,66.0
1772210547099,2026-02-27T16:42:27.099409+00:00,43.74,19.2,66.0
1772210548099,2026-02-27T16:42:28.099600+00:00,43.64,19.1,76.0
1772210549099,2026-02-27T16:42:29.099773+00:00,43.9,19.1,76.0
1772210550099,2026-02-27T16:42:30.099946+00:00,43.0,19.3,63.0
1772210551100,2026-02-27T16:42:31.100251+00:00,40.88,18.2,62.0
1772210552100,2026-02-27T16:42:32.100505+00:00,41.03,18.5,62.0
1772210553100,2026-02-27T16:42:33.100716+00:00,41.44,18.2,59.0
1772210554100,2026-02-27T16:42:34.100941+00:00,41.09,18.6,59.0
1772210555101,2026-02-27T16:42:35.101127+00:00,41.69,18.4,59.0
1772210556101,2026-02-27T16:42:36.101361+00:00,41.1,18.3,59.0
1772210557101,2026-02-27T16:42:37.101626+00:00,40.13,19.1,60.0
1772210558101,2026-02-27T16:42:38.101821+00:00,14.7,4.5,60.0
1772210559102,2026-02-27T16:42:39.102015+00:00,5.49,0.3,56.0
