timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772132803370,2026-02-26T19:06:43.370951+00:00,0.0011,0.0007
1772132804371,2026-02-26T19:06:44.371017+00:00,6.6089,0.0618
1772132805371,2026-02-26T19:06:45.371233+00:00,8.4109,0.0775
1772132806371,2026-02-26T19:06:46.371300+00:00,8.5409,0.0769
1772132807371,2026-02-26T19:06:47.371447+00:00,8.8817,0.0831
1772132808371,2026-02-26T19:06:48.371481+00:00,8.4109,0.075
1772132809371,2026-02-26T19:06:49.371700+00:00,8.4107,0.0743
1772132810371,2026-02-26T19:06:50.371863+00:00,9.0106,0.0799
1772132811372,2026-02-26T19:06:51.372041+00:00,8.411,0.0749
1772132812372,2026-02-26T19:06:52.372106+00:00,8.4102,0.0731
1772132813372,2026-02-26T19:06:53.372278+00:00,9.0112,0.0787
1772132814372,2026-02-26T19:06:54.372485+00:00,8.4101,0.0736
1772132815372,2026-02-26T19:06:55.372620+00:00,8.41,0.0731
1772132816372,2026-02-26T19:06:56.372772+00:00,9.0106,0.0785
1772132817372,2026-02-26T19:06:57.372979+00:00,8.7117,0.1282
1772132818373,2026-02-26T19:06:58.373163+00:00,8.4095,0.0728
1772132819373,2026-02-26T19:06:59.373386+00:00,6.6075,0.0567
1772132820373,2026-02-26T19:07:00.373587+00:00,0.0,0.0
1772132821373,2026-02-26T19:07:01.373781+00:00,0.0006,0.0
1772132822374,2026-02-26T19:07:02.374024+00:00,18.0203,0.156
1772132823374,2026-02-26T19:07:03.374230+00:00,16.2181,0.1413
1772132824374,2026-02-26T19:07:04.374440+00:00,9.0099,0.0778
1772132825374,2026-02-26T19:07:05.374601+00:00,8.4107,0.0698
1772132826374,2026-02-26T19:07:06.374797+00:00,8.4095,0.0771
1772132827375,2026-02-26T19:07:07.375032+00:00,8.4095,0.0724
1772132828375,2026-02-26T19:07:08.375209+00:00,9.0101,0.078
1772132829375,2026-02-26T19:07:09.375411+00:00,8.4096,0.073
1772132830375,2026-02-26T19:07:10.375584+00:00,8.4095,0.073
1772132831375,2026-02-26T19:07:11.375819+00:00,8.4097,0.0736
1772132832376,2026-02-26T19:07:12.376023+00:00,9.0101,0.0773
1772132833376,2026-02-26T19:07:13.376211+00:00,8.4094,0.0732
1772132834376,2026-02-26T19:07:14.376430+00:00,8.4094,0.072
1772132835376,2026-02-26T19:07:15.376613+00:00,8.4093,0.0729
1772132836376,2026-02-26T19:07:16.376781+00:00,9.0098,0.078
1772132837377,2026-02-26T19:07:17.377003+00:00,8.4096,0.0719
1772132838377,2026-02-26T19:07:18.377204+00:00,8.4094,0.0731
1772132839377,2026-02-26T19:07:19.377422+00:00,8.4092,0.0732
1772132840377,2026-02-26T19:07:20.377630+00:00,9.0101,0.0778
1772132841377,2026-02-26T19:07:21.377828+00:00,8.4096,0.0745
1772132842378,2026-02-26T19:07:22.378024+00:00,8.4094,0.072
1772132843378,2026-02-26T19:07:23.378181+00:00,8.4412,0.0721
1772132844378,2026-02-26T19:07:24.378377+00:00,8.9781,0.0774
1772132845378,2026-02-26T19:07:25.378624+00:00,8.4092,0.0729
1772132846378,2026-02-26T19:07:26.378824+00:00,8.4098,0.0723
1772132847379,2026-02-26T19:07:27.379023+00:00,8.4097,0.0723
1772132848379,2026-02-26T19:07:28.379240+00:00,9.0103,0.0783
1772132849379,2026-02-26T19:07:29.379441+00:00,8.4099,0.0726
1772132850379,2026-02-26T19:07:30.379670+00:00,8.4093,0.0723
1772132851379,2026-02-26T19:07:31.379884+00:00,8.4096,0.073
1772132852380,2026-02-26T19:07:32.380070+00:00,9.0103,0.0768
1772132853380,2026-02-26T19:07:33.380275+00:00,8.4093,0.0729
1772132854380,2026-02-26T19:07:34.380482+00:00,8.4095,0.0729
1772132855380,2026-02-26T19:07:35.380665+00:00,9.0107,0.0762
1772132856380,2026-02-26T19:07:36.380852+00:00,8.4097,0.0753
1772132857381,2026-02-26T19:07:37.381086+00:00,8.4094,0.0736
1772132858381,2026-02-26T19:07:38.381227+00:00,8.5192,0.0743
1772132859381,2026-02-26T19:07:39.381437+00:00,8.9004,0.0776
1772132860381,2026-02-26T19:07:40.381644+00:00,8.4099,0.0727
1772132861381,2026-02-26T19:07:41.381857+00:00,8.4096,0.0734
1772132862382,2026-02-26T19:07:42.382017+00:00,8.9625,0.0741
1772132863382,2026-02-26T19:07:43.382203+00:00,8.457,0.0771
1772132864382,2026-02-26T19:07:44.382382+00:00,1.802,0.0152
1772132865382,2026-02-26T19:07:45.382573+00:00,0.0004,0.0001
