timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772209229865,2026-02-27T16:20:29.865221+00:00,4.8,0.0,49.0
1772209230865,2026-02-27T16:20:30.865302+00:00,20.01,9.6,49.0
1772209231865,2026-02-27T16:20:31.865539+00:00,23.59,12.1,50.0
1772209232865,2026-02-27T16:20:32.865704+00:00,24.41,11.2,50.0
1772209233865,2026-02-27T16:20:33.865864+00:00,25.88,12.2,52.0
1772209234865,2026-02-27T16:20:34.865946+00:00,23.87,11.4,52.0
1772209235866,2026-02-27T16:20:35.866141+00:00,24.21,11.3,50.0
1772209236866,2026-02-27T16:20:36.866392+00:00,25.57,11.6,50.0
1772209237866,2026-02-27T16:20:37.866584+00:00,27.46,11.7,52.0
1772209238866,2026-02-27T16:20:38.866759+00:00,26.48,11.4,52.0
1772209239867,2026-02-27T16:20:39.867004+00:00,26.97,11.2,53.0
1772209240867,2026-02-27T16:20:40.867083+00:00,26.47,11.3,54.0
1772209241867,2026-02-27T16:20:41.867348+00:00,26.1,12.2,54.0
1772209242867,2026-02-27T16:20:42.867572+00:00,24.59,11.6,52.0
1772209243867,2026-02-27T16:20:43.867749+00:00,24.29,10.8,51.0
1772209244867,2026-02-27T16:20:44.867825+00:00,24.98,11.6,54.0
1772209245868,2026-02-27T16:20:45.868045+00:00,26.11,11.6,54.0
1772209246868,2026-02-27T16:20:46.868333+00:00,24.82,10.8,51.0
1772209247868,2026-02-27T16:20:47.868517+00:00,25.59,11.2,58.0
1772209248868,2026-02-27T16:20:48.868606+00:00,26.59,11.8,58.0
1772209249868,2026-02-27T16:20:49.868880+00:00,26.25,11.3,52.0
1772209250869,2026-02-27T16:20:50.869083+00:00,24.69,11.7,52.0
1772209251869,2026-02-27T16:20:51.869275+00:00,26.13,12.5,54.0
1772209252869,2026-02-27T16:20:52.869534+00:00,25.57,11.9,52.0
1772209253869,2026-02-27T16:20:53.869764+00:00,24.56,11.8,52.0
1772209254869,2026-02-27T16:20:54.869976+00:00,25.36,11.5,55.0
1772209255870,2026-02-27T16:20:55.870145+00:00,26.4,12.0,55.0
1772209256870,2026-02-27T16:20:56.870401+00:00,24.64,11.9,53.0
1772209257870,2026-02-27T16:20:57.870616+00:00,24.86,11.9,53.0
1772209258870,2026-02-27T16:20:58.870693+00:00,24.91,11.9,53.0
1772209259870,2026-02-27T16:20:59.870788+00:00,24.75,11.6,52.0
1772209260871,2026-02-27T16:21:00.871046+00:00,24.95,11.4,52.0
1772209261871,2026-02-27T16:21:01.871230+00:00,24.89,11.6,52.0
1772209262871,2026-02-27T16:21:02.871429+00:00,27.63,12.2,53.0
1772209263871,2026-02-27T16:21:03.871650+00:00,26.31,11.4,53.0
1772209264871,2026-02-27T16:21:04.871848+00:00,25.06,11.7,52.0
1772209265871,2026-02-27T16:21:05.871926+00:00,25.65,11.5,54.0
1772209266872,2026-02-27T16:21:06.872184+00:00,25.24,12.2,54.0
1772209267872,2026-02-27T16:21:07.872377+00:00,24.42,12.0,53.0
1772209268872,2026-02-27T16:21:08.872521+00:00,24.5,11.8,60.0
1772209269872,2026-02-27T16:21:09.872597+00:00,25.94,12.1,52.0
1772209270872,2026-02-27T16:21:10.872806+00:00,25.14,12.0,52.0
1772209271872,2026-02-27T16:21:11.872880+00:00,24.49,12.3,60.0
1772209272872,2026-02-27T16:21:12.872973+00:00,25.7,12.3,53.0
1772209273873,2026-02-27T16:21:13.873050+00:00,24.79,11.9,53.0
1772209274873,2026-02-27T16:21:14.873273+00:00,25.0,11.5,53.0
1772209275873,2026-02-27T16:21:15.873504+00:00,25.7,11.3,53.0
1772209276873,2026-02-27T16:21:16.873700+00:00,26.19,12.2,53.0
1772209277873,2026-02-27T16:21:17.873865+00:00,24.61,11.9,53.0
1772209278874,2026-02-27T16:21:18.874100+00:00,26.09,12.0,53.0
1772209279874,2026-02-27T16:21:19.874302+00:00,26.08,11.3,60.0
1772209280874,2026-02-27T16:21:20.874487+00:00,27.23,11.6,53.0
1772209281874,2026-02-27T16:21:21.874709+00:00,26.1,11.5,53.0
1772209282874,2026-02-27T16:21:22.874938+00:00,26.13,11.5,62.0
1772209283875,2026-02-27T16:21:23.875080+00:00,26.89,11.5,62.0
1772209284875,2026-02-27T16:21:24.875323+00:00,25.43,11.4,54.0
1772209285875,2026-02-27T16:21:25.875573+00:00,24.96,11.6,60.0
1772209286875,2026-02-27T16:21:26.875649+00:00,26.8,11.7,60.0
1772209287875,2026-02-27T16:21:27.875811+00:00,25.68,11.5,54.0
1772209288876,2026-02-27T16:21:28.876058+00:00,25.62,11.1,53.0
1772209289876,2026-02-27T16:21:29.876250+00:00,25.19,11.8,53.0
1772209290876,2026-02-27T16:21:30.876449+00:00,10.69,3.5,52.0
1772209291876,2026-02-27T16:21:31.876648+00:00,5.38,0.3,52.0
