timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772142767692,2026-02-26T21:52:47.692930+00:00,5.0,0.0,47.0
1772142768693,2026-02-26T21:52:48.693155+00:00,16.61,8.9,49.0
1772142769693,2026-02-26T21:52:49.693229+00:00,20.35,11.0,49.0
1772142770693,2026-02-26T21:52:50.693418+00:00,22.56,10.7,51.0
1772142771693,2026-02-26T21:52:51.693620+00:00,21.27,10.4,51.0
1772142772693,2026-02-26T21:52:52.693707+00:00,20.68,10.2,52.0
1772142773693,2026-02-26T21:52:53.693784+00:00,22.31,11.0,49.0
1772142774693,2026-02-26T21:52:54.693985+00:00,20.25,10.7,49.0
1772142775694,2026-02-26T21:52:55.694159+00:00,20.81,10.9,49.0
1772142776694,2026-02-26T21:52:56.694347+00:00,21.39,11.5,49.0
1772142777694,2026-02-26T21:52:57.694443+00:00,21.12,10.5,49.0
1772142778694,2026-02-26T21:52:58.694671+00:00,20.43,10.9,49.0
1772142779694,2026-02-26T21:52:59.694882+00:00,20.12,11.0,49.0
1772142780694,2026-02-26T21:53:00.694973+00:00,20.34,11.0,51.0
1772142781695,2026-02-26T21:53:01.695137+00:00,21.06,11.2,50.0
1772142782695,2026-02-26T21:53:02.695302+00:00,20.8,11.0,49.0
1772142783695,2026-02-26T21:53:03.695457+00:00,20.76,10.5,58.0
1772142784695,2026-02-26T21:53:04.695632+00:00,21.83,10.9,58.0
1772142785695,2026-02-26T21:53:05.695712+00:00,21.26,10.5,51.0
1772142786695,2026-02-26T21:53:06.695910+00:00,20.95,10.6,51.0
1772142787695,2026-02-26T21:53:07.695982+00:00,21.71,10.3,51.0
1772142788696,2026-02-26T21:53:08.696176+00:00,21.05,10.8,51.0
1772142789696,2026-02-26T21:53:09.696420+00:00,22.57,10.6,51.0
1772142790696,2026-02-26T21:53:10.696629+00:00,20.63,10.4,50.0
1772142791696,2026-02-26T21:53:11.696811+00:00,20.88,11.1,50.0
1772142792696,2026-02-26T21:53:12.696997+00:00,20.98,10.9,51.0
1772142793697,2026-02-26T21:53:13.697233+00:00,20.64,10.5,51.0
1772142794697,2026-02-26T21:53:14.697382+00:00,20.55,10.9,58.0
1772142795697,2026-02-26T21:53:15.697473+00:00,21.63,11.7,58.0
1772142796697,2026-02-26T21:53:16.697608+00:00,20.41,10.4,51.0
1772142797697,2026-02-26T21:53:17.697803+00:00,20.42,10.6,51.0
1772142798697,2026-02-26T21:53:18.697878+00:00,20.39,11.3,51.0
1772142799697,2026-02-26T21:53:19.697957+00:00,21.31,10.8,50.0
1772142800698,2026-02-26T21:53:20.698163+00:00,20.66,10.9,50.0
1772142801698,2026-02-26T21:53:21.698251+00:00,20.6,10.5,54.0
1772142802698,2026-02-26T21:53:22.698392+00:00,22.04,11.3,51.0
1772142803698,2026-02-26T21:53:23.698626+00:00,20.7,10.5,51.0
1772142804698,2026-02-26T21:53:24.698890+00:00,20.82,10.9,55.0
1772142805699,2026-02-26T21:53:25.699059+00:00,21.69,10.6,52.0
1772142806699,2026-02-26T21:53:26.699276+00:00,22.9,10.5,51.0
1772142807699,2026-02-26T21:53:27.699501+00:00,20.86,10.5,51.0
1772142808699,2026-02-26T21:53:28.699704+00:00,20.99,10.5,52.0
1772142809699,2026-02-26T21:53:29.699775+00:00,22.19,10.9,52.0
1772142810700,2026-02-26T21:53:30.700028+00:00,20.58,11.0,51.0
1772142811700,2026-02-26T21:53:31.700286+00:00,20.64,10.9,50.0
1772142812700,2026-02-26T21:53:32.700456+00:00,20.1,10.8,52.0
1772142813700,2026-02-26T21:53:33.700659+00:00,22.02,10.8,52.0
1772142814700,2026-02-26T21:53:34.700910+00:00,21.6,9.9,51.0
1772142815701,2026-02-26T21:53:35.701149+00:00,21.11,10.4,51.0
1772142816701,2026-02-26T21:53:36.701223+00:00,21.64,10.9,53.0
1772142817701,2026-02-26T21:53:37.701453+00:00,22.89,10.4,51.0
1772142818701,2026-02-26T21:53:38.701691+00:00,21.24,10.7,51.0
1772142819701,2026-02-26T21:53:39.701868+00:00,20.74,10.8,53.0
1772142820702,2026-02-26T21:53:40.702056+00:00,22.02,11.3,53.0
1772142821702,2026-02-26T21:53:41.702280+00:00,20.58,10.6,51.0
1772142822702,2026-02-26T21:53:42.702493+00:00,20.55,10.7,51.0
1772142823702,2026-02-26T21:53:43.702663+00:00,21.09,11.1,51.0
1772142824702,2026-02-26T21:53:44.702834+00:00,21.07,10.9,51.0
1772142825703,2026-02-26T21:53:45.703039+00:00,20.84,10.3,51.0
1772142826703,2026-02-26T21:53:46.703270+00:00,16.98,7.4,51.0
1772142827703,2026-02-26T21:53:47.703493+00:00,5.47,0.2,49.0
1772142828703,2026-02-26T21:53:48.703655+00:00,5.12,0.2,49.0
1772142829703,2026-02-26T21:53:49.703821+00:00,4.95,0.3,49.0
