timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771620754955,2026-02-20T20:52:34.955364+00:00,4.93,0.0,40.0
1771620755955,2026-02-20T20:52:35.955565+00:00,31.67,11.4,40.0
1771620756955,2026-02-20T20:52:36.955755+00:00,31.92,11.3,44.0
1771620757955,2026-02-20T20:52:37.955928+00:00,40.14,15.1,44.0
1771620758956,2026-02-20T20:52:38.956164+00:00,31.97,11.6,51.0
1771620759956,2026-02-20T20:52:39.956335+00:00,40.68,15.4,51.0
1771620760956,2026-02-20T20:52:40.956510+00:00,31.59,12.1,43.0
1771620761956,2026-02-20T20:52:41.956677+00:00,38.99,14.9,43.0
1771620762956,2026-02-20T20:52:42.956752+00:00,32.8,12.1,43.0
1771620763956,2026-02-20T20:52:43.956975+00:00,36.69,14.2,55.0
1771620764957,2026-02-20T20:52:44.957163+00:00,34.67,12.9,55.0
1771620765957,2026-02-20T20:52:45.957341+00:00,35.95,14.9,61.0
1771620766957,2026-02-20T20:52:46.957520+00:00,33.36,13.3,45.0
1771620767957,2026-02-20T20:52:47.957694+00:00,36.72,14.8,45.0
1771620768957,2026-02-20T20:52:48.957840+00:00,33.59,12.5,44.0
1771620769957,2026-02-20T20:52:49.957910+00:00,34.55,14.1,56.0
1771620770957,2026-02-20T20:52:50.957979+00:00,35.33,14.6,56.0
1771620771958,2026-02-20T20:52:51.958151+00:00,34.96,13.6,63.0
1771620772958,2026-02-20T20:52:52.958290+00:00,35.76,14.3,63.0
1771620773958,2026-02-20T20:52:53.958438+00:00,32.7,13.5,59.0
1771620774958,2026-02-20T20:52:54.958621+00:00,37.34,14.4,46.0
1771620775958,2026-02-20T20:52:55.958787+00:00,33.46,13.4,46.0
1771620776958,2026-02-20T20:52:56.958978+00:00,36.03,14.1,50.0
1771620777959,2026-02-20T20:52:57.959140+00:00,33.1,13.2,50.0
1771620778959,2026-02-20T20:52:58.959327+00:00,37.38,14.9,46.0
1771620779959,2026-02-20T20:52:59.959488+00:00,32.17,13.0,46.0
1771620780959,2026-02-20T20:53:00.959692+00:00,37.73,15.4,48.0
1771620781959,2026-02-20T20:53:01.959842+00:00,30.23,12.7,48.0
1771620782960,2026-02-20T20:53:02.960017+00:00,38.65,16.4,51.0
1771620783960,2026-02-20T20:53:03.960231+00:00,31.12,12.1,51.0
1771620784960,2026-02-20T20:53:04.960386+00:00,38.58,16.7,52.0
1771620785960,2026-02-20T20:53:05.960600+00:00,30.72,12.2,52.0
1771620786960,2026-02-20T20:53:06.960761+00:00,38.46,15.9,54.0
1771620787960,2026-02-20T20:53:07.960968+00:00,31.65,12.2,47.0
1771620788961,2026-02-20T20:53:08.961119+00:00,39.1,16.4,47.0
1771620789961,2026-02-20T20:53:09.961364+00:00,30.02,12.5,45.0
1771620790961,2026-02-20T20:53:10.961448+00:00,38.47,16.3,45.0
1771620791961,2026-02-20T20:53:11.961645+00:00,31.14,12.2,45.0
1771620792961,2026-02-20T20:53:12.961804+00:00,38.34,16.5,45.0
1771620793962,2026-02-20T20:53:13.962001+00:00,31.19,12.7,47.0
1771620794962,2026-02-20T20:53:14.962149+00:00,38.37,15.9,57.0
1771620795962,2026-02-20T20:53:15.962380+00:00,32.13,13.1,57.0
1771620796962,2026-02-20T20:53:16.962538+00:00,34.51,14.2,62.0
1771620797962,2026-02-20T20:53:17.962696+00:00,35.51,14.4,48.0
1771620798962,2026-02-20T20:53:18.962777+00:00,37.36,16.1,48.0
1771620799962,2026-02-20T20:53:19.962979+00:00,31.42,13.0,46.0
1771620800963,2026-02-20T20:53:20.963128+00:00,36.68,15.3,46.0
1771620801963,2026-02-20T20:53:21.963412+00:00,32.59,13.2,48.0
1771620802963,2026-02-20T20:53:22.963550+00:00,39.21,16.3,48.0
1771620803963,2026-02-20T20:53:23.963702+00:00,31.3,11.8,48.0
1771620804963,2026-02-20T20:53:24.963848+00:00,34.9,14.8,66.0
1771620805963,2026-02-20T20:53:25.963975+00:00,34.86,14.3,66.0
1771620806964,2026-02-20T20:53:26.964049+00:00,36.25,15.0,64.0
1771620807964,2026-02-20T20:53:27.964226+00:00,34.0,13.7,49.0
1771620808964,2026-02-20T20:53:28.964371+00:00,32.46,14.1,49.0
1771620809964,2026-02-20T20:53:29.964634+00:00,37.34,14.8,50.0
1771620810964,2026-02-20T20:53:30.964838+00:00,35.68,14.5,62.0
1771620811965,2026-02-20T20:53:31.965003+00:00,35.25,14.0,50.0
1771620812965,2026-02-20T20:53:32.965077+00:00,37.64,14.7,50.0
1771620813965,2026-02-20T20:53:33.965246+00:00,33.53,12.9,51.0
1771620814965,2026-02-20T20:53:34.965394+00:00,32.31,12.4,63.0
1771620815965,2026-02-20T20:53:35.965604+00:00,13.1,3.3,63.0
1771620816965,2026-02-20T20:53:36.965803+00:00,5.25,0.3,47.0
