timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1771621430304,2026-02-20T21:03:50.304033+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.73,80.0,0,0,958.75,34
1771621431304,2026-02-20T21:03:51.304111+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,26.55,80.0,8,1,958.75,35
1771621432304,2026-02-20T21:03:52.304183+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.07,80.0,5,1,958.75,35
1771621433304,2026-02-20T21:03:53.304248+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.56,80.0,0,0,958.75,37
1771621434304,2026-02-20T21:03:54.304418+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.37,80.0,0,0,958.75,34
1771621435304,2026-02-20T21:03:55.304585+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.41,80.0,8,1,958.75,35
1771621436304,2026-02-20T21:03:56.304755+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.05,80.0,8,1,958.75,35
1771621437304,2026-02-20T21:03:57.304901+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.75,80.0,8,1,958.75,35
1771621438305,2026-02-20T21:03:58.305133+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.13,80.0,8,1,958.75,35
1771621439305,2026-02-20T21:03:59.305277+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.04,80.0,8,1,958.75,35
1771621440305,2026-02-20T21:04:00.305426+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.57,80.0,0,0,958.75,35
1771621441305,2026-02-20T21:04:01.305544+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.43,80.0,0,0,970.75,35
1771621442305,2026-02-20T21:04:02.305771+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.38,80.0,8,1,958.75,35
1771621443305,2026-02-20T21:04:03.305932+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.6,80.0,8,1,958.75,35
1771621444306,2026-02-20T21:04:04.306101+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.85,80.0,8,1,958.75,35
1771621445306,2026-02-20T21:04:05.306287+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.73,80.0,8,1,958.75,35
1771621446306,2026-02-20T21:04:06.306436+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.7,80.0,0,0,958.75,36
1771621447306,2026-02-20T21:04:07.306616+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.93,80.0,0,0,958.75,36
1771621448306,2026-02-20T21:04:08.306776+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.74,80.0,0,0,958.75,36
1771621449306,2026-02-20T21:04:09.306920+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.46,80.0,0,0,958.75,36
1771621450307,2026-02-20T21:04:10.307062+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.75,80.0,0,0,958.75,36
1771621451307,2026-02-20T21:04:11.307217+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.36,80.0,0,0,958.75,36
1771621452307,2026-02-20T21:04:12.307388+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.77,80.0,0,0,958.75,39
1771621453307,2026-02-20T21:04:13.307525+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.46,80.0,0,0,958.75,36
1771621454307,2026-02-20T21:04:14.307731+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.79,80.0,0,0,958.75,37
1771621455307,2026-02-20T21:04:15.307875+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.49,80.0,0,0,958.75,36
1771621456308,2026-02-20T21:04:16.308080+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.57,80.0,0,0,958.75,36
1771621457308,2026-02-20T21:04:17.308350+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.79,80.0,0,0,958.75,37
1771621458308,2026-02-20T21:04:18.308582+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.0,80.0,0,0,958.75,37
1771621459308,2026-02-20T21:04:19.308754+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.39,80.0,0,0,958.75,37
1771621460308,2026-02-20T21:04:20.308924+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.46,80.0,1,0,958.75,36
1771621461309,2026-02-20T21:04:21.309094+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.75,80.0,0,0,958.75,37
1771621462309,2026-02-20T21:04:22.309253+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.67,80.0,0,0,958.75,37
1771621463309,2026-02-20T21:04:23.309419+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.91,80.0,0,0,958.75,37
1771621464309,2026-02-20T21:04:24.309563+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.43,80.0,0,0,958.75,36
1771621465309,2026-02-20T21:04:25.309752+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.43,80.0,0,0,958.75,36
1771621466309,2026-02-20T21:04:26.309915+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.0,80.0,0,0,958.75,36
1771621467310,2026-02-20T21:04:27.310066+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.39,80.0,0,0,958.75,36
1771621468310,2026-02-20T21:04:28.310207+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.51,80.0,0,0,986.75,37
1771621469310,2026-02-20T21:04:29.310491+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.32,80.0,8,1,958.75,37
1771621470310,2026-02-20T21:04:30.310674+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.8,80.0,8,1,958.75,37
1771621471310,2026-02-20T21:04:31.310839+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.2,80.0,8,1,958.75,37
1771621472311,2026-02-20T21:04:32.311067+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.9,80.0,8,1,958.75,37
1771621473311,2026-02-20T21:04:33.311226+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.39,80.0,8,1,958.75,37
1771621474311,2026-02-20T21:04:34.311391+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.27,80.0,8,1,958.75,37
1771621475311,2026-02-20T21:04:35.311548+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.39,80.0,8,1,958.75,37
1771621476311,2026-02-20T21:04:36.311730+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.77,80.0,1,0,958.75,38
1771621477311,2026-02-20T21:04:37.311803+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.47,80.0,3,0,958.75,37
1771621478311,2026-02-20T21:04:38.311955+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.84,80.0,0,0,958.75,37
1771621479312,2026-02-20T21:04:39.312113+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.66,80.0,0,0,958.75,37
1771621480312,2026-02-20T21:04:40.312344+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.39,80.0,8,1,958.75,37
1771621481312,2026-02-20T21:04:41.312568+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.23,80.0,8,1,958.75,37
1771621482312,2026-02-20T21:04:42.312769+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.91,80.0,8,1,958.75,37
1771621483313,2026-02-20T21:04:43.313002+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.0,80.0,8,1,958.75,38
1771621484313,2026-02-20T21:04:44.313216+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.34,80.0,0,0,958.75,38
1771621485313,2026-02-20T21:04:45.313364+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.51,80.0,0,0,958.75,37
1771621486313,2026-02-20T21:04:46.313515+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.09,80.0,0,0,958.75,37
1771621487313,2026-02-20T21:04:47.313639+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.94,80.0,8,1,958.75,37
1771621488313,2026-02-20T21:04:48.313766+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.29,80.0,8,1,958.75,38
1771621489313,2026-02-20T21:04:49.313957+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.89,80.0,8,1,958.75,38
1771621490314,2026-02-20T21:04:50.314146+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.33,80.0,8,1,958.75,38
1771621491314,2026-02-20T21:04:51.314358+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.13,80.0,0,0,958.75,37
1771621492314,2026-02-20T21:04:52.314527+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.23,80.0,0,0,958.75,37
