timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1771591502531,2026-02-20T12:45:02.531918+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.43,80.0,23,4,1096.62,45
1771591503531,2026-02-20T12:45:03.531990+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.34,80.0,0,0,1096.62,46
1771591504532,2026-02-20T12:45:04.532168+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.53,80.0,6,1,1096.62,46
1771591505532,2026-02-20T12:45:05.532305+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.65,80.0,4,1,1096.62,45
1771591506532,2026-02-20T12:45:06.532444+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.14,80.0,3,1,1096.62,45
1771591507532,2026-02-20T12:45:07.532594+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.46,80.0,3,1,1096.62,46
1771591508532,2026-02-20T12:45:08.532740+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.91,80.0,6,1,1096.62,46
1771591509532,2026-02-20T12:45:09.532892+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,24.04,80.0,6,1,1096.62,46
1771591510533,2026-02-20T12:45:10.533028+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.81,80.0,3,1,1096.62,46
1771591511533,2026-02-20T12:45:11.533093+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.49,80.0,4,1,1096.62,45
1771591512533,2026-02-20T12:45:12.533170+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.77,80.0,6,1,1096.62,46
1771591513533,2026-02-20T12:45:13.533248+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.74,80.0,5,1,1096.81,46
1771591514533,2026-02-20T12:45:14.533520+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.63,80.0,3,1,1096.81,46
