timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771598560393,2026-02-20T14:42:40.393104+00:00,6.09,0.7,51.0
1771598561393,2026-02-20T14:42:41.393177+00:00,45.42,22.9,51.0
1771598562393,2026-02-20T14:42:42.393634+00:00,57.17,28.9,59.0
1771598563393,2026-02-20T14:42:43.393799+00:00,54.01,28.3,59.0
1771598564394,2026-02-20T14:42:44.394023+00:00,56.5,28.6,65.0
1771598565394,2026-02-20T14:42:45.394196+00:00,58.81,29.4,62.0
1771598566394,2026-02-20T14:42:46.394352+00:00,57.49,28.5,62.0
1771598567394,2026-02-20T14:42:47.394563+00:00,56.58,28.7,64.0
1771598568394,2026-02-20T14:42:48.394771+00:00,56.37,29.2,64.0
1771598569394,2026-02-20T14:42:49.394969+00:00,57.38,28.2,70.0
1771598570395,2026-02-20T14:42:50.395147+00:00,57.6,29.2,70.0
1771598571395,2026-02-20T14:42:51.395228+00:00,56.09,28.0,65.0
1771598572395,2026-02-20T14:42:52.395872+00:00,59.94,29.9,64.0
1771598573396,2026-02-20T14:42:53.396032+00:00,57.32,28.8,64.0
1771598574396,2026-02-20T14:42:54.396236+00:00,56.1,28.2,63.0
1771598575396,2026-02-20T14:42:55.396435+00:00,55.45,27.9,63.0
1771598576396,2026-02-20T14:42:56.396911+00:00,58.81,28.8,62.0
1771598577396,2026-02-20T14:42:57.396995+00:00,56.6,27.9,62.0
1771598578397,2026-02-20T14:42:58.397180+00:00,56.35,27.8,69.0
1771598579397,2026-02-20T14:42:59.397834+00:00,57.61,28.9,69.0
1771598580397,2026-02-20T14:43:00.397968+00:00,58.54,29.6,61.0
1771598581398,2026-02-20T14:43:01.398153+00:00,56.45,28.7,68.0
1771598582398,2026-02-20T14:43:02.398364+00:00,56.41,28.6,68.0
1771598583398,2026-02-20T14:43:03.398980+00:00,57.32,28.7,72.0
1771598584399,2026-02-20T14:43:04.399135+00:00,56.66,28.5,72.0
1771598585399,2026-02-20T14:43:05.399276+00:00,55.34,27.7,68.0
1771598586399,2026-02-20T14:43:06.399953+00:00,56.08,28.4,68.0
1771598587400,2026-02-20T14:43:07.400133+00:00,57.18,29.6,72.0
1771598588400,2026-02-20T14:43:08.400340+00:00,57.97,28.7,72.0
1771598589400,2026-02-20T14:43:09.400502+00:00,55.64,27.8,61.0
1771598590400,2026-02-20T14:43:10.400994+00:00,56.47,28.3,61.0
1771598591401,2026-02-20T14:43:11.401545+00:00,57.75,29.2,69.0
1771598592401,2026-02-20T14:43:12.401742+00:00,57.9,28.6,62.0
1771598593401,2026-02-20T14:43:13.401821+00:00,55.64,28.1,70.0
1771598594402,2026-02-20T14:43:14.402005+00:00,57.87,30.2,70.0
1771598595402,2026-02-20T14:43:15.402508+00:00,56.59,29.2,63.0
1771598596402,2026-02-20T14:43:16.402652+00:00,56.39,28.0,63.0
1771598597402,2026-02-20T14:43:17.402858+00:00,57.73,29.6,73.0
1771598598403,2026-02-20T14:43:18.403223+00:00,58.53,28.5,73.0
1771598599403,2026-02-20T14:43:19.403452+00:00,58.76,28.9,62.0
1771598600403,2026-02-20T14:43:20.403610+00:00,57.99,28.5,69.0
1771598601403,2026-02-20T14:43:21.403695+00:00,59.04,28.9,69.0
1771598602403,2026-02-20T14:43:22.403771+00:00,60.05,30.1,64.0
1771598603403,2026-02-20T14:43:23.403851+00:00,57.42,28.0,69.0
1771598604403,2026-02-20T14:43:24.403931+00:00,58.52,28.8,69.0
1771598605404,2026-02-20T14:43:25.404332+00:00,59.09,29.5,74.0
1771598606404,2026-02-20T14:43:26.404510+00:00,60.76,30.1,62.0
1771598607404,2026-02-20T14:43:27.404684+00:00,57.61,28.6,74.0
1771598608405,2026-02-20T14:43:28.405050+00:00,57.75,29.6,74.0
1771598609405,2026-02-20T14:43:29.405163+00:00,60.07,30.0,64.0
1771598610405,2026-02-20T14:43:30.405413+00:00,58.33,28.8,63.0
1771598611405,2026-02-20T14:43:31.405611+00:00,58.89,28.9,75.0
1771598612406,2026-02-20T14:43:32.406187+00:00,58.69,29.6,66.0
1771598613406,2026-02-20T14:43:33.406342+00:00,60.08,30.5,66.0
1771598614406,2026-02-20T14:43:34.406487+00:00,58.7,30.3,71.0
1771598615406,2026-02-20T14:43:35.406866+00:00,60.55,31.1,71.0
1771598616406,2026-02-20T14:43:36.406919+00:00,60.25,30.3,64.0
1771598617407,2026-02-20T14:43:37.407126+00:00,56.97,28.2,69.0
1771598618407,2026-02-20T14:43:38.407325+00:00,58.57,29.9,69.0
1771598619407,2026-02-20T14:43:39.407888+00:00,57.03,28.8,73.0
1771598620407,2026-02-20T14:43:40.407966+00:00,58.11,29.6,73.0
1771598621408,2026-02-20T14:43:41.408175+00:00,17.54,7.1,57.0
