timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771600010180,2026-02-20T15:06:50.180956+00:00,5.98,0.7,53.0
1771600011181,2026-02-20T15:06:51.181035+00:00,81.04,38.2,53.0
1771600012181,2026-02-20T15:06:52.181205+00:00,103.58,48.3,81.0
1771600013181,2026-02-20T15:06:53.181396+00:00,104.08,48.7,81.0
1771600014181,2026-02-20T15:06:54.181478+00:00,104.4,49.7,82.0
1771600015181,2026-02-20T15:06:55.181700+00:00,105.68,49.3,83.0
1771600016181,2026-02-20T15:06:56.181977+00:00,106.24,49.4,83.0
1771600017182,2026-02-20T15:06:57.182159+00:00,105.44,49.2,84.0
1771600018182,2026-02-20T15:06:58.182342+00:00,107.28,50.0,84.0
1771600019182,2026-02-20T15:06:59.182827+00:00,104.77,48.9,83.0
1771600020182,2026-02-20T15:07:00.182990+00:00,49.49,22.2,83.0
1771600021183,2026-02-20T15:07:01.183430+00:00,59.46,27.3,81.0
1771600022183,2026-02-20T15:07:02.183986+00:00,106.15,49.8,83.0
1771600023184,2026-02-20T15:07:03.184493+00:00,104.97,49.0,83.0
1771600024184,2026-02-20T15:07:04.184575+00:00,103.82,49.7,84.0
1771600025184,2026-02-20T15:07:05.184643+00:00,105.07,49.4,84.0
1771600026184,2026-02-20T15:07:06.184713+00:00,106.87,49.7,84.0
1771600027185,2026-02-20T15:07:07.185351+00:00,105.55,49.4,80.0
1771600028185,2026-02-20T15:07:08.185416+00:00,104.16,49.2,80.0
1771600029185,2026-02-20T15:07:09.185491+00:00,106.69,49.7,85.0
1771600030185,2026-02-20T15:07:10.185576+00:00,106.5,49.3,85.0
1771600031185,2026-02-20T15:07:11.185648+00:00,107.12,49.6,85.0
1771600032186,2026-02-20T15:07:12.186020+00:00,105.65,49.4,87.0
1771600033186,2026-02-20T15:07:13.186547+00:00,107.46,50.3,90.0
1771600034186,2026-02-20T15:07:14.186951+00:00,107.06,49.9,83.0
1771600035187,2026-02-20T15:07:15.187341+00:00,105.87,49.2,88.0
1771600036187,2026-02-20T15:07:16.187745+00:00,103.92,49.0,90.0
1771600037187,2026-02-20T15:07:17.187944+00:00,105.04,49.3,90.0
1771600038188,2026-02-20T15:07:18.188175+00:00,105.31,49.2,86.0
1771600039188,2026-02-20T15:07:19.188247+00:00,105.1,48.9,85.0
1771600040188,2026-02-20T15:07:20.188325+00:00,105.39,48.4,85.0
1771600041188,2026-02-20T15:07:21.188393+00:00,102.63,48.0,91.0
1771600042188,2026-02-20T15:07:22.188547+00:00,103.7,47.6,90.0
1771600043188,2026-02-20T15:07:23.188977+00:00,104.64,48.5,90.0
1771600044189,2026-02-20T15:07:24.189150+00:00,101.21,47.0,90.0
1771600045189,2026-02-20T15:07:25.189780+00:00,104.43,48.2,90.0
1771600046189,2026-02-20T15:07:26.189978+00:00,102.07,47.2,90.0
1771600047190,2026-02-20T15:07:27.190048+00:00,103.71,48.3,92.0
1771600048190,2026-02-20T15:07:28.190135+00:00,103.45,48.2,92.0
1771600049190,2026-02-20T15:07:29.190207+00:00,102.93,47.7,91.0
1771600050190,2026-02-20T15:07:30.190393+00:00,102.46,47.6,79.0
1771600051190,2026-02-20T15:07:31.190820+00:00,99.78,46.1,79.0
1771600052191,2026-02-20T15:07:32.191251+00:00,103.52,47.8,88.0
1771600053191,2026-02-20T15:07:33.191484+00:00,101.91,47.9,88.0
1771600054192,2026-02-20T15:07:34.192115+00:00,104.91,48.5,88.0
1771600055192,2026-02-20T15:07:35.192524+00:00,101.73,47.4,90.0
1771600056192,2026-02-20T15:07:36.192962+00:00,104.21,48.5,90.0
1771600057193,2026-02-20T15:07:37.193359+00:00,103.31,47.4,86.0
1771600058193,2026-02-20T15:07:38.193426+00:00,102.33,47.9,86.0
1771600059193,2026-02-20T15:07:39.193825+00:00,102.26,47.5,90.0
1771600060193,2026-02-20T15:07:40.193910+00:00,103.36,47.4,90.0
1771600061193,2026-02-20T15:07:41.193992+00:00,102.22,47.2,80.0
1771600062194,2026-02-20T15:07:42.194065+00:00,100.46,46.8,80.0
1771600063194,2026-02-20T15:07:43.194146+00:00,102.52,47.2,88.0
1771600064194,2026-02-20T15:07:44.194235+00:00,103.71,47.9,80.0
1771600065194,2026-02-20T15:07:45.194393+00:00,100.62,47.2,80.0
1771600066194,2026-02-20T15:07:46.194472+00:00,104.11,47.9,88.0
1771600067194,2026-02-20T15:07:47.194913+00:00,103.52,48.0,88.0
1771600068195,2026-02-20T15:07:48.195012+00:00,103.74,48.3,83.0
1771600069195,2026-02-20T15:07:49.195333+00:00,101.16,47.5,90.0
1771600070195,2026-02-20T15:07:50.195984+00:00,102.08,47.1,90.0
1771600071196,2026-02-20T15:07:51.196134+00:00,30.41,12.7,90.0
