timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772208684999,2026-02-27T16:11:24.999279+00:00,0.001,0.0019
1772208685999,2026-02-27T16:11:25.999391+00:00,12.4959,2.0627
1772208686999,2026-02-27T16:11:26.999569+00:00,16.6618,3.3394
1772208687999,2026-02-27T16:11:27.999801+00:00,20.8238,3.4259
1772208688999,2026-02-27T16:11:28.999908+00:00,17.7237,2.7701
1772208690000,2026-02-27T16:11:30.000182+00:00,19.7624,3.3969
1772208691000,2026-02-27T16:11:31.000340+00:00,18.7972,2.7885
1772208692000,2026-02-27T16:11:32.000452+00:00,18.689,3.382
1772208693000,2026-02-27T16:11:33.000528+00:00,20.8241,3.3832
1772208694000,2026-02-27T16:11:34.000664+00:00,19.5396,2.8568
1772208695000,2026-02-27T16:11:35.000831+00:00,17.9473,3.3764
1772208696000,2026-02-27T16:11:36.000935+00:00,20.8253,3.4347
1772208697001,2026-02-27T16:11:37.001040+00:00,19.2077,2.7967
1772208698001,2026-02-27T16:11:38.001165+00:00,18.2776,3.3805
1772208699001,2026-02-27T16:11:39.001323+00:00,17.7931,2.7676
1772208700001,2026-02-27T16:11:40.001484+00:00,19.6937,3.4093
1772208701001,2026-02-27T16:11:41.001725+00:00,20.8259,3.4406
1772208702001,2026-02-27T16:11:42.001881+00:00,19.2536,2.8029
1772208703002,2026-02-27T16:11:43.002061+00:00,18.2316,3.3828
1772208704003,2026-02-27T16:11:44.003169+00:00,20.8251,3.1109
1772208705003,2026-02-27T16:11:45.003313+00:00,18.083,3.0856
1772208706003,2026-02-27T16:11:46.003622+00:00,19.4046,3.402
1772208707004,2026-02-27T16:11:47.004075+00:00,20.8244,2.8314
1772208708004,2026-02-27T16:11:48.004163+00:00,16.6614,3.3531
1772208709004,2026-02-27T16:11:49.004318+00:00,19.2694,2.7932
1772208710004,2026-02-27T16:11:50.004540+00:00,18.2158,3.3798
1772208711004,2026-02-27T16:11:51.004676+00:00,19.7056,2.8071
1772208712004,2026-02-27T16:11:52.004844+00:00,17.7794,3.3803
1772208713004,2026-02-27T16:11:53.004986+00:00,20.3406,2.8146
1772208714005,2026-02-27T16:11:54.005377+00:00,17.1446,3.3605
1772208715005,2026-02-27T16:11:55.005470+00:00,18.2052,2.7668
1772208716005,2026-02-27T16:11:56.005757+00:00,19.2803,3.394
1772208717005,2026-02-27T16:11:57.005908+00:00,19.9116,2.8098
1772208718006,2026-02-27T16:11:58.006077+00:00,17.5733,3.3621
1772208719006,2026-02-27T16:11:59.006370+00:00,20.8244,3.4335
1772208720006,2026-02-27T16:12:00.006501+00:00,20.8236,2.8115
1772208721006,2026-02-27T16:12:01.006642+00:00,16.6613,3.354
1772208722006,2026-02-27T16:12:02.006755+00:00,20.8251,3.4282
1772208723006,2026-02-27T16:12:03.006892+00:00,20.1634,2.8192
1772208724007,2026-02-27T16:12:04.007071+00:00,17.3218,3.372
1772208725008,2026-02-27T16:12:05.008155+00:00,20.8242,2.8201
1772208726008,2026-02-27T16:12:06.008322+00:00,16.6616,3.3404
1772208727008,2026-02-27T16:12:07.008500+00:00,16.7617,2.7498
1772208728008,2026-02-27T16:12:08.008760+00:00,20.7249,3.4285
1772208729008,2026-02-27T16:12:09.008914+00:00,19.4554,2.7956
1772208730009,2026-02-27T16:12:10.009184+00:00,18.03,3.3768
1772208731009,2026-02-27T16:12:11.009334+00:00,19.2737,2.8004
1772208732009,2026-02-27T16:12:12.009439+00:00,18.2114,3.3856
1772208733009,2026-02-27T16:12:13.009525+00:00,19.5096,2.8026
1772208734009,2026-02-27T16:12:14.009804+00:00,17.9757,3.3833
1772208735009,2026-02-27T16:12:15.009938+00:00,18.2751,2.771
1772208736010,2026-02-27T16:12:16.010068+00:00,19.2097,3.4012
1772208737010,2026-02-27T16:12:17.010242+00:00,18.2108,2.7792
1772208738010,2026-02-27T16:12:18.010535+00:00,19.2744,3.3947
1772208739010,2026-02-27T16:12:19.010668+00:00,20.825,3.4244
1772208740010,2026-02-27T16:12:20.010787+00:00,17.7056,2.7561
1772208741011,2026-02-27T16:12:21.011080+00:00,19.7834,3.4118
1772208742011,2026-02-27T16:12:22.011323+00:00,20.8265,3.4341
1772208743011,2026-02-27T16:12:23.011486+00:00,16.6598,2.7457
1772208744011,2026-02-27T16:12:24.011638+00:00,19.9243,2.8118
1772208745011,2026-02-27T16:12:25.011771+00:00,17.5604,3.3712
1772208746011,2026-02-27T16:12:26.011889+00:00,8.3288,0.7713
