timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772148092923,2026-02-26T23:21:32.923325+00:00,0.0013,0.0026
1772148093923,2026-02-26T23:21:33.923400+00:00,28.6142,2.9939
1772148094923,2026-02-26T23:21:34.923492+00:00,42.6855,3.8938
1772148095923,2026-02-26T23:21:35.923590+00:00,40.979,3.8605
1772148096923,2026-02-26T23:21:36.923714+00:00,40.1335,3.8541
1772148097923,2026-02-26T23:21:37.923857+00:00,40.2007,3.8355
1772148098923,2026-02-26T23:21:38.923965+00:00,40.6045,3.2551
1772148099924,2026-02-26T23:21:39.924070+00:00,40.4164,3.843
1772148100924,2026-02-26T23:21:40.924218+00:00,37.3766,3.786
1772148101924,2026-02-26T23:21:41.924448+00:00,39.3153,3.8147
1772148102924,2026-02-26T23:21:42.924536+00:00,41.1466,3.259
1772148103924,2026-02-26T23:21:43.924642+00:00,41.6461,3.8736
1772148104924,2026-02-26T23:21:44.924786+00:00,40.6167,3.8564
1772148105924,2026-02-26T23:21:45.924881+00:00,37.4353,3.7981
1772148106925,2026-02-26T23:21:46.925053+00:00,43.3894,3.9115
1772148107925,2026-02-26T23:21:47.925480+00:00,41.0705,3.8671
1772148108925,2026-02-26T23:21:48.925796+00:00,40.6242,3.8583
1772148109925,2026-02-26T23:21:49.925900+00:00,38.4108,3.8141
1772148110926,2026-02-26T23:21:50.926230+00:00,42.5495,3.8827
1772148111926,2026-02-26T23:21:51.926286+00:00,40.7402,3.5142
1772148112926,2026-02-26T23:21:52.926395+00:00,41.645,3.6088
1772148113926,2026-02-26T23:21:53.926510+00:00,40.7378,3.8447
1772148114926,2026-02-26T23:21:54.926616+00:00,40.4799,3.848
1772148115926,2026-02-26T23:21:55.926898+00:00,35.6143,3.7554
1772148116926,2026-02-26T23:21:56.926996+00:00,41.4214,3.2666
1772148117927,2026-02-26T23:21:57.927116+00:00,40.0488,3.846
1772148118927,2026-02-26T23:21:58.927244+00:00,36.491,3.7676
1772148119928,2026-02-26T23:21:59.928136+00:00,40.0679,3.2451
1772148120928,2026-02-26T23:22:00.928633+00:00,39.6138,3.8229
1772148121928,2026-02-26T23:22:01.928747+00:00,37.1219,3.7869
1772148122928,2026-02-26T23:22:02.928835+00:00,39.8735,3.8532
1772148123928,2026-02-26T23:22:03.928935+00:00,42.3069,3.884
1772148124930,2026-02-26T23:22:04.930141+00:00,40.9836,3.27
1772148125930,2026-02-26T23:22:05.930295+00:00,41.6453,3.8721
1772148126930,2026-02-26T23:22:06.930397+00:00,39.9639,3.8328
1772148127930,2026-02-26T23:22:07.930517+00:00,41.2807,3.85
1772148128930,2026-02-26T23:22:08.930672+00:00,39.0723,3.7941
1772148129930,2026-02-26T23:22:09.930872+00:00,39.0364,3.8329
1772148130930,2026-02-26T23:22:10.930967+00:00,40.5489,3.2549
1772148131931,2026-02-26T23:22:11.931137+00:00,40.7266,3.8458
1772148132931,2026-02-26T23:22:12.931238+00:00,37.7352,3.7913
1772148133931,2026-02-26T23:22:13.931354+00:00,40.7644,3.8559
1772148134931,2026-02-26T23:22:14.931450+00:00,39.0295,3.2264
1772148135931,2026-02-26T23:22:15.931546+00:00,40.0615,3.8375
1772148136931,2026-02-26T23:22:16.931739+00:00,41.1401,3.8635
1772148137931,2026-02-26T23:22:17.931871+00:00,42.301,3.8863
1772148138932,2026-02-26T23:22:18.932037+00:00,39.7526,3.8277
1772148139932,2026-02-26T23:22:19.932146+00:00,40.9159,3.852
1772148140932,2026-02-26T23:22:20.932232+00:00,37.6572,3.7765
1772148141932,2026-02-26T23:22:21.932397+00:00,41.364,3.2662
1772148142932,2026-02-26T23:22:22.932523+00:00,41.6458,3.8685
1772148143932,2026-02-26T23:22:23.932670+00:00,41.6452,3.8852
1772148144932,2026-02-26T23:22:24.932819+00:00,0.0002,0.0005
1772148145932,2026-02-26T23:22:25.932985+00:00,0.0,0.0
1772148146933,2026-02-26T23:22:26.933080+00:00,31.3132,3.0369
1772148147933,2026-02-26T23:22:27.933134+00:00,35.5942,3.7419
1772148148933,2026-02-26T23:22:28.933239+00:00,41.3725,3.8805
1772148149933,2026-02-26T23:22:29.933365+00:00,41.6447,3.2848
1772148150933,2026-02-26T23:22:30.933521+00:00,41.0617,3.8667
1772148151933,2026-02-26T23:22:31.933665+00:00,42.23,3.8681
1772148152933,2026-02-26T23:22:32.933819+00:00,37.9215,3.785
1772148153933,2026-02-26T23:22:33.933997+00:00,12.0539,0.8572
