timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772143240489,2026-02-26T22:00:40.489270+00:00,1.08,6.3,63.0
1772143241489,2026-02-26T22:00:41.489356+00:00,4.27,36.0,78.0
1772143242489,2026-02-26T22:00:42.489449+00:00,4.64,49.6,78.0
1772143243489,2026-02-26T22:00:43.489566+00:00,5.17,51.0,80.0
1772143244489,2026-02-26T22:00:44.489669+00:00,3.99,51.1,82.0
1772143245490,2026-02-26T22:00:45.490129+00:00,4.47,50.3,82.0
1772143246490,2026-02-26T22:00:46.490180+00:00,4.4,49.7,73.0
1772143247490,2026-02-26T22:00:47.490304+00:00,4.63,45.2,68.0
1772143248490,2026-02-26T22:00:48.490602+00:00,4.49,51.8,67.0
1772143249490,2026-02-26T22:00:49.490702+00:00,4.52,51.0,68.0
1772143250490,2026-02-26T22:00:50.490836+00:00,4.55,49.7,68.0
1772143251490,2026-02-26T22:00:51.490949+00:00,4.49,51.0,67.0
1772143252491,2026-02-26T22:00:52.491246+00:00,4.77,48.0,67.0
1772143253491,2026-02-26T22:00:53.491413+00:00,4.66,50.9,68.0
1772143254491,2026-02-26T22:00:54.491549+00:00,4.64,49.4,79.0
1772143255491,2026-02-26T22:00:55.491670+00:00,4.72,50.3,79.0
1772143256491,2026-02-26T22:00:56.491765+00:00,4.86,52.4,85.0
1772143257491,2026-02-26T22:00:57.491862+00:00,4.67,50.9,78.0
1772143258491,2026-02-26T22:00:58.491947+00:00,3.9,52.3,78.0
1772143259492,2026-02-26T22:00:59.492249+00:00,5.03,45.7,68.0
1772143260492,2026-02-26T22:01:00.492405+00:00,4.47,49.1,68.0
1772143261492,2026-02-26T22:01:01.492462+00:00,4.54,50.5,68.0
1772143262492,2026-02-26T22:01:02.492578+00:00,4.37,50.4,70.0
1772143263493,2026-02-26T22:01:03.493055+00:00,4.97,50.4,70.0
1772143264493,2026-02-26T22:01:04.493126+00:00,4.24,50.3,79.0
1772143265493,2026-02-26T22:01:05.493234+00:00,4.78,50.4,79.0
1772143266493,2026-02-26T22:01:06.493378+00:00,3.85,48.9,70.0
1772143267493,2026-02-26T22:01:07.493462+00:00,4.78,52.8,70.0
1772143268493,2026-02-26T22:01:08.493579+00:00,4.98,46.0,72.0
1772143269493,2026-02-26T22:01:09.493712+00:00,4.66,48.4,68.0
1772143270493,2026-02-26T22:01:10.493820+00:00,4.87,49.1,73.0
1772143271493,2026-02-26T22:01:11.493913+00:00,4.68,51.4,73.0
1772143272494,2026-02-26T22:01:12.494019+00:00,4.46,50.9,80.0
1772143273494,2026-02-26T22:01:13.494126+00:00,4.67,51.1,80.0
1772143274496,2026-02-26T22:01:14.496132+00:00,4.72,51.1,87.0
1772143275496,2026-02-26T22:01:15.496212+00:00,4.63,50.0,87.0
1772143276497,2026-02-26T22:01:16.497231+00:00,3.81,50.1,71.0
1772143277497,2026-02-26T22:01:17.497333+00:00,4.47,52.8,71.0
1772143278497,2026-02-26T22:01:18.497441+00:00,4.83,50.3,85.0
1772143279497,2026-02-26T22:01:19.497564+00:00,4.07,51.9,70.0
1772143280497,2026-02-26T22:01:20.497667+00:00,4.84,51.3,70.0
1772143281497,2026-02-26T22:01:21.497752+00:00,4.67,49.6,82.0
1772143282497,2026-02-26T22:01:22.497791+00:00,5.09,48.6,82.0
1772143283497,2026-02-26T22:01:23.497959+00:00,4.71,48.9,73.0
1772143284498,2026-02-26T22:01:24.498125+00:00,4.47,50.1,72.0
1772143285498,2026-02-26T22:01:25.498172+00:00,4.07,51.8,72.0
1772143286498,2026-02-26T22:01:26.498277+00:00,4.35,49.5,72.0
1772143287498,2026-02-26T22:01:27.498387+00:00,4.9,49.5,72.0
1772143288498,2026-02-26T22:01:28.498476+00:00,4.43,48.4,78.0
1772143289498,2026-02-26T22:01:29.498668+00:00,3.04,21.5,78.0
1772143290498,2026-02-26T22:01:30.498793+00:00,1.12,2.5,65.0
1772143291498,2026-02-26T22:01:31.498868+00:00,2.81,23.9,65.0
1772143292502,2026-02-26T22:01:32.502126+00:00,5.05,54.4,83.0
1772143293504,2026-02-26T22:01:33.504125+00:00,4.55,50.1,75.0
1772143294504,2026-02-26T22:01:34.504274+00:00,4.59,48.1,68.0
1772143295504,2026-02-26T22:01:35.504561+00:00,4.69,50.8,68.0
1772143296504,2026-02-26T22:01:36.504892+00:00,4.49,49.1,68.0
1772143297505,2026-02-26T22:01:37.505036+00:00,4.59,48.5,69.0
1772143298505,2026-02-26T22:01:38.505187+00:00,4.31,55.0,69.0
1772143299505,2026-02-26T22:01:39.505466+00:00,4.38,48.4,68.0
1772143300505,2026-02-26T22:01:40.505753+00:00,4.55,49.5,68.0
1772143301505,2026-02-26T22:01:41.505878+00:00,1.88,18.6,64.0
