timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772136217781,2026-02-26T20:03:37.781999+00:00,0.001,0.0019
1772136218782,2026-02-26T20:03:38.782066+00:00,0.0281,12.0097
1772136219784,2026-02-26T20:03:39.784171+00:00,0.034,14.4114
1772136220784,2026-02-26T20:03:40.784261+00:00,0.0336,14.4113
1772136221786,2026-02-26T20:03:41.786139+00:00,0.0338,14.4113
1772136222786,2026-02-26T20:03:42.786242+00:00,0.0399,16.8132
1772136223787,2026-02-26T20:03:43.787164+00:00,0.0334,14.4113
1772136224787,2026-02-26T20:03:44.787244+00:00,0.0336,15.321
1772136225788,2026-02-26T20:03:45.788143+00:00,0.0382,15.9035
1772136226791,2026-02-26T20:03:46.791161+00:00,0.0339,14.4113
1772136227791,2026-02-26T20:03:47.791255+00:00,0.0343,14.4113
1772136228793,2026-02-26T20:03:48.793185+00:00,0.0396,16.8132
1772136229794,2026-02-26T20:03:49.794131+00:00,0.0349,14.4113
1772136230794,2026-02-26T20:03:50.794392+00:00,0.0371,16.8131
1772136231794,2026-02-26T20:03:51.794519+00:00,0.0358,14.4114
1772136232794,2026-02-26T20:03:52.794635+00:00,0.035,14.4113
1772136233794,2026-02-26T20:03:53.794729+00:00,0.0338,14.4113
1772136234796,2026-02-26T20:03:54.796145+00:00,0.0395,16.8132
1772136235796,2026-02-26T20:03:55.796248+00:00,0.0345,14.4113
1772136236796,2026-02-26T20:03:56.796360+00:00,0.0402,16.8131
1772136237799,2026-02-26T20:03:57.799160+00:00,0.0343,14.4114
1772136238799,2026-02-26T20:03:58.799240+00:00,0.0333,15.0611
1772136239799,2026-02-26T20:03:59.799366+00:00,0.0355,16.1632
1772136240799,2026-02-26T20:04:00.799480+00:00,0.0337,14.4113
1772136241799,2026-02-26T20:04:01.799618+00:00,0.035,14.4114
1772136242799,2026-02-26T20:04:02.799730+00:00,0.034,15.8119
1772136243799,2026-02-26T20:04:03.799820+00:00,0.0358,15.4124
1772136244799,2026-02-26T20:04:04.799950+00:00,0.0347,14.4113
1772136245800,2026-02-26T20:04:05.800233+00:00,0.0342,14.4114
1772136246800,2026-02-26T20:04:06.800343+00:00,0.0343,14.4113
1772136247800,2026-02-26T20:04:07.800405+00:00,0.0324,14.4114
1772136248800,2026-02-26T20:04:08.800605+00:00,0.0358,16.8131
1772136249800,2026-02-26T20:04:09.800717+00:00,0.036,14.4114
1772136250800,2026-02-26T20:04:10.800823+00:00,0.0328,14.4119
1772136251800,2026-02-26T20:04:11.800924+00:00,0.0336,14.4113
1772136252801,2026-02-26T20:04:12.801032+00:00,0.0346,15.8841
1772136253801,2026-02-26T20:04:13.801326+00:00,0.0361,15.3402
1772136254803,2026-02-26T20:04:14.803135+00:00,0.0342,14.4114
1772136255803,2026-02-26T20:04:15.803243+00:00,0.0336,14.4113
1772136256803,2026-02-26T20:04:16.803325+00:00,0.0346,15.5665
1772136257805,2026-02-26T20:04:17.805153+00:00,0.0386,15.658
1772136258805,2026-02-26T20:04:18.805393+00:00,0.0332,14.4113
1772136259805,2026-02-26T20:04:19.805515+00:00,0.0326,14.4113
1772136260807,2026-02-26T20:04:20.807137+00:00,0.0339,14.4113
1772136261807,2026-02-26T20:04:21.807231+00:00,0.034,14.4113
1772136262807,2026-02-26T20:04:22.807509+00:00,0.0382,16.8131
1772136263810,2026-02-26T20:04:23.810158+00:00,0.0354,14.4114
1772136264811,2026-02-26T20:04:24.811130+00:00,0.034,14.4113
1772136265811,2026-02-26T20:04:25.811310+00:00,0.036,16.8131
1772136266814,2026-02-26T20:04:26.814142+00:00,0.0386,14.4114
1772136267814,2026-02-26T20:04:27.814224+00:00,0.0341,15.1333
1772136268814,2026-02-26T20:04:28.814461+00:00,0.04,16.0912
1772136269814,2026-02-26T20:04:29.814594+00:00,0.0346,14.4113
1772136270817,2026-02-26T20:04:30.817152+00:00,0.0328,14.4113
1772136271817,2026-02-26T20:04:31.817260+00:00,0.0335,14.4113
1772136272817,2026-02-26T20:04:32.817395+00:00,0.0342,14.4113
1772136273817,2026-02-26T20:04:33.817440+00:00,0.0352,16.4328
1772136274817,2026-02-26T20:04:34.817740+00:00,0.0358,14.7916
1772136275817,2026-02-26T20:04:35.817854+00:00,0.0359,14.4114
1772136276817,2026-02-26T20:04:36.817999+00:00,0.0323,14.4113
1772136277818,2026-02-26T20:04:37.818064+00:00,0.0344,15.2921
1772136278818,2026-02-26T20:04:38.818220+00:00,0.0117,3.9229
