timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772210106700,2026-02-27T16:35:06.700123+00:00,1.06,6.1,62.0
1772210107700,2026-02-27T16:35:07.700261+00:00,3.25,29.0,62.0
1772210108700,2026-02-27T16:35:08.700545+00:00,3.96,36.0,65.0
1772210109700,2026-02-27T16:35:09.700635+00:00,3.74,38.3,65.0
1772210110700,2026-02-27T16:35:10.700803+00:00,3.06,33.0,63.0
1772210111700,2026-02-27T16:35:11.700962+00:00,4.26,35.1,63.0
1772210112701,2026-02-27T16:35:12.701252+00:00,4.1,36.1,68.0
1772210113703,2026-02-27T16:35:13.703133+00:00,3.28,33.9,75.0
1772210114703,2026-02-27T16:35:14.703236+00:00,4.01,32.7,66.0
1772210115703,2026-02-27T16:35:15.703458+00:00,4.08,34.3,66.0
1772210116705,2026-02-27T16:35:16.705149+00:00,3.4,33.2,68.0
1772210117705,2026-02-27T16:35:17.705309+00:00,4.03,33.0,68.0
1772210118705,2026-02-27T16:35:18.705480+00:00,4.03,36.4,75.0
1772210119708,2026-02-27T16:35:19.708133+00:00,3.59,28.5,77.0
1772210120708,2026-02-27T16:35:20.708323+00:00,4.05,31.7,64.0
1772210121708,2026-02-27T16:35:21.708429+00:00,4.18,37.5,64.0
1772210122708,2026-02-27T16:35:22.708705+00:00,3.17,32.2,65.0
1772210123708,2026-02-27T16:35:23.708878+00:00,4.02,36.4,65.0
1772210124708,2026-02-27T16:35:24.708985+00:00,4.06,34.0,79.0
1772210125709,2026-02-27T16:35:25.709109+00:00,3.49,27.5,65.0
1772210126709,2026-02-27T16:35:26.709314+00:00,4.22,32.8,66.0
1772210127709,2026-02-27T16:35:27.709447+00:00,3.49,36.2,68.0
1772210128709,2026-02-27T16:35:28.709599+00:00,3.93,32.2,68.0
1772210129712,2026-02-27T16:35:29.712137+00:00,3.82,31.9,82.0
1772210130714,2026-02-27T16:35:30.714128+00:00,3.92,29.6,71.0
1772210131714,2026-02-27T16:35:31.714295+00:00,4.03,32.7,63.0
1772210132714,2026-02-27T16:35:32.714391+00:00,4.09,36.8,63.0
1772210133717,2026-02-27T16:35:33.717115+00:00,4.02,37.9,83.0
1772210134718,2026-02-27T16:35:34.718164+00:00,3.6,31.4,79.0
1772210135718,2026-02-27T16:35:35.718286+00:00,3.75,33.3,66.0
1772210136718,2026-02-27T16:35:36.718361+00:00,4.27,36.4,66.0
1772210137718,2026-02-27T16:35:37.718535+00:00,3.27,29.1,65.0
1772210138718,2026-02-27T16:35:38.718631+00:00,3.79,41.3,65.0
1772210139718,2026-02-27T16:35:39.718755+00:00,3.41,29.3,75.0
1772210140718,2026-02-27T16:35:40.718869+00:00,3.94,35.4,75.0
1772210141719,2026-02-27T16:35:41.719046+00:00,4.27,33.9,68.0
1772210142721,2026-02-27T16:35:42.721132+00:00,3.52,30.3,68.0
1772210143721,2026-02-27T16:35:43.721404+00:00,4.04,32.2,66.0
1772210144721,2026-02-27T16:35:44.721517+00:00,4.04,36.3,66.0
1772210145721,2026-02-27T16:35:45.721674+00:00,3.26,30.2,65.0
1772210146721,2026-02-27T16:35:46.721847+00:00,4.04,35.2,65.0
1772210147721,2026-02-27T16:35:47.721930+00:00,3.47,35.2,79.0
1772210148722,2026-02-27T16:35:48.722143+00:00,3.78,32.7,79.0
1772210149722,2026-02-27T16:35:49.722258+00:00,4.04,36.1,70.0
1772210150722,2026-02-27T16:35:50.722531+00:00,3.21,33.9,70.0
1772210151722,2026-02-27T16:35:51.722642+00:00,4.23,33.5,66.0
1772210152722,2026-02-27T16:35:52.722834+00:00,4.13,32.9,66.0
1772210153722,2026-02-27T16:35:53.722998+00:00,3.99,39.5,79.0
1772210154724,2026-02-27T16:35:54.724143+00:00,3.72,29.4,80.0
1772210155724,2026-02-27T16:35:55.724321+00:00,3.87,30.9,66.0
1772210156724,2026-02-27T16:35:56.724479+00:00,4.04,35.7,66.0
1772210157724,2026-02-27T16:35:57.724747+00:00,3.46,31.6,65.0
1772210158724,2026-02-27T16:35:58.724913+00:00,4.16,33.0,65.0
1772210159725,2026-02-27T16:35:59.725017+00:00,4.08,36.4,74.0
1772210160725,2026-02-27T16:36:00.725149+00:00,3.24,32.4,67.0
1772210161725,2026-02-27T16:36:01.725508+00:00,4.22,33.5,68.0
1772210162726,2026-02-27T16:36:02.726180+00:00,3.65,31.8,68.0
1772210163726,2026-02-27T16:36:03.726300+00:00,3.94,34.1,67.0
1772210164726,2026-02-27T16:36:04.726400+00:00,4.23,32.7,67.0
1772210165726,2026-02-27T16:36:05.726674+00:00,3.4,31.9,66.0
1772210166726,2026-02-27T16:36:06.726815+00:00,4.09,37.0,66.0
1772210167726,2026-02-27T16:36:07.726933+00:00,2.05,16.1,66.0
