timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1772134773814,2026-02-26T19:39:33.814288+00:00,0.001,0.0018
1772134774814,2026-02-26T19:39:34.814385+00:00,0.052,6.6073
1772134775814,2026-02-26T19:39:35.814555+00:00,0.0646,7.8087
1772134776816,2026-02-26T19:39:36.816150+00:00,0.0745,8.5251
1772134777816,2026-02-26T19:39:37.816245+00:00,0.0658,8.2937
1772134778816,2026-02-26T19:39:38.816389+00:00,0.0709,8.4094
1772134779817,2026-02-26T19:39:39.817148+00:00,0.0724,7.8119
1772134780819,2026-02-26T19:39:40.819138+00:00,0.067,8.4374
1772134781819,2026-02-26T19:39:41.819267+00:00,0.0718,8.4129
1772134782819,2026-02-26T19:39:42.819439+00:00,0.0709,8.4128
1772134783819,2026-02-26T19:39:43.819584+00:00,0.0757,9.0138
1772134784819,2026-02-26T19:39:44.819877+00:00,0.0728,8.4128
1772134785820,2026-02-26T19:39:45.820052+00:00,0.0701,7.8124
1772134786822,2026-02-26T19:39:46.822157+00:00,0.0723,8.4129
1772134787822,2026-02-26T19:39:47.822304+00:00,0.0726,9.0135
1772134788822,2026-02-26T19:39:48.822450+00:00,0.0712,7.8124
1772134789822,2026-02-26T19:39:49.822628+00:00,0.0718,8.4129
1772134790824,2026-02-26T19:39:50.824015+00:00,0.0714,8.9472
1772134791824,2026-02-26T19:39:51.824182+00:00,0.0674,7.8783
1772134792824,2026-02-26T19:39:52.824308+00:00,0.0711,8.413
1772134793826,2026-02-26T19:39:53.826149+00:00,0.0743,8.4134
1772134794826,2026-02-26T19:39:54.826445+00:00,0.0714,9.0134
1772134795826,2026-02-26T19:39:55.826563+00:00,0.0711,8.4128
1772134796826,2026-02-26T19:39:56.826675+00:00,0.0747,8.4134
1772134797826,2026-02-26T19:39:57.826784+00:00,0.0717,9.0136
1772134798826,2026-02-26T19:39:58.826905+00:00,0.0664,7.8121
1772134799827,2026-02-26T19:39:59.827006+00:00,0.0758,8.4132
1772134800827,2026-02-26T19:40:00.827138+00:00,0.0713,8.9328
1772134801827,2026-02-26T19:40:01.827291+00:00,0.0725,8.4935
1772134802827,2026-02-26T19:40:02.827453+00:00,0.0709,8.413
1772134803827,2026-02-26T19:40:03.827560+00:00,0.0707,8.413
1772134804827,2026-02-26T19:40:04.827876+00:00,0.0617,7.2111
1772134805827,2026-02-26T19:40:05.827983+00:00,0.071,8.4129
1772134806828,2026-02-26T19:40:06.828147+00:00,0.0711,8.413
1772134807828,2026-02-26T19:40:07.828254+00:00,0.0745,9.0138
1772134808828,2026-02-26T19:40:08.828543+00:00,0.0714,8.4131
1772134809828,2026-02-26T19:40:09.828663+00:00,0.072,8.413
1772134810829,2026-02-26T19:40:10.829176+00:00,0.0714,7.8128
1772134811829,2026-02-26T19:40:11.829292+00:00,0.0667,8.4126
1772134812829,2026-02-26T19:40:12.829423+00:00,0.0664,7.8121
1772134813831,2026-02-26T19:40:13.831158+00:00,0.0716,8.4129
1772134814831,2026-02-26T19:40:14.831310+00:00,0.0659,7.8119
1772134815831,2026-02-26T19:40:15.831598+00:00,0.071,8.413
1772134816831,2026-02-26T19:40:16.831690+00:00,0.066,7.8132
1772134817831,2026-02-26T19:40:17.831802+00:00,0.0717,8.4129
1772134818831,2026-02-26T19:40:18.831991+00:00,0.0669,7.812
1772134819832,2026-02-26T19:40:19.832130+00:00,0.071,8.4128
1772134820832,2026-02-26T19:40:20.832303+00:00,0.0559,6.6115
1772134821834,2026-02-26T19:40:21.834153+00:00,0.0755,8.7454
1772134822834,2026-02-26T19:40:22.834289+00:00,0.0669,8.0803
1772134823834,2026-02-26T19:40:23.834417+00:00,0.071,8.4129
1772134824834,2026-02-26T19:40:24.834589+00:00,0.0659,7.8119
1772134825834,2026-02-26T19:40:25.834731+00:00,0.0717,8.4128
1772134826835,2026-02-26T19:40:26.835319+00:00,0.0654,7.2113
1772134827835,2026-02-26T19:40:27.835443+00:00,0.0714,8.4129
1772134828838,2026-02-26T19:40:28.838151+00:00,0.0708,8.8172
1772134829838,2026-02-26T19:40:29.838338+00:00,0.0672,8.0082
1772134830838,2026-02-26T19:40:30.838467+00:00,0.0661,7.812
1772134831838,2026-02-26T19:40:31.838623+00:00,0.071,8.4128
1772134832838,2026-02-26T19:40:32.838770+00:00,0.0659,7.8119
1772134833838,2026-02-26T19:40:33.838905+00:00,0.066,7.8119
1772134834839,2026-02-26T19:40:34.839077+00:00,0.0193,1.8033
