timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771487440019,2026-02-19T07:50:40.019286+00:00,0.71,0.8,61.0
1771487441019,2026-02-19T07:50:41.019356+00:00,5.9,58.2,61.0
1771487442019,2026-02-19T07:50:42.019442+00:00,10.38,81.4,96.0
1771487443019,2026-02-19T07:50:43.019525+00:00,10.23,81.8,96.0
1771487444019,2026-02-19T07:50:44.019647+00:00,8.56,75.4,83.0
1771487445019,2026-02-19T07:50:45.019733+00:00,10.14,76.7,83.0
1771487446019,2026-02-19T07:50:46.019820+00:00,10.43,81.4,91.0
1771487447019,2026-02-19T07:50:47.019902+00:00,9.99,81.4,91.0
1771487448019,2026-02-19T07:50:48.019982+00:00,9.23,75.2,88.0
1771487449020,2026-02-19T07:50:49.020066+00:00,10.3,83.0,93.0
1771487450020,2026-02-19T07:50:50.020121+00:00,7.92,76.4,93.0
1771487451022,2026-02-19T07:50:51.022122+00:00,7.56,70.3,88.0
1771487452022,2026-02-19T07:50:52.022207+00:00,11.39,79.7,88.0
1771487453022,2026-02-19T07:50:53.022294+00:00,10.05,75.5,92.0
1771487454022,2026-02-19T07:50:54.022381+00:00,11.63,81.4,92.0
1771487455022,2026-02-19T07:50:55.022470+00:00,10.3,81.5,93.0
1771487456022,2026-02-19T07:50:56.022670+00:00,10.69,84.0,93.0
1771487457022,2026-02-19T07:50:57.022753+00:00,11.66,87.7,92.0
1771487458022,2026-02-19T07:50:58.022840+00:00,11.81,87.6,92.0
1771487459022,2026-02-19T07:50:59.022934+00:00,8.15,70.4,83.0
1771487460023,2026-02-19T07:51:00.023017+00:00,10.99,83.5,83.0
1771487461023,2026-02-19T07:51:01.023106+00:00,10.97,85.9,94.0
1771487462023,2026-02-19T07:51:02.023189+00:00,7.72,74.5,75.0
1771487463023,2026-02-19T07:51:03.023473+00:00,6.29,69.6,75.0
1771487464023,2026-02-19T07:51:04.023558+00:00,9.16,79.1,93.0
1771487465023,2026-02-19T07:51:05.023642+00:00,11.88,89.3,93.0
1771487466023,2026-02-19T07:51:06.023731+00:00,10.62,85.0,94.0
1771487467023,2026-02-19T07:51:07.023850+00:00,8.36,75.3,94.0
1771487468023,2026-02-19T07:51:08.023935+00:00,11.41,79.6,96.0
1771487469024,2026-02-19T07:51:09.024023+00:00,8.65,69.5,96.0
1771487470024,2026-02-19T07:51:10.024118+00:00,10.25,75.7,94.0
1771487471024,2026-02-19T07:51:11.024202+00:00,10.2,77.5,94.0
1771487472024,2026-02-19T07:51:12.024288+00:00,9.9,82.0,88.0
1771487473024,2026-02-19T07:51:13.024371+00:00,8.31,76.1,88.0
1771487474024,2026-02-19T07:51:14.024461+00:00,8.84,77.4,93.0
1771487475024,2026-02-19T07:51:15.024546+00:00,11.41,82.2,93.0
1771487476024,2026-02-19T07:51:16.024632+00:00,11.39,78.0,93.0
1771487477024,2026-02-19T07:51:17.024877+00:00,9.24,70.6,89.0
1771487478024,2026-02-19T07:51:18.024962+00:00,10.6,72.5,89.0
1771487479025,2026-02-19T07:51:19.025047+00:00,10.63,71.2,92.0
1771487480025,2026-02-19T07:51:20.025152+00:00,9.77,70.9,92.0
1771487481025,2026-02-19T07:51:21.025293+00:00,11.2,79.7,92.0
1771487482025,2026-02-19T07:51:22.025378+00:00,11.28,78.2,92.0
1771487483025,2026-02-19T07:51:23.025458+00:00,8.47,73.5,83.0
1771487484025,2026-02-19T07:51:24.025535+00:00,7.13,72.3,83.0
1771487485025,2026-02-19T07:51:25.025618+00:00,8.7,60.1,89.0
1771487486025,2026-02-19T07:51:26.025692+00:00,9.83,65.6,89.0
1771487487025,2026-02-19T07:51:27.025921+00:00,10.4,67.8,96.0
1771487488026,2026-02-19T07:51:28.026010+00:00,8.71,66.8,96.0
1771487489026,2026-02-19T07:51:29.026108+00:00,7.58,72.6,84.0
1771487490026,2026-02-19T07:51:30.026192+00:00,9.44,74.0,84.0
1771487491026,2026-02-19T07:51:31.026275+00:00,9.52,81.2,91.0
1771487492026,2026-02-19T07:51:32.026373+00:00,8.9,72.2,91.0
1771487493027,2026-02-19T07:51:33.027777+00:00,11.14,76.3,96.0
1771487494027,2026-02-19T07:51:34.027865+00:00,10.24,76.7,96.0
1771487495027,2026-02-19T07:51:35.027951+00:00,11.16,78.0,92.0
1771487496028,2026-02-19T07:51:36.028039+00:00,10.39,83.5,92.0
1771487497028,2026-02-19T07:51:37.028131+00:00,11.38,88.8,94.0
1771487498028,2026-02-19T07:51:38.028209+00:00,8.82,76.5,94.0
1771487499028,2026-02-19T07:51:39.028290+00:00,7.91,74.9,88.0
1771487500028,2026-02-19T07:51:40.028398+00:00,8.71,72.1,72.0
1771487501028,2026-02-19T07:51:41.028482+00:00,11.06,85.5,72.0
1771487502029,2026-02-19T07:51:42.029995+00:00,9.89,78.4,88.0
1771487503030,2026-02-19T07:51:43.030081+00:00,10.96,74.3,88.0
1771487504030,2026-02-19T07:51:44.030156+00:00,10.26,69.3,73.0
1771487505030,2026-02-19T07:51:45.030455+00:00,6.69,71.4,73.0
1771487506031,2026-02-19T07:51:46.031073+00:00,11.73,91.1,93.0
1771487507031,2026-02-19T07:51:47.031125+00:00,10.97,85.5,93.0
1771487508031,2026-02-19T07:51:48.031210+00:00,10.11,82.3,85.0
1771487509031,2026-02-19T07:51:49.031434+00:00,9.83,82.8,85.0
1771487510031,2026-02-19T07:51:50.031519+00:00,10.25,80.1,94.0
1771487511031,2026-02-19T07:51:51.031597+00:00,9.41,77.3,94.0
1771487512031,2026-02-19T07:51:52.031920+00:00,5.82,45.7,63.0
