timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771444100624,2026-02-18T19:48:20.624241+00:00,0.65,0.5,63.0
1771444101624,2026-02-18T19:48:21.624312+00:00,8.35,78.2,63.0
1771444102624,2026-02-18T19:48:22.624404+00:00,10.14,95.5,91.0
1771444103624,2026-02-18T19:48:23.624487+00:00,10.04,94.5,90.0
1771444104624,2026-02-18T19:48:24.624578+00:00,10.13,94.7,90.0
1771444105624,2026-02-18T19:48:25.624665+00:00,10.21,96.2,88.0
1771444106624,2026-02-18T19:48:26.624759+00:00,10.19,95.8,88.0
1771444107625,2026-02-18T19:48:27.625646+00:00,10.12,95.3,94.0
1771444108625,2026-02-18T19:48:28.625736+00:00,10.19,95.3,94.0
1771444109625,2026-02-18T19:48:29.625816+00:00,10.14,95.5,88.0
1771444110625,2026-02-18T19:48:30.625905+00:00,10.25,95.8,88.0
1771444111625,2026-02-18T19:48:31.625992+00:00,10.14,95.5,91.0
1771444112626,2026-02-18T19:48:32.626079+00:00,10.22,95.8,91.0
1771444113626,2026-02-18T19:48:33.626127+00:00,10.07,94.8,89.0
1771444114626,2026-02-18T19:48:34.626195+00:00,10.15,95.3,89.0
1771444115626,2026-02-18T19:48:35.626272+00:00,10.13,95.3,88.0
1771444116628,2026-02-18T19:48:36.628128+00:00,10.21,96.0,93.0
1771444117628,2026-02-18T19:48:37.628231+00:00,10.07,95.0,91.0
1771444118628,2026-02-18T19:48:38.628326+00:00,10.19,95.2,91.0
1771444119628,2026-02-18T19:48:39.628400+00:00,10.29,96.0,95.0
1771444120628,2026-02-18T19:48:40.628485+00:00,10.19,95.0,95.0
1771444121628,2026-02-18T19:48:41.628569+00:00,10.19,94.2,92.0
1771444122628,2026-02-18T19:48:42.628649+00:00,10.18,96.0,92.0
1771444123628,2026-02-18T19:48:43.628739+00:00,10.21,95.8,91.0
1771444124631,2026-02-18T19:48:44.631129+00:00,9.83,93.8,91.0
1771444125631,2026-02-18T19:48:45.631213+00:00,10.21,96.0,91.0
1771444126631,2026-02-18T19:48:46.631311+00:00,10.14,94.8,94.0
1771444127631,2026-02-18T19:48:47.631401+00:00,9.74,93.7,94.0
1771444128631,2026-02-18T19:48:48.631489+00:00,10.15,95.8,89.0
1771444129631,2026-02-18T19:48:49.631579+00:00,10.18,95.0,89.0
1771444130631,2026-02-18T19:48:50.631673+00:00,10.1,94.8,94.0
1771444131631,2026-02-18T19:48:51.631761+00:00,10.17,95.7,94.0
1771444132631,2026-02-18T19:48:52.631846+00:00,10.19,95.5,92.0
1771444133631,2026-02-18T19:48:53.631934+00:00,10.26,95.5,92.0
1771444134632,2026-02-18T19:48:54.632014+00:00,10.18,95.2,91.0
1771444135632,2026-02-18T19:48:55.632155+00:00,10.18,95.7,94.0
1771444136632,2026-02-18T19:48:56.632231+00:00,10.12,95.5,94.0
1771444137632,2026-02-18T19:48:57.632319+00:00,10.14,95.3,89.0
1771444138632,2026-02-18T19:48:58.632405+00:00,10.19,95.5,94.0
1771444139632,2026-02-18T19:48:59.632493+00:00,10.16,95.0,94.0
1771444140632,2026-02-18T19:49:00.632574+00:00,10.03,95.3,91.0
1771444141632,2026-02-18T19:49:01.632667+00:00,10.15,95.7,91.0
1771444142632,2026-02-18T19:49:02.632763+00:00,10.23,96.0,94.0
1771444143632,2026-02-18T19:49:03.632848+00:00,10.21,95.5,94.0
1771444144632,2026-02-18T19:49:04.632926+00:00,10.01,94.0,93.0
1771444145633,2026-02-18T19:49:05.633014+00:00,10.13,96.2,93.0
1771444146633,2026-02-18T19:49:06.633100+00:00,10.13,95.3,91.0
1771444147633,2026-02-18T19:49:07.633180+00:00,10.19,95.7,91.0
1771444148633,2026-02-18T19:49:08.633269+00:00,10.19,96.0,91.0
1771444149633,2026-02-18T19:49:09.633327+00:00,10.08,94.5,94.0
1771444150633,2026-02-18T19:49:10.633413+00:00,10.11,94.7,94.0
1771444151633,2026-02-18T19:49:11.633509+00:00,10.19,95.2,95.0
1771444152633,2026-02-18T19:49:12.633595+00:00,10.09,94.7,95.0
1771444153633,2026-02-18T19:49:13.633685+00:00,10.15,95.7,91.0
1771444154633,2026-02-18T19:49:14.633765+00:00,10.06,94.5,91.0
1771444155633,2026-02-18T19:49:15.633844+00:00,10.13,95.3,90.0
1771444156633,2026-02-18T19:49:16.633941+00:00,10.23,95.8,90.0
1771444157634,2026-02-18T19:49:17.634027+00:00,10.23,96.0,92.0
1771444158634,2026-02-18T19:49:18.634123+00:00,10.17,95.5,92.0
1771444159634,2026-02-18T19:49:19.634209+00:00,10.13,96.0,92.0
1771444160634,2026-02-18T19:49:20.634317+00:00,10.13,96.5,91.0
1771444161634,2026-02-18T19:49:21.634405+00:00,10.13,95.5,91.0
1771444162634,2026-02-18T19:49:22.634494+00:00,10.07,94.3,94.0
1771444163634,2026-02-18T19:49:23.634575+00:00,10.14,95.5,94.0
1771444164634,2026-02-18T19:49:24.634666+00:00,10.08,95.5,91.0
1771444165634,2026-02-18T19:49:25.634745+00:00,10.1,94.8,91.0
1771444166634,2026-02-18T19:49:26.634829+00:00,10.19,95.8,91.0
1771444167634,2026-02-18T19:49:27.634922+00:00,10.19,95.7,93.0
1771444168635,2026-02-18T19:49:28.635013+00:00,10.08,95.0,93.0
1771444169635,2026-02-18T19:49:29.635108+00:00,10.13,95.2,90.0
1771444170635,2026-02-18T19:49:30.635200+00:00,10.19,95.3,90.0
1771444171635,2026-02-18T19:49:31.635293+00:00,10.12,95.2,91.0
1771444172635,2026-02-18T19:49:32.635374+00:00,10.18,95.8,91.0
1771444173635,2026-02-18T19:49:33.635458+00:00,10.13,95.7,94.0
1771444174635,2026-02-18T19:49:34.635552+00:00,10.07,93.5,92.0
1771444175635,2026-02-18T19:49:35.635646+00:00,10.2,96.5,92.0
1771444176635,2026-02-18T19:49:36.635733+00:00,10.06,94.5,93.0
1771444177635,2026-02-18T19:49:37.635808+00:00,10.12,96.0,93.0
1771444178635,2026-02-18T19:49:38.635893+00:00,10.17,96.5,89.0
1771444179635,2026-02-18T19:49:39.635978+00:00,10.13,95.5,89.0
1771444180636,2026-02-18T19:49:40.636070+00:00,10.24,95.8,93.0
