timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1771607777088,2026-02-20T17:16:17.088902+00:00,1.06,6.3,63.0
1771607778088,2026-02-20T17:16:18.088949+00:00,8.9,79.1,63.0
1771607779089,2026-02-20T17:16:19.089037+00:00,11.31,100.0,93.0
1771607780089,2026-02-20T17:16:20.089131+00:00,11.23,100.0,93.0
1771607781089,2026-02-20T17:16:21.089225+00:00,11.12,100.0,92.0
1771607782089,2026-02-20T17:16:22.089307+00:00,11.04,100.0,92.0
1771607783089,2026-02-20T17:16:23.089399+00:00,10.98,100.0,94.0
1771607784089,2026-02-20T17:16:24.089490+00:00,10.94,100.0,94.0
1771607785089,2026-02-20T17:16:25.089574+00:00,11.0,100.0,92.0
1771607786089,2026-02-20T17:16:26.089666+00:00,11.01,100.0,92.0
1771607787089,2026-02-20T17:16:27.089755+00:00,10.96,100.0,94.0
1771607788089,2026-02-20T17:16:28.089847+00:00,10.91,100.0,94.0
1771607789089,2026-02-20T17:16:29.089932+00:00,10.84,100.0,94.0
1771607790090,2026-02-20T17:16:30.090026+00:00,10.77,100.0,94.0
1771607791090,2026-02-20T17:16:31.090124+00:00,10.69,100.0,94.0
1771607792090,2026-02-20T17:16:32.090211+00:00,10.73,100.0,94.0
1771607793090,2026-02-20T17:16:33.090304+00:00,10.7,100.0,95.0
1771607794090,2026-02-20T17:16:34.090399+00:00,10.65,100.0,95.0
1771607795090,2026-02-20T17:16:35.090494+00:00,10.62,100.0,94.0
1771607796090,2026-02-20T17:16:36.090575+00:00,10.74,100.0,94.0
1771607797090,2026-02-20T17:16:37.090666+00:00,10.66,100.0,93.0
1771607798090,2026-02-20T17:16:38.090755+00:00,10.61,100.0,93.0
1771607799090,2026-02-20T17:16:39.090843+00:00,10.58,100.0,94.0
1771607800090,2026-02-20T17:16:40.090942+00:00,10.61,100.0,94.0
1771607801091,2026-02-20T17:16:41.091031+00:00,10.62,100.0,95.0
1771607802091,2026-02-20T17:16:42.091120+00:00,10.62,100.0,95.0
1771607803091,2026-02-20T17:16:43.091200+00:00,10.56,100.0,94.0
1771607804091,2026-02-20T17:16:44.091279+00:00,10.51,100.0,94.0
1771607805091,2026-02-20T17:16:45.091368+00:00,10.41,100.0,93.0
1771607806091,2026-02-20T17:16:46.091461+00:00,10.52,100.0,93.0
1771607807091,2026-02-20T17:16:47.091545+00:00,10.46,100.0,92.0
1771607808091,2026-02-20T17:16:48.091642+00:00,10.5,100.0,92.0
1771607809091,2026-02-20T17:16:49.091761+00:00,10.47,100.0,95.0
1771607810091,2026-02-20T17:16:50.091845+00:00,10.35,100.0,93.0
1771607811091,2026-02-20T17:16:51.091932+00:00,10.44,99.7,93.0
1771607812092,2026-02-20T17:16:52.092029+00:00,10.38,100.0,93.0
1771607813092,2026-02-20T17:16:53.092121+00:00,10.39,100.0,93.0
1771607814092,2026-02-20T17:16:54.092206+00:00,10.38,100.0,93.0
1771607815092,2026-02-20T17:16:55.092300+00:00,10.35,100.0,94.0
1771607816092,2026-02-20T17:16:56.092392+00:00,10.29,100.0,94.0
1771607817092,2026-02-20T17:16:57.092483+00:00,10.3,100.0,94.0
1771607818092,2026-02-20T17:16:58.092570+00:00,10.34,100.0,94.0
1771607819092,2026-02-20T17:16:59.092659+00:00,10.32,100.0,95.0
1771607820092,2026-02-20T17:17:00.092748+00:00,10.3,100.0,95.0
1771607821092,2026-02-20T17:17:01.092835+00:00,10.41,100.0,95.0
1771607822092,2026-02-20T17:17:02.092921+00:00,10.43,100.0,95.0
1771607823093,2026-02-20T17:17:03.093016+00:00,10.47,100.0,94.0
1771607824093,2026-02-20T17:17:04.093138+00:00,10.36,100.0,95.0
1771607825093,2026-02-20T17:17:05.093226+00:00,10.34,100.0,93.0
1771607826093,2026-02-20T17:17:06.093312+00:00,10.33,100.0,93.0
1771607827093,2026-02-20T17:17:07.093404+00:00,10.33,100.0,94.0
1771607828093,2026-02-20T17:17:08.093492+00:00,10.35,100.0,94.0
1771607829093,2026-02-20T17:17:09.093582+00:00,10.39,100.0,94.0
1771607830093,2026-02-20T17:17:10.093674+00:00,10.4,100.0,94.0
1771607831093,2026-02-20T17:17:11.093765+00:00,10.36,100.0,95.0
1771607832093,2026-02-20T17:17:12.093848+00:00,10.33,100.0,95.0
1771607833093,2026-02-20T17:17:13.093934+00:00,10.39,100.0,93.0
1771607834094,2026-02-20T17:17:14.094031+00:00,10.36,100.0,93.0
1771607835094,2026-02-20T17:17:15.094122+00:00,10.24,100.0,93.0
1771607836094,2026-02-20T17:17:16.094209+00:00,10.32,100.0,92.0
1771607837094,2026-02-20T17:17:17.094308+00:00,10.37,100.0,92.0
1771607838094,2026-02-20T17:17:18.094511+00:00,4.16,37.5,67.0
