timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779122560581,2026-05-18T16:42:40.581932+00:00,0.0,1028.71,31441.34,3.27,0.0,197.766,774.124,4349.052
1779122561583,2026-05-18T16:42:41.583478+00:00,194.66,1028.45,31441.34,3.27,0.0,197.766,776.197,4365.164
1779122562586,2026-05-18T16:42:42.586529+00:00,190.7,1030.18,31441.34,3.28,0.0,197.766,778.606,4397.374
1779122563588,2026-05-18T16:42:43.588232+00:00,65.4,1028.6,31441.34,3.27,0.0,197.766,779.358,4405.429
1779122564591,2026-05-18T16:42:44.591965+00:00,1.46,1028.49,31441.34,3.27,0.0,197.766,779.358,4405.429
1779122565593,2026-05-18T16:42:45.593987+00:00,63.49,1028.52,31441.34,3.27,0.0,197.766,780.108,4413.483
1779122566595,2026-05-18T16:42:46.595971+00:00,259.61,1032.56,31441.34,3.28,0.0,197.766,783.03,4443.347
1779122567598,2026-05-18T16:42:47.598001+00:00,257.14,1032.73,31441.34,3.28,0.0,197.766,785.995,4474.594
1779122568600,2026-05-18T16:42:48.600087+00:00,249.61,1061.2,31441.34,3.38,0.0,197.766,788.894,4502.058
1779122569602,2026-05-18T16:42:49.602273+00:00,193.91,1029.1,31441.34,3.27,0.0,197.766,791.296,4534.267
1779122570604,2026-05-18T16:42:50.604885+00:00,249.02,1029.98,31441.34,3.28,0.0,197.766,794.295,4566.473
1779122571606,2026-05-18T16:42:51.606529+00:00,253.16,1030.05,31441.34,3.28,0.0,197.766,797.283,4598.678
1779122572608,2026-05-18T16:42:52.608726+00:00,262.84,1030.22,31441.34,3.28,0.0,197.766,800.276,4630.884
1779122573611,2026-05-18T16:42:53.611296+00:00,254.43,1029.45,31441.34,3.27,0.0,197.766,803.256,4663.09
1779122574612,2026-05-18T16:42:54.612789+00:00,256.23,1031.58,31441.34,3.28,0.0,197.766,806.21,4694.121
1779122575614,2026-05-18T16:42:55.614868+00:00,254.98,1030.79,31441.34,3.28,0.0,197.766,809.208,4726.973
1779122576616,2026-05-18T16:42:56.616738+00:00,257.69,1033.15,31441.34,3.29,0.0,197.766,812.143,4756.715
1779122577618,2026-05-18T16:42:57.618701+00:00,252.96,1033.57,31441.34,3.29,0.0,197.766,815.12,4788.382
1779122578619,2026-05-18T16:42:58.619953+00:00,249.83,1031.57,31441.34,3.28,0.0,197.766,818.119,4821.295
1779122579621,2026-05-18T16:42:59.621946+00:00,247.73,1034.08,31441.34,3.29,0.0,197.766,821.071,4851.968
1779122580624,2026-05-18T16:43:00.624063+00:00,258.9,1032.67,31441.34,3.28,0.0,197.766,824.018,4882.204
1779122581626,2026-05-18T16:43:01.626374+00:00,258.02,1033.29,31441.34,3.29,0.0,197.766,827.011,4915.054
