timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779124011725,2026-05-18T17:06:51.725709+00:00,0.04,827.66,31441.34,2.63,0.0,0.051,293.774,0.771
1779124012727,2026-05-18T17:06:52.727737+00:00,7.36,828.25,31441.34,2.63,0.0,0.051,305.29,0.807
1779124013730,2026-05-18T17:06:53.730342+00:00,7.76,828.32,31441.34,2.63,0.0,0.051,320.339,0.853
1779124014732,2026-05-18T17:06:54.732240+00:00,10.35,830.69,31441.34,2.64,0.0,0.051,337.529,0.905
1779124015734,2026-05-18T17:06:55.734723+00:00,8.14,830.3,31441.34,2.64,0.0,0.051,351.346,0.947
1779124016737,2026-05-18T17:06:56.737272+00:00,7.86,830.5,31441.34,2.64,0.0,0.051,367.418,0.995
1779124017740,2026-05-18T17:06:57.740012+00:00,8.97,830.74,31441.34,2.64,0.0,0.051,382.769,1.043
1779124018741,2026-05-18T17:06:58.741782+00:00,10.2,830.72,31441.34,2.64,0.0,0.051,399.705,1.094
1779124019743,2026-05-18T17:06:59.743920+00:00,9.77,833.57,31441.34,2.65,0.0,0.051,415.824,1.141
1779124020746,2026-05-18T17:07:00.746103+00:00,8.44,832.5,31441.34,2.65,0.0,0.051,429.641,1.183
1779124021749,2026-05-18T17:07:01.749152+00:00,9.04,832.95,31441.34,2.65,0.0,0.051,445.76,1.229
1779124022751,2026-05-18T17:07:02.751887+00:00,9.31,832.6,31441.34,2.65,0.0,0.051,461.879,1.277
1779124023754,2026-05-18T17:07:03.754602+00:00,9.13,832.64,31441.34,2.65,0.0,0.051,477.998,1.326
1779124024757,2026-05-18T17:07:04.757407+00:00,8.95,832.6,31441.34,2.65,0.0,0.051,494.118,1.376
1779124025760,2026-05-18T17:07:05.760970+00:00,9.27,832.77,31441.34,2.65,0.0,0.051,510.237,1.425
1779124026762,2026-05-18T17:07:06.762570+00:00,9.53,832.72,31441.34,2.65,0.0,0.051,526.358,1.474
1779124027765,2026-05-18T17:07:07.765784+00:00,9.18,832.68,31441.34,2.65,0.0,0.051,542.477,1.523
1779124028767,2026-05-18T17:07:08.767704+00:00,9.04,832.68,31441.34,2.65,0.0,0.051,558.596,1.571
1779124029771,2026-05-18T17:07:09.771145+00:00,9.68,833.04,31441.34,2.65,0.0,0.051,575.736,1.621
1779124030772,2026-05-18T17:07:10.772565+00:00,10.06,832.62,31441.34,2.65,0.0,0.051,593.138,1.672
1779124031774,2026-05-18T17:07:11.774501+00:00,10.44,833.07,31441.34,2.65,0.0,0.051,609.257,1.719
1779124032776,2026-05-18T17:07:12.776415+00:00,8.55,832.55,31441.34,2.65,0.0,0.051,623.635,1.765
1779124033778,2026-05-18T17:07:13.778343+00:00,9.89,832.91,31441.34,2.65,0.0,0.051,641.497,1.82
1779124034780,2026-05-18T17:07:14.780177+00:00,9.78,832.5,31441.34,2.65,0.0,0.051,657.616,1.868
1779124035783,2026-05-18T17:07:15.783889+00:00,8.19,832.84,31441.34,2.65,0.0,0.051,673.736,1.916
1779124036785,2026-05-18T17:07:16.785991+00:00,8.33,832.86,31441.34,2.65,0.0,0.051,689.693,1.965
1779124037787,2026-05-18T17:07:17.787442+00:00,9.67,832.46,31441.34,2.65,0.0,221.844,705.975,2.013
1779124038790,2026-05-18T17:07:18.790953+00:00,9.0,833.04,31441.34,2.65,0.0,221.844,721.972,2.062
1779124039793,2026-05-18T17:07:19.793736+00:00,8.94,832.73,31441.34,2.65,0.0,221.844,736.002,2.106
1779124040796,2026-05-18T17:07:20.796706+00:00,9.66,832.71,31441.34,2.65,0.0,221.844,753.214,2.155
1779124041798,2026-05-18T17:07:21.798688+00:00,9.87,832.43,31441.34,2.65,0.0,221.844,770.451,2.207
1779124042801,2026-05-18T17:07:22.801387+00:00,3.44,832.55,31441.34,2.65,0.0,221.844,775.056,2.221
1779124043804,2026-05-18T17:07:23.804312+00:00,1.41,832.44,31441.34,2.65,0.0,221.844,775.056,2.221
1779124044806,2026-05-18T17:07:24.806081+00:00,1.91,832.59,31441.34,2.65,0.0,221.844,775.056,2.221
1779124045808,2026-05-18T17:07:25.808379+00:00,8.65,832.8,31441.34,2.65,0.0,221.844,789.405,2.264
1779124046810,2026-05-18T17:07:26.810996+00:00,9.05,832.57,31441.34,2.65,0.0,221.844,804.994,2.312
1779124047813,2026-05-18T17:07:27.813009+00:00,8.54,832.45,31441.34,2.65,0.0,221.844,821.113,2.361
1779124048815,2026-05-18T17:07:28.815921+00:00,8.97,832.76,31441.34,2.65,0.0,221.844,837.232,2.409
1779124049817,2026-05-18T17:07:29.817913+00:00,8.8,832.73,31441.34,2.65,0.0,221.844,853.351,2.458
1779124050820,2026-05-18T17:07:30.820999+00:00,9.24,832.73,31441.34,2.65,0.0,221.844,869.472,2.508
1779124051823,2026-05-18T17:07:31.823587+00:00,9.32,832.66,31441.34,2.65,0.0,221.844,885.591,2.557
1779124052826,2026-05-18T17:07:32.826027+00:00,8.8,832.68,31441.34,2.65,0.0,221.844,899.486,2.597
1779124053828,2026-05-18T17:07:33.828351+00:00,9.15,832.47,31441.34,2.65,0.0,221.844,917.829,2.651
1779124054831,2026-05-18T17:07:34.831214+00:00,8.76,832.54,31441.34,2.65,0.0,221.844,931.647,2.696
1779124055832,2026-05-18T17:07:35.832677+00:00,9.21,832.67,31441.34,2.65,0.0,221.844,949.386,2.747
1779124056834,2026-05-18T17:07:36.834342+00:00,8.54,832.65,31441.34,2.65,0.0,221.844,966.075,2.796
1779124057836,2026-05-18T17:07:37.836759+00:00,9.61,832.38,31441.34,2.65,0.0,221.844,982.307,2.844
1779124058839,2026-05-18T17:07:38.839665+00:00,8.24,832.75,31441.34,2.65,0.0,221.844,996.664,2.889
1779124059841,2026-05-18T17:07:39.841642+00:00,10.79,832.38,31441.34,2.65,0.0,221.844,1014.546,2.942
1779124060844,2026-05-18T17:07:40.844140+00:00,9.26,832.42,31441.34,2.65,0.0,221.844,1030.666,2.991
1779124061846,2026-05-18T17:07:41.846318+00:00,7.92,832.41,31441.34,2.65,0.0,221.844,1045.314,3.035
1779124062848,2026-05-18T17:07:42.848153+00:00,9.17,832.79,31441.34,2.65,0.0,221.844,1062.532,3.085
1779124063850,2026-05-18T17:07:43.850334+00:00,9.47,832.48,31441.34,2.65,0.0,221.844,1076.72,3.128
1779124064852,2026-05-18T17:07:44.852409+00:00,9.15,832.54,31441.34,2.65,0.0,221.844,1092.84,3.176
1779124065855,2026-05-18T17:07:45.855226+00:00,9.86,832.8,31441.34,2.65,0.0,221.844,1110.589,3.227
1779124066857,2026-05-18T17:07:46.857564+00:00,8.81,832.83,31441.34,2.65,0.0,221.844,1126.012,3.274
1779124067859,2026-05-18T17:07:47.859627+00:00,7.77,833.02,31441.34,2.65,0.0,221.844,1140.804,3.318
1779124068862,2026-05-18T17:07:48.862281+00:00,8.36,832.63,31441.34,2.65,0.0,221.844,1154.693,3.359
1779124069865,2026-05-18T17:07:49.865032+00:00,6.84,832.61,31441.34,2.65,0.0,221.844,1164.234,3.394
1779124070868,2026-05-18T17:07:50.868312+00:00,7.31,832.51,31441.34,2.65,0.0,221.844,1175.749,3.43
1779124071871,2026-05-18T17:07:51.871533+00:00,9.46,832.54,31441.34,2.65,0.0,221.844,1191.868,3.478
1779124072873,2026-05-18T17:07:52.873504+00:00,9.18,832.34,31441.34,2.65,0.0,221.844,1207.989,3.527
1779124073876,2026-05-18T17:07:53.876527+00:00,9.5,832.63,31441.34,2.65,0.0,221.844,1224.108,3.576
1779124074878,2026-05-18T17:07:54.878850+00:00,8.79,832.76,31441.34,2.65,0.0,221.844,1238.865,3.619
1779124075881,2026-05-18T17:07:55.881982+00:00,8.6,832.89,31441.34,2.65,0.0,221.844,1255.649,3.668
