timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779117282713,2026-05-18T15:14:42.713534+00:00,18.44,2527.98,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117283718,2026-05-18T15:14:43.718689+00:00,90.42,2548.99,11684.23,21.82,2222.008,1.773,0.0,0.0
1779117284721,2026-05-18T15:14:44.721343+00:00,91.22,2559.81,11684.23,21.91,2222.008,1.773,0.0,0.0
1779117285723,2026-05-18T15:14:45.723788+00:00,95.69,2528.62,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117286726,2026-05-18T15:14:46.726674+00:00,86.55,2553.2,11684.23,21.85,2222.008,1.773,0.0,0.0
1779117287728,2026-05-18T15:14:47.728913+00:00,96.17,2566.55,11684.23,21.97,2222.008,1.773,0.0,0.0
1779117288732,2026-05-18T15:14:48.732256+00:00,100.32,2553.27,11684.23,21.85,2222.008,1.773,0.0,0.0
1779117289738,2026-05-18T15:14:49.738228+00:00,101.47,2563.74,11684.23,21.94,2222.008,1.773,0.0,0.0
1779117290739,2026-05-18T15:14:50.739222+00:00,99.71,2542.55,11684.23,21.76,2222.008,1.773,0.0,0.0
1779117291743,2026-05-18T15:14:51.743184+00:00,89.15,2528.16,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117292744,2026-05-18T15:14:52.744399+00:00,103.08,2528.48,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117293747,2026-05-18T15:14:53.747411+00:00,95.67,2528.45,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117294750,2026-05-18T15:14:54.750935+00:00,106.96,2542.59,11684.23,21.76,2222.008,1.773,0.0,0.0
1779117295754,2026-05-18T15:14:55.754424+00:00,97.42,2553.23,11684.23,21.85,2222.008,1.773,0.0,0.0
1779117296757,2026-05-18T15:14:56.757772+00:00,100.22,2528.13,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117297759,2026-05-18T15:14:57.759614+00:00,103.64,2528.84,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117298764,2026-05-18T15:14:58.764083+00:00,86.95,2532.52,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117299766,2026-05-18T15:14:59.766340+00:00,103.11,2556.93,11684.23,21.88,2222.008,1.773,0.0,0.0
1779117300770,2026-05-18T15:15:00.770041+00:00,93.89,2546.66,11684.23,21.8,2222.008,1.773,0.0,0.0
1779117301774,2026-05-18T15:15:01.774367+00:00,112.69,2532.57,11684.23,21.68,2222.008,1.773,0.0,0.0
1779117302776,2026-05-18T15:15:02.776809+00:00,104.05,2528.18,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117303778,2026-05-18T15:15:03.778603+00:00,110.8,2532.8,11684.23,21.68,2222.008,1.773,0.0,0.0
1779117304782,2026-05-18T15:15:04.782552+00:00,88.43,2528.73,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117305785,2026-05-18T15:15:05.785670+00:00,98.67,2532.72,11684.23,21.68,2222.008,1.773,0.0,0.0
1779117306789,2026-05-18T15:15:06.789313+00:00,104.1,2546.68,11684.23,21.8,2222.008,1.773,0.0,0.0
1779117307793,2026-05-18T15:15:07.793087+00:00,93.53,2540.57,11684.23,21.74,2222.008,1.773,0.0,0.0
1779117308796,2026-05-18T15:15:08.796279+00:00,93.6,2528.43,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117309799,2026-05-18T15:15:09.799593+00:00,31.67,2532.08,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117310802,2026-05-18T15:15:10.802721+00:00,6.34,2532.08,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117311804,2026-05-18T15:15:11.804886+00:00,47.87,2528.8,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117312807,2026-05-18T15:15:12.807160+00:00,135.66,2528.35,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117313809,2026-05-18T15:15:13.809212+00:00,90.63,2528.59,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117314812,2026-05-18T15:15:14.812840+00:00,104.73,2528.6,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117315815,2026-05-18T15:15:15.815573+00:00,99.48,2528.38,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117316819,2026-05-18T15:15:16.819725+00:00,93.85,2528.29,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117317823,2026-05-18T15:15:17.823965+00:00,92.84,2532.4,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117318826,2026-05-18T15:15:18.826438+00:00,114.28,2528.25,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117319831,2026-05-18T15:15:19.831072+00:00,99.27,2532.3,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117320833,2026-05-18T15:15:20.833050+00:00,117.33,2528.62,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117321835,2026-05-18T15:15:21.835382+00:00,112.01,2528.34,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117322838,2026-05-18T15:15:22.838848+00:00,93.32,2528.45,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117323840,2026-05-18T15:15:23.840431+00:00,111.74,2547.12,11684.23,21.8,2222.008,1.773,0.0,0.0
1779117324844,2026-05-18T15:15:24.844340+00:00,81.96,2558.93,11684.23,21.9,2222.008,1.773,0.0,0.0
1779117325849,2026-05-18T15:15:25.849426+00:00,88.81,2528.76,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117326852,2026-05-18T15:15:26.852485+00:00,110.17,2528.41,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117327856,2026-05-18T15:15:27.856189+00:00,86.58,2532.44,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117328859,2026-05-18T15:15:28.859484+00:00,122.01,2528.44,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117329861,2026-05-18T15:15:29.861546+00:00,90.45,2531.61,11684.23,21.67,2222.008,1.773,0.0,0.0
1779117330867,2026-05-18T15:15:30.867545+00:00,108.37,2540.59,11684.23,21.74,2222.008,1.773,0.0,0.0
1779117331870,2026-05-18T15:15:31.870404+00:00,104.73,2528.35,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117332874,2026-05-18T15:15:32.874159+00:00,96.14,2543.23,11684.23,21.77,2222.008,1.773,0.0,0.0
1779117333876,2026-05-18T15:15:33.876590+00:00,109.03,2528.35,11684.23,21.64,2222.008,1.773,0.0,0.0
1779117334878,2026-05-18T15:15:34.878521+00:00,111.22,2529.13,11684.23,21.65,2222.008,1.773,0.0,0.0
