timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779106115763,2026-05-18T12:08:35.763439+00:00,16.91,581.12,11690.17,4.97,220.852,2.27,0.0,0.0
1779106116769,2026-05-18T12:08:36.769775+00:00,319.46,581.22,11690.17,4.97,220.852,2.27,0.0,0.0
1779106117772,2026-05-18T12:08:37.772737+00:00,392.91,581.07,11690.17,4.97,220.852,2.27,0.0,0.0
1779106119772,2026-05-18T12:08:39.772939+00:00,399.31,591.58,11690.17,5.06,220.852,2.27,0.0,0.0
1779106120774,2026-05-18T12:08:40.774255+00:00,395.42,591.58,11690.17,5.06,220.852,2.27,0.0,0.0
1779106121776,2026-05-18T12:08:41.776135+00:00,394.54,591.88,11690.17,5.06,220.852,2.27,0.0,0.0
1779106122779,2026-05-18T12:08:42.779248+00:00,395.95,591.59,11690.17,5.06,220.852,2.27,0.0,0.0
1779106123781,2026-05-18T12:08:43.781819+00:00,394.78,591.62,11690.17,5.06,220.852,2.27,0.0,0.0
1779106124784,2026-05-18T12:08:44.784392+00:00,395.38,591.86,11690.17,5.06,220.852,2.27,0.0,0.0
1779106125787,2026-05-18T12:08:45.787211+00:00,394.34,591.61,11690.17,5.06,220.852,2.27,0.0,0.0
1779106126788,2026-05-18T12:08:46.788748+00:00,396.55,591.62,11690.17,5.06,220.852,2.27,0.0,0.0
1779106127790,2026-05-18T12:08:47.790444+00:00,395.5,591.61,11690.17,5.06,220.852,2.27,0.0,0.0
1779106128791,2026-05-18T12:08:48.791880+00:00,394.66,591.87,11690.17,5.06,220.852,2.27,0.0,0.0
1779106129795,2026-05-18T12:08:49.795279+00:00,393.78,591.87,11690.17,5.06,220.852,2.27,0.0,0.0
1779106130800,2026-05-18T12:08:50.800353+00:00,395.78,591.88,11690.17,5.06,220.852,2.27,0.0,0.0
1779106131802,2026-05-18T12:08:51.802197+00:00,394.54,591.88,11690.17,5.06,220.852,2.27,0.0,0.0
1779106132805,2026-05-18T12:08:52.805326+00:00,394.44,591.88,11690.17,5.06,220.852,2.27,0.0,0.0
1779106133807,2026-05-18T12:08:53.807688+00:00,396.5,591.89,11690.17,5.06,220.852,2.27,0.0,0.0
1779106134809,2026-05-18T12:08:54.809949+00:00,394.93,592.14,11690.17,5.07,220.852,2.277,0.0,0.0
1779106135811,2026-05-18T12:08:55.811655+00:00,396.7,591.64,11690.17,5.06,220.852,2.277,0.0,0.0
1779106136812,2026-05-18T12:08:56.812884+00:00,393.66,591.67,11690.17,5.06,220.852,2.277,0.0,0.0
1779106137815,2026-05-18T12:08:57.815769+00:00,394.81,591.68,11690.17,5.06,220.852,2.277,0.0,0.0
1779106138817,2026-05-18T12:08:58.817693+00:00,395.87,591.94,11690.17,5.06,220.852,2.277,0.0,0.0
1779106139820,2026-05-18T12:08:59.820132+00:00,395.44,591.77,11690.17,5.06,220.852,2.277,0.0,0.0
1779106140821,2026-05-18T12:09:00.821721+00:00,395.14,591.69,11690.17,5.06,220.852,2.277,0.0,0.0
1779106141823,2026-05-18T12:09:01.823582+00:00,395.16,591.71,11690.17,5.06,220.852,2.277,0.0,0.0
1779106142827,2026-05-18T12:09:02.827120+00:00,395.49,591.88,11690.17,5.06,220.852,2.277,0.0,0.0
1779106143830,2026-05-18T12:09:03.830779+00:00,395.41,591.96,11690.17,5.06,220.852,2.277,0.0,0.0
1779106144830,2026-05-18T12:09:04.830938+00:00,394.84,591.71,11690.17,5.06,220.852,2.277,0.0,0.0
1779106145832,2026-05-18T12:09:05.832517+00:00,395.51,591.98,11690.17,5.06,220.852,2.277,0.0,0.0
1779106146834,2026-05-18T12:09:06.834948+00:00,394.67,591.89,11690.17,5.06,220.852,2.277,0.0,0.0
1779106147837,2026-05-18T12:09:07.837081+00:00,394.26,591.97,11690.17,5.06,220.852,2.277,0.0,0.0
1779106148839,2026-05-18T12:09:08.839858+00:00,395.84,592.0,11690.17,5.06,220.852,2.277,0.0,0.0
1779106149840,2026-05-18T12:09:09.840926+00:00,393.99,591.9,11690.17,5.06,220.852,2.277,0.0,0.0
1779106150843,2026-05-18T12:09:10.843832+00:00,395.96,591.98,11690.17,5.06,220.852,2.277,0.0,0.0
1779106151845,2026-05-18T12:09:11.845670+00:00,395.57,591.75,11690.17,5.06,220.852,2.277,0.0,0.0
1779106152848,2026-05-18T12:09:12.848392+00:00,394.76,591.87,11690.17,5.06,220.852,2.277,0.0,0.0
1779106153850,2026-05-18T12:09:13.850720+00:00,393.27,591.75,11690.17,5.06,220.852,2.277,0.0,0.0
1779106154851,2026-05-18T12:09:14.851915+00:00,396.3,591.76,11690.17,5.06,220.852,2.277,0.0,0.0
1779106155854,2026-05-18T12:09:15.854860+00:00,396.52,591.85,11690.17,5.06,220.852,2.277,0.0,0.0
1779106156857,2026-05-18T12:09:16.857373+00:00,393.69,591.78,11690.17,5.06,220.852,2.277,0.0,0.0
1779106157860,2026-05-18T12:09:17.860777+00:00,395.43,591.78,11690.17,5.06,220.852,2.277,0.0,0.0
1779106158861,2026-05-18T12:09:18.861631+00:00,396.08,592.04,11690.17,5.06,220.852,2.277,0.0,0.0
1779106159864,2026-05-18T12:09:19.864000+00:00,395.22,591.96,11690.17,5.06,220.852,2.277,0.0,0.0
1779106160866,2026-05-18T12:09:20.866797+00:00,391.61,591.79,11690.17,5.06,220.965,2.277,0.0,0.0
1779106161869,2026-05-18T12:09:21.869130+00:00,323.47,591.97,11690.17,5.06,220.965,2.277,0.0,0.0
