timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779117615267,2026-05-18T15:20:15.267603+00:00,0.0008,0.001
1779117616267,2026-05-18T15:20:16.267859+00:00,2.657,12.5127
1779117617268,2026-05-18T15:20:17.268030+00:00,2.8309,20.9913
1779117618268,2026-05-18T15:20:18.268187+00:00,3.3462,16.8128
1779117619268,2026-05-18T15:20:19.268378+00:00,3.4304,21.0145
1779117620268,2026-05-18T15:20:20.268521+00:00,2.7518,20.971
1779117621268,2026-05-18T15:20:21.268612+00:00,3.4277,16.8554
1779117622268,2026-05-18T15:20:22.268826+00:00,3.424,21.0162
1779117623268,2026-05-18T15:20:23.268897+00:00,2.8026,21.0185
1779117624268,2026-05-18T15:20:24.268986+00:00,3.3763,16.8129
1779117625269,2026-05-18T15:20:25.269121+00:00,2.8297,21.0134
1779117626269,2026-05-18T15:20:26.269337+00:00,3.348,16.8131
1779117627269,2026-05-18T15:20:27.269544+00:00,3.4268,21.0132
1779117628269,2026-05-18T15:20:28.269659+00:00,2.81,21.0123
1779117629269,2026-05-18T15:20:29.269802+00:00,3.3617,16.8127
1779117630269,2026-05-18T15:20:30.269885+00:00,3.43,21.0133
1779117631269,2026-05-18T15:20:31.269972+00:00,3.433,21.0133
1779117632270,2026-05-18T15:20:32.270161+00:00,2.8062,21.0124
1779117633270,2026-05-18T15:20:33.270352+00:00,3.3773,16.8145
1779117634270,2026-05-18T15:20:34.270584+00:00,3.434,21.0141
1779117635270,2026-05-18T15:20:35.270772+00:00,2.7665,20.1659
1779117636270,2026-05-18T15:20:36.270848+00:00,3.4079,17.6594
1779117637270,2026-05-18T15:20:37.270934+00:00,3.4284,21.0138
1779117638271,2026-05-18T15:20:38.271000+00:00,1.462,12.6076
1779117639271,2026-05-18T15:20:39.271183+00:00,0.0017,0.0015
1779117640271,2026-05-18T15:20:40.271389+00:00,0.0009,0.001
1779117641271,2026-05-18T15:20:41.271584+00:00,2.6611,12.5295
1779117642271,2026-05-18T15:20:42.271678+00:00,3.4298,20.9968
1779117643271,2026-05-18T15:20:43.271772+00:00,3.4211,21.0141
1779117644271,2026-05-18T15:20:44.271954+00:00,2.8304,21.014
1779117645272,2026-05-18T15:20:45.272118+00:00,3.3384,17.4121
1779117646272,2026-05-18T15:20:46.272291+00:00,3.4349,20.4159
1779117647272,2026-05-18T15:20:47.272436+00:00,3.4311,21.0149
1779117648272,2026-05-18T15:20:48.272595+00:00,2.7944,21.0122
1779117649272,2026-05-18T15:20:49.272795+00:00,3.3899,16.8126
