timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779119660221,2026-05-18T15:54:20.221677+00:00,0.0008,0.0006
1779119661221,2026-05-18T15:54:21.221758+00:00,12.0112,0.0392
1779119662221,2026-05-18T15:54:22.221832+00:00,16.8145,0.0505
1779119663221,2026-05-18T15:54:23.221915+00:00,19.2168,0.0574
1779119664222,2026-05-18T15:54:24.222093+00:00,16.815,0.049
1779119665222,2026-05-18T15:54:25.222224+00:00,19.2163,0.0535
1779119666222,2026-05-18T15:54:26.222434+00:00,16.8153,0.0522
1779119667222,2026-05-18T15:54:27.222665+00:00,16.8145,0.0498
1779119668222,2026-05-18T15:54:28.222844+00:00,19.2165,0.0566
1779119669222,2026-05-18T15:54:29.222919+00:00,16.8146,0.0478
1779119670223,2026-05-18T15:54:30.223136+00:00,16.8149,0.0514
1779119671223,2026-05-18T15:54:31.223344+00:00,16.8146,0.0492
1779119672223,2026-05-18T15:54:32.223488+00:00,16.8145,0.0478
1779119673223,2026-05-18T15:54:33.223689+00:00,16.8146,0.051
1779119674223,2026-05-18T15:54:34.223859+00:00,16.815,0.0498
1779119675224,2026-05-18T15:54:35.224031+00:00,18.9739,0.056
1779119676224,2026-05-18T15:54:36.224191+00:00,17.0578,0.0509
1779119677224,2026-05-18T15:54:37.224397+00:00,16.8147,0.0515
1779119678224,2026-05-18T15:54:38.224607+00:00,16.8145,0.0493
1779119679224,2026-05-18T15:54:39.224776+00:00,19.2167,0.0541
1779119680224,2026-05-18T15:54:40.224945+00:00,16.8145,0.0496
1779119681225,2026-05-18T15:54:41.225152+00:00,16.8143,0.0508
1779119682225,2026-05-18T15:54:42.225370+00:00,19.2162,0.0553
1779119683225,2026-05-18T15:54:43.225606+00:00,16.8147,0.0513
1779119684225,2026-05-18T15:54:44.225786+00:00,18.5982,0.0542
1779119685225,2026-05-18T15:54:45.225990+00:00,17.4332,0.0527
1779119686226,2026-05-18T15:54:46.226146+00:00,17.71,0.0502
1779119687226,2026-05-18T15:54:47.226325+00:00,18.3212,0.0548
1779119688226,2026-05-18T15:54:48.226457+00:00,19.2168,0.0561
1779119689226,2026-05-18T15:54:49.226646+00:00,17.4445,0.0521
1779119690226,2026-05-18T15:54:50.226803+00:00,18.5868,0.0546
1779119691227,2026-05-18T15:54:51.227007+00:00,16.8154,0.0499
1779119692227,2026-05-18T15:54:52.227183+00:00,16.8565,0.0487
1779119693227,2026-05-18T15:54:53.227404+00:00,7.165,0.0216
1779119694227,2026-05-18T15:54:54.227603+00:00,0.0019,0.0013
1779119695227,2026-05-18T15:54:55.227777+00:00,2.4031,0.0102
1779119696227,2026-05-18T15:54:56.227934+00:00,16.8149,0.0482
1779119697228,2026-05-18T15:54:57.228156+00:00,16.8148,0.0519
1779119698228,2026-05-18T15:54:58.228367+00:00,16.8146,0.0508
1779119699228,2026-05-18T15:54:59.228542+00:00,17.7045,0.0516
1779119700228,2026-05-18T15:55:00.228796+00:00,18.3268,0.0532
1779119701228,2026-05-18T15:55:01.228983+00:00,16.8147,0.05
1779119702229,2026-05-18T15:55:02.229195+00:00,19.2168,0.0563
1779119703229,2026-05-18T15:55:03.229394+00:00,16.8145,0.0494
1779119704229,2026-05-18T15:55:04.229640+00:00,16.8153,0.051
1779119705229,2026-05-18T15:55:05.229844+00:00,16.8143,0.0503
1779119706230,2026-05-18T15:55:06.230057+00:00,19.2361,0.066
1779119707230,2026-05-18T15:55:07.230270+00:00,16.8178,0.0518
1779119708230,2026-05-18T15:55:08.230492+00:00,19.2164,0.057
1779119709230,2026-05-18T15:55:09.230672+00:00,16.815,0.0484
1779119710230,2026-05-18T15:55:10.230876+00:00,16.8145,0.0496
1779119711231,2026-05-18T15:55:11.231053+00:00,16.815,0.0496
1779119712231,2026-05-18T15:55:12.231207+00:00,19.2165,0.0572
1779119713231,2026-05-18T15:55:13.231410+00:00,16.8146,0.0517
1779119714231,2026-05-18T15:55:14.231625+00:00,16.815,0.0506
1779119715231,2026-05-18T15:55:15.231802+00:00,18.8808,0.053
1779119716232,2026-05-18T15:55:16.232010+00:00,17.1501,0.0519
1779119717232,2026-05-18T15:55:17.232211+00:00,16.8144,0.0503
1779119718232,2026-05-18T15:55:18.232388+00:00,18.6063,0.0537
1779119719232,2026-05-18T15:55:19.232586+00:00,16.6287,0.0485
1779119720232,2026-05-18T15:55:20.232776+00:00,17.6107,0.0542
1779119721232,2026-05-18T15:55:21.232999+00:00,16.8147,0.0489
1779119722233,2026-05-18T15:55:22.233223+00:00,16.8151,0.0493
1779119723233,2026-05-18T15:55:23.233447+00:00,16.8144,0.0492
1779119724233,2026-05-18T15:55:24.233621+00:00,17.4937,0.0527
1779119725233,2026-05-18T15:55:25.233815+00:00,17.8112,0.0514
1779119726233,2026-05-18T15:55:26.233976+00:00,17.5414,0.0546
1779119727234,2026-05-18T15:55:27.234196+00:00,16.8146,0.0512
1779119728234,2026-05-18T15:55:28.234345+00:00,17.3592,0.0511
1779119729234,2026-05-18T15:55:29.234529+00:00,18.4478,0.0539
1779119730234,2026-05-18T15:55:30.234619+00:00,17.0389,0.0518
1779119731234,2026-05-18T15:55:31.234837+00:00,16.8144,0.0513
1779119732235,2026-05-18T15:55:32.235035+00:00,16.8756,0.0501
1779119733235,2026-05-18T15:55:33.235239+00:00,19.1556,0.0562
1779119734235,2026-05-18T15:55:34.235412+00:00,16.8151,0.0498
1779119735235,2026-05-18T15:55:35.235643+00:00,16.8145,0.0495
1779119736235,2026-05-18T15:55:36.235836+00:00,18.9707,0.0546
1779119737236,2026-05-18T15:55:37.236046+00:00,17.0606,0.0535
1779119738236,2026-05-18T15:55:38.236221+00:00,18.0375,0.0521
1779119739236,2026-05-18T15:55:39.236455+00:00,17.9941,0.0542
1779119740236,2026-05-18T15:55:40.236644+00:00,17.4296,0.0508
1779119741236,2026-05-18T15:55:41.236867+00:00,18.6012,0.0544
1779119742237,2026-05-18T15:55:42.237113+00:00,16.8146,0.0486
1779119743237,2026-05-18T15:55:43.237318+00:00,19.2167,0.0557
1779119744237,2026-05-18T15:55:44.237529+00:00,16.815,0.0491
1779119745237,2026-05-18T15:55:45.237750+00:00,16.8144,0.0493
1779119746237,2026-05-18T15:55:46.237948+00:00,19.2164,0.0552
1779119747238,2026-05-18T15:55:47.238150+00:00,16.8145,0.0493
1779119748238,2026-05-18T15:55:48.238304+00:00,18.4879,0.0525
1779119749238,2026-05-18T15:55:49.238485+00:00,17.2048,0.0523
1779119750238,2026-05-18T15:55:50.238593+00:00,16.1563,0.0489
1779119751238,2026-05-18T15:55:51.238790+00:00,17.8123,0.0537
1779119752238,2026-05-18T15:55:52.238966+00:00,16.8145,0.0508
1779119753239,2026-05-18T15:55:53.239101+00:00,18.0851,0.0515
1779119754239,2026-05-18T15:55:54.239267+00:00,17.9466,0.0545
1779119755239,2026-05-18T15:55:55.239422+00:00,16.8154,0.0498
1779119756239,2026-05-18T15:55:56.239531+00:00,16.8149,0.0486
