timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779115788172,2026-05-18T14:49:48.172321+00:00,5.66,0.5,42.0
1779115789172,2026-05-18T14:49:49.172495+00:00,17.49,8.3,42.0
1779115790172,2026-05-18T14:49:50.172562+00:00,22.34,11.3,45.0
1779115791172,2026-05-18T14:49:51.172640+00:00,23.27,11.6,45.0
1779115792172,2026-05-18T14:49:52.172807+00:00,22.01,11.4,45.0
1779115793172,2026-05-18T14:49:53.172894+00:00,21.85,11.3,43.0
1779115794172,2026-05-18T14:49:54.172973+00:00,21.46,11.7,43.0
1779115795173,2026-05-18T14:49:55.173138+00:00,22.58,12.0,44.0
1779115796173,2026-05-18T14:49:56.173222+00:00,20.41,10.9,44.0
1779115797173,2026-05-18T14:49:57.173314+00:00,21.62,12.6,48.0
1779115798173,2026-05-18T14:49:58.173417+00:00,22.38,11.9,48.0
1779115799173,2026-05-18T14:49:59.173572+00:00,22.69,11.7,44.0
1779115800173,2026-05-18T14:50:00.173614+00:00,20.87,11.7,44.0
1779115801173,2026-05-18T14:50:01.173847+00:00,21.88,12.2,46.0
1779115802174,2026-05-18T14:50:02.174052+00:00,22.69,11.8,46.0
1779115803174,2026-05-18T14:50:03.174193+00:00,22.46,12.5,44.0
1779115804174,2026-05-18T14:50:04.174389+00:00,20.9,11.4,44.0
1779115805174,2026-05-18T14:50:05.174578+00:00,21.64,12.1,48.0
1779115806174,2026-05-18T14:50:06.174672+00:00,22.08,11.6,48.0
1779115807174,2026-05-18T14:50:07.174818+00:00,22.78,11.3,45.0
1779115808175,2026-05-18T14:50:08.175021+00:00,21.86,11.2,45.0
1779115809175,2026-05-18T14:50:09.175110+00:00,22.56,12.2,46.0
1779115810175,2026-05-18T14:50:10.175186+00:00,23.14,12.6,46.0
1779115811175,2026-05-18T14:50:11.175364+00:00,23.16,11.9,46.0
1779115812175,2026-05-18T14:50:12.175449+00:00,21.8,11.5,46.0
1779115813175,2026-05-18T14:50:13.175485+00:00,21.66,12.2,53.0
1779115814175,2026-05-18T14:50:14.175684+00:00,22.0,12.5,45.0
1779115815175,2026-05-18T14:50:15.175764+00:00,22.18,11.5,45.0
1779115816175,2026-05-18T14:50:16.175837+00:00,21.2,11.8,49.0
1779115817176,2026-05-18T14:50:17.176004+00:00,22.64,11.3,47.0
1779115818176,2026-05-18T14:50:18.176239+00:00,20.6,11.6,47.0
1779115819176,2026-05-18T14:50:19.176394+00:00,22.72,12.2,48.0
1779115820176,2026-05-18T14:50:20.176587+00:00,21.54,11.9,48.0
1779115821176,2026-05-18T14:50:21.176670+00:00,22.82,11.7,49.0
1779115822176,2026-05-18T14:50:22.176878+00:00,21.56,10.9,45.0
1779115823176,2026-05-18T14:50:23.176957+00:00,22.07,10.8,49.0
1779115824177,2026-05-18T14:50:24.177048+00:00,22.54,11.6,49.0
1779115825177,2026-05-18T14:50:25.177203+00:00,22.95,11.1,46.0
1779115826177,2026-05-18T14:50:26.177291+00:00,21.57,10.7,46.0
1779115827177,2026-05-18T14:50:27.177448+00:00,22.01,11.0,53.0
1779115828177,2026-05-18T14:50:28.177510+00:00,22.94,11.9,53.0
1779115829177,2026-05-18T14:50:29.177579+00:00,22.78,11.1,46.0
1779115830177,2026-05-18T14:50:30.177735+00:00,7.95,2.4,44.0
1779115831177,2026-05-18T14:50:31.177919+00:00,5.37,0.3,44.0
1779115832178,2026-05-18T14:50:32.178112+00:00,7.81,2.3,45.0
1779115833178,2026-05-18T14:50:33.178196+00:00,21.41,11.3,45.0
1779115834178,2026-05-18T14:50:34.178404+00:00,23.92,12.4,50.0
1779115835178,2026-05-18T14:50:35.178511+00:00,21.91,11.0,50.0
1779115836178,2026-05-18T14:50:36.178634+00:00,23.13,10.5,46.0
1779115837178,2026-05-18T14:50:37.178776+00:00,21.4,11.2,47.0
1779115838178,2026-05-18T14:50:38.178864+00:00,22.88,11.9,47.0
1779115839178,2026-05-18T14:50:39.178942+00:00,22.93,11.6,47.0
1779115840179,2026-05-18T14:50:40.179027+00:00,22.03,11.6,47.0
1779115841179,2026-05-18T14:50:41.179228+00:00,22.17,11.7,49.0
1779115842179,2026-05-18T14:50:42.179382+00:00,21.76,11.9,49.0
1779115843179,2026-05-18T14:50:43.179461+00:00,22.25,11.0,47.0
1779115844179,2026-05-18T14:50:44.179497+00:00,22.6,12.3,47.0
1779115845179,2026-05-18T14:50:45.179586+00:00,23.45,12.0,47.0
1779115846179,2026-05-18T14:50:46.179783+00:00,23.18,11.6,48.0
1779115847179,2026-05-18T14:50:47.179928+00:00,21.05,11.1,48.0
1779115848180,2026-05-18T14:50:48.180405+00:00,23.41,12.2,54.0
1779115849180,2026-05-18T14:50:49.180481+00:00,22.78,11.5,54.0
1779115850180,2026-05-18T14:50:50.180567+00:00,24.41,12.6,53.0
1779115851180,2026-05-18T14:50:51.180612+00:00,22.86,11.7,51.0
1779115852180,2026-05-18T14:50:52.180832+00:00,22.46,12.7,51.0
1779115853180,2026-05-18T14:50:53.180930+00:00,21.62,11.3,47.0
1779115854181,2026-05-18T14:50:54.181006+00:00,21.58,11.5,47.0
1779115855181,2026-05-18T14:50:55.181080+00:00,23.92,11.7,54.0
1779115856181,2026-05-18T14:50:56.181370+00:00,22.11,12.1,48.0
1779115857181,2026-05-18T14:50:57.181561+00:00,22.37,11.7,47.0
1779115858181,2026-05-18T14:50:58.181643+00:00,21.31,11.2,47.0
1779115859181,2026-05-18T14:50:59.181729+00:00,23.19,12.5,49.0
1779115860181,2026-05-18T14:51:00.181809+00:00,21.64,11.4,47.0
1779115861181,2026-05-18T14:51:01.181881+00:00,22.8,11.9,47.0
1779115862181,2026-05-18T14:51:02.181956+00:00,20.92,11.9,48.0
1779115863182,2026-05-18T14:51:03.182044+00:00,22.21,11.8,50.0
1779115864182,2026-05-18T14:51:04.182125+00:00,22.81,11.8,48.0
1779115865182,2026-05-18T14:51:05.182165+00:00,21.92,11.7,48.0
1779115866182,2026-05-18T14:51:06.182288+00:00,21.63,12.1,50.0
1779115867182,2026-05-18T14:51:07.182371+00:00,22.55,12.6,50.0
1779115868182,2026-05-18T14:51:08.182447+00:00,21.99,11.8,48.0
1779115869182,2026-05-18T14:51:09.182561+00:00,21.88,11.6,48.0
1779115870182,2026-05-18T14:51:10.182757+00:00,21.33,12.2,52.0
1779115871182,2026-05-18T14:51:11.182830+00:00,21.88,12.2,52.0
1779115872182,2026-05-18T14:51:12.182913+00:00,21.92,12.0,49.0
1779115873183,2026-05-18T14:51:13.183004+00:00,21.73,11.3,49.0
1779115874183,2026-05-18T14:51:14.183095+00:00,21.4,11.5,50.0
1779115875183,2026-05-18T14:51:15.183312+00:00,23.6,12.6,50.0
1779115876183,2026-05-18T14:51:16.183505+00:00,21.33,11.8,48.0
1779115877183,2026-05-18T14:51:17.183664+00:00,22.68,11.1,48.0
1779115878184,2026-05-18T14:51:18.184021+00:00,22.31,12.2,48.0
1779115879184,2026-05-18T14:51:19.184101+00:00,22.65,11.7,49.0
1779115880184,2026-05-18T14:51:20.184281+00:00,21.86,12.0,49.0
1779115881184,2026-05-18T14:51:21.184424+00:00,22.07,11.7,50.0
1779115882184,2026-05-18T14:51:22.184610+00:00,18.81,9.0,48.0
1779115883184,2026-05-18T14:51:23.184792+00:00,15.18,6.4,48.0
1779115884184,2026-05-18T14:51:24.184877+00:00,17.07,8.1,48.0
1779115885184,2026-05-18T14:51:25.184964+00:00,20.77,11.9,52.0
1779115886185,2026-05-18T14:51:26.185045+00:00,21.76,12.0,52.0
1779115887185,2026-05-18T14:51:27.185121+00:00,21.83,12.2,49.0
1779115888185,2026-05-18T14:51:28.185346+00:00,22.29,11.3,48.0
1779115889185,2026-05-18T14:51:29.185588+00:00,21.52,11.1,48.0
1779115890185,2026-05-18T14:51:30.185665+00:00,23.28,11.7,48.0
1779115891185,2026-05-18T14:51:31.185857+00:00,22.24,11.5,49.0
1779115892186,2026-05-18T14:51:32.186011+00:00,22.26,12.3,48.0
1779115893186,2026-05-18T14:51:33.186089+00:00,21.86,11.6,48.0
1779115894186,2026-05-18T14:51:34.186265+00:00,23.06,12.4,49.0
1779115895186,2026-05-18T14:51:35.186434+00:00,22.08,10.7,49.0
1779115896186,2026-05-18T14:51:36.186661+00:00,22.25,12.4,49.0
1779115897186,2026-05-18T14:51:37.186733+00:00,22.43,12.0,49.0
1779115898186,2026-05-18T14:51:38.186818+00:00,22.59,12.0,49.0
1779115899186,2026-05-18T14:51:39.186903+00:00,22.64,10.7,49.0
1779115900187,2026-05-18T14:51:40.187137+00:00,22.12,11.5,50.0
1779115901187,2026-05-18T14:51:41.187222+00:00,22.23,11.1,50.0
1779115902187,2026-05-18T14:51:42.187343+00:00,23.6,12.0,49.0
1779115903187,2026-05-18T14:51:43.187511+00:00,21.45,11.2,50.0
1779115904187,2026-05-18T14:51:44.187589+00:00,22.63,10.9,50.0
1779115905187,2026-05-18T14:51:45.187662+00:00,23.4,12.3,49.0
1779115906187,2026-05-18T14:51:46.187748+00:00,22.01,12.5,49.0
1779115907187,2026-05-18T14:51:47.187921+00:00,21.75,10.9,49.0
1779115908188,2026-05-18T14:51:48.188011+00:00,23.7,12.1,49.0
1779115909188,2026-05-18T14:51:49.188159+00:00,9.71,3.0,47.0
