timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779124011736,2026-05-18T17:06:51.736798+00:00,0.0007,0.0007
1779124012736,2026-05-18T17:06:52.736946+00:00,12.0253,0.0524
1779124013737,2026-05-18T17:06:53.737105+00:00,16.1974,0.0661
1779124014737,2026-05-18T17:06:54.737216+00:00,17.4645,0.0669
1779124015737,2026-05-18T17:06:55.737421+00:00,14.4152,0.0455
1779124016737,2026-05-18T17:06:56.737492+00:00,16.8106,0.0527
1779124017737,2026-05-18T17:06:57.737674+00:00,15.861,0.052
1779124018737,2026-05-18T17:06:58.737821+00:00,17.7804,0.0563
1779124019737,2026-05-18T17:06:59.737996+00:00,16.8166,0.0513
1779124020738,2026-05-18T17:07:00.738229+00:00,14.4158,0.0458
1779124021738,2026-05-18T17:07:01.738459+00:00,16.8169,0.0504
1779124022738,2026-05-18T17:07:02.738721+00:00,16.8173,0.0524
1779124023738,2026-05-18T17:07:03.738936+00:00,16.8175,0.0538
1779124024739,2026-05-18T17:07:04.739134+00:00,16.8169,0.0549
1779124025739,2026-05-18T17:07:05.739345+00:00,16.817,0.053
1779124026739,2026-05-18T17:07:06.739500+00:00,16.8173,0.0536
1779124027739,2026-05-18T17:07:07.739733+00:00,16.817,0.0532
1779124028739,2026-05-18T17:07:08.739919+00:00,16.8172,0.0529
1779124029740,2026-05-18T17:07:09.740112+00:00,16.817,0.0522
1779124030740,2026-05-18T17:07:10.740311+00:00,16.8173,0.0518
1779124031740,2026-05-18T17:07:11.740494+00:00,17.0047,0.0519
1779124032740,2026-05-18T17:07:12.740640+00:00,16.6291,0.0541
1779124033740,2026-05-18T17:07:13.740797+00:00,16.965,0.0539
1779124034741,2026-05-18T17:07:14.741021+00:00,18.8287,0.0574
1779124035741,2026-05-18T17:07:15.741232+00:00,14.6584,0.0488
1779124036741,2026-05-18T17:07:16.741446+00:00,16.817,0.0534
1779124037741,2026-05-18T17:07:17.741663+00:00,16.8169,0.053
1779124038741,2026-05-18T17:07:18.741890+00:00,16.8172,0.0535
1779124039742,2026-05-18T17:07:19.742084+00:00,16.818,0.0529
1779124040742,2026-05-18T17:07:20.742297+00:00,16.8172,0.0515
1779124041742,2026-05-18T17:07:21.742493+00:00,16.8169,0.0518
1779124042742,2026-05-18T17:07:22.742710+00:00,7.2077,0.023
1779124043742,2026-05-18T17:07:23.742940+00:00,0.0019,0.0011
1779124044743,2026-05-18T17:07:24.743161+00:00,0.0008,0.0014
1779124045743,2026-05-18T17:07:25.743368+00:00,14.4146,0.0462
1779124046743,2026-05-18T17:07:26.743566+00:00,16.8175,0.0535
1779124047743,2026-05-18T17:07:27.743606+00:00,16.817,0.0529
1779124048743,2026-05-18T17:07:28.743692+00:00,16.8171,0.0528
1779124049743,2026-05-18T17:07:29.743772+00:00,16.817,0.0531
