timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779120983375,2026-05-18T16:16:23.375506+00:00,0.0084,0.0074
1779120984375,2026-05-18T16:16:24.375661+00:00,6.6143,0.0668
1779120985375,2026-05-18T16:16:25.375879+00:00,8.417,0.0835
1779120986376,2026-05-18T16:16:26.376098+00:00,9.0181,0.0889
1779120987376,2026-05-18T16:16:27.376178+00:00,8.4167,0.0826
1779120988376,2026-05-18T16:16:28.376381+00:00,8.4172,0.0828
1779120989376,2026-05-18T16:16:29.376596+00:00,8.4169,0.0802
1779120990376,2026-05-18T16:16:30.376686+00:00,8.4175,0.0891
1779120991376,2026-05-18T16:16:31.376835+00:00,8.4172,0.0833
1779120992376,2026-05-18T16:16:32.376992+00:00,9.0176,0.0846
1779120993377,2026-05-18T16:16:33.377153+00:00,8.4173,0.0834
1779120994377,2026-05-18T16:16:34.377234+00:00,8.4174,0.0886
1779120995377,2026-05-18T16:16:35.377474+00:00,9.0176,0.0866
1779120996377,2026-05-18T16:16:36.377665+00:00,8.4173,0.0844
1779120997377,2026-05-18T16:16:37.377739+00:00,8.4173,0.0881
1779120998377,2026-05-18T16:16:38.377959+00:00,8.8882,0.0861
1779120999378,2026-05-18T16:16:39.378176+00:00,8.5469,0.0853
1779121000378,2026-05-18T16:16:40.378364+00:00,8.4169,0.0831
1779121001378,2026-05-18T16:16:41.378619+00:00,4.2096,0.0466
1779121002378,2026-05-18T16:16:42.378824+00:00,0.0009,0.0012
1779121003378,2026-05-18T16:16:43.378998+00:00,0.001,0.0011
1779121004379,2026-05-18T16:16:44.379203+00:00,7.9555,0.08
1779121005379,2026-05-18T16:16:45.379377+00:00,10.0119,0.0962
1779121006379,2026-05-18T16:16:46.379600+00:00,8.485,0.0844
1779121007379,2026-05-18T16:16:47.379648+00:00,8.4173,0.0891
1779121008379,2026-05-18T16:16:48.379805+00:00,8.7405,0.0836
1779121009380,2026-05-18T16:16:49.380010+00:00,8.6942,0.0852
1779121010380,2026-05-18T16:16:50.380102+00:00,8.4168,0.0835
1779121011380,2026-05-18T16:16:51.380251+00:00,8.4176,0.0893
1779121012380,2026-05-18T16:16:52.380420+00:00,9.0176,0.085
1779121013380,2026-05-18T16:16:53.380606+00:00,8.4175,0.0835
1779121014380,2026-05-18T16:16:54.380688+00:00,8.4178,0.0885
1779121015380,2026-05-18T16:16:55.380851+00:00,8.7436,0.0841
1779121016381,2026-05-18T16:16:56.381079+00:00,8.6916,0.0846
1779121017381,2026-05-18T16:16:57.381237+00:00,8.4176,0.0886
1779121018381,2026-05-18T16:16:58.381384+00:00,8.4174,0.0837
1779121019381,2026-05-18T16:16:59.381615+00:00,9.0176,0.0847
