timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779125667266,2026-05-18T17:34:27.266023+00:00,1.01,7.1,53.0
1779125668266,2026-05-18T17:34:28.266184+00:00,2.15,20.7,53.0
1779125669266,2026-05-18T17:34:29.266387+00:00,2.52,29.4,56.0
1779125670266,2026-05-18T17:34:30.266501+00:00,2.62,25.3,56.0
1779125671266,2026-05-18T17:34:31.266607+00:00,2.41,31.9,63.0
1779125672266,2026-05-18T17:34:32.266721+00:00,2.36,31.1,63.0
1779125673266,2026-05-18T17:34:33.266852+00:00,2.47,26.7,55.0
1779125674267,2026-05-18T17:34:34.267296+00:00,2.6,30.1,56.0
1779125675267,2026-05-18T17:34:35.267528+00:00,2.09,35.1,55.0
1779125676267,2026-05-18T17:34:36.267712+00:00,2.23,31.3,55.0
1779125677267,2026-05-18T17:34:37.267921+00:00,2.58,28.8,55.0
1779125678267,2026-05-18T17:34:38.267955+00:00,2.54,24.9,56.0
1779125679268,2026-05-18T17:34:39.268425+00:00,2.53,29.9,55.0
1779125680268,2026-05-18T17:34:40.268427+00:00,2.49,26.7,55.0
1779125681268,2026-05-18T17:34:41.268512+00:00,2.37,29.1,55.0
1779125682268,2026-05-18T17:34:42.268663+00:00,2.17,32.5,55.0
1779125683268,2026-05-18T17:34:43.268798+00:00,2.57,28.3,55.0
1779125684268,2026-05-18T17:34:44.268889+00:00,2.42,27.8,56.0
1779125685268,2026-05-18T17:34:45.268981+00:00,2.3,31.6,56.0
1779125686269,2026-05-18T17:34:46.269082+00:00,2.2,21.1,55.0
1779125687269,2026-05-18T17:34:47.269247+00:00,1.01,2.0,55.0
1779125688269,2026-05-18T17:34:48.269345+00:00,1.02,2.8,54.0
1779125689270,2026-05-18T17:34:49.270836+00:00,3.24,26.1,59.0
1779125690273,2026-05-18T17:34:50.273816+00:00,3.11,38.5,58.0
1779125691273,2026-05-18T17:34:51.273895+00:00,2.33,30.8,58.0
1779125692274,2026-05-18T17:34:52.274067+00:00,2.4,26.5,57.0
1779125693274,2026-05-18T17:34:53.274135+00:00,2.46,28.9,56.0
1779125694275,2026-05-18T17:34:54.275818+00:00,2.6,28.8,56.0
1779125695275,2026-05-18T17:34:55.275952+00:00,2.18,29.6,56.0
1779125696276,2026-05-18T17:34:56.276158+00:00,2.54,31.8,57.0
1779125697276,2026-05-18T17:34:57.276236+00:00,2.32,32.5,57.0
1779125698276,2026-05-18T17:34:58.276321+00:00,2.32,30.5,58.0
1779125699276,2026-05-18T17:34:59.276451+00:00,2.64,29.0,58.0
1779125700276,2026-05-18T17:35:00.276560+00:00,2.21,32.9,58.0
1779125701276,2026-05-18T17:35:01.276663+00:00,2.58,25.9,58.0
1779125702276,2026-05-18T17:35:02.276863+00:00,2.55,29.7,58.0
1779125703277,2026-05-18T17:35:03.277006+00:00,2.36,28.0,58.0
1779125704277,2026-05-18T17:35:04.277088+00:00,2.57,30.4,65.0
1779125705277,2026-05-18T17:35:05.277232+00:00,2.41,28.3,58.0
1779125706277,2026-05-18T17:35:06.277366+00:00,2.29,31.6,58.0
1779125707277,2026-05-18T17:35:07.277458+00:00,2.45,26.8,56.0
1779125708277,2026-05-18T17:35:08.277543+00:00,2.06,33.8,56.0
1779125709279,2026-05-18T17:35:09.279840+00:00,2.57,26.3,60.0
1779125710279,2026-05-18T17:35:10.279970+00:00,2.22,32.6,56.0
1779125711280,2026-05-18T17:35:11.280044+00:00,2.33,30.5,56.0
1779125712280,2026-05-18T17:35:12.280158+00:00,2.32,31.2,57.0
1779125713280,2026-05-18T17:35:13.280233+00:00,2.25,31.4,56.0
1779125714280,2026-05-18T17:35:14.280329+00:00,2.29,33.2,58.0
1779125715280,2026-05-18T17:35:15.280446+00:00,2.13,35.5,58.0
1779125716280,2026-05-18T17:35:16.280551+00:00,2.27,29.9,58.0
1779125717281,2026-05-18T17:35:17.281107+00:00,2.37,29.3,56.0
1779125718281,2026-05-18T17:35:18.281080+00:00,2.46,27.5,56.0
1779125719281,2026-05-18T17:35:19.281170+00:00,2.33,30.5,61.0
1779125720281,2026-05-18T17:35:20.281337+00:00,2.57,28.7,58.0
1779125721281,2026-05-18T17:35:21.281508+00:00,2.41,28.2,58.0
1779125722282,2026-05-18T17:35:22.282269+00:00,2.37,28.6,58.0
1779125723282,2026-05-18T17:35:23.282303+00:00,2.47,27.1,58.0
1779125724282,2026-05-18T17:35:24.282395+00:00,2.28,31.5,58.0
1779125725282,2026-05-18T17:35:25.282497+00:00,2.47,29.1,58.0
1779125726282,2026-05-18T17:35:26.282591+00:00,2.17,30.0,58.0
1779125727282,2026-05-18T17:35:27.282830+00:00,2.21,32.0,58.0
1779125728282,2026-05-18T17:35:28.282920+00:00,2.19,32.4,57.0
1779125729284,2026-05-18T17:35:29.284802+00:00,2.44,29.4,57.0
1779125730284,2026-05-18T17:35:30.284928+00:00,2.58,26.7,58.0
1779125731285,2026-05-18T17:35:31.285070+00:00,2.46,26.9,58.0
1779125732285,2026-05-18T17:35:32.285321+00:00,2.47,30.0,58.0
1779125733285,2026-05-18T17:35:33.285401+00:00,2.38,27.1,58.0
1779125734285,2026-05-18T17:35:34.285496+00:00,2.32,30.5,58.0
1779125735286,2026-05-18T17:35:35.286816+00:00,2.22,31.7,59.0
1779125736286,2026-05-18T17:35:36.286962+00:00,2.51,28.6,58.0
1779125737287,2026-05-18T17:35:37.287095+00:00,2.26,30.7,58.0
1779125738287,2026-05-18T17:35:38.287212+00:00,2.2,31.8,58.0
1779125739287,2026-05-18T17:35:39.287332+00:00,2.39,27.4,58.0
1779125740287,2026-05-18T17:35:40.287441+00:00,2.47,30.1,59.0
1779125741287,2026-05-18T17:35:41.287520+00:00,2.7,26.2,59.0
1779125742287,2026-05-18T17:35:42.287582+00:00,2.49,27.1,59.0
1779125743287,2026-05-18T17:35:43.287693+00:00,2.51,29.5,59.0
1779125744287,2026-05-18T17:35:44.287825+00:00,2.18,33.3,57.0
1779125745287,2026-05-18T17:35:45.287920+00:00,2.19,33.2,57.0
1779125746288,2026-05-18T17:35:46.288006+00:00,2.34,28.9,68.0
1779125747288,2026-05-18T17:35:47.288103+00:00,2.51,29.4,58.0
1779125748288,2026-05-18T17:35:48.288202+00:00,2.34,28.8,58.0
1779125749288,2026-05-18T17:35:49.288287+00:00,2.31,29.2,58.0
1779125750288,2026-05-18T17:35:50.288390+00:00,2.68,29.7,58.0
1779125751288,2026-05-18T17:35:51.288516+00:00,2.41,29.7,58.0
1779125752288,2026-05-18T17:35:52.288668+00:00,2.39,29.0,58.0
1779125753288,2026-05-18T17:35:53.288814+00:00,2.46,27.4,58.0
1779125754288,2026-05-18T17:35:54.288876+00:00,2.49,32.0,58.0
1779125755288,2026-05-18T17:35:55.288986+00:00,2.25,29.1,60.0
1779125756290,2026-05-18T17:35:56.290802+00:00,2.18,26.4,61.0
1779125757290,2026-05-18T17:35:57.290923+00:00,2.35,29.3,61.0
1779125758291,2026-05-18T17:35:58.291027+00:00,2.27,30.3,58.0
1779125759291,2026-05-18T17:35:59.291188+00:00,2.32,29.0,58.0
1779125760291,2026-05-18T17:36:00.291357+00:00,1.99,32.8,58.0
1779125761291,2026-05-18T17:36:01.291440+00:00,2.38,28.1,58.0
1779125762291,2026-05-18T17:36:02.291627+00:00,2.14,32.4,58.0
1779125763293,2026-05-18T17:36:03.293808+00:00,2.24,28.1,58.0
1779125764294,2026-05-18T17:36:04.294361+00:00,2.18,28.6,58.0
1779125765294,2026-05-18T17:36:05.294489+00:00,2.15,33.2,58.0
1779125766294,2026-05-18T17:36:06.294591+00:00,2.37,28.5,58.0
1779125767294,2026-05-18T17:36:07.294880+00:00,2.34,29.7,58.0
1779125768294,2026-05-18T17:36:08.294964+00:00,2.09,26.5,58.0
1779125769295,2026-05-18T17:36:09.295151+00:00,1.04,3.0,56.0
1779125770295,2026-05-18T17:36:10.295314+00:00,1.03,2.3,56.0
1779125771295,2026-05-18T17:36:11.295825+00:00,1.99,19.3,61.0
1779125772295,2026-05-18T17:36:12.295933+00:00,3.35,33.9,60.0
1779125773296,2026-05-18T17:36:13.296138+00:00,2.27,32.4,60.0
1779125774296,2026-05-18T17:36:14.296154+00:00,2.39,26.6,58.0
1779125775296,2026-05-18T17:36:15.296300+00:00,2.41,26.9,59.0
1779125776296,2026-05-18T17:36:16.296435+00:00,2.26,30.2,59.0
1779125777296,2026-05-18T17:36:17.296596+00:00,2.43,32.6,61.0
1779125778296,2026-05-18T17:36:18.296695+00:00,2.4,26.1,60.0
1779125779296,2026-05-18T17:36:19.296861+00:00,2.33,30.2,60.0
1779125780297,2026-05-18T17:36:20.297037+00:00,2.39,28.5,63.0
1779125781297,2026-05-18T17:36:21.297168+00:00,2.41,26.4,63.0
1779125782297,2026-05-18T17:36:22.297251+00:00,2.16,29.2,62.0
1779125783297,2026-05-18T17:36:23.297350+00:00,2.37,27.9,59.0
1779125784297,2026-05-18T17:36:24.297522+00:00,2.55,29.8,59.0
1779125785297,2026-05-18T17:36:25.297615+00:00,2.66,24.9,59.0
1779125786298,2026-05-18T17:36:26.298831+00:00,2.24,36.6,59.0
1779125787299,2026-05-18T17:36:27.299087+00:00,2.17,33.7,58.0
1779125788299,2026-05-18T17:36:28.299212+00:00,1.58,16.7,55.0
