timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779125494692,2026-05-18T17:31:34.692599+00:00,0.0017,0.0029
1779125495693,2026-05-18T17:31:35.693794+00:00,33.3177,3.1152
1779125496693,2026-05-18T17:31:36.693875+00:00,46.4182,4.6105
1779125497694,2026-05-18T17:31:37.694130+00:00,45.2062,4.5875
1779125498694,2026-05-18T17:31:38.694256+00:00,44.6718,3.9577
1779125499694,2026-05-18T17:31:39.694342+00:00,46.4789,4.0029
1779125500694,2026-05-18T17:31:40.694436+00:00,36.6223,3.8049
1779125501694,2026-05-18T17:31:41.694554+00:00,42.8347,3.935
1779125502694,2026-05-18T17:31:42.694646+00:00,42.0181,3.9279
1779125503694,2026-05-18T17:31:43.694700+00:00,42.2375,3.9293
1779125504694,2026-05-18T17:31:44.694844+00:00,44.116,3.9703
1779125505694,2026-05-18T17:31:45.694976+00:00,42.5233,4.5465
1779125506695,2026-05-18T17:31:46.695068+00:00,46.6143,4.0118
1779125507695,2026-05-18T17:31:47.695160+00:00,45.0062,4.3706
1779125508695,2026-05-18T17:31:48.695334+00:00,45.332,4.2328
1779125509695,2026-05-18T17:31:49.695458+00:00,43.2927,3.962
1779125510695,2026-05-18T17:31:50.695604+00:00,44.6438,4.6
1779125511695,2026-05-18T17:31:51.695851+00:00,41.6466,3.9109
1779125512695,2026-05-18T17:31:52.695990+00:00,46.006,4.0194
1779125513696,2026-05-18T17:31:53.696086+00:00,41.2059,3.9085
1779125514696,2026-05-18T17:31:54.696138+00:00,39.495,3.8719
1779125515696,2026-05-18T17:31:55.696227+00:00,40.8869,3.89
1779125516696,2026-05-18T17:31:56.696404+00:00,40.9147,3.8974
1779125517696,2026-05-18T17:31:57.696494+00:00,41.372,3.2993
1779125518696,2026-05-18T17:31:58.696597+00:00,41.6466,3.9106
1779125519696,2026-05-18T17:31:59.696730+00:00,41.2667,3.905
1779125520696,2026-05-18T17:32:00.696846+00:00,39.3684,3.8691
1779125521696,2026-05-18T17:32:01.696988+00:00,35.9778,3.2039
1779125522697,2026-05-18T17:32:02.697135+00:00,0.0002,0.0001
1779125523697,2026-05-18T17:32:03.697258+00:00,0.0001,0.0001
1779125524697,2026-05-18T17:32:04.697339+00:00,19.1717,2.2096
1779125525697,2026-05-18T17:32:05.697446+00:00,40.6915,3.8839
1779125526697,2026-05-18T17:32:06.697558+00:00,47.8266,4.0543
1779125527697,2026-05-18T17:32:07.697700+00:00,43.0727,4.5508
1779125528697,2026-05-18T17:32:08.697786+00:00,47.6782,4.0387
1779125529698,2026-05-18T17:32:09.698042+00:00,43.226,4.5519
1779125530698,2026-05-18T17:32:10.698132+00:00,45.7879,3.9975
1779125531698,2026-05-18T17:32:11.698231+00:00,45.722,4.0027
1779125532698,2026-05-18T17:32:12.698350+00:00,41.6484,4.5241
1779125533698,2026-05-18T17:32:13.698480+00:00,45.1928,3.9842
1779125534698,2026-05-18T17:32:14.698620+00:00,41.88,3.9331
1779125535698,2026-05-18T17:32:15.698727+00:00,45.0122,3.9895
1779125536698,2026-05-18T17:32:16.698821+00:00,42.8299,4.554
1779125537698,2026-05-18T17:32:17.698944+00:00,48.2267,4.0623
1779125538699,2026-05-18T17:32:18.699035+00:00,43.3951,4.5698
1779125539699,2026-05-18T17:32:19.699131+00:00,47.0486,4.042
1779125540699,2026-05-18T17:32:20.699243+00:00,44.5738,4.5918
1779125541699,2026-05-18T17:32:21.699304+00:00,46.3372,4.0125
1779125542700,2026-05-18T17:32:22.700831+00:00,45.2839,4.0098
1779125543701,2026-05-18T17:32:23.701250+00:00,42.0827,4.5219
1779125544701,2026-05-18T17:32:24.701374+00:00,46.3315,4.027
1779125545701,2026-05-18T17:32:25.701467+00:00,44.9648,4.5928
1779125546701,2026-05-18T17:32:26.701586+00:00,44.4791,3.9796
1779125547701,2026-05-18T17:32:27.701719+00:00,45.0196,3.9958
1779125548701,2026-05-18T17:32:28.701970+00:00,43.6647,4.5664
1779125549702,2026-05-18T17:32:29.702080+00:00,43.7711,3.9597
1779125550702,2026-05-18T17:32:30.702220+00:00,45.1969,3.9947
1779125551703,2026-05-18T17:32:31.703827+00:00,44.2997,3.986
1779125552703,2026-05-18T17:32:32.703907+00:00,41.6465,3.9018
1779125553703,2026-05-18T17:32:33.703985+00:00,41.6477,4.5155
1779125554704,2026-05-18T17:32:34.704088+00:00,41.6464,3.914
1779125555704,2026-05-18T17:32:35.704368+00:00,41.7543,3.9106
1779125556704,2026-05-18T17:32:36.704490+00:00,47.1914,4.0436
1779125557705,2026-05-18T17:32:37.705839+00:00,44.3226,4.4155
1779125558705,2026-05-18T17:32:38.705939+00:00,44.1593,4.1139
1779125559706,2026-05-18T17:32:39.706042+00:00,44.8074,3.9659
1779125560706,2026-05-18T17:32:40.706120+00:00,42.9032,3.9188
1779125561706,2026-05-18T17:32:41.706212+00:00,43.0431,3.9403
1779125562706,2026-05-18T17:32:42.706330+00:00,41.2255,3.8947
1779125563706,2026-05-18T17:32:43.706461+00:00,41.1803,3.8985
1779125564706,2026-05-18T17:32:44.706581+00:00,42.534,3.9301
1779125565706,2026-05-18T17:32:45.706699+00:00,39.3592,3.8612
1779125566706,2026-05-18T17:32:46.706795+00:00,41.1917,3.8959
1779125567706,2026-05-18T17:32:47.706900+00:00,44.3924,4.5954
1779125568707,2026-05-18T17:32:48.707014+00:00,41.8113,3.9176
1779125569707,2026-05-18T17:32:49.707188+00:00,43.0031,3.93
1779125570707,2026-05-18T17:32:50.707360+00:00,41.2054,3.901
1779125571707,2026-05-18T17:32:51.707495+00:00,46.3174,4.0182
1779125572707,2026-05-18T17:32:52.707632+00:00,44.2261,3.9623
1779125573707,2026-05-18T17:32:53.707850+00:00,44.056,4.5895
1779125574708,2026-05-18T17:32:54.708020+00:00,44.106,3.9081
1779125575708,2026-05-18T17:32:55.708141+00:00,41.0721,3.8977
1779125576708,2026-05-18T17:32:56.708181+00:00,44.5822,3.97
1779125577708,2026-05-18T17:32:57.708313+00:00,42.7488,4.5562
1779125578708,2026-05-18T17:32:58.708467+00:00,44.4302,3.9702
1779125579708,2026-05-18T17:32:59.708639+00:00,43.8659,3.956
1779125580710,2026-05-18T17:33:00.710825+00:00,44.9708,3.9882
1779125581710,2026-05-18T17:33:01.710926+00:00,41.6461,3.9167
1779125582711,2026-05-18T17:33:02.711056+00:00,40.6324,3.8963
1779125583711,2026-05-18T17:33:03.711155+00:00,37.4482,3.8293
1779125584711,2026-05-18T17:33:04.711311+00:00,29.4604,2.3873
1779125585711,2026-05-18T17:33:05.711591+00:00,17.4005,1.5795
1779125586711,2026-05-18T17:33:06.711917+00:00,16.6607,2.1122
1779125587712,2026-05-18T17:33:07.712003+00:00,18.9743,1.5874
1779125588712,2026-05-18T17:33:08.712098+00:00,39.3319,3.2579
1779125589712,2026-05-18T17:33:09.712365+00:00,41.8294,4.5205
1779125590712,2026-05-18T17:33:10.712455+00:00,43.469,3.9484
1779125591712,2026-05-18T17:33:11.712534+00:00,45.2142,3.9961
1779125592712,2026-05-18T17:33:12.712625+00:00,44.3673,3.9662
1779125593712,2026-05-18T17:33:13.712748+00:00,41.6834,4.5269
1779125594712,2026-05-18T17:33:14.712821+00:00,43.1101,3.9489
1779125595712,2026-05-18T17:33:15.712936+00:00,45.9108,4.0069
1779125596713,2026-05-18T17:33:16.713070+00:00,44.2463,3.9735
1779125597713,2026-05-18T17:33:17.713313+00:00,41.6473,4.5341
1779125598713,2026-05-18T17:33:18.713402+00:00,46.2014,4.0148
1779125599713,2026-05-18T17:33:19.713559+00:00,45.1156,3.998
1779125600713,2026-05-18T17:33:20.713826+00:00,41.9515,4.5324
1779125601713,2026-05-18T17:33:21.713951+00:00,44.7093,3.9736
1779125602714,2026-05-18T17:33:22.714033+00:00,46.0558,4.0099
1779125603714,2026-05-18T17:33:23.714191+00:00,40.964,3.9032
1779125604714,2026-05-18T17:33:24.714328+00:00,1.5392,0.0419
1779125605714,2026-05-18T17:33:25.714565+00:00,0.0001,0.0001
1779125606714,2026-05-18T17:33:26.714643+00:00,15.4755,1.5275
1779125607714,2026-05-18T17:33:27.714722+00:00,42.2429,3.9173
1779125608714,2026-05-18T17:33:28.714815+00:00,42.2338,3.9014
1779125609714,2026-05-18T17:33:29.714907+00:00,42.934,4.5429
1779125610715,2026-05-18T17:33:30.715000+00:00,44.8694,3.9867
1779125611715,2026-05-18T17:33:31.715112+00:00,45.4671,4.6049
1779125612715,2026-05-18T17:33:32.715191+00:00,43.1034,3.9343
1779125613715,2026-05-18T17:33:33.715475+00:00,40.372,3.8908
1779125614715,2026-05-18T17:33:34.715579+00:00,42.0126,3.9216
1779125615715,2026-05-18T17:33:35.715759+00:00,16.11,0.9613
