timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779121735353,2026-05-18T16:28:55.353743+00:00,1.05,7.5,58.0
1779121736354,2026-05-18T16:28:56.354810+00:00,3.74,35.2,58.0
1779121737355,2026-05-18T16:28:57.355908+00:00,3.95,37.7,63.0
1779121738356,2026-05-18T16:28:58.356029+00:00,4.61,46.2,63.0
1779121739356,2026-05-18T16:28:59.356164+00:00,4.07,40.2,69.0
1779121740356,2026-05-18T16:29:00.356276+00:00,4.23,49.9,69.0
1779121741356,2026-05-18T16:29:01.356367+00:00,2.37,19.1,58.0
1779121742356,2026-05-18T16:29:02.356468+00:00,1.06,2.8,58.0
1779121743356,2026-05-18T16:29:03.356581+00:00,1.05,2.3,58.0
1779121744356,2026-05-18T16:29:04.356660+00:00,4.48,50.0,58.0
1779121745356,2026-05-18T16:29:05.356823+00:00,4.85,42.9,62.0
1779121746357,2026-05-18T16:29:06.357823+00:00,4.18,42.1,65.0
1779121747358,2026-05-18T16:29:07.358108+00:00,4.45,39.4,65.0
1779121748358,2026-05-18T16:29:08.358178+00:00,4.43,49.0,75.0
1779121749358,2026-05-18T16:29:09.358318+00:00,4.14,39.1,63.0
1779121750358,2026-05-18T16:29:10.358427+00:00,4.49,40.9,63.0
1779121751358,2026-05-18T16:29:11.358706+00:00,4.88,40.5,63.0
1779121752358,2026-05-18T16:29:12.358799+00:00,3.99,44.2,63.0
1779121753358,2026-05-18T16:29:13.358903+00:00,4.51,39.5,63.0
1779121754359,2026-05-18T16:29:14.359185+00:00,4.65,43.3,65.0
1779121755359,2026-05-18T16:29:15.359338+00:00,4.16,41.5,65.0
1779121756359,2026-05-18T16:29:16.359450+00:00,4.42,40.9,62.0
1779121757359,2026-05-18T16:29:17.359537+00:00,4.45,46.6,78.0
1779121758359,2026-05-18T16:29:18.359635+00:00,4.09,37.7,78.0
1779121759359,2026-05-18T16:29:19.359822+00:00,4.7,40.0,63.0
1779121760359,2026-05-18T16:29:20.359919+00:00,4.95,39.8,63.0
1779121761360,2026-05-18T16:29:21.360082+00:00,3.9,40.3,62.0
1779121762360,2026-05-18T16:29:22.360285+00:00,4.57,43.7,62.0
1779121763360,2026-05-18T16:29:23.360340+00:00,3.98,45.1,66.0
1779121764360,2026-05-18T16:29:24.360460+00:00,4.51,39.8,66.0
1779121765360,2026-05-18T16:29:25.360737+00:00,4.67,41.9,63.0
1779121766360,2026-05-18T16:29:26.360822+00:00,4.82,40.9,63.0
1779121767360,2026-05-18T16:29:27.360990+00:00,4.04,39.9,62.0
1779121768361,2026-05-18T16:29:28.361280+00:00,4.7,41.1,62.0
1779121769361,2026-05-18T16:29:29.361387+00:00,4.47,43.9,78.0
1779121770361,2026-05-18T16:29:30.361535+00:00,3.96,40.9,61.0
1779121771361,2026-05-18T16:29:31.361613+00:00,4.71,42.2,61.0
1779121772361,2026-05-18T16:29:32.361899+00:00,3.88,39.1,62.0
1779121773362,2026-05-18T16:29:33.362054+00:00,4.46,45.3,62.0
1779121774362,2026-05-18T16:29:34.362161+00:00,4.2,39.0,65.0
1779121775362,2026-05-18T16:29:35.362276+00:00,4.61,38.2,65.0
1779121776362,2026-05-18T16:29:36.362441+00:00,4.53,43.7,70.0
1779121777362,2026-05-18T16:29:37.362531+00:00,4.33,36.6,70.0
1779121778362,2026-05-18T16:29:38.362648+00:00,4.78,38.3,63.0
1779121779362,2026-05-18T16:29:39.362752+00:00,4.56,44.7,63.0
1779121780363,2026-05-18T16:29:40.363016+00:00,3.86,43.3,65.0
1779121781363,2026-05-18T16:29:41.363125+00:00,4.36,41.5,65.0
1779121782363,2026-05-18T16:29:42.363247+00:00,4.62,40.0,63.0
1779121783363,2026-05-18T16:29:43.363404+00:00,4.4,46.6,63.0
1779121784364,2026-05-18T16:29:44.364807+00:00,4.76,39.0,80.0
1779121785364,2026-05-18T16:29:45.364921+00:00,3.81,41.8,62.0
1779121786365,2026-05-18T16:29:46.365004+00:00,4.69,42.0,62.0
1779121787365,2026-05-18T16:29:47.365289+00:00,3.75,40.3,63.0
1779121788365,2026-05-18T16:29:48.365575+00:00,4.58,44.1,63.0
1779121789365,2026-05-18T16:29:49.365628+00:00,4.68,41.6,78.0
1779121790365,2026-05-18T16:29:50.365737+00:00,3.99,41.5,65.0
1779121791365,2026-05-18T16:29:51.365836+00:00,4.49,40.8,80.0
1779121792366,2026-05-18T16:29:52.366117+00:00,4.35,38.8,80.0
1779121793366,2026-05-18T16:29:53.366223+00:00,4.55,42.5,75.0
