timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1779116109656,2026-05-18T14:55:09.656053+00:00,0.0014,0.003
1779116110656,2026-05-18T14:55:10.656763+00:00,0.0374,4.2066
1779116111657,2026-05-18T14:55:11.657001+00:00,0.0471,6.0089
1779116112657,2026-05-18T14:55:12.657188+00:00,0.0461,5.4084
1779116113657,2026-05-18T14:55:13.657363+00:00,0.0457,5.4087
1779116114657,2026-05-18T14:55:14.657703+00:00,0.0467,5.4084
1779116115657,2026-05-18T14:55:15.657984+00:00,0.0468,5.4084
1779116116658,2026-05-18T14:55:16.658202+00:00,0.0472,5.4084
1779116117658,2026-05-18T14:55:17.658320+00:00,0.0466,5.4084
1779116118658,2026-05-18T14:55:18.658598+00:00,0.0459,5.4084
1779116119658,2026-05-18T14:55:19.658877+00:00,0.0461,5.4083
1779116120659,2026-05-18T14:55:20.659022+00:00,0.0512,6.0093
1779116121659,2026-05-18T14:55:21.659163+00:00,0.0459,5.4083
1779116122659,2026-05-18T14:55:22.659256+00:00,0.0502,6.0092
1779116123660,2026-05-18T14:55:23.660837+00:00,0.0453,4.8074
1779116124660,2026-05-18T14:55:24.660968+00:00,0.0466,6.0084
1779116125661,2026-05-18T14:55:25.661856+00:00,0.0502,5.4082
1779116126661,2026-05-18T14:55:26.661992+00:00,0.046,5.4079
1779116127662,2026-05-18T14:55:27.662272+00:00,0.0461,5.4077
1779116128662,2026-05-18T14:55:28.662448+00:00,0.0461,5.4084
1779116129662,2026-05-18T14:55:29.662558+00:00,0.0464,5.4079
1779116130662,2026-05-18T14:55:30.662670+00:00,0.0469,6.0086
1779116131662,2026-05-18T14:55:31.662955+00:00,0.0458,5.4078
1779116132663,2026-05-18T14:55:32.663140+00:00,0.045,4.807
1779116133663,2026-05-18T14:55:33.663252+00:00,0.042,5.408
1779116134663,2026-05-18T14:55:34.663339+00:00,0.0503,5.4084
1779116135663,2026-05-18T14:55:35.663626+00:00,0.0423,5.4075
1779116136663,2026-05-18T14:55:36.663826+00:00,0.0466,5.4079
1779116137663,2026-05-18T14:55:37.663989+00:00,0.0467,5.4079
1779116138665,2026-05-18T14:55:38.665834+00:00,0.0508,5.957
1779116139665,2026-05-18T14:55:39.665971+00:00,0.0466,4.8591
1779116140666,2026-05-18T14:55:40.666017+00:00,0.048,6.0086
1779116141666,2026-05-18T14:55:41.666167+00:00,0.0468,5.4079
1779116142666,2026-05-18T14:55:42.666447+00:00,0.0465,5.4081
1779116143667,2026-05-18T14:55:43.667827+00:00,0.0516,6.0087
1779116144667,2026-05-18T14:55:44.667952+00:00,0.0469,5.4079
1779116145668,2026-05-18T14:55:45.668162+00:00,0.0468,5.408
1779116146668,2026-05-18T14:55:46.668439+00:00,0.0453,4.8074
1779116147668,2026-05-18T14:55:47.668619+00:00,0.0423,5.4076
1779116148668,2026-05-18T14:55:48.668735+00:00,0.0468,5.408
1779116149669,2026-05-18T14:55:49.669030+00:00,0.0467,5.4078
1779116150669,2026-05-18T14:55:50.669126+00:00,0.047,5.4081
1779116151669,2026-05-18T14:55:51.669252+00:00,0.0471,5.4085
1779116152669,2026-05-18T14:55:52.669355+00:00,0.0456,4.8075
1779116153669,2026-05-18T14:55:53.669614+00:00,0.0478,6.0084
1779116154670,2026-05-18T14:55:54.670246+00:00,0.0461,5.408
1779116155670,2026-05-18T14:55:55.670398+00:00,0.047,5.4079
1779116156670,2026-05-18T14:55:56.670692+00:00,0.0463,5.4081
1779116157670,2026-05-18T14:55:57.670815+00:00,0.0467,5.408
1779116158670,2026-05-18T14:55:58.670917+00:00,0.0197,1.8031
1779116159671,2026-05-18T14:55:59.671070+00:00,0.0001,0.0001
1779116160671,2026-05-18T14:56:00.671194+00:00,0.0002,0.0001
1779116161671,2026-05-18T14:56:01.671373+00:00,0.0382,4.8067
1779116162671,2026-05-18T14:56:02.671649+00:00,0.0504,5.408
1779116163671,2026-05-18T14:56:03.671937+00:00,0.0481,6.0088
1779116164672,2026-05-18T14:56:04.672053+00:00,0.0461,5.4079
1779116165672,2026-05-18T14:56:05.672179+00:00,0.0463,5.4079
1779116166672,2026-05-18T14:56:06.672480+00:00,0.0462,5.408
1779116167672,2026-05-18T14:56:07.672658+00:00,0.0472,5.4083
1779116168672,2026-05-18T14:56:08.672772+00:00,0.0462,5.4079
1779116169673,2026-05-18T14:56:09.673066+00:00,0.0468,5.4078
1779116170673,2026-05-18T14:56:10.673252+00:00,0.0465,5.4079
1779116171673,2026-05-18T14:56:11.673372+00:00,0.0468,5.408
1779116172673,2026-05-18T14:56:12.673486+00:00,0.0512,6.0088
1779116173673,2026-05-18T14:56:13.673816+00:00,0.0426,4.8074
1779116174673,2026-05-18T14:56:14.673929+00:00,0.0468,5.4079
1779116175674,2026-05-18T14:56:15.674025+00:00,0.047,5.4078
1779116176674,2026-05-18T14:56:16.674324+00:00,0.0472,5.4079
1779116177675,2026-05-18T14:56:17.675922+00:00,0.0505,5.4083
1779116178676,2026-05-18T14:56:18.676086+00:00,0.0473,6.0084
1779116179676,2026-05-18T14:56:19.676363+00:00,0.0465,5.4079
1779116180676,2026-05-18T14:56:20.676472+00:00,0.0476,5.4081
1779116181676,2026-05-18T14:56:21.676589+00:00,0.0469,5.4079
1779116182676,2026-05-18T14:56:22.676703+00:00,0.0466,5.408
1779116183676,2026-05-18T14:56:23.676985+00:00,0.0461,5.4079
1779116184677,2026-05-18T14:56:24.677273+00:00,0.0421,4.8085
1779116185677,2026-05-18T14:56:25.677420+00:00,0.0357,3.006
1779116186677,2026-05-18T14:56:26.677685+00:00,0.0232,3.0043
1779116187677,2026-05-18T14:56:27.677979+00:00,0.0259,3.0045
1779116188678,2026-05-18T14:56:28.678096+00:00,0.0413,4.8073
1779116189678,2026-05-18T14:56:29.678226+00:00,0.0465,5.4079
1779116190678,2026-05-18T14:56:30.678309+00:00,0.0457,5.4079
1779116191678,2026-05-18T14:56:31.678638+00:00,0.0478,5.4079
1779116192678,2026-05-18T14:56:32.678852+00:00,0.0466,5.4078
1779116193680,2026-05-18T14:56:33.680812+00:00,0.0506,5.697
1779116194681,2026-05-18T14:56:34.681101+00:00,0.0472,5.7196
1779116195681,2026-05-18T14:56:35.681291+00:00,0.0474,5.408
1779116196681,2026-05-18T14:56:36.681471+00:00,0.0414,4.8071
1779116197681,2026-05-18T14:56:37.681559+00:00,0.051,6.0088
1779116198681,2026-05-18T14:56:38.681662+00:00,0.0459,5.1107
1779116199681,2026-05-18T14:56:39.681952+00:00,0.0473,5.1044
1779116200682,2026-05-18T14:56:40.682138+00:00,0.0423,5.4079
1779116201682,2026-05-18T14:56:41.682294+00:00,0.0505,5.4081
1779116202682,2026-05-18T14:56:42.682573+00:00,0.0463,5.4079
1779116203682,2026-05-18T14:56:43.682745+00:00,0.0464,5.4082
1779116204682,2026-05-18T14:56:44.682905+00:00,0.0476,6.0085
1779116205683,2026-05-18T14:56:45.683188+00:00,0.0473,5.4079
1779116206683,2026-05-18T14:56:46.683460+00:00,0.0466,5.408
1779116207683,2026-05-18T14:56:47.683735+00:00,0.0458,4.8072
1779116208683,2026-05-18T14:56:48.683910+00:00,0.0416,5.4079
1779116209684,2026-05-18T14:56:49.684013+00:00,0.0466,5.4078
1779116210684,2026-05-18T14:56:50.684303+00:00,0.0468,5.4079
1779116211684,2026-05-18T14:56:51.684582+00:00,0.0509,5.4083
1779116212684,2026-05-18T14:56:52.684880+00:00,0.0465,5.4076
1779116213684,2026-05-18T14:56:53.684998+00:00,0.0473,6.0089
1779116214685,2026-05-18T14:56:54.685129+00:00,0.0467,5.4079
1779116215685,2026-05-18T14:56:55.685417+00:00,0.0471,5.4079
1779116216685,2026-05-18T14:56:56.685507+00:00,0.047,5.408
1779116217685,2026-05-18T14:56:57.685608+00:00,0.0465,5.4078
1779116218685,2026-05-18T14:56:58.685896+00:00,0.0462,5.408
1779116219686,2026-05-18T14:56:59.686188+00:00,0.0463,5.408
1779116220686,2026-05-18T14:57:00.686345+00:00,0.0466,5.4079
1779116221686,2026-05-18T14:57:01.686584+00:00,0.0473,5.4078
1779116222686,2026-05-18T14:57:02.686873+00:00,0.0468,5.4079
1779116223687,2026-05-18T14:57:03.687054+00:00,0.0466,5.4079
1779116224687,2026-05-18T14:57:04.687140+00:00,0.051,5.4082
1779116225687,2026-05-18T14:57:05.687254+00:00,0.0423,5.4077
1779116226687,2026-05-18T14:57:06.687493+00:00,0.0521,6.0088
1779116227687,2026-05-18T14:57:07.687666+00:00,0.0466,5.4079
1779116228689,2026-05-18T14:57:08.689833+00:00,0.051,6.0089
1779116229690,2026-05-18T14:57:09.690099+00:00,0.0474,5.408
1779116230690,2026-05-18T14:57:10.690207+00:00,0.0148,1.2024
