timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779119000860,2026-05-18T15:43:20.860249+00:00,1.01,7.0,56.0
1779119001860,2026-05-18T15:43:21.860340+00:00,1.77,35.0,56.0
1779119002860,2026-05-18T15:43:22.860500+00:00,1.97,43.4,56.0
1779119003860,2026-05-18T15:43:23.860599+00:00,1.98,42.0,58.0
1779119004860,2026-05-18T15:43:24.860683+00:00,2.0,43.5,58.0
1779119005860,2026-05-18T15:43:25.860839+00:00,1.96,44.6,56.0
1779119006860,2026-05-18T15:43:26.860958+00:00,1.97,42.3,56.0
1779119007861,2026-05-18T15:43:27.861056+00:00,2.06,40.9,58.0
1779119008861,2026-05-18T15:43:28.861186+00:00,2.04,45.4,58.0
1779119009861,2026-05-18T15:43:29.861376+00:00,1.99,41.8,57.0
1779119010861,2026-05-18T15:43:30.861495+00:00,2.0,41.1,56.0
1779119011861,2026-05-18T15:43:31.861664+00:00,2.06,40.6,56.0
1779119012862,2026-05-18T15:43:32.862834+00:00,1.92,43.2,60.0
1779119013862,2026-05-18T15:43:33.862938+00:00,1.89,41.5,60.0
1779119014863,2026-05-18T15:43:34.863053+00:00,1.92,39.3,58.0
1779119015864,2026-05-18T15:43:35.864838+00:00,1.95,41.5,60.0
1779119016865,2026-05-18T15:43:36.865048+00:00,1.94,41.8,60.0
1779119017865,2026-05-18T15:43:37.865221+00:00,1.86,41.0,58.0
1779119018865,2026-05-18T15:43:38.865356+00:00,1.91,40.9,58.0
1779119019865,2026-05-18T15:43:39.865497+00:00,1.96,42.8,60.0
1779119020865,2026-05-18T15:43:40.865603+00:00,1.91,39.5,58.0
1779119021865,2026-05-18T15:43:41.865761+00:00,1.9,42.1,58.0
1779119022865,2026-05-18T15:43:42.865810+00:00,2.01,41.9,58.0
1779119023865,2026-05-18T15:43:43.865892+00:00,2.06,43.8,58.0
1779119024865,2026-05-18T15:43:44.865997+00:00,1.92,40.3,58.0
1779119025866,2026-05-18T15:43:45.866121+00:00,1.94,40.3,58.0
1779119026866,2026-05-18T15:43:46.866266+00:00,2.07,44.4,58.0
1779119027866,2026-05-18T15:43:47.866374+00:00,1.96,42.4,58.0
1779119028866,2026-05-18T15:43:48.866520+00:00,1.98,43.5,58.0
1779119029867,2026-05-18T15:43:49.867842+00:00,1.97,43.8,60.0
1779119030867,2026-05-18T15:43:50.867947+00:00,1.97,42.2,60.0
1779119031868,2026-05-18T15:43:51.868066+00:00,1.97,41.7,57.0
1779119032868,2026-05-18T15:43:52.868192+00:00,1.88,40.5,57.0
1779119033868,2026-05-18T15:43:53.868289+00:00,1.97,44.9,58.0
1779119034868,2026-05-18T15:43:54.868412+00:00,1.88,39.6,58.0
1779119035868,2026-05-18T15:43:55.868591+00:00,1.02,3.0,58.0
1779119036868,2026-05-18T15:43:56.868754+00:00,1.02,2.5,56.0
1779119037868,2026-05-18T15:43:57.868867+00:00,2.39,33.7,63.0
1779119038870,2026-05-18T15:43:58.870646+00:00,4.08,74.2,63.0
1779119039871,2026-05-18T15:43:59.871833+00:00,2.11,44.2,58.0
1779119040871,2026-05-18T15:44:00.871978+00:00,2.05,43.3,58.0
1779119041872,2026-05-18T15:44:01.872096+00:00,2.07,41.4,58.0
