timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1779123810810,2026-05-18T17:03:30.810846+00:00,1.02,7.1,55.0
1779123811810,2026-05-18T17:03:31.810965+00:00,1.7,33.9,55.0
1779123812811,2026-05-18T17:03:32.811106+00:00,1.98,40.1,57.0
1779123813811,2026-05-18T17:03:33.811247+00:00,2.02,42.5,57.0
1779123814811,2026-05-18T17:03:34.811370+00:00,1.87,42.9,58.0
1779123815811,2026-05-18T17:03:35.811486+00:00,2.04,40.7,56.0
1779123816812,2026-05-18T17:03:36.812826+00:00,2.08,41.9,60.0
1779123817812,2026-05-18T17:03:37.812946+00:00,1.96,41.9,60.0
1779123818813,2026-05-18T17:03:38.813062+00:00,2.0,41.0,57.0
1779123819813,2026-05-18T17:03:39.813195+00:00,1.98,39.6,57.0
1779123820813,2026-05-18T17:03:40.813298+00:00,1.77,41.8,59.0
1779123821813,2026-05-18T17:03:41.813489+00:00,1.98,40.6,58.0
1779123822813,2026-05-18T17:03:42.813612+00:00,2.01,39.6,58.0
1779123823813,2026-05-18T17:03:43.813755+00:00,1.98,42.2,58.0
1779123824813,2026-05-18T17:03:44.813850+00:00,1.98,43.4,58.0
1779123825813,2026-05-18T17:03:45.813951+00:00,2.03,42.3,58.0
1779123826814,2026-05-18T17:03:46.814042+00:00,1.9,42.6,58.0
1779123827814,2026-05-18T17:03:47.814155+00:00,1.98,41.9,58.0
1779123828814,2026-05-18T17:03:48.814304+00:00,2.04,42.5,58.0
1779123829814,2026-05-18T17:03:49.814456+00:00,2.04,39.1,58.0
1779123830814,2026-05-18T17:03:50.814546+00:00,1.94,41.0,58.0
1779123831816,2026-05-18T17:03:51.816399+00:00,2.0,41.8,60.0
1779123832816,2026-05-18T17:03:52.816489+00:00,1.96,41.3,60.0
1779123833816,2026-05-18T17:03:53.816609+00:00,1.89,41.3,57.0
1779123834816,2026-05-18T17:03:54.816721+00:00,1.97,43.0,57.0
1779123835816,2026-05-18T17:03:55.816858+00:00,2.06,40.4,59.0
1779123836816,2026-05-18T17:03:56.816948+00:00,1.96,42.5,59.0
1779123837817,2026-05-18T17:03:57.817037+00:00,1.99,40.5,58.0
1779123838817,2026-05-18T17:03:58.817145+00:00,2.06,39.6,58.0
1779123839817,2026-05-18T17:03:59.817292+00:00,2.04,42.5,59.0
1779123840817,2026-05-18T17:04:00.817415+00:00,2.0,41.0,58.0
1779123841817,2026-05-18T17:04:01.817530+00:00,2.0,39.4,58.0
1779123842819,2026-05-18T17:04:02.819833+00:00,1.99,44.3,61.0
1779123843819,2026-05-18T17:04:03.819929+00:00,1.99,42.0,61.0
1779123844820,2026-05-18T17:04:04.820040+00:00,1.94,40.0,58.0
1779123845820,2026-05-18T17:04:05.820198+00:00,1.87,43.4,58.0
1779123846821,2026-05-18T17:04:06.821836+00:00,2.01,42.1,60.0
1779123847821,2026-05-18T17:04:07.821917+00:00,1.99,43.5,60.0
1779123848822,2026-05-18T17:04:08.822010+00:00,2.0,38.8,58.0
1779123849822,2026-05-18T17:04:09.822115+00:00,1.96,40.5,58.0
1779123850823,2026-05-18T17:04:10.823864+00:00,2.01,41.0,58.0
1779123851823,2026-05-18T17:04:11.823950+00:00,2.01,42.0,58.0
1779123852824,2026-05-18T17:04:12.824071+00:00,1.91,40.6,58.0
1779123853824,2026-05-18T17:04:13.824171+00:00,2.0,42.1,58.0
1779123854824,2026-05-18T17:04:14.824842+00:00,2.0,41.2,60.0
1779123855824,2026-05-18T17:04:15.824993+00:00,2.0,43.1,60.0
1779123856825,2026-05-18T17:04:16.825107+00:00,1.99,42.9,58.0
1779123857825,2026-05-18T17:04:17.825220+00:00,1.97,41.2,58.0
1779123858825,2026-05-18T17:04:18.825363+00:00,2.04,41.2,60.0
1779123859825,2026-05-18T17:04:19.825461+00:00,1.95,42.6,60.0
1779123860825,2026-05-18T17:04:20.825624+00:00,2.05,42.0,59.0
1779123861825,2026-05-18T17:04:21.825729+00:00,2.09,40.2,60.0
1779123862825,2026-05-18T17:04:22.825870+00:00,1.98,42.3,60.0
1779123863825,2026-05-18T17:04:23.825985+00:00,2.05,42.5,58.0
1779123864826,2026-05-18T17:04:24.826101+00:00,2.05,40.4,58.0
1779123865826,2026-05-18T17:04:25.826327+00:00,2.04,41.3,61.0
1779123866826,2026-05-18T17:04:26.826419+00:00,2.1,42.5,61.0
1779123867826,2026-05-18T17:04:27.826540+00:00,2.02,39.8,59.0
1779123868826,2026-05-18T17:04:28.826632+00:00,1.92,42.9,59.0
1779123869827,2026-05-18T17:04:29.827807+00:00,2.04,44.4,61.0
1779123870827,2026-05-18T17:04:30.827972+00:00,1.99,40.0,61.0
1779123871828,2026-05-18T17:04:31.828118+00:00,1.93,40.9,58.0
1779123872828,2026-05-18T17:04:32.828242+00:00,2.03,42.7,59.0
1779123873828,2026-05-18T17:04:33.828353+00:00,2.03,41.4,59.0
1779123874828,2026-05-18T17:04:34.828527+00:00,1.92,42.5,58.0
1779123875828,2026-05-18T17:04:35.828700+00:00,2.05,41.7,58.0
1779123876828,2026-05-18T17:04:36.828847+00:00,2.0,45.1,60.0
1779123877829,2026-05-18T17:04:37.829017+00:00,1.76,34.8,60.0
1779123878829,2026-05-18T17:04:38.829191+00:00,1.03,2.8,58.0
1779123879829,2026-05-18T17:04:39.829303+00:00,1.03,2.5,58.0
1779123880829,2026-05-18T17:04:40.829384+00:00,2.37,37.5,64.0
1779123881829,2026-05-18T17:04:41.829490+00:00,3.9,74.1,63.0
1779123882829,2026-05-18T17:04:42.829596+00:00,2.43,48.4,63.0
1779123883829,2026-05-18T17:04:43.829786+00:00,1.96,41.7,60.0
1779123884829,2026-05-18T17:04:44.829888+00:00,2.09,42.1,58.0
1779123885830,2026-05-18T17:04:45.830059+00:00,2.08,40.1,58.0
1779123886830,2026-05-18T17:04:46.830163+00:00,1.98,42.0,60.0
1779123887830,2026-05-18T17:04:47.830336+00:00,2.04,41.6,58.0
1779123888830,2026-05-18T17:04:48.830436+00:00,2.05,40.2,58.0
1779123889830,2026-05-18T17:04:49.830577+00:00,1.95,41.6,60.0
1779123890830,2026-05-18T17:04:50.830695+00:00,2.05,42.5,60.0
1779123891830,2026-05-18T17:04:51.830856+00:00,2.1,39.4,58.0
1779123892830,2026-05-18T17:04:52.830952+00:00,2.0,42.6,58.0
1779123893831,2026-05-18T17:04:53.831029+00:00,2.07,45.4,60.0
1779123894831,2026-05-18T17:04:54.831389+00:00,1.77,39.7,60.0
1779123895831,2026-05-18T17:04:55.831504+00:00,1.91,41.2,60.0
1779123896831,2026-05-18T17:04:56.831619+00:00,2.02,40.9,61.0
1779123897831,2026-05-18T17:04:57.831757+00:00,1.94,42.7,61.0
1779123898831,2026-05-18T17:04:58.831924+00:00,1.92,41.0,58.0
1779123899832,2026-05-18T17:04:59.832083+00:00,2.0,42.9,58.0
1779123900832,2026-05-18T17:05:00.832219+00:00,2.02,41.9,61.0
1779123901832,2026-05-18T17:05:01.832329+00:00,1.96,44.2,61.0
1779123902832,2026-05-18T17:05:02.832446+00:00,2.0,40.9,60.0
1779123903833,2026-05-18T17:05:03.833831+00:00,1.99,42.7,61.0
1779123904833,2026-05-18T17:05:04.833923+00:00,2.02,42.9,61.0
1779123905834,2026-05-18T17:05:05.834046+00:00,2.09,40.5,59.0
1779123906834,2026-05-18T17:05:06.834147+00:00,2.05,39.3,61.0
1779123907834,2026-05-18T17:05:07.834252+00:00,2.11,41.7,61.0
1779123908834,2026-05-18T17:05:08.834370+00:00,1.99,42.8,60.0
1779123909834,2026-05-18T17:05:09.834535+00:00,1.96,40.2,59.0
1779123910834,2026-05-18T17:05:10.834689+00:00,1.99,42.3,59.0
1779123911834,2026-05-18T17:05:11.834818+00:00,2.08,42.9,59.0
1779123912834,2026-05-18T17:05:12.834901+00:00,1.97,41.2,61.0
1779123913835,2026-05-18T17:05:13.835060+00:00,1.96,41.8,60.0
1779123914835,2026-05-18T17:05:14.835166+00:00,2.04,41.4,60.0
1779123915835,2026-05-18T17:05:15.835263+00:00,2.08,42.5,60.0
1779123916835,2026-05-18T17:05:16.835371+00:00,2.09,40.7,60.0
1779123917835,2026-05-18T17:05:17.835480+00:00,1.94,41.2,58.0
1779123918835,2026-05-18T17:05:18.835584+00:00,2.01,41.2,58.0
1779123919835,2026-05-18T17:05:19.835734+00:00,1.97,42.3,61.0
1779123920835,2026-05-18T17:05:20.835894+00:00,1.91,44.4,60.0
1779123921835,2026-05-18T17:05:21.835986+00:00,1.98,42.0,59.0
1779123922838,2026-05-18T17:05:22.838840+00:00,2.0,42.9,60.0
1779123923838,2026-05-18T17:05:23.838927+00:00,2.0,43.7,60.0
1779123924839,2026-05-18T17:05:24.839035+00:00,2.05,40.1,60.0
1779123925839,2026-05-18T17:05:25.839168+00:00,1.93,40.1,60.0
1779123926841,2026-05-18T17:05:26.841817+00:00,2.07,43.1,62.0
1779123927841,2026-05-18T17:05:27.841988+00:00,1.99,40.2,59.0
1779123928842,2026-05-18T17:05:28.842085+00:00,1.97,38.3,60.0
1779123929842,2026-05-18T17:05:29.842215+00:00,1.79,38.9,60.0
1779123930842,2026-05-18T17:05:30.842359+00:00,2.03,42.4,61.0
