timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780225830091,2026-05-31T11:10:30.091716+00:00,0.0,701.0,31441.34,2.23,0.0,197.715,220.662,241.976
1780225831093,2026-05-31T11:10:31.093616+00:00,228.69,701.3,31441.34,2.23,0.0,197.715,223.486,266.128
1780225832094,2026-05-31T11:10:32.094982+00:00,266.4,705.46,31441.34,2.24,0.0,197.715,226.516,303.735
1780225833097,2026-05-31T11:10:33.097636+00:00,245.32,704.39,31441.34,2.24,0.0,197.715,229.576,338.566
1780225834099,2026-05-31T11:10:34.099873+00:00,242.34,701.49,31441.34,2.23,0.0,197.715,233.183,370.763
1780225835102,2026-05-31T11:10:35.102720+00:00,298.34,701.34,31441.34,2.23,0.0,197.715,236.18,402.959
1780225836103,2026-05-31T11:10:36.103298+00:00,243.74,705.84,31441.34,2.24,0.0,197.715,239.172,439.136
1780225837105,2026-05-31T11:10:37.105314+00:00,238.43,705.37,31441.34,2.24,0.0,197.715,242.153,471.331
1780225838107,2026-05-31T11:10:38.107524+00:00,238.55,705.33,31441.34,2.24,0.0,197.715,245.142,503.527
1780225839109,2026-05-31T11:10:39.109036+00:00,240.62,705.68,31441.34,2.24,0.0,197.715,248.117,535.722
1780225840110,2026-05-31T11:10:40.110784+00:00,236.9,704.03,31441.34,2.24,0.0,197.715,251.21,571.986
1780225841113,2026-05-31T11:10:41.113061+00:00,257.24,701.74,31441.34,2.23,0.0,197.715,254.825,604.182
1780225842114,2026-05-31T11:10:42.114871+00:00,289.18,705.27,31441.34,2.24,0.0,197.715,257.815,640.359
1780225843116,2026-05-31T11:10:43.116920+00:00,249.83,705.48,31441.34,2.24,0.0,197.715,260.83,674.047
1780225844118,2026-05-31T11:10:44.118699+00:00,251.67,705.12,31441.34,2.24,0.0,197.715,263.85,707.673
1780225845120,2026-05-31T11:10:45.120087+00:00,243.8,704.79,31441.34,2.24,0.0,197.715,266.834,739.931
1780225846123,2026-05-31T11:10:46.123440+00:00,249.67,704.68,31441.34,2.24,0.0,197.715,269.792,770.509
1780225847125,2026-05-31T11:10:47.125619+00:00,240.8,701.46,31441.34,2.23,0.0,197.715,272.902,805.402
1780225848128,2026-05-31T11:10:48.128632+00:00,243.33,701.3,31441.34,2.23,0.0,197.715,276.467,837.599
1780225849130,2026-05-31T11:10:49.130282+00:00,302.26,705.46,31441.34,2.24,0.0,197.715,279.459,873.776
1780225850132,2026-05-31T11:10:50.132486+00:00,246.11,704.02,31441.34,2.24,0.0,197.715,282.478,905.973
1780225851135,2026-05-31T11:10:51.135702+00:00,242.21,703.59,31441.34,2.24,0.0,197.715,285.574,942.235
1780225852138,2026-05-31T11:10:52.138511+00:00,242.83,701.23,31441.34,2.23,0.0,197.715,288.606,974.431
1780225853140,2026-05-31T11:10:53.140341+00:00,289.08,701.17,31441.34,2.23,0.0,197.715,292.179,1006.628
1780225854141,2026-05-31T11:10:54.141799+00:00,271.33,705.2,31441.34,2.24,0.0,197.715,295.182,1042.804
1780225855144,2026-05-31T11:10:55.144242+00:00,249.21,705.53,31441.34,2.24,0.0,197.715,298.163,1075.0
1780225856146,2026-05-31T11:10:56.146959+00:00,229.89,701.29,31441.34,2.23,0.0,197.715,301.142,1103.215
1780225857148,2026-05-31T11:10:57.148851+00:00,251.52,701.28,31441.34,2.23,0.0,197.715,304.123,1135.41
1780225858151,2026-05-31T11:10:58.151486+00:00,253.28,701.48,31441.34,2.23,0.0,197.715,307.109,1167.605
1780225859153,2026-05-31T11:10:59.153658+00:00,227.88,701.71,31441.34,2.23,0.0,197.715,310.093,1199.801
1780225860155,2026-05-31T11:11:00.155433+00:00,254.95,701.73,31441.34,2.23,0.0,197.715,313.078,1231.996
1780225861157,2026-05-31T11:11:01.157502+00:00,278.58,705.44,31441.34,2.24,0.0,197.715,316.074,1268.172
1780225862159,2026-05-31T11:11:02.159337+00:00,254.98,704.34,31441.34,2.24,0.0,197.715,319.122,1303.345
1780225863162,2026-05-31T11:11:03.162118+00:00,263.47,705.78,31441.34,2.24,0.0,197.715,322.094,1335.593
1780225864164,2026-05-31T11:11:04.164297+00:00,254.05,705.09,31441.34,2.24,0.0,197.715,325.094,1367.496
1780225865165,2026-05-31T11:11:05.165682+00:00,251.57,704.5,31441.34,2.24,0.0,197.715,328.101,1400.002
1780225866169,2026-05-31T11:11:06.169295+00:00,243.37,704.52,31441.34,2.24,0.0,197.715,331.091,1432.161
1780225867171,2026-05-31T11:11:07.171545+00:00,255.86,704.08,31441.34,2.24,0.0,197.715,334.119,1465.414
1780225868175,2026-05-31T11:11:08.175153+00:00,256.49,701.59,31441.34,2.23,0.0,197.715,337.158,1497.609
1780225869178,2026-05-31T11:11:09.178917+00:00,249.72,701.86,31441.34,2.23,0.0,197.715,340.152,1529.805
1780225870181,2026-05-31T11:11:10.181959+00:00,239.59,701.55,31441.34,2.23,0.0,197.715,343.138,1562.0
1780225871184,2026-05-31T11:11:11.184569+00:00,244.79,702.1,31441.34,2.23,0.0,197.715,346.119,1594.199
1780225872186,2026-05-31T11:11:12.186898+00:00,244.67,703.97,31441.34,2.24,0.0,197.715,349.065,1626.395
1780225873190,2026-05-31T11:11:13.190922+00:00,245.15,701.25,31441.34,2.23,0.0,197.715,352.12,1658.591
1780225874192,2026-05-31T11:11:14.192058+00:00,292.94,701.29,31441.34,2.23,0.0,197.715,355.678,1690.788
1780225875193,2026-05-31T11:11:15.193635+00:00,260.39,704.41,31441.34,2.24,0.0,197.715,358.716,1728.332
1780225876195,2026-05-31T11:11:16.195329+00:00,246.85,703.38,31441.34,2.24,0.0,197.715,361.786,1763.226
1780225877198,2026-05-31T11:11:17.198229+00:00,258.14,701.2,31441.34,2.23,0.0,197.715,365.402,1795.423
1780225878201,2026-05-31T11:11:18.201202+00:00,242.45,701.34,31441.34,2.23,0.0,197.715,368.394,1827.618
1780225879203,2026-05-31T11:11:19.203167+00:00,227.32,701.83,31441.34,2.23,0.0,197.715,371.359,1859.813
1780225880205,2026-05-31T11:11:20.205608+00:00,247.39,701.37,31441.34,2.23,0.0,197.715,374.363,1892.009
1780225881207,2026-05-31T11:11:21.207526+00:00,243.96,701.7,31441.34,2.23,0.0,197.715,377.092,1924.203
1780225882209,2026-05-31T11:11:22.209646+00:00,265.34,701.65,31441.34,2.23,0.0,197.715,380.35,1956.399
1780225883211,2026-05-31T11:11:23.211051+00:00,275.24,704.73,31441.34,2.24,0.0,197.715,383.359,1992.576
1780225884213,2026-05-31T11:11:24.213404+00:00,234.01,701.55,31441.34,2.23,0.0,197.715,386.333,2020.79
1780225885215,2026-05-31T11:11:25.215073+00:00,254.59,705.18,31441.34,2.24,0.0,197.715,389.365,2058.459
1780225886216,2026-05-31T11:11:26.216698+00:00,251.79,704.6,31441.34,2.24,0.0,197.715,392.399,2092.227
1780225887219,2026-05-31T11:11:27.219429+00:00,241.44,704.44,31441.34,2.24,0.0,197.715,395.409,2125.425
1780225888221,2026-05-31T11:11:28.221030+00:00,252.08,704.89,31441.34,2.24,0.0,197.715,398.382,2156.478
1780225889223,2026-05-31T11:11:29.223148+00:00,252.14,704.26,31441.34,2.24,0.0,197.715,401.343,2187.492
1780225890225,2026-05-31T11:11:30.225430+00:00,249.52,704.83,31441.34,2.24,0.0,197.715,404.327,2219.621
1780225891227,2026-05-31T11:11:31.227936+00:00,247.68,705.02,31441.34,2.24,0.0,197.715,407.33,2253.127
1780225892230,2026-05-31T11:11:32.230353+00:00,246.69,705.01,31441.34,2.24,0.0,197.715,410.324,2285.199
1780225893232,2026-05-31T11:11:33.232387+00:00,248.73,702.24,31441.34,2.23,0.0,197.715,413.394,2318.599
1780225894233,2026-05-31T11:11:34.233907+00:00,247.08,701.88,31441.34,2.23,0.0,197.715,416.977,2350.798
1780225895236,2026-05-31T11:11:35.236484+00:00,240.28,701.8,31441.34,2.23,0.0,197.715,419.824,2382.993
1780225896238,2026-05-31T11:11:36.238558+00:00,247.28,701.68,31441.34,2.23,0.0,197.715,422.864,2415.188
1780225897240,2026-05-31T11:11:37.240942+00:00,255.01,701.73,31441.34,2.23,0.0,197.715,425.938,2447.384
1780225898242,2026-05-31T11:11:38.242932+00:00,258.13,701.94,31441.34,2.23,0.0,197.715,428.925,2479.579
1780225899244,2026-05-31T11:11:39.244546+00:00,279.34,701.3,31441.34,2.23,0.0,197.715,431.91,2511.775
1780225900246,2026-05-31T11:11:40.246258+00:00,253.21,705.0,31441.34,2.24,0.0,197.715,434.977,2551.116
1780225901248,2026-05-31T11:11:41.248855+00:00,242.41,701.56,31441.34,2.23,0.0,197.715,438.072,2584.213
1780225902251,2026-05-31T11:11:42.251486+00:00,252.55,701.6,31441.34,2.23,0.0,197.715,441.066,2616.409
1780225903252,2026-05-31T11:11:43.252771+00:00,256.96,703.45,31441.34,2.24,0.0,197.715,444.021,2648.604
1780225904254,2026-05-31T11:11:44.254359+00:00,255.31,704.85,31441.34,2.24,0.0,197.715,446.961,2680.08
