timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780224435214,2026-05-31T10:47:15.214953+00:00,0.0,467.54,31441.34,1.49,0.0,150.93,168.649,0.558
1780224436216,2026-05-31T10:47:16.216290+00:00,206.07,467.88,31441.34,1.49,0.0,150.93,174.988,0.615
1780224437218,2026-05-31T10:47:17.218032+00:00,267.4,467.83,31441.34,1.49,0.0,150.93,183.055,0.696
1780224438220,2026-05-31T10:47:18.220781+00:00,254.31,467.79,31441.34,1.49,0.0,150.93,191.121,0.773
1780224439221,2026-05-31T10:47:19.221814+00:00,260.75,468.32,31441.34,1.49,0.0,150.93,199.763,0.851
1780224440223,2026-05-31T10:47:20.223651+00:00,256.7,467.68,31441.34,1.49,0.0,150.93,207.831,0.933
1780224441225,2026-05-31T10:47:21.225594+00:00,262.77,467.63,31441.34,1.49,0.0,150.93,215.897,1.009
1780224442228,2026-05-31T10:47:22.228380+00:00,270.89,467.96,31441.34,1.49,0.0,150.93,224.539,1.086
1780224443230,2026-05-31T10:47:23.230220+00:00,279.53,467.55,31441.34,1.49,0.0,150.93,232.607,1.168
1780224444232,2026-05-31T10:47:24.232780+00:00,252.25,467.66,31441.34,1.49,0.0,150.93,240.674,1.245
1780224445234,2026-05-31T10:47:25.234932+00:00,256.87,468.14,31441.34,1.49,0.0,150.93,249.316,1.322
1780224446237,2026-05-31T10:47:26.237273+00:00,271.0,468.1,31441.34,1.49,0.0,150.93,257.382,1.402
1780224447239,2026-05-31T10:47:27.239048+00:00,259.21,467.78,31441.34,1.49,0.0,150.93,265.449,1.48
1780224448241,2026-05-31T10:47:28.241735+00:00,263.99,467.82,31441.34,1.49,0.0,150.93,274.093,1.559
1780224449243,2026-05-31T10:47:29.243869+00:00,269.53,467.83,31441.34,1.49,0.0,150.93,282.159,1.639
1780224450245,2026-05-31T10:47:30.245534+00:00,256.98,467.52,31441.34,1.49,0.0,150.93,290.226,1.716
1780224451248,2026-05-31T10:47:31.248592+00:00,257.78,467.7,31441.34,1.49,0.0,150.93,298.791,1.794
1780224452250,2026-05-31T10:47:32.250278+00:00,276.04,467.73,31441.34,1.49,0.0,150.93,306.935,1.874
1780224453252,2026-05-31T10:47:33.252879+00:00,249.05,468.12,31441.34,1.49,0.0,150.93,315.001,1.95
1780224454255,2026-05-31T10:47:34.255233+00:00,262.79,467.91,31441.34,1.49,0.0,150.93,323.269,2.026
1780224455257,2026-05-31T10:47:35.257967+00:00,281.93,467.62,31441.34,1.49,0.0,150.93,331.71,2.103
1780224456259,2026-05-31T10:47:36.259354+00:00,268.03,467.73,31441.34,1.49,0.0,150.93,339.776,2.183
1780224457261,2026-05-31T10:47:37.261451+00:00,265.54,467.99,31441.34,1.49,0.0,150.93,347.844,2.259
1780224458263,2026-05-31T10:47:38.263354+00:00,271.85,467.67,31441.34,1.49,0.0,150.93,356.487,2.337
1780224459264,2026-05-31T10:47:39.264892+00:00,266.36,468.06,31441.34,1.49,0.0,150.93,364.554,2.417
1780224460266,2026-05-31T10:47:40.266859+00:00,261.07,467.61,31441.34,1.49,0.0,150.93,372.62,2.493
1780224461269,2026-05-31T10:47:41.269609+00:00,259.16,468.0,31441.34,1.49,0.0,150.93,381.262,2.57
1780224462271,2026-05-31T10:47:42.271602+00:00,270.87,468.01,31441.34,1.49,0.0,150.93,389.329,2.651
1780224463272,2026-05-31T10:47:43.272917+00:00,255.18,467.59,31441.34,1.49,0.0,150.93,397.396,2.727
1780224464275,2026-05-31T10:47:44.275071+00:00,249.01,467.71,31441.34,1.49,0.0,150.93,405.462,2.803
1780224465278,2026-05-31T10:47:45.278445+00:00,254.35,467.46,31441.34,1.49,0.0,150.93,414.104,2.88
1780224466280,2026-05-31T10:47:46.280048+00:00,268.38,467.85,31441.34,1.49,0.0,150.93,422.17,2.957
1780224467281,2026-05-31T10:47:47.281591+00:00,258.08,468.01,31441.34,1.49,0.0,150.93,430.238,3.037
1780224468284,2026-05-31T10:47:48.284293+00:00,253.89,467.71,31441.34,1.49,0.0,150.93,438.61,3.114
1780224469286,2026-05-31T10:47:49.286635+00:00,262.05,467.88,31441.34,1.49,0.0,150.93,446.946,3.196
1780224470287,2026-05-31T10:47:50.287841+00:00,249.14,467.96,31441.34,1.49,0.0,150.93,455.013,3.271
1780224471292,2026-05-31T10:47:51.292154+00:00,264.14,467.74,31441.34,1.49,0.0,150.93,463.08,3.347
1780224472295,2026-05-31T10:47:52.295147+00:00,276.45,467.81,31441.34,1.49,0.0,150.93,471.722,3.425
1780224473296,2026-05-31T10:47:53.296501+00:00,267.64,467.5,31441.34,1.49,0.0,150.93,479.789,3.505
1780224474299,2026-05-31T10:47:54.299287+00:00,252.9,467.98,31441.34,1.49,0.0,150.93,487.855,3.581
1780224475301,2026-05-31T10:47:55.301240+00:00,269.14,468.02,31441.34,1.49,0.0,150.93,496.497,3.659
1780224476302,2026-05-31T10:47:56.302266+00:00,257.67,468.02,31441.34,1.49,0.0,150.93,504.564,3.738
1780224477304,2026-05-31T10:47:57.304587+00:00,249.92,468.29,31441.34,1.49,0.0,150.93,512.631,3.815
1780224478307,2026-05-31T10:47:58.307175+00:00,255.55,468.07,31441.34,1.49,0.0,150.93,521.272,3.892
1780224479309,2026-05-31T10:47:59.309019+00:00,262.5,467.67,31441.34,1.49,0.0,150.93,529.339,3.969
1780224480310,2026-05-31T10:48:00.310562+00:00,249.1,468.03,31441.34,1.49,0.0,150.93,537.406,4.05
1780224481313,2026-05-31T10:48:01.313432+00:00,254.03,467.54,31441.34,1.49,0.0,150.93,545.472,4.127
1780224482315,2026-05-31T10:48:02.315554+00:00,256.22,467.75,31441.34,1.49,0.0,150.93,554.115,4.205
1780224483317,2026-05-31T10:48:03.317889+00:00,263.77,467.96,31441.34,1.49,0.0,150.93,562.181,4.28
1780224484319,2026-05-31T10:48:04.319969+00:00,258.86,467.69,31441.34,1.49,0.0,150.93,570.249,4.361
1780224485321,2026-05-31T10:48:05.321884+00:00,245.86,467.8,31441.34,1.49,0.0,150.93,578.315,4.437
1780224486323,2026-05-31T10:48:06.323999+00:00,253.01,467.65,31441.34,1.49,0.0,150.93,586.957,4.514
1780224487327,2026-05-31T10:48:07.327853+00:00,271.26,467.6,31441.34,1.49,0.0,150.93,595.024,4.593
1780224488329,2026-05-31T10:48:08.329924+00:00,255.57,467.33,31441.34,1.49,0.0,150.93,603.091,4.67
1780224489331,2026-05-31T10:48:09.331976+00:00,258.24,467.94,31441.34,1.49,0.0,150.93,611.439,4.749
1780224490332,2026-05-31T10:48:10.332997+00:00,260.63,468.41,31441.34,1.49,0.0,150.93,619.8,4.826
1780224491336,2026-05-31T10:48:11.336900+00:00,269.69,468.23,31441.34,1.49,0.0,150.93,627.867,4.906
1780224492341,2026-05-31T10:48:12.341795+00:00,260.16,467.86,31441.34,1.49,0.0,150.93,636.307,4.983
1780224493344,2026-05-31T10:48:13.344819+00:00,265.25,467.77,31441.34,1.49,0.0,150.93,644.575,5.06
1780224494347,2026-05-31T10:48:14.347144+00:00,259.03,468.15,31441.34,1.49,0.0,150.93,652.641,5.141
1780224495349,2026-05-31T10:48:15.349819+00:00,256.66,467.87,31441.34,1.49,0.0,150.93,660.824,5.218
1780224496351,2026-05-31T10:48:16.351111+00:00,269.63,467.99,31441.34,1.49,0.0,150.93,669.352,5.296
1780224497355,2026-05-31T10:48:17.355101+00:00,260.18,468.11,31441.34,1.49,0.0,150.93,677.419,5.376
1780224498359,2026-05-31T10:48:18.359384+00:00,256.08,467.87,31441.34,1.49,0.0,150.93,685.486,5.452
1780224499361,2026-05-31T10:48:19.361286+00:00,262.69,467.64,31441.34,1.49,0.0,150.93,694.128,5.531
1780224500363,2026-05-31T10:48:20.363146+00:00,277.02,467.98,31441.34,1.49,0.0,150.93,702.195,5.611
1780224501367,2026-05-31T10:48:21.367008+00:00,259.03,467.49,31441.34,1.49,0.0,150.93,710.262,5.688
1780224502369,2026-05-31T10:48:22.369615+00:00,268.37,467.49,31441.34,1.49,0.0,150.93,718.904,5.765
1780224503372,2026-05-31T10:48:23.372214+00:00,278.15,467.64,31441.34,1.49,0.0,150.93,726.972,5.845
1780224504376,2026-05-31T10:48:24.376268+00:00,271.98,467.75,31441.34,1.49,0.0,150.93,735.038,5.921
1780224505378,2026-05-31T10:48:25.378657+00:00,273.57,467.88,31441.34,1.49,0.0,150.93,743.496,5.998
1780224506382,2026-05-31T10:48:26.382260+00:00,276.46,467.81,31441.34,1.49,0.0,150.93,751.748,6.079
1780224507385,2026-05-31T10:48:27.385906+00:00,243.82,467.48,31441.34,1.49,0.0,150.93,759.815,6.156
1780224508388,2026-05-31T10:48:28.388846+00:00,256.3,467.66,31441.34,1.49,0.0,150.93,768.456,6.232
1780224509390,2026-05-31T10:48:29.390739+00:00,270.65,467.66,31441.34,1.49,0.0,150.93,776.523,6.312
1780224510394,2026-05-31T10:48:30.394929+00:00,255.02,467.75,31441.34,1.49,0.0,150.93,784.589,6.389
1780224511397,2026-05-31T10:48:31.397117+00:00,94.63,467.59,31441.34,1.49,0.0,150.93,787.47,6.416
1780224512399,2026-05-31T10:48:32.399530+00:00,1.27,467.51,31441.34,1.49,0.0,150.93,787.47,6.416
1780224513402,2026-05-31T10:48:33.402081+00:00,9.29,467.68,31441.34,1.49,0.0,150.93,788.047,6.418
1780224514403,2026-05-31T10:48:34.403027+00:00,292.95,467.77,31441.34,1.49,0.0,150.93,797.267,6.509
1780224515405,2026-05-31T10:48:35.405732+00:00,287.52,467.72,31441.34,1.49,0.0,150.93,807.061,6.597
1780224516408,2026-05-31T10:48:36.408779+00:00,266.13,467.91,31441.34,1.49,0.0,150.93,815.128,6.677
1780224517410,2026-05-31T10:48:37.410298+00:00,255.16,467.74,31441.34,1.49,0.0,150.93,823.195,6.754
1780224518412,2026-05-31T10:48:38.412883+00:00,255.63,467.88,31441.34,1.49,0.0,150.93,831.838,6.832
1780224519415,2026-05-31T10:48:39.415498+00:00,265.09,467.89,31441.34,1.49,0.0,150.93,839.904,6.909
1780224520417,2026-05-31T10:48:40.417518+00:00,258.72,467.5,31441.34,1.49,0.0,150.93,847.97,6.989
1780224521420,2026-05-31T10:48:41.420208+00:00,260.5,467.52,31441.34,1.49,0.0,150.93,856.613,7.067
1780224522422,2026-05-31T10:48:42.422012+00:00,279.47,468.04,31441.34,1.49,0.0,150.93,864.679,7.147
1780224523425,2026-05-31T10:48:43.425374+00:00,268.06,467.64,31441.34,1.49,0.0,150.93,872.746,7.224
1780224524427,2026-05-31T10:48:44.427733+00:00,273.42,467.99,31441.34,1.49,0.0,150.93,881.388,7.301
1780224525431,2026-05-31T10:48:45.431750+00:00,289.33,467.59,31441.34,1.49,0.0,150.93,889.455,7.382
1780224526435,2026-05-31T10:48:46.435238+00:00,261.84,467.73,31441.34,1.49,0.0,150.93,897.521,7.458
1780224527438,2026-05-31T10:48:47.438091+00:00,253.05,467.85,31441.34,1.49,0.0,150.93,906.11,7.536
1780224528439,2026-05-31T10:48:48.439804+00:00,271.08,467.96,31441.34,1.49,0.0,150.93,914.23,7.615
1780224529441,2026-05-31T10:48:49.441384+00:00,256.44,467.99,31441.34,1.49,0.0,150.93,922.297,7.692
1780224530443,2026-05-31T10:48:50.443150+00:00,246.74,467.7,31441.34,1.49,0.0,150.93,930.55,7.77
1780224531444,2026-05-31T10:48:51.444615+00:00,261.22,467.86,31441.34,1.49,0.0,150.93,939.005,7.847
1780224532448,2026-05-31T10:48:52.448250+00:00,254.11,467.87,31441.34,1.49,0.0,150.93,947.073,7.928
1780224533453,2026-05-31T10:48:53.453551+00:00,245.17,467.81,31441.34,1.49,0.0,150.93,955.202,8.005
1780224534456,2026-05-31T10:48:54.456105+00:00,251.97,468.02,31441.34,1.49,0.0,150.93,963.781,8.082
1780224535458,2026-05-31T10:48:55.458338+00:00,263.46,468.1,31441.34,1.49,0.0,150.93,971.848,8.162
1780224536461,2026-05-31T10:48:56.461511+00:00,254.12,467.73,31441.34,1.49,0.0,150.93,979.914,8.237
1780224537465,2026-05-31T10:48:57.465266+00:00,267.07,467.85,31441.34,1.49,0.0,150.93,988.557,8.314
1780224538467,2026-05-31T10:48:58.467389+00:00,268.16,467.8,31441.34,1.49,0.0,150.93,996.623,8.395
1780224539472,2026-05-31T10:48:59.472482+00:00,246.86,468.09,31441.34,1.49,0.0,150.93,1004.69,8.471
1780224540475,2026-05-31T10:49:00.475908+00:00,255.11,468.16,31441.34,1.49,0.0,150.93,1013.334,8.548
1780224541477,2026-05-31T10:49:01.477841+00:00,266.18,467.75,31441.34,1.49,0.0,150.93,1021.401,8.629
1780224542480,2026-05-31T10:49:02.480039+00:00,249.46,467.88,31441.34,1.49,0.0,150.93,1029.468,8.705
1780224543482,2026-05-31T10:49:03.482762+00:00,256.37,467.97,31441.34,1.49,0.0,150.93,1037.873,8.781
1780224544486,2026-05-31T10:49:04.486303+00:00,275.35,467.97,31441.34,1.49,0.0,150.93,1046.175,8.862
1780224545487,2026-05-31T10:49:05.487556+00:00,263.5,467.81,31441.34,1.49,0.0,150.93,1054.242,8.937
1780224546491,2026-05-31T10:49:06.491742+00:00,268.94,468.17,31441.34,1.49,0.0,150.93,1062.32,9.013
1780224547495,2026-05-31T10:49:07.495794+00:00,274.5,467.92,31441.34,1.49,0.0,150.93,1070.951,9.09
1780224548497,2026-05-31T10:49:08.497167+00:00,270.07,467.59,31441.34,1.49,0.0,150.93,1079.018,9.171
1780224549499,2026-05-31T10:49:09.499145+00:00,274.97,467.67,31441.34,1.49,0.0,150.93,1087.085,9.247
1780224550502,2026-05-31T10:49:10.502291+00:00,265.57,467.95,31441.34,1.49,0.0,150.93,1095.728,9.327
1780224551506,2026-05-31T10:49:11.506409+00:00,295.19,467.74,31441.34,1.49,0.0,150.93,1103.794,9.407
1780224552507,2026-05-31T10:49:12.507969+00:00,268.22,467.86,31441.34,1.49,0.0,150.93,1111.862,9.484
1780224553511,2026-05-31T10:49:13.511198+00:00,258.09,467.71,31441.34,1.49,0.0,150.93,1119.928,9.56
1780224554512,2026-05-31T10:49:14.512739+00:00,263.72,467.96,31441.34,1.49,0.0,150.93,1128.571,9.638
1780224555515,2026-05-31T10:49:15.515821+00:00,239.33,468.31,31441.34,1.49,0.0,150.93,1136.062,9.713
1780224556517,2026-05-31T10:49:16.517473+00:00,1.62,467.34,31441.34,1.49,0.0,150.93,1136.062,9.713
