timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780234235695,2026-05-31T13:30:35.695040+00:00,0.04,1443.17,31441.34,4.59,500.016,198.238,1225.869,9.708
1780234236697,2026-05-31T13:30:36.697215+00:00,6.1,1443.26,31441.34,4.59,500.016,198.238,1232.203,9.765
1780234237699,2026-05-31T13:30:37.699514+00:00,7.18,1443.45,31441.34,4.59,500.016,198.238,1240.264,9.839
1780234238702,2026-05-31T13:30:38.702210+00:00,7.46,1443.13,31441.34,4.59,500.016,198.238,1248.902,9.918
1780234239704,2026-05-31T13:30:39.704583+00:00,7.74,1443.39,31441.34,4.59,500.016,198.238,1256.963,9.991
1780234240706,2026-05-31T13:30:40.706415+00:00,6.9,1443.4,31441.34,4.59,500.016,198.238,1265.024,10.065
1780234241708,2026-05-31T13:30:41.708974+00:00,7.39,1443.59,31441.34,4.59,500.016,198.238,1273.661,10.139
1780234242710,2026-05-31T13:30:42.710554+00:00,7.91,1443.66,31441.34,4.59,500.016,198.238,1281.723,10.216
1780234243713,2026-05-31T13:30:43.713069+00:00,7.51,1443.8,31441.34,4.59,500.016,198.238,1289.784,10.288
1780234244715,2026-05-31T13:30:44.715746+00:00,7.48,1443.96,31441.34,4.59,500.016,198.238,1297.845,10.361
1780234245717,2026-05-31T13:30:45.717486+00:00,8.44,1443.59,31441.34,4.59,500.016,198.238,1306.482,10.439
1780234246719,2026-05-31T13:30:46.719296+00:00,6.64,1443.66,31441.34,4.59,500.016,198.238,1314.544,10.513
1780234247722,2026-05-31T13:30:47.722404+00:00,6.92,1443.52,31441.34,4.59,500.016,198.238,1322.606,10.587
1780234248725,2026-05-31T13:30:48.725205+00:00,6.7,1443.82,31441.34,4.59,500.016,198.238,1331.103,10.661
1780234249727,2026-05-31T13:30:49.727182+00:00,6.92,1443.91,31441.34,4.59,500.016,198.238,1339.304,10.738
1780234250730,2026-05-31T13:30:50.730242+00:00,7.09,1444.18,31441.34,4.59,500.016,198.238,1347.364,10.811
1780234251732,2026-05-31T13:30:51.732855+00:00,7.22,1443.57,31441.34,4.59,500.016,198.238,1355.426,10.885
1780234252735,2026-05-31T13:30:52.735555+00:00,7.25,1443.75,31441.34,4.59,500.016,198.238,1364.063,10.965
1780234253738,2026-05-31T13:30:53.738383+00:00,7.25,1444.1,31441.34,4.59,500.016,198.238,1372.124,11.038
1780234254740,2026-05-31T13:30:54.740987+00:00,7.63,1444.45,31441.34,4.59,500.016,198.238,1380.64,11.112
1780234255743,2026-05-31T13:30:55.743799+00:00,7.0,1444.59,31441.34,4.59,500.016,198.238,1388.823,11.191
1780234256746,2026-05-31T13:30:56.746526+00:00,7.32,1444.35,31441.34,4.59,500.016,198.238,1396.885,11.264
1780234257749,2026-05-31T13:30:57.749358+00:00,7.31,1444.03,31441.34,4.59,500.016,198.238,1404.946,11.337
1780234258750,2026-05-31T13:30:58.750322+00:00,7.51,1444.83,31441.34,4.6,500.016,198.238,1413.584,11.413
1780234259753,2026-05-31T13:30:59.753492+00:00,7.22,1444.38,31441.34,4.59,500.016,198.238,1421.645,11.491
1780234260757,2026-05-31T13:31:00.757618+00:00,7.7,1444.51,31441.34,4.59,500.016,198.238,1429.707,11.564
1780234261759,2026-05-31T13:31:01.759941+00:00,7.74,1445.1,31441.34,4.6,500.016,198.238,1437.768,11.637
1780234262762,2026-05-31T13:31:02.762691+00:00,6.97,1444.48,31441.34,4.59,500.016,198.238,1446.405,11.716
1780234263764,2026-05-31T13:31:03.764863+00:00,7.14,1444.42,31441.34,4.59,500.016,198.238,1454.466,11.789
1780234264766,2026-05-31T13:31:04.766914+00:00,8.1,1444.95,31441.34,4.6,500.016,198.238,1462.527,11.862
1780234265769,2026-05-31T13:31:05.769922+00:00,7.2,1444.67,31441.34,4.59,500.016,198.238,1471.163,11.935
1780234266772,2026-05-31T13:31:06.772300+00:00,7.99,1444.56,31441.34,4.59,500.016,198.238,1479.225,12.013
1780234267777,2026-05-31T13:31:07.777395+00:00,7.53,1444.88,31441.34,4.6,500.016,419.445,1487.285,12.086
1780234268779,2026-05-31T13:31:08.779427+00:00,6.97,1445.16,31441.34,4.6,500.016,419.445,1495.346,12.16
1780234269783,2026-05-31T13:31:09.783630+00:00,7.16,1445.6,31441.34,4.6,500.016,419.445,1503.983,12.235
1780234270786,2026-05-31T13:31:10.786360+00:00,7.71,1445.79,31441.34,4.6,500.016,419.445,1512.045,12.313
1780234271788,2026-05-31T13:31:11.788635+00:00,7.59,1446.02,31441.34,4.6,500.016,419.445,1520.106,12.385
1780234272791,2026-05-31T13:31:12.791303+00:00,6.94,1445.27,31441.34,4.6,500.016,419.445,1528.743,12.463
1780234273793,2026-05-31T13:31:13.793730+00:00,7.48,1445.59,31441.34,4.6,500.016,419.445,1536.81,12.54
1780234274796,2026-05-31T13:31:14.796312+00:00,7.18,1446.27,31441.34,4.6,500.016,419.445,1544.301,12.61
1780234275798,2026-05-31T13:31:15.798704+00:00,6.78,1446.33,31441.34,4.6,500.016,419.445,1552.369,12.685
1780234276801,2026-05-31T13:31:16.801626+00:00,8.04,1446.06,31441.34,4.6,500.016,419.445,1561.008,12.765
1780234277812,2026-05-31T13:31:17.812186+00:00,7.31,1445.54,31441.34,4.6,500.016,419.445,1569.071,12.838
1780234278813,2026-05-31T13:31:18.813712+00:00,8.65,1446.46,31441.34,4.6,500.016,419.445,1577.708,12.916
1780234279815,2026-05-31T13:31:19.815950+00:00,6.67,1445.86,31441.34,4.6,500.016,419.445,1585.769,12.989
1780234280818,2026-05-31T13:31:20.818718+00:00,6.35,1446.21,31441.34,4.6,500.016,419.445,1593.83,13.063
1780234281820,2026-05-31T13:31:21.820764+00:00,7.56,1446.03,31441.34,4.6,500.016,419.445,1602.328,13.138
1780234282822,2026-05-31T13:31:22.822911+00:00,6.8,1445.87,31441.34,4.6,500.016,419.445,1610.529,13.216
1780234283825,2026-05-31T13:31:23.825068+00:00,6.57,1445.87,31441.34,4.6,500.016,419.445,1618.59,13.289
1780234284827,2026-05-31T13:31:24.827941+00:00,7.3,1446.9,31441.34,4.6,500.016,419.445,1626.651,13.362
1780234285830,2026-05-31T13:31:25.830197+00:00,7.89,1446.88,31441.34,4.6,500.016,419.445,1635.288,13.44
1780234286832,2026-05-31T13:31:26.832765+00:00,7.77,1446.89,31441.34,4.6,500.016,419.445,1643.349,13.513
1780234287835,2026-05-31T13:31:27.835034+00:00,6.92,1446.94,31441.34,4.6,500.016,419.445,1651.41,13.585
1780234288837,2026-05-31T13:31:28.837867+00:00,8.27,1446.72,31441.34,4.6,500.016,419.445,1660.047,13.663
1780234289840,2026-05-31T13:31:29.840733+00:00,7.66,1447.07,31441.34,4.6,500.016,419.445,1668.108,13.735
1780234290843,2026-05-31T13:31:30.843085+00:00,7.01,1447.84,31441.34,4.6,500.016,419.445,1676.169,13.809
1780234291845,2026-05-31T13:31:31.845694+00:00,5.0,1447.64,31441.34,4.6,500.016,419.445,1680.776,13.851
1780234292847,2026-05-31T13:31:32.847154+00:00,1.95,1446.79,31441.34,4.6,500.016,419.445,1680.776,13.851
1780234293849,2026-05-31T13:31:33.849081+00:00,1.76,1446.81,31441.34,4.6,500.016,419.445,1680.776,13.851
1780234294851,2026-05-31T13:31:34.851749+00:00,12.31,1447.18,31441.34,4.6,500.016,419.445,1695.747,13.987
1780234295854,2026-05-31T13:31:35.854263+00:00,14.35,1447.68,31441.34,4.6,500.016,419.445,1714.511,14.156
1780234296856,2026-05-31T13:31:36.856941+00:00,9.11,1447.44,31441.34,4.6,500.016,419.445,1723.84,14.24
1780234297859,2026-05-31T13:31:37.859563+00:00,7.17,1447.3,31441.34,4.6,500.016,419.445,1732.023,14.317
1780234298863,2026-05-31T13:31:38.863293+00:00,6.98,1447.54,31441.34,4.6,500.016,419.445,1740.084,14.391
1780234299866,2026-05-31T13:31:39.866244+00:00,7.12,1447.41,31441.34,4.6,500.016,419.445,1748.145,14.464
1780234300867,2026-05-31T13:31:40.867740+00:00,7.24,1447.32,31441.34,4.6,500.016,419.445,1756.781,14.543
1780234301870,2026-05-31T13:31:41.870314+00:00,7.32,1447.55,31441.34,4.6,500.016,419.445,1764.842,14.615
1780234302872,2026-05-31T13:31:42.872627+00:00,7.79,1447.57,31441.34,4.6,500.016,419.445,1772.903,14.687
1780234303874,2026-05-31T13:31:43.874822+00:00,7.87,1447.86,31441.34,4.6,500.016,419.445,1781.54,14.765
1780234304877,2026-05-31T13:31:44.877288+00:00,8.43,1447.68,31441.34,4.6,500.016,419.445,1789.6,14.837
1780234305879,2026-05-31T13:31:45.879765+00:00,7.11,1447.49,31441.34,4.6,500.016,419.445,1797.661,14.909
1780234306882,2026-05-31T13:31:46.882479+00:00,7.56,1447.44,31441.34,4.6,500.016,419.445,1806.298,14.987
1780234307884,2026-05-31T13:31:47.884611+00:00,7.72,1447.66,31441.34,4.6,500.016,419.445,1814.359,15.06
1780234308887,2026-05-31T13:31:48.887625+00:00,8.06,1447.37,31441.34,4.6,500.016,419.445,1822.42,15.133
1780234309889,2026-05-31T13:31:49.889603+00:00,8.23,1447.65,31441.34,4.6,500.016,419.445,1831.057,15.211
1780234310893,2026-05-31T13:31:50.893273+00:00,7.52,1448.11,31441.34,4.61,500.016,419.445,1839.119,15.284
1780234311895,2026-05-31T13:31:51.895981+00:00,7.29,1447.85,31441.34,4.6,500.016,419.445,1847.179,15.356
1780234312899,2026-05-31T13:31:52.899167+00:00,7.63,1448.32,31441.34,4.61,500.016,419.445,1855.816,15.433
1780234313901,2026-05-31T13:31:53.901728+00:00,7.75,1447.94,31441.34,4.61,500.016,419.445,1863.877,15.507
1780234314912,2026-05-31T13:31:54.912826+00:00,6.39,1447.96,31441.34,4.61,500.016,419.445,1871.938,15.581
1780234315914,2026-05-31T13:31:55.914833+00:00,7.46,1447.91,31441.34,4.61,500.016,419.445,1880.576,15.66
1780234316917,2026-05-31T13:31:56.917177+00:00,6.81,1448.17,31441.34,4.61,500.016,419.445,1888.636,15.732
1780234317920,2026-05-31T13:31:57.920259+00:00,7.16,1448.23,31441.34,4.61,500.016,419.445,1896.698,15.807
1780234318922,2026-05-31T13:31:58.922782+00:00,7.18,1448.43,31441.34,4.61,500.016,419.445,1905.337,15.887
1780234319925,2026-05-31T13:31:59.925720+00:00,6.62,1448.33,31441.34,4.61,500.016,419.445,1913.397,15.959
1780234320928,2026-05-31T13:32:00.928777+00:00,7.69,1448.38,31441.34,4.61,500.016,419.445,1921.458,16.031
1780234321931,2026-05-31T13:32:01.931490+00:00,8.31,1448.09,31441.34,4.61,500.016,419.445,1930.096,16.108
1780234322933,2026-05-31T13:32:02.933379+00:00,7.7,1448.7,31441.34,4.61,500.016,419.445,1938.157,16.181
1780234323935,2026-05-31T13:32:03.935341+00:00,7.24,1448.68,31441.34,4.61,500.016,419.445,1946.221,16.256
1780234324937,2026-05-31T13:32:04.937897+00:00,7.42,1448.42,31441.34,4.61,500.016,419.445,1954.33,16.328
1780234325939,2026-05-31T13:32:05.939867+00:00,7.61,1447.84,31441.34,4.6,500.016,419.445,1962.918,16.406
1780234326942,2026-05-31T13:32:06.942787+00:00,7.6,1448.77,31441.34,4.61,500.016,419.445,1970.979,16.478
1780234327944,2026-05-31T13:32:07.944608+00:00,7.19,1448.62,31441.34,4.61,500.016,419.445,1979.04,16.552
1780234328947,2026-05-31T13:32:08.947595+00:00,6.69,1448.64,31441.34,4.61,500.016,419.445,1987.119,16.624
1780234329950,2026-05-31T13:32:09.950111+00:00,8.63,1448.84,31441.34,4.61,500.016,419.445,1995.738,16.702
1780234330953,2026-05-31T13:32:10.953095+00:00,6.81,1448.71,31441.34,4.61,500.016,419.445,2003.799,16.775
1780234331955,2026-05-31T13:32:11.955762+00:00,8.21,1448.98,31441.34,4.61,500.016,419.445,2012.011,16.848
1780234332958,2026-05-31T13:32:12.958769+00:00,7.92,1449.14,31441.34,4.61,500.016,419.445,2020.498,16.925
1780234333961,2026-05-31T13:32:13.961612+00:00,7.54,1448.5,31441.34,4.61,500.016,419.445,2028.559,16.998
1780234334964,2026-05-31T13:32:14.964743+00:00,7.54,1448.64,31441.34,4.61,500.016,419.445,2036.621,17.072
1780234335966,2026-05-31T13:32:15.966662+00:00,7.76,1448.51,31441.34,4.61,500.016,419.445,2045.258,17.15
1780234336969,2026-05-31T13:32:16.969159+00:00,8.54,1448.38,31441.34,4.61,500.016,419.445,2053.319,17.222
1780234337972,2026-05-31T13:32:17.972004+00:00,7.4,1448.46,31441.34,4.61,500.016,419.445,2061.38,17.294
1780234338974,2026-05-31T13:32:18.974211+00:00,7.2,1449.26,31441.34,4.61,500.016,419.445,2070.02,17.374
1780234339976,2026-05-31T13:32:19.976772+00:00,6.73,1449.42,31441.34,4.61,500.016,419.445,2078.081,17.447
1780234340979,2026-05-31T13:32:20.979123+00:00,6.85,1449.19,31441.34,4.61,500.016,419.445,2086.142,17.521
1780234341982,2026-05-31T13:32:21.982190+00:00,6.42,1449.8,31441.34,4.61,500.016,419.445,2094.266,17.595
1780234342984,2026-05-31T13:32:22.984889+00:00,7.22,1449.36,31441.34,4.61,500.016,419.445,2102.841,17.673
1780234343987,2026-05-31T13:32:23.987669+00:00,6.89,1449.78,31441.34,4.61,500.016,419.445,2110.903,17.747
1780234345000,2026-05-31T13:32:25.000198+00:00,7.68,1449.64,31441.34,4.61,500.016,419.445,2118.965,17.821
1780234346002,2026-05-31T13:32:26.002879+00:00,7.33,1449.8,31441.34,4.61,500.016,419.445,2127.601,17.895
1780234347005,2026-05-31T13:32:27.005011+00:00,8.03,1449.15,31441.34,4.61,500.016,419.445,2135.662,17.972
1780234348007,2026-05-31T13:32:28.007808+00:00,7.78,1449.4,31441.34,4.61,500.016,419.445,2143.723,18.045
1780234349010,2026-05-31T13:32:29.010019+00:00,6.8,1449.58,31441.34,4.61,500.016,419.445,2151.91,18.12
1780234350012,2026-05-31T13:32:30.012209+00:00,7.25,1449.69,31441.34,4.61,500.016,419.445,2160.422,18.197
1780234351014,2026-05-31T13:32:31.014975+00:00,6.91,1449.42,31441.34,4.61,500.016,419.445,2168.483,18.271
1780234352017,2026-05-31T13:32:32.017638+00:00,6.79,1449.8,31441.34,4.61,500.016,419.445,2176.545,18.345
1780234353027,2026-05-31T13:32:33.027904+00:00,7.93,1449.34,31441.34,4.61,500.016,419.445,2185.181,18.423
1780234354030,2026-05-31T13:32:34.030959+00:00,7.84,1449.69,31441.34,4.61,500.016,419.445,2193.242,18.496
1780234355033,2026-05-31T13:32:35.033153+00:00,7.47,1450.21,31441.34,4.61,500.016,419.445,2201.305,18.569
1780234356035,2026-05-31T13:32:36.035903+00:00,6.34,1450.31,31441.34,4.61,500.016,419.445,2208.79,18.636
1780234357038,2026-05-31T13:32:37.038055+00:00,1.54,1449.24,31441.34,4.61,500.016,419.445,2208.79,18.636
