timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1772564495743,2026-03-03T19:01:35.743485+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.17,80.0,0,2,580.69,35
1772564496743,2026-03-03T19:01:36.743683+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.17,80.0,0,0,580.69,35
1772564497743,2026-03-03T19:01:37.743870+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.18,80.0,0,0,580.69,35
1772564498744,2026-03-03T19:01:38.744063+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,1,580.69,35
1772564499744,2026-03-03T19:01:39.744249+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,580.69,35
1772564500744,2026-03-03T19:01:40.744442+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,8.0,80.0,0,0,580.69,35
1772564501744,2026-03-03T19:01:41.744637+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.11,80.0,0,0,580.69,35
1772564502744,2026-03-03T19:01:42.744829+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,580.69,35
1772564503745,2026-03-03T19:01:43.745023+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,580.69,35
1772564504745,2026-03-03T19:01:44.745260+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,580.69,35
1772564505745,2026-03-03T19:01:45.745456+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.12,80.0,0,0,580.69,35
1772564506745,2026-03-03T19:01:46.745650+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,1,580.69,35
1772564507745,2026-03-03T19:01:47.745845+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.91,80.0,0,0,580.69,35
1772564508746,2026-03-03T19:01:48.746058+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.67,80.0,0,0,580.69,35
1772564509746,2026-03-03T19:01:49.746257+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,10.23,80.0,0,0,580.69,35
1772564510746,2026-03-03T19:01:50.746451+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.72,80.0,0,0,580.69,35
1772564511746,2026-03-03T19:01:51.746646+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.3,80.0,0,0,580.69,35
1772564512746,2026-03-03T19:01:52.746860+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,6.96,80.0,0,0,580.69,35
1772564513747,2026-03-03T19:01:53.747069+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,6.96,80.0,0,0,580.69,35
1772564514747,2026-03-03T19:01:54.747268+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.43,80.0,0,0,580.69,35
1772564515747,2026-03-03T19:01:55.747478+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,8.56,80.0,0,0,580.69,35
1772564516747,2026-03-03T19:01:56.747687+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.21,80.0,0,0,580.69,35
1772564517747,2026-03-03T19:01:57.747885+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.12,80.0,0,0,580.69,35
1772564518748,2026-03-03T19:01:58.748129+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,0,580.69,35
1772564519748,2026-03-03T19:01:59.748319+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.07,80.0,0,0,580.69,35
1772564520748,2026-03-03T19:02:00.748519+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.96,80.0,0,0,580.69,35
1772564521748,2026-03-03T19:02:01.748629+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,8.78,80.0,0,0,580.69,35
1772564522748,2026-03-03T19:02:02.748819+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,8.95,80.0,0,0,580.69,35
1772564523749,2026-03-03T19:02:03.749041+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.16,80.0,0,1,580.69,35
1772564524749,2026-03-03T19:02:04.749153+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.15,80.0,0,0,580.69,35
1772564525749,2026-03-03T19:02:05.749331+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.15,80.0,0,1,580.69,35
1772564526749,2026-03-03T19:02:06.749527+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,0,580.69,35
1772564527749,2026-03-03T19:02:07.749750+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,580.69,35
1772564528749,2026-03-03T19:02:08.749942+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.24,80.0,0,0,580.69,35
1772564529750,2026-03-03T19:02:09.750138+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.23,80.0,0,0,580.69,35
1772564530750,2026-03-03T19:02:10.750328+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.51,80.0,0,0,580.69,35
1772564531750,2026-03-03T19:02:11.750553+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.14,80.0,0,0,580.69,35
