timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780227996539,2026-05-31T11:46:36.539893+00:00,0.001,0.0018
1780227997539,2026-05-31T11:46:37.539988+00:00,0.0302,12.0109
1780227998541,2026-05-31T11:46:38.541820+00:00,0.0412,16.8152
1780227999541,2026-05-31T11:46:39.541896+00:00,0.0365,16.8149
1780228000541,2026-05-31T11:46:40.541984+00:00,0.0378,15.2076
1780228001542,2026-05-31T11:46:41.542090+00:00,0.0433,18.4228
1780228002542,2026-05-31T11:46:42.542832+00:00,0.0371,14.4134
1780228003544,2026-05-31T11:46:43.544824+00:00,0.0404,16.8152
1780228004545,2026-05-31T11:46:44.545088+00:00,0.045,19.217
1780228005545,2026-05-31T11:46:45.545195+00:00,0.0368,14.4134
1780228006546,2026-05-31T11:46:46.546838+00:00,0.0404,16.8152
1780228007549,2026-05-31T11:46:47.549151+00:00,0.0397,16.8152
1780228008549,2026-05-31T11:46:48.549244+00:00,0.04,16.8152
1780228009549,2026-05-31T11:46:49.549338+00:00,0.0399,16.8152
1780228010549,2026-05-31T11:46:50.549468+00:00,0.042,16.8152
1780228011550,2026-05-31T11:46:51.550804+00:00,0.0408,17.6238
1780228012551,2026-05-31T11:46:52.551368+00:00,0.0412,16.0066
1780228013553,2026-05-31T11:46:53.553669+00:00,0.0403,16.8153
1780228014553,2026-05-31T11:46:54.553785+00:00,0.041,17.9559
1780228015553,2026-05-31T11:46:55.553887+00:00,0.0403,15.6745
1780228016554,2026-05-31T11:46:56.554463+00:00,0.0399,16.8152
1780228017554,2026-05-31T11:46:57.554574+00:00,0.04,16.8152
1780228018554,2026-05-31T11:46:58.554671+00:00,0.0407,17.2773
1780228019555,2026-05-31T11:46:59.555861+00:00,0.0403,16.3531
1780228020556,2026-05-31T11:47:00.556808+00:00,0.0401,16.8152
1780228021556,2026-05-31T11:47:01.556908+00:00,0.0401,16.8152
1780228022558,2026-05-31T11:47:02.558927+00:00,0.0398,16.8153
1780228023560,2026-05-31T11:47:03.560843+00:00,0.04,16.8152
1780228024560,2026-05-31T11:47:04.560939+00:00,0.0397,16.815
1780228025561,2026-05-31T11:47:05.561045+00:00,0.0403,16.8155
1780228026561,2026-05-31T11:47:06.561202+00:00,0.0415,16.8152
1780228027561,2026-05-31T11:47:07.561275+00:00,0.0404,16.8152
1780228028561,2026-05-31T11:47:08.561368+00:00,0.0406,16.8152
1780228029561,2026-05-31T11:47:09.561489+00:00,0.0419,16.8155
1780228030562,2026-05-31T11:47:10.562835+00:00,0.0407,16.8152
1780228031562,2026-05-31T11:47:11.562929+00:00,0.0402,16.8152
1780228032563,2026-05-31T11:47:12.563062+00:00,0.0401,16.8152
1780228033563,2026-05-31T11:47:13.563162+00:00,0.0402,16.8152
1780228034563,2026-05-31T11:47:14.563307+00:00,0.0405,16.8152
1780228035563,2026-05-31T11:47:15.563425+00:00,0.0398,16.8149
1780228036563,2026-05-31T11:47:16.563520+00:00,0.0426,16.8156
1780228037565,2026-05-31T11:47:17.565837+00:00,0.0404,16.8152
1780228038567,2026-05-31T11:47:18.567839+00:00,0.0404,16.8152
1780228039567,2026-05-31T11:47:19.567928+00:00,0.0404,16.8152
1780228040569,2026-05-31T11:47:20.569844+00:00,0.0398,16.8152
1780228041569,2026-05-31T11:47:21.569968+00:00,0.0394,16.8149
1780228042570,2026-05-31T11:47:22.570055+00:00,0.04,16.8156
1780228043572,2026-05-31T11:47:23.572854+00:00,0.0401,16.8152
1780228044572,2026-05-31T11:47:24.572956+00:00,0.0406,16.8152
1780228045573,2026-05-31T11:47:25.573067+00:00,0.0284,12.0109
1780228046573,2026-05-31T11:47:26.573240+00:00,0.0,0.0
1780228047573,2026-05-31T11:47:27.573395+00:00,0.0,0.0
1780228048573,2026-05-31T11:47:28.573483+00:00,0.0314,12.0109
1780228049573,2026-05-31T11:47:29.573565+00:00,0.0348,15.2361
1780228050573,2026-05-31T11:47:30.573672+00:00,0.0404,15.9921
1780228051573,2026-05-31T11:47:31.573772+00:00,0.0411,16.8152
1780228052574,2026-05-31T11:47:32.574824+00:00,0.0409,16.8152
1780228053574,2026-05-31T11:47:33.574915+00:00,0.0424,16.8153
1780228054574,2026-05-31T11:47:34.574996+00:00,0.0351,15.2361
1780228055575,2026-05-31T11:47:35.575098+00:00,0.0406,18.394
1780228056575,2026-05-31T11:47:36.575224+00:00,0.046,16.8156
1780228057575,2026-05-31T11:47:37.575317+00:00,0.0341,14.413
1780228058577,2026-05-31T11:47:38.577816+00:00,0.0402,17.1618
1780228059577,2026-05-31T11:47:39.577906+00:00,0.0474,18.8708
1780228060577,2026-05-31T11:47:40.577982+00:00,0.0367,16.2179
1780228061578,2026-05-31T11:47:41.578049+00:00,0.0405,16.5264
1780228062578,2026-05-31T11:47:42.578096+00:00,0.0424,17.7009
1780228063578,2026-05-31T11:47:43.578176+00:00,0.0369,14.6012
1780228064578,2026-05-31T11:47:44.578275+00:00,0.0405,16.6274
1780228065578,2026-05-31T11:47:45.578395+00:00,0.0424,19.217
1780228066578,2026-05-31T11:47:46.578493+00:00,0.0385,14.4134
1780228067578,2026-05-31T11:47:47.578599+00:00,0.0423,18.5046
1780228068578,2026-05-31T11:47:48.578685+00:00,0.039,16.1799
1780228069579,2026-05-31T11:47:49.579806+00:00,0.0403,15.7611
1780228070579,2026-05-31T11:47:50.579929+00:00,0.042,18.9522
1780228071580,2026-05-31T11:47:51.580037+00:00,0.0393,16.4254
1780228072580,2026-05-31T11:47:52.580145+00:00,0.0393,15.0681
1780228073580,2026-05-31T11:47:53.580249+00:00,0.0431,19.217
1780228074580,2026-05-31T11:47:54.580335+00:00,0.0391,15.0632
1780228075581,2026-05-31T11:47:55.581836+00:00,0.0415,16.1655
1780228076581,2026-05-31T11:47:56.581874+00:00,0.0375,16.8149
1780228077581,2026-05-31T11:47:57.581941+00:00,0.0383,14.4134
1780228078584,2026-05-31T11:47:58.584846+00:00,0.0404,16.8152
1780228079584,2026-05-31T11:47:59.584925+00:00,0.0351,15.9586
1780228080587,2026-05-31T11:48:00.587829+00:00,0.0394,15.2702
1780228081587,2026-05-31T11:48:01.587893+00:00,0.0407,16.8152
1780228082588,2026-05-31T11:48:02.588016+00:00,0.0416,16.8153
1780228083588,2026-05-31T11:48:03.588143+00:00,0.0395,16.8152
1780228084588,2026-05-31T11:48:04.588248+00:00,0.0409,16.8152
1780228085588,2026-05-31T11:48:05.588357+00:00,0.0397,16.8152
1780228086589,2026-05-31T11:48:06.589829+00:00,0.0396,16.8152
1780228087589,2026-05-31T11:48:07.589962+00:00,0.0401,16.8152
1780228088590,2026-05-31T11:48:08.590063+00:00,0.0408,16.8152
1780228089590,2026-05-31T11:48:09.590173+00:00,0.0405,16.8152
1780228090590,2026-05-31T11:48:10.590295+00:00,0.0401,16.8152
1780228091590,2026-05-31T11:48:11.590888+00:00,0.0392,16.8152
1780228092592,2026-05-31T11:48:12.592827+00:00,0.0406,16.8152
1780228093592,2026-05-31T11:48:13.592938+00:00,0.0404,16.8152
1780228094594,2026-05-31T11:48:14.594849+00:00,0.041,16.8152
1780228095594,2026-05-31T11:48:15.594950+00:00,0.04,16.8152
1780228096595,2026-05-31T11:48:16.595073+00:00,0.041,16.8152
1780228097595,2026-05-31T11:48:17.595172+00:00,0.0402,16.8152
1780228098596,2026-05-31T11:48:18.596831+00:00,0.0405,16.8152
1780228099596,2026-05-31T11:48:19.596969+00:00,0.0406,16.8152
1780228100597,2026-05-31T11:48:20.597080+00:00,0.0415,16.8151
1780228101598,2026-05-31T11:48:21.598319+00:00,0.0405,16.8153
1780228102598,2026-05-31T11:48:22.598424+00:00,0.0414,16.8152
1780228103600,2026-05-31T11:48:23.600836+00:00,0.0416,16.8152
1780228104600,2026-05-31T11:48:24.600967+00:00,0.0413,16.8151
1780228105601,2026-05-31T11:48:25.601100+00:00,0.0404,16.8153
1780228106603,2026-05-31T11:48:26.603851+00:00,0.0394,16.8152
1780228107603,2026-05-31T11:48:27.603958+00:00,0.0408,16.8152
1780228108604,2026-05-31T11:48:28.604097+00:00,0.0415,16.8152
1780228109604,2026-05-31T11:48:29.604206+00:00,0.0407,16.8152
1780228110604,2026-05-31T11:48:30.604317+00:00,0.0373,16.8149
1780228111604,2026-05-31T11:48:31.604805+00:00,0.0375,14.4135
1780228112606,2026-05-31T11:48:32.606827+00:00,0.0402,16.8152
1780228113607,2026-05-31T11:48:33.607103+00:00,0.0373,16.8149
1780228114607,2026-05-31T11:48:34.607249+00:00,0.043,16.8155
1780228115607,2026-05-31T11:48:35.607368+00:00,0.0403,16.8153
1780228116607,2026-05-31T11:48:36.607443+00:00,0.0358,16.5067
1780228117607,2026-05-31T11:48:37.607577+00:00,0.0102,2.7107
