timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1780225303909,2026-05-31T11:01:43.909406+00:00,1.04,7.1,58.0
1780225304910,2026-05-31T11:01:44.910507+00:00,3.99,34.2,58.0
1780225305910,2026-05-31T11:01:45.910673+00:00,4.41,37.9,62.0
1780225306911,2026-05-31T11:01:46.911820+00:00,4.5,41.6,62.0
1780225307912,2026-05-31T11:01:47.912109+00:00,4.36,34.2,60.0
1780225308912,2026-05-31T11:01:48.912808+00:00,4.65,43.7,60.0
1780225309912,2026-05-31T11:01:49.912890+00:00,4.09,43.5,70.0
1780225310913,2026-05-31T11:01:50.913015+00:00,3.88,36.8,70.0
1780225311913,2026-05-31T11:01:51.913307+00:00,5.03,42.0,63.0
1780225312913,2026-05-31T11:01:52.913405+00:00,3.99,41.3,63.0
1780225313913,2026-05-31T11:01:53.913529+00:00,4.46,45.3,69.0
1780225314913,2026-05-31T11:01:54.913654+00:00,3.9,39.0,65.0
1780225315913,2026-05-31T11:01:55.913796+00:00,4.61,48.0,65.0
1780225316913,2026-05-31T11:01:56.913913+00:00,3.95,37.9,63.0
1780225317913,2026-05-31T11:01:57.913994+00:00,5.03,41.6,63.0
1780225318914,2026-05-31T11:01:58.914299+00:00,3.87,40.1,61.0
1780225319914,2026-05-31T11:01:59.914440+00:00,4.99,40.3,63.0
1780225320914,2026-05-31T11:02:00.914533+00:00,4.58,41.5,63.0
1780225321914,2026-05-31T11:02:01.914697+00:00,4.43,37.8,62.0
1780225322914,2026-05-31T11:02:02.914795+00:00,4.01,47.1,75.0
1780225323914,2026-05-31T11:02:03.914965+00:00,4.55,41.1,75.0
1780225324915,2026-05-31T11:02:04.915079+00:00,4.79,43.7,79.0
1780225325915,2026-05-31T11:02:05.915244+00:00,4.29,37.9,63.0
1780225326915,2026-05-31T11:02:06.915403+00:00,4.69,43.7,64.0
1780225327915,2026-05-31T11:02:07.915587+00:00,4.22,42.5,68.0
1780225328915,2026-05-31T11:02:08.915768+00:00,4.71,40.8,68.0
1780225329915,2026-05-31T11:02:09.915887+00:00,4.68,45.6,74.0
1780225330916,2026-05-31T11:02:10.916074+00:00,3.84,42.9,63.0
1780225331916,2026-05-31T11:02:11.916170+00:00,5.03,41.4,63.0
1780225332916,2026-05-31T11:02:12.916261+00:00,4.28,39.4,75.0
1780225333916,2026-05-31T11:02:13.916448+00:00,1.56,7.1,75.0
1780225334916,2026-05-31T11:02:14.916620+00:00,1.09,2.8,60.0
1780225335916,2026-05-31T11:02:15.916800+00:00,2.87,24.2,60.0
1780225336916,2026-05-31T11:02:16.916867+00:00,4.5,50.8,68.0
1780225337916,2026-05-31T11:02:17.916962+00:00,4.78,50.1,68.0
1780225338917,2026-05-31T11:02:18.917241+00:00,4.26,38.2,63.0
1780225339917,2026-05-31T11:02:19.917307+00:00,4.42,47.7,63.0
1780225340917,2026-05-31T11:02:20.917428+00:00,4.1,41.3,63.0
1780225341917,2026-05-31T11:02:21.917580+00:00,4.84,43.1,63.0
1780225342917,2026-05-31T11:02:22.917856+00:00,4.14,38.9,63.0
1780225343917,2026-05-31T11:02:23.917966+00:00,4.71,45.7,63.0
1780225344918,2026-05-31T11:02:24.918078+00:00,4.51,38.9,68.0
1780225345918,2026-05-31T11:02:25.918246+00:00,4.51,44.5,66.0
1780225346918,2026-05-31T11:02:26.918376+00:00,4.0,40.5,63.0
1780225347918,2026-05-31T11:02:27.918486+00:00,4.65,44.9,63.0
1780225348918,2026-05-31T11:02:28.918596+00:00,4.17,38.4,64.0
1780225349918,2026-05-31T11:02:29.918812+00:00,4.66,44.6,64.0
1780225350918,2026-05-31T11:02:30.918976+00:00,3.98,40.1,63.0
1780225351919,2026-05-31T11:02:31.919023+00:00,4.64,44.6,63.0
1780225352919,2026-05-31T11:02:32.919128+00:00,4.58,37.4,78.0
1780225353919,2026-05-31T11:02:33.919207+00:00,4.24,46.9,78.0
1780225354919,2026-05-31T11:02:34.919466+00:00,4.14,39.2,63.0
1780225355919,2026-05-31T11:02:35.919557+00:00,4.6,44.9,63.0
1780225356919,2026-05-31T11:02:36.919645+00:00,4.58,41.3,82.0
1780225357919,2026-05-31T11:02:37.919845+00:00,4.33,41.8,65.0
1780225358922,2026-05-31T11:02:38.922841+00:00,4.35,42.4,68.0
1780225359923,2026-05-31T11:02:39.923001+00:00,4.61,42.8,65.0
1780225360923,2026-05-31T11:02:40.923113+00:00,5.02,41.1,65.0
1780225361923,2026-05-31T11:02:41.923222+00:00,4.37,39.3,78.0
1780225362923,2026-05-31T11:02:42.923388+00:00,4.72,39.3,78.0
1780225363924,2026-05-31T11:02:43.924831+00:00,4.44,45.6,82.0
1780225364925,2026-05-31T11:02:44.925123+00:00,4.41,36.8,63.0
1780225365925,2026-05-31T11:02:45.925240+00:00,4.96,42.4,63.0
1780225366925,2026-05-31T11:02:46.925402+00:00,4.1,37.8,63.0
1780225367926,2026-05-31T11:02:47.926812+00:00,4.84,42.7,83.0
1780225368927,2026-05-31T11:02:48.927126+00:00,4.4,38.1,65.0
1780225369927,2026-05-31T11:02:49.927205+00:00,4.28,42.1,65.0
1780225370927,2026-05-31T11:02:50.927352+00:00,4.55,41.9,69.0
1780225371927,2026-05-31T11:02:51.927518+00:00,3.96,39.3,69.0
1780225372927,2026-05-31T11:02:52.927672+00:00,4.79,45.5,70.0
1780225373927,2026-05-31T11:02:53.927771+00:00,4.52,39.1,79.0
1780225374927,2026-05-31T11:02:54.927923+00:00,4.47,40.6,79.0
1780225375928,2026-05-31T11:02:55.928003+00:00,4.04,43.1,78.0
1780225376928,2026-05-31T11:02:56.928135+00:00,4.57,38.4,63.0
1780225377928,2026-05-31T11:02:57.928257+00:00,5.1,42.2,63.0
1780225378928,2026-05-31T11:02:58.928412+00:00,4.05,37.4,66.0
1780225379928,2026-05-31T11:02:59.928533+00:00,4.65,46.1,66.0
1780225380930,2026-05-31T11:03:00.930823+00:00,4.29,39.0,69.0
1780225381930,2026-05-31T11:03:01.930934+00:00,4.67,36.7,69.0
1780225382931,2026-05-31T11:03:02.931029+00:00,4.39,43.4,69.0
1780225383931,2026-05-31T11:03:03.931291+00:00,4.63,40.3,69.0
1780225384933,2026-05-31T11:03:04.933821+00:00,4.04,36.7,71.0
1780225385933,2026-05-31T11:03:05.933967+00:00,4.32,43.0,66.0
1780225386936,2026-05-31T11:03:06.936809+00:00,4.59,44.1,82.0
1780225387937,2026-05-31T11:03:07.937098+00:00,4.46,37.6,82.0
1780225388937,2026-05-31T11:03:08.937211+00:00,4.07,42.3,66.0
1780225389937,2026-05-31T11:03:09.937368+00:00,4.8,42.2,65.0
1780225390937,2026-05-31T11:03:10.937638+00:00,4.0,41.3,65.0
1780225391937,2026-05-31T11:03:11.937909+00:00,5.12,40.4,66.0
1780225392938,2026-05-31T11:03:12.938043+00:00,4.26,38.6,66.0
1780225393938,2026-05-31T11:03:13.938149+00:00,4.15,46.2,80.0
1780225394938,2026-05-31T11:03:14.938311+00:00,4.26,40.7,80.0
1780225395938,2026-05-31T11:03:15.938423+00:00,4.03,42.3,72.0
1780225396938,2026-05-31T11:03:16.938596+00:00,4.75,40.7,66.0
1780225397938,2026-05-31T11:03:17.938690+00:00,4.18,43.6,66.0
1780225398938,2026-05-31T11:03:18.938976+00:00,4.7,39.8,63.0
1780225399939,2026-05-31T11:03:19.939151+00:00,4.96,40.8,63.0
1780225400939,2026-05-31T11:03:20.939227+00:00,4.58,42.8,82.0
1780225401939,2026-05-31T11:03:21.939347+00:00,4.27,37.9,82.0
1780225402939,2026-05-31T11:03:22.939627+00:00,4.78,42.1,66.0
1780225403939,2026-05-31T11:03:23.939707+00:00,4.67,41.5,80.0
1780225404939,2026-05-31T11:03:24.939846+00:00,4.37,38.9,80.0
1780225405941,2026-05-31T11:03:25.941809+00:00,4.65,42.2,82.0
1780225406941,2026-05-31T11:03:26.941882+00:00,4.72,37.5,77.0
1780225407941,2026-05-31T11:03:27.941966+00:00,4.4,45.7,77.0
1780225408943,2026-05-31T11:03:28.943811+00:00,4.74,39.6,81.0
1780225409943,2026-05-31T11:03:29.943925+00:00,4.89,38.2,78.0
1780225410944,2026-05-31T11:03:30.944034+00:00,4.5,41.8,78.0
1780225411944,2026-05-31T11:03:31.944196+00:00,5.01,39.9,68.0
1780225412944,2026-05-31T11:03:32.944347+00:00,4.09,38.3,64.0
1780225413944,2026-05-31T11:03:33.944462+00:00,4.83,42.1,65.0
1780225414944,2026-05-31T11:03:34.944759+00:00,4.92,40.6,65.0
1780225415944,2026-05-31T11:03:35.944891+00:00,1.76,8.8,63.0
1780225416945,2026-05-31T11:03:36.945043+00:00,1.11,2.3,63.0
1780225417945,2026-05-31T11:03:37.945090+00:00,2.46,17.4,79.0
1780225418945,2026-05-31T11:03:38.945176+00:00,5.2,50.5,79.0
1780225419945,2026-05-31T11:03:39.945362+00:00,4.45,48.7,69.0
1780225420945,2026-05-31T11:03:40.945625+00:00,4.35,37.0,63.0
1780225421945,2026-05-31T11:03:41.945797+00:00,5.06,39.5,63.0
1780225422945,2026-05-31T11:03:42.945875+00:00,5.52,52.2,65.0
1780225423945,2026-05-31T11:03:43.945951+00:00,4.58,48.2,65.0
1780225424946,2026-05-31T11:03:44.946080+00:00,2.07,15.9,61.0
