timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780350970795,2026-06-01T21:56:10.795755+00:00,18.22,2019.16,11684.23,17.28,1602.629,3.688,0.0,0.0
1780350971798,2026-06-01T21:56:11.798480+00:00,94.05,2023.51,11684.23,17.32,1602.629,3.688,0.0,0.0
1780350972801,2026-06-01T21:56:12.801433+00:00,96.41,2019.59,11684.23,17.28,1602.629,3.688,0.0,0.0
1780350973804,2026-06-01T21:56:13.804173+00:00,114.09,2069.64,11684.23,17.71,1602.629,3.688,0.0,0.0
1780350974807,2026-06-01T21:56:14.807619+00:00,94.22,2052.67,11684.23,17.57,1602.629,3.688,0.0,0.0
1780350975810,2026-06-01T21:56:15.810725+00:00,93.28,2073.35,11684.23,17.74,1602.629,3.688,0.0,0.0
1780350976813,2026-06-01T21:56:16.813480+00:00,111.85,2090.74,11684.23,17.89,1602.629,3.688,0.0,0.0
1780350977815,2026-06-01T21:56:17.815736+00:00,89.22,2069.62,11684.23,17.71,1602.629,3.688,0.0,0.0
1780350978821,2026-06-01T21:56:18.821044+00:00,116.83,2059.98,11684.23,17.63,1602.629,3.688,0.0,0.0
1780350979822,2026-06-01T21:56:19.822974+00:00,92.21,2073.5,11684.23,17.75,1602.629,3.688,0.0,0.0
1780350980825,2026-06-01T21:56:20.825724+00:00,87.55,2059.17,11684.23,17.62,1602.629,3.688,0.0,0.0
1780350981829,2026-06-01T21:56:21.829687+00:00,111.94,2080.38,11684.23,17.81,1602.629,3.688,0.0,0.0
1780350982835,2026-06-01T21:56:22.835155+00:00,107.91,2080.57,11684.23,17.81,1602.629,3.688,0.0,0.0
1780350983838,2026-06-01T21:56:23.838495+00:00,80.18,2080.56,11684.23,17.81,1602.629,3.688,0.0,0.0
1780350984842,2026-06-01T21:56:24.842127+00:00,111.89,2080.69,11684.23,17.81,1602.629,3.688,0.0,0.0
1780350985843,2026-06-01T21:56:25.843975+00:00,117.97,2070.03,11684.23,17.72,1602.629,3.688,0.0,0.0
1780350986846,2026-06-01T21:56:26.846940+00:00,97.75,2069.76,11684.23,17.71,1602.629,3.688,0.0,0.0
1780350987849,2026-06-01T21:56:27.849909+00:00,88.35,2080.4,11684.23,17.81,1602.629,3.688,0.0,0.0
1780350988852,2026-06-01T21:56:28.852789+00:00,86.93,2059.58,11684.23,17.63,1602.629,3.688,0.0,0.0
1780350989855,2026-06-01T21:56:29.855933+00:00,101.76,2084.02,11684.23,17.84,1602.629,3.688,0.0,0.0
1780350990858,2026-06-01T21:56:30.858333+00:00,100.15,2059.13,11684.23,17.62,1602.629,3.688,0.0,0.0
1780350991861,2026-06-01T21:56:31.861436+00:00,99.76,2053.01,11684.23,17.57,1602.629,3.688,0.0,0.0
1780350992862,2026-06-01T21:56:32.862430+00:00,104.17,2073.71,11684.23,17.75,1602.629,3.695,0.0,0.0
1780350993865,2026-06-01T21:56:33.865298+00:00,92.98,2069.75,11684.23,17.71,1602.629,3.695,0.0,0.0
1780350994872,2026-06-01T21:56:34.872211+00:00,101.38,2062.0,11684.23,17.65,1602.629,3.695,0.0,0.0
1780350995873,2026-06-01T21:56:35.873070+00:00,82.55,2063.18,11684.23,17.66,1602.629,3.695,0.0,0.0
1780350996876,2026-06-01T21:56:36.876548+00:00,60.26,2063.19,11684.23,17.66,1602.629,3.695,0.0,0.0
1780350997881,2026-06-01T21:56:37.881395+00:00,76.46,2059.64,11684.23,17.63,1602.629,3.695,0.0,0.0
1780350998886,2026-06-01T21:56:38.886077+00:00,93.47,2091.42,11684.23,17.9,1602.629,3.695,0.0,0.0
1780350999888,2026-06-01T21:56:39.888658+00:00,84.33,2069.84,11684.23,17.71,1602.629,3.695,0.0,0.0
1780351000891,2026-06-01T21:56:40.891328+00:00,97.97,2059.7,11684.23,17.63,1602.629,3.695,0.0,0.0
1780351001892,2026-06-01T21:56:41.892464+00:00,94.97,2070.17,11684.23,17.72,1602.629,3.695,0.0,0.0
1780351002896,2026-06-01T21:56:42.896103+00:00,91.01,2027.88,11684.23,17.36,1602.629,3.695,0.0,0.0
1780351003897,2026-06-01T21:56:43.897411+00:00,98.38,2080.34,11684.23,17.8,1602.629,3.695,0.0,0.0
1780351004902,2026-06-01T21:56:44.902256+00:00,94.36,2069.83,11684.23,17.71,1602.629,3.695,0.0,0.0
1780351005906,2026-06-01T21:56:45.906891+00:00,96.41,2080.43,11684.23,17.81,1602.629,3.695,0.0,0.0
1780351006907,2026-06-01T21:56:46.907809+00:00,118.38,2053.17,11684.23,17.57,1602.629,3.695,0.0,0.0
1780351007910,2026-06-01T21:56:47.910241+00:00,89.02,2080.44,11684.23,17.81,1602.629,3.695,0.0,0.0
1780351008913,2026-06-01T21:56:48.913901+00:00,104.56,2091.11,11684.23,17.9,1602.629,3.695,0.0,0.0
1780351009917,2026-06-01T21:56:49.917860+00:00,88.01,2080.45,11684.23,17.81,1602.629,3.695,0.0,0.0
1780351010920,2026-06-01T21:56:50.920105+00:00,106.49,2063.2,11684.23,17.66,1602.629,3.695,0.0,0.0
1780351011923,2026-06-01T21:56:51.923754+00:00,97.69,2069.96,11684.23,17.72,1602.629,3.695,0.0,0.0
1780351012926,2026-06-01T21:56:52.926006+00:00,104.33,2080.43,11684.23,17.81,1602.629,3.695,0.0,0.0
1780351013930,2026-06-01T21:56:53.930168+00:00,106.18,2063.93,11684.23,17.66,1602.629,3.695,0.0,0.0
1780351014932,2026-06-01T21:56:54.932317+00:00,110.35,2053.38,11684.23,17.57,1602.629,3.695,0.0,0.0
