timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780351288808,2026-06-01T22:01:28.808801+00:00,18.88,2026.21,11684.23,17.34,1604.379,3.812,0.0,0.0
1780351289813,2026-06-01T22:01:29.813162+00:00,66.57,2057.89,11684.23,17.61,1604.379,3.812,0.0,0.0
1780351290814,2026-06-01T22:01:30.814713+00:00,101.98,2023.03,11684.23,17.31,1604.379,3.812,0.0,0.0
1780351291819,2026-06-01T22:01:31.819918+00:00,94.9,2034.68,11684.23,17.41,1604.379,3.812,0.0,0.0
1780351292821,2026-06-01T22:01:32.821472+00:00,114.59,2022.84,11684.23,17.31,1604.379,3.812,0.0,0.0
1780351293824,2026-06-01T22:01:33.824417+00:00,85.47,2023.21,11684.23,17.32,1604.379,3.812,0.0,0.0
1780351294829,2026-06-01T22:01:34.829996+00:00,96.43,2023.44,11684.23,17.32,1604.379,3.812,0.0,0.0
1780351295830,2026-06-01T22:01:35.830696+00:00,93.35,2023.07,11684.23,17.31,1604.379,3.812,0.0,0.0
1780351296832,2026-06-01T22:01:36.832748+00:00,94.71,2030.91,11684.23,17.38,1604.379,3.812,0.0,0.0
1780351297836,2026-06-01T22:01:37.836404+00:00,83.53,2023.04,11684.23,17.31,1604.379,3.812,0.0,0.0
1780351298839,2026-06-01T22:01:38.839509+00:00,102.56,2022.82,11684.23,17.31,1604.379,3.812,0.0,0.0
1780351299844,2026-06-01T22:01:39.844184+00:00,115.41,2027.13,11684.23,17.35,1604.379,3.812,0.0,0.0
1780351300846,2026-06-01T22:01:40.846855+00:00,101.41,2035.29,11684.23,17.42,1604.379,3.812,0.0,0.0
1780351301850,2026-06-01T22:01:41.850253+00:00,90.54,2041.2,11684.23,17.47,1604.379,3.812,0.0,0.0
1780351302854,2026-06-01T22:01:42.854579+00:00,78.22,2062.91,11684.23,17.66,1604.379,3.812,0.0,0.0
1780351303858,2026-06-01T22:01:43.858910+00:00,68.36,2031.16,11684.23,17.38,1604.379,3.812,0.0,0.0
1780351304861,2026-06-01T22:01:44.861529+00:00,61.83,2033.61,11684.23,17.4,1604.379,3.812,0.0,0.0
1780351305865,2026-06-01T22:01:45.865238+00:00,95.81,2041.69,11684.23,17.47,1604.379,3.812,0.0,0.0
1780351306868,2026-06-01T22:01:46.868877+00:00,94.99,2031.17,11684.23,17.38,1604.379,3.812,0.0,0.0
1780351307872,2026-06-01T22:01:47.872599+00:00,111.73,2073.91,11684.23,17.75,1604.379,3.812,0.0,0.0
1780351308874,2026-06-01T22:01:48.874888+00:00,81.66,2030.93,11684.23,17.38,1604.379,3.812,0.0,0.0
1780351309876,2026-06-01T22:01:49.876022+00:00,107.99,2031.19,11684.23,17.38,1604.379,3.812,0.0,0.0
1780351310879,2026-06-01T22:01:50.879594+00:00,89.1,2049.57,11684.23,17.54,1604.379,3.812,0.0,0.0
1780351311882,2026-06-01T22:01:51.882406+00:00,97.4,2041.48,11684.23,17.47,1604.379,3.812,0.0,0.0
1780351312884,2026-06-01T22:01:52.884212+00:00,85.71,2062.77,11684.23,17.65,1604.379,3.812,0.0,0.0
1780351313890,2026-06-01T22:01:53.890090+00:00,90.2,2062.88,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351314893,2026-06-01T22:01:54.893015+00:00,93.38,2062.67,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351315896,2026-06-01T22:01:55.896652+00:00,105.57,2031.08,11684.23,17.38,1604.379,3.82,0.0,0.0
1780351316898,2026-06-01T22:01:56.898365+00:00,111.68,2073.53,11684.23,17.75,1604.379,3.82,0.0,0.0
1780351317901,2026-06-01T22:01:57.901371+00:00,82.3,2052.13,11684.23,17.56,1604.379,3.82,0.0,0.0
1780351318904,2026-06-01T22:01:58.904377+00:00,108.7,2066.6,11684.23,17.69,1604.379,3.82,0.0,0.0
1780351319910,2026-06-01T22:01:59.910978+00:00,91.3,2031.44,11684.23,17.39,1604.379,3.82,0.0,0.0
1780351321913,2026-06-01T22:02:01.913663+00:00,86.97,2052.21,11684.23,17.56,1604.379,3.82,0.0,0.0
1780351322918,2026-06-01T22:02:02.918129+00:00,98.7,2062.75,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351323921,2026-06-01T22:02:03.921552+00:00,94.23,2062.85,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351324924,2026-06-01T22:02:04.924353+00:00,110.41,2062.62,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351325927,2026-06-01T22:02:05.927660+00:00,94.39,2041.73,11684.23,17.47,1604.379,3.82,0.0,0.0
1780351326929,2026-06-01T22:02:06.929891+00:00,97.92,2062.86,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351327931,2026-06-01T22:02:07.931826+00:00,117.16,2041.56,11684.23,17.47,1604.379,3.82,0.0,0.0
1780351328934,2026-06-01T22:02:08.934516+00:00,108.0,2062.94,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351329937,2026-06-01T22:02:09.937285+00:00,114.98,2041.62,11684.23,17.47,1604.379,3.82,0.0,0.0
1780351330941,2026-06-01T22:02:10.941315+00:00,88.04,2052.43,11684.23,17.57,1604.379,3.82,0.0,0.0
1780351331943,2026-06-01T22:02:11.943607+00:00,97.77,2031.29,11684.23,17.38,1604.379,3.82,0.0,0.0
1780351332944,2026-06-01T22:02:12.944678+00:00,109.12,2062.64,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351333947,2026-06-01T22:02:13.947631+00:00,96.66,2062.72,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351334951,2026-06-01T22:02:14.951827+00:00,88.63,2062.65,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351335954,2026-06-01T22:02:15.954411+00:00,105.16,2063.64,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351336957,2026-06-01T22:02:16.957280+00:00,110.09,2067.2,11684.23,17.69,1604.379,3.82,0.0,0.0
1780351337960,2026-06-01T22:02:17.960065+00:00,81.18,2066.69,11684.23,17.69,1604.379,3.82,0.0,0.0
1780351338961,2026-06-01T22:02:18.961804+00:00,87.38,2042.04,11684.23,17.48,1604.379,3.82,0.0,0.0
1780351339964,2026-06-01T22:02:19.964901+00:00,92.62,2041.8,11684.23,17.47,1604.379,3.82,0.0,0.0
1780351340967,2026-06-01T22:02:20.967670+00:00,89.91,2052.42,11684.23,17.57,1604.379,3.82,0.0,0.0
1780351341970,2026-06-01T22:02:21.970125+00:00,96.92,2063.14,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351342973,2026-06-01T22:02:22.973110+00:00,98.53,2052.29,11684.23,17.56,1604.379,3.82,0.0,0.0
1780351343974,2026-06-01T22:02:23.974826+00:00,104.87,2074.2,11684.23,17.75,1604.379,3.82,0.0,0.0
1780351344978,2026-06-01T22:02:24.978840+00:00,105.89,2073.5,11684.23,17.75,1604.379,3.82,0.0,0.0
1780351345981,2026-06-01T22:02:25.981183+00:00,85.34,2041.86,11684.23,17.48,1604.379,3.82,0.0,0.0
1780351346984,2026-06-01T22:02:26.984110+00:00,86.61,2062.8,11684.23,17.65,1604.379,3.82,0.0,0.0
1780351347985,2026-06-01T22:02:27.985965+00:00,97.26,2070.5,11684.23,17.72,1604.379,3.82,0.0,0.0
1780351348988,2026-06-01T22:02:28.988447+00:00,92.06,2052.55,11684.23,17.57,1604.379,3.82,0.0,0.0
1780351349992,2026-06-01T22:02:29.992919+00:00,110.99,2073.21,11684.23,17.74,1604.379,3.82,0.0,0.0
1780351350995,2026-06-01T22:02:30.995469+00:00,90.56,2073.34,11684.23,17.74,1604.379,3.82,0.0,0.0
1780351351999,2026-06-01T22:02:31.999963+00:00,110.32,2073.39,11684.23,17.75,1604.379,3.82,0.0,0.0
1780351353001,2026-06-01T22:02:33.001877+00:00,87.66,2073.34,11684.23,17.74,1604.379,3.82,0.0,0.0
1780351354004,2026-06-01T22:02:34.004584+00:00,105.46,2052.29,11684.23,17.56,1604.379,3.82,0.0,0.0
1780351355006,2026-06-01T22:02:35.006428+00:00,94.73,2045.64,11684.23,17.51,1604.379,3.82,0.0,0.0
1780351356010,2026-06-01T22:02:36.010062+00:00,24.89,2056.19,11684.23,17.6,1604.379,3.82,0.0,0.0
1780351357013,2026-06-01T22:02:37.013151+00:00,6.99,2056.24,11684.23,17.6,1604.379,3.82,0.0,0.0
1780351358016,2026-06-01T22:02:38.016884+00:00,23.2,2056.39,11684.23,17.6,1604.379,3.82,0.0,0.0
1780351359019,2026-06-01T22:02:39.019468+00:00,119.29,2052.44,11684.23,17.57,1604.379,3.82,0.0,0.0
1780351360021,2026-06-01T22:02:40.021501+00:00,118.32,2041.84,11684.23,17.48,1604.379,3.82,0.0,0.0
1780351361025,2026-06-01T22:02:41.025654+00:00,91.79,2062.95,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351362029,2026-06-01T22:02:42.029117+00:00,84.86,2056.12,11684.23,17.6,1604.379,3.82,0.0,0.0
1780351363032,2026-06-01T22:02:43.032455+00:00,107.74,2053.06,11684.23,17.57,1604.379,3.82,0.0,0.0
1780351364035,2026-06-01T22:02:44.035668+00:00,91.33,2063.02,11684.23,17.66,1604.379,3.82,0.0,0.0
1780351365039,2026-06-01T22:02:45.039555+00:00,101.2,2031.46,11684.23,17.39,1604.379,3.82,0.0,0.0
