timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780346011011,2026-06-01T20:33:31.011176+00:00,18.38,446.23,11684.23,3.82,5.605,1.52,0.0,0.0
1780346012013,2026-06-01T20:33:32.013714+00:00,106.03,445.95,11684.23,3.82,5.605,1.52,0.0,0.0
1780346013015,2026-06-01T20:33:33.015851+00:00,76.93,446.01,11684.23,3.82,5.605,1.52,0.0,0.0
1780346014018,2026-06-01T20:33:34.018865+00:00,7.96,445.95,11684.23,3.82,5.605,1.52,0.0,0.0
1780346015021,2026-06-01T20:33:35.021919+00:00,6.76,445.95,11684.23,3.82,5.605,1.52,0.0,0.0
1780346016024,2026-06-01T20:33:36.024179+00:00,136.06,446.11,11684.23,3.82,5.605,1.52,0.0,0.0
1780346017027,2026-06-01T20:33:37.027438+00:00,148.58,446.02,11684.23,3.82,5.605,1.52,0.0,0.0
1780346018030,2026-06-01T20:33:38.030220+00:00,143.58,414.73,11684.23,3.55,5.605,1.52,0.0,0.0
1780346019032,2026-06-01T20:33:39.032952+00:00,144.21,439.29,11684.23,3.76,5.605,1.52,0.0,0.0
1780346020039,2026-06-01T20:33:40.039371+00:00,134.65,446.74,11684.23,3.82,5.605,1.52,0.0,0.0
1780346021041,2026-06-01T20:33:41.041312+00:00,137.01,450.03,11684.23,3.85,5.605,1.52,0.0,0.0
1780346022043,2026-06-01T20:33:42.043519+00:00,134.71,446.11,11684.23,3.82,5.605,1.52,0.0,0.0
1780346023045,2026-06-01T20:33:43.045310+00:00,132.61,446.38,11684.23,3.82,5.605,1.52,0.0,0.0
1780346024050,2026-06-01T20:33:44.050146+00:00,131.66,435.84,11684.23,3.73,5.605,1.52,0.0,0.0
1780346025053,2026-06-01T20:33:45.053403+00:00,134.64,456.83,11684.23,3.91,5.605,1.52,0.0,0.0
