timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1780351607842,2026-06-01T22:06:47.842362+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.92,80.0,0,0,1120.31,46
1780351608842,2026-06-01T22:06:48.842437+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,18.46,80.0,1,1,1120.31,46
1780351609842,2026-06-01T22:06:49.842647+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.82,80.0,3,1,1120.31,46
1780351610842,2026-06-01T22:06:50.842717+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.68,80.0,1,1,1120.31,46
1780351611842,2026-06-01T22:06:51.842912+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.74,80.0,1,1,1120.31,46
1780351612843,2026-06-01T22:06:52.843087+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.78,80.0,3,1,1120.31,46
1780351613843,2026-06-01T22:06:53.843283+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.87,80.0,3,1,1120.31,46
1780351614843,2026-06-01T22:06:54.843489+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.81,80.0,1,1,1120.31,47
1780351615843,2026-06-01T22:06:55.843699+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.74,80.0,3,1,1120.31,46
1780351616843,2026-06-01T22:06:56.843911+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.94,80.0,3,1,1120.31,46
1780351617844,2026-06-01T22:06:57.844116+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.77,80.0,1,1,1120.31,46
1780351618844,2026-06-01T22:06:58.844336+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.61,80.0,1,1,1120.31,46
1780351619844,2026-06-01T22:06:59.844539+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.69,80.0,3,1,1120.31,46
1780351620844,2026-06-01T22:07:00.844734+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.77,80.0,3,1,1120.31,46
1780351621844,2026-06-01T22:07:01.844935+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.66,80.0,1,1,1120.31,46
1780351622845,2026-06-01T22:07:02.845136+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.48,80.0,1,1,1120.31,46
1780351623845,2026-06-01T22:07:03.845332+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.88,80.0,3,1,1120.31,46
1780351624845,2026-06-01T22:07:04.845579+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.85,80.0,1,1,1120.31,46
1780351625845,2026-06-01T22:07:05.845818+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.56,80.0,1,1,1120.31,46
1780351626845,2026-06-01T22:07:06.845982+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.8,80.0,3,1,1120.31,46
1780351627846,2026-06-01T22:07:07.846161+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.75,80.0,3,1,1120.31,46
1780351628846,2026-06-01T22:07:08.846409+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.74,80.0,1,1,1120.31,46
1780351629846,2026-06-01T22:07:09.846556+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.66,80.0,1,1,1120.31,46
1780351630846,2026-06-01T22:07:10.846601+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.77,80.0,3,1,1120.31,46
1780351631846,2026-06-01T22:07:11.846804+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.75,80.0,1,1,1120.31,46
1780351632847,2026-06-01T22:07:12.847025+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.75,80.0,1,1,1120.31,46
