timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780348867716,2026-06-01T21:21:07.716202+00:00,0.0004,0.0005
1780348868716,2026-06-01T21:21:08.716364+00:00,12.0115,0.0373
1780348869716,2026-06-01T21:21:09.716521+00:00,16.8164,0.0503
1780348870716,2026-06-01T21:21:10.716750+00:00,16.8159,0.0474
1780348871716,2026-06-01T21:21:11.716982+00:00,16.8163,0.0496
1780348872717,2026-06-01T21:21:12.717107+00:00,14.8617,0.045
1780348873717,2026-06-01T21:21:13.717350+00:00,13.9661,0.045
1780348874717,2026-06-01T21:21:14.717574+00:00,12.0118,0.0416
1780348875717,2026-06-01T21:21:15.717777+00:00,12.0122,0.0407
1780348876717,2026-06-01T21:21:16.717989+00:00,14.414,0.0449
1780348877718,2026-06-01T21:21:17.718140+00:00,16.8159,0.0484
1780348878718,2026-06-01T21:21:18.718320+00:00,16.8159,0.0485
1780348879718,2026-06-01T21:21:19.718569+00:00,19.2183,0.0557
1780348880718,2026-06-01T21:21:20.718707+00:00,16.8158,0.0479
1780348881718,2026-06-01T21:21:21.718949+00:00,14.4144,0.0451
1780348882719,2026-06-01T21:21:22.719169+00:00,18.1768,0.057
1780348883719,2026-06-01T21:21:23.719371+00:00,15.4665,0.0478
1780348884719,2026-06-01T21:21:24.719610+00:00,16.8167,0.0486
1780348885719,2026-06-01T21:21:25.719841+00:00,16.8162,0.0499
1780348886720,2026-06-01T21:21:26.720052+00:00,16.816,0.0508
1780348887720,2026-06-01T21:21:27.720249+00:00,17.3549,0.0508
1780348888720,2026-06-01T21:21:28.720461+00:00,16.2776,0.0467
1780348889720,2026-06-01T21:21:29.720687+00:00,14.4139,0.0415
1780348890720,2026-06-01T21:21:30.720887+00:00,0.0006,0.001
1780348891721,2026-06-01T21:21:31.721090+00:00,0.0008,0.001
1780348892721,2026-06-01T21:21:32.721311+00:00,9.6097,0.0306
1780348893721,2026-06-01T21:21:33.721512+00:00,14.4138,0.0421
1780348894721,2026-06-01T21:21:34.721705+00:00,16.8166,0.0486
1780348895721,2026-06-01T21:21:35.721907+00:00,16.8163,0.0477
1780348896722,2026-06-01T21:21:36.722107+00:00,16.8169,0.0507
1780348897722,2026-06-01T21:21:37.722313+00:00,16.8159,0.0512
1780348898722,2026-06-01T21:21:38.722525+00:00,16.8162,0.0491
1780348899722,2026-06-01T21:21:39.722718+00:00,16.8165,0.0495
1780348900722,2026-06-01T21:21:40.722921+00:00,16.816,0.0487
1780348901723,2026-06-01T21:21:41.723160+00:00,16.816,0.0482
1780348902723,2026-06-01T21:21:42.723387+00:00,16.8162,0.0485
1780348903723,2026-06-01T21:21:43.723592+00:00,16.8216,0.0506
1780348904723,2026-06-01T21:21:44.723795+00:00,16.8161,0.0514
1780348905724,2026-06-01T21:21:45.724023+00:00,16.8163,0.05
1780348906724,2026-06-01T21:21:46.724094+00:00,16.8162,0.0515
1780348907724,2026-06-01T21:21:47.724316+00:00,16.8161,0.0489
1780348908724,2026-06-01T21:21:48.724525+00:00,16.8162,0.0514
1780348909724,2026-06-01T21:21:49.724730+00:00,16.8162,0.0492
1780348910724,2026-06-01T21:21:50.724992+00:00,16.8162,0.05
1780348911725,2026-06-01T21:21:51.725195+00:00,16.8165,0.0515
1780348912725,2026-06-01T21:21:52.725363+00:00,16.5915,0.049
