timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780353499554,2026-06-01T22:38:19.554094+00:00,0.001,0.0019
1780353500555,2026-06-01T22:38:20.555840+00:00,24.9909,4.1277
1780353501557,2026-06-01T22:38:21.557821+00:00,33.3193,5.5034
1780353502557,2026-06-01T22:38:22.557949+00:00,32.6473,5.4859
1780353503558,2026-06-01T22:38:23.558095+00:00,33.993,5.5181
1780353504558,2026-06-01T22:38:24.558196+00:00,35.297,6.1381
1780353505558,2026-06-01T22:38:25.558287+00:00,31.8919,5.4702
1780353506558,2026-06-01T22:38:26.558560+00:00,35.374,5.545
1780353507558,2026-06-01T22:38:27.558673+00:00,32.6148,5.4775
1780353508558,2026-06-01T22:38:28.558800+00:00,31.696,5.4681
1780353509558,2026-06-01T22:38:29.558934+00:00,33.5843,5.5059
1780353510559,2026-06-01T22:38:30.559081+00:00,36.0061,5.5516
1780353511560,2026-06-01T22:38:31.560823+00:00,34.2596,5.525
1780353512560,2026-06-01T22:38:32.560939+00:00,33.6236,6.1084
1780353513561,2026-06-01T22:38:33.561073+00:00,33.0164,5.4958
1780353514561,2026-06-01T22:38:34.561182+00:00,34.3914,5.5186
1780353515561,2026-06-01T22:38:35.561228+00:00,36.4119,5.5667
1780353516561,2026-06-01T22:38:36.561312+00:00,33.5956,6.1074
1780353517561,2026-06-01T22:38:37.561435+00:00,35.6642,5.5555
1780353518561,2026-06-01T22:38:38.561516+00:00,34.5414,5.5303
1780353519561,2026-06-01T22:38:39.561619+00:00,32.0407,5.4727
1780353520561,2026-06-01T22:38:40.561714+00:00,32.6877,5.4889
1780353521561,2026-06-01T22:38:41.561806+00:00,34.8365,5.5379
1780353522561,2026-06-01T22:38:42.561921+00:00,31.5242,5.4589
1780353523562,2026-06-01T22:38:43.562007+00:00,31.6768,4.8673
1780353524562,2026-06-01T22:38:44.562095+00:00,33.3208,6.1071
1780353525562,2026-06-01T22:38:45.562188+00:00,33.916,5.5141
1780353526562,2026-06-01T22:38:46.562265+00:00,32.9976,5.4935
1780353527564,2026-06-01T22:38:47.564800+00:00,37.2133,6.1941
1780353528564,2026-06-01T22:38:48.564904+00:00,37.4855,5.5943
1780353529566,2026-06-01T22:38:49.566835+00:00,33.3209,5.5043
1780353530566,2026-06-01T22:38:50.566932+00:00,34.8211,6.1366
1780353531567,2026-06-01T22:38:51.567183+00:00,35.9858,6.0992
1780353532567,2026-06-01T22:38:52.567402+00:00,35.2431,5.6214
1780353533567,2026-06-01T22:38:53.567444+00:00,34.6204,5.5239
