timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1780351607791,2026-06-01T22:06:47.791230+00:00,1.05,7.1,58.0
1780351608791,2026-06-01T22:06:48.791401+00:00,1.9,34.5,58.0
1780351609791,2026-06-01T22:06:49.791567+00:00,2.23,43.8,60.0
1780351610791,2026-06-01T22:06:50.791850+00:00,2.23,45.6,60.0
1780351611791,2026-06-01T22:06:51.791989+00:00,2.19,47.2,63.0
1780351612792,2026-06-01T22:06:52.792101+00:00,2.27,44.2,63.0
1780351613792,2026-06-01T22:06:53.792216+00:00,2.21,44.8,61.0
1780351614792,2026-06-01T22:06:54.792341+00:00,2.27,47.0,61.0
1780351615792,2026-06-01T22:06:55.792487+00:00,2.16,47.1,62.0
1780351616792,2026-06-01T22:06:56.792624+00:00,2.19,45.0,62.0
1780351617793,2026-06-01T22:06:57.793838+00:00,2.08,47.8,62.0
1780351618793,2026-06-01T22:06:58.793928+00:00,2.18,45.7,62.0
1780351619794,2026-06-01T22:06:59.794051+00:00,2.19,48.1,61.0
1780351620794,2026-06-01T22:07:00.794153+00:00,2.14,49.1,61.0
1780351621794,2026-06-01T22:07:01.794290+00:00,2.19,48.6,61.0
1780351622794,2026-06-01T22:07:02.794413+00:00,2.13,45.6,61.0
1780351623794,2026-06-01T22:07:03.794576+00:00,2.04,44.1,61.0
1780351624794,2026-06-01T22:07:04.794829+00:00,2.24,47.6,63.0
1780351625794,2026-06-01T22:07:05.794910+00:00,2.19,44.8,63.0
1780351626795,2026-06-01T22:07:06.795081+00:00,2.08,46.8,60.0
1780351627797,2026-06-01T22:07:07.797848+00:00,2.2,45.9,62.0
1780351628797,2026-06-01T22:07:08.797963+00:00,2.27,46.7,63.0
1780351629798,2026-06-01T22:07:09.798068+00:00,2.24,47.3,63.0
1780351630798,2026-06-01T22:07:10.798206+00:00,2.21,44.5,60.0
1780351631798,2026-06-01T22:07:11.798307+00:00,2.14,45.4,60.0
1780351632798,2026-06-01T22:07:12.798444+00:00,2.11,47.1,61.0
1780351633798,2026-06-01T22:07:13.798572+00:00,2.24,45.6,60.0
1780351634798,2026-06-01T22:07:14.798685+00:00,2.2,43.8,60.0
1780351635798,2026-06-01T22:07:15.798812+00:00,2.08,45.9,63.0
1780351636798,2026-06-01T22:07:16.798953+00:00,2.22,47.2,63.0
1780351637799,2026-06-01T22:07:17.799099+00:00,2.22,44.8,62.0
1780351638799,2026-06-01T22:07:18.799198+00:00,2.16,43.3,61.0
1780351639800,2026-06-01T22:07:19.800841+00:00,2.03,46.0,61.0
1780351640800,2026-06-01T22:07:20.800973+00:00,2.2,47.0,63.0
1780351641801,2026-06-01T22:07:21.801148+00:00,2.07,46.8,62.0
1780351642801,2026-06-01T22:07:22.801264+00:00,2.11,46.1,62.0
1780351643801,2026-06-01T22:07:23.801838+00:00,2.2,47.3,63.0
1780351644801,2026-06-01T22:07:24.801939+00:00,2.27,46.3,63.0
1780351645802,2026-06-01T22:07:25.802046+00:00,2.11,45.3,61.0
1780351646802,2026-06-01T22:07:26.802162+00:00,2.19,46.5,62.0
1780351647802,2026-06-01T22:07:27.802269+00:00,2.18,47.8,62.0
1780351648802,2026-06-01T22:07:28.802424+00:00,2.18,48.9,61.0
1780351649802,2026-06-01T22:07:29.802566+00:00,2.23,45.3,61.0
1780351650802,2026-06-01T22:07:30.802669+00:00,2.14,47.7,63.0
1780351651802,2026-06-01T22:07:31.802917+00:00,2.12,47.7,63.0
1780351652802,2026-06-01T22:07:32.802961+00:00,2.09,44.0,63.0
1780351653803,2026-06-01T22:07:33.803133+00:00,2.11,45.3,63.0
1780351654803,2026-06-01T22:07:34.803236+00:00,2.16,43.7,63.0
1780351655803,2026-06-01T22:07:35.803375+00:00,2.15,46.9,63.0
1780351656803,2026-06-01T22:07:36.803515+00:00,2.17,44.7,61.0
1780351657803,2026-06-01T22:07:37.803624+00:00,2.26,44.7,61.0
1780351658803,2026-06-01T22:07:38.803745+00:00,2.19,47.1,61.0
1780351659803,2026-06-01T22:07:39.803845+00:00,2.23,47.3,65.0
1780351660803,2026-06-01T22:07:40.803939+00:00,2.1,43.0,65.0
1780351661804,2026-06-01T22:07:41.804040+00:00,2.22,44.1,63.0
1780351662804,2026-06-01T22:07:42.804156+00:00,2.08,43.8,63.0
1780351663804,2026-06-01T22:07:43.804286+00:00,2.23,48.1,63.0
1780351664804,2026-06-01T22:07:44.804384+00:00,2.14,44.4,62.0
1780351665804,2026-06-01T22:07:45.804497+00:00,2.12,45.6,62.0
1780351666805,2026-06-01T22:07:46.805829+00:00,2.16,47.7,65.0
1780351667805,2026-06-01T22:07:47.805913+00:00,2.24,47.8,65.0
1780351668806,2026-06-01T22:07:48.806018+00:00,2.09,45.7,61.0
1780351669806,2026-06-01T22:07:49.806180+00:00,2.13,46.3,61.0
1780351670806,2026-06-01T22:07:50.806857+00:00,2.27,45.9,63.0
1780351671806,2026-06-01T22:07:51.806996+00:00,2.11,46.1,63.0
1780351672807,2026-06-01T22:07:52.807115+00:00,2.34,42.9,62.0
1780351673807,2026-06-01T22:07:53.807237+00:00,2.25,46.3,62.0
1780351674807,2026-06-01T22:07:54.807346+00:00,2.16,46.7,63.0
1780351675807,2026-06-01T22:07:55.807499+00:00,2.25,45.4,62.0
1780351676807,2026-06-01T22:07:56.807668+00:00,2.17,42.0,62.0
1780351677807,2026-06-01T22:07:57.807864+00:00,2.36,45.3,62.0
1780351678808,2026-06-01T22:07:58.808476+00:00,2.23,47.1,65.0
1780351679808,2026-06-01T22:07:59.808602+00:00,2.17,47.1,63.0
1780351680808,2026-06-01T22:08:00.808718+00:00,2.06,46.3,63.0
1780351681808,2026-06-01T22:08:01.808833+00:00,2.35,50.3,63.0
1780351682809,2026-06-01T22:08:02.809001+00:00,2.24,44.2,61.0
1780351683809,2026-06-01T22:08:03.809159+00:00,2.12,47.1,61.0
1780351684809,2026-06-01T22:08:04.809279+00:00,1.12,5.3,60.0
1780351685809,2026-06-01T22:08:05.809460+00:00,1.07,2.5,60.0
1780351686810,2026-06-01T22:08:06.810543+00:00,2.09,19.7,70.0
1780351687810,2026-06-01T22:08:07.810883+00:00,5.18,76.6,71.0
1780351688810,2026-06-01T22:08:08.810985+00:00,3.68,62.9,65.0
1780351689811,2026-06-01T22:08:09.811099+00:00,2.15,47.5,63.0
1780351690811,2026-06-01T22:08:10.811186+00:00,2.32,46.3,65.0
1780351691813,2026-06-01T22:08:11.813826+00:00,2.24,45.3,65.0
1780351692813,2026-06-01T22:08:12.813900+00:00,2.19,49.0,65.0
1780351693814,2026-06-01T22:08:13.814073+00:00,2.23,43.8,62.0
1780351694814,2026-06-01T22:08:14.814212+00:00,2.29,46.5,62.0
1780351695814,2026-06-01T22:08:15.814318+00:00,2.36,44.4,63.0
1780351696814,2026-06-01T22:08:16.814429+00:00,2.25,46.2,62.0
1780351697814,2026-06-01T22:08:17.814540+00:00,2.38,46.7,63.0
1780351698814,2026-06-01T22:08:18.814648+00:00,2.19,47.5,63.0
1780351699814,2026-06-01T22:08:19.814843+00:00,2.31,49.0,62.0
1780351700814,2026-06-01T22:08:20.814997+00:00,2.22,45.1,62.0
1780351701815,2026-06-01T22:08:21.815101+00:00,2.18,47.1,64.0
1780351702815,2026-06-01T22:08:22.815256+00:00,2.25,48.2,64.0
1780351703815,2026-06-01T22:08:23.815377+00:00,2.21,46.2,62.0
1780351704815,2026-06-01T22:08:24.815491+00:00,2.19,49.1,62.0
1780351705816,2026-06-01T22:08:25.816836+00:00,2.3,48.2,64.0
1780351706816,2026-06-01T22:08:26.816932+00:00,2.36,46.1,64.0
1780351707817,2026-06-01T22:08:27.817047+00:00,2.19,46.1,62.0
1780351708817,2026-06-01T22:08:28.817192+00:00,2.24,46.1,62.0
1780351709817,2026-06-01T22:08:29.817315+00:00,2.19,46.3,63.0
1780351710817,2026-06-01T22:08:30.817482+00:00,2.17,47.3,62.0
1780351711817,2026-06-01T22:08:31.817610+00:00,2.15,44.2,63.0
1780351712817,2026-06-01T22:08:32.817730+00:00,2.26,45.8,63.0
1780351713817,2026-06-01T22:08:33.817881+00:00,2.15,46.8,62.0
1780351714817,2026-06-01T22:08:34.817988+00:00,2.19,44.4,63.0
1780351715818,2026-06-01T22:08:35.818104+00:00,2.13,43.1,63.0
1780351716818,2026-06-01T22:08:36.818207+00:00,2.15,47.7,63.0
1780351717818,2026-06-01T22:08:37.818329+00:00,2.17,45.9,63.0
1780351718818,2026-06-01T22:08:38.818435+00:00,2.14,45.3,63.0
1780351719818,2026-06-01T22:08:39.818608+00:00,2.19,44.2,63.0
1780351720818,2026-06-01T22:08:40.818718+00:00,2.19,46.3,65.0
1780351721818,2026-06-01T22:08:41.818825+00:00,2.18,45.9,65.0
1780351722818,2026-06-01T22:08:42.818956+00:00,2.18,47.7,62.0
1780351723819,2026-06-01T22:08:43.819088+00:00,2.08,45.8,62.0
1780351724819,2026-06-01T22:08:44.819232+00:00,2.28,49.0,65.0
1780351725819,2026-06-01T22:08:45.819338+00:00,2.25,46.5,65.0
1780351726819,2026-06-01T22:08:46.819446+00:00,2.18,49.0,63.0
1780351727821,2026-06-01T22:08:47.821824+00:00,2.23,48.5,64.0
