timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780350466432,2026-06-01T21:47:46.432079+00:00,0.001,0.0018
1780350467432,2026-06-01T21:47:47.432226+00:00,0.0168,7.2056
1780350468432,2026-06-01T21:47:48.432325+00:00,0.0189,7.206
1780350469432,2026-06-01T21:47:49.432676+00:00,0.0218,9.6076
1780350470432,2026-06-01T21:47:50.432760+00:00,0.0232,9.6078
1780350471434,2026-06-01T21:47:51.434808+00:00,0.0187,7.206
1780350472435,2026-06-01T21:47:52.435074+00:00,0.0202,9.6076
1780350473435,2026-06-01T21:47:53.435195+00:00,0.0213,9.6078
1780350474435,2026-06-01T21:47:54.435355+00:00,0.0189,7.2058
1780350475435,2026-06-01T21:47:55.435462+00:00,0.0225,9.6078
1780350476437,2026-06-01T21:47:56.437164+00:00,0.0182,7.206
1780350477437,2026-06-01T21:47:57.437295+00:00,0.02,9.6076
1780350478437,2026-06-01T21:47:58.437391+00:00,0.0169,7.2059
1780350479437,2026-06-01T21:47:59.437675+00:00,0.0226,9.6078
1780350480437,2026-06-01T21:48:00.437826+00:00,0.0226,9.6078
1780350481437,2026-06-01T21:48:01.437948+00:00,0.0169,7.2058
1780350482438,2026-06-01T21:48:02.438087+00:00,0.0226,9.6078
1780350483439,2026-06-01T21:48:03.439833+00:00,0.0183,7.206
1780350484440,2026-06-01T21:48:04.440015+00:00,0.0203,9.6076
1780350485441,2026-06-01T21:48:05.441811+00:00,0.0187,7.206
1780350486441,2026-06-01T21:48:06.441988+00:00,0.0214,9.6076
1780350487442,2026-06-01T21:48:07.442074+00:00,0.0188,8.3612
1780350488442,2026-06-01T21:48:08.442270+00:00,0.0212,8.4524
1780350489443,2026-06-01T21:48:09.443804+00:00,0.019,7.206
1780350490444,2026-06-01T21:48:10.444084+00:00,0.0205,9.6076
1780350491444,2026-06-01T21:48:11.444247+00:00,0.023,9.6078
1780350492444,2026-06-01T21:48:12.444424+00:00,0.0176,7.2058
1780350493444,2026-06-01T21:48:13.444612+00:00,0.022,9.6078
1780350494446,2026-06-01T21:48:14.446826+00:00,0.0184,7.206
1780350495447,2026-06-01T21:48:15.447107+00:00,0.02,9.6076
1780350496448,2026-06-01T21:48:16.448822+00:00,0.0189,7.206
1780350497449,2026-06-01T21:48:17.449137+00:00,0.0208,9.6075
1780350498449,2026-06-01T21:48:18.449224+00:00,0.0205,9.6078
1780350499449,2026-06-01T21:48:19.449317+00:00,0.0201,7.206
1780350500449,2026-06-01T21:48:20.449439+00:00,0.0213,9.6076
1780350501450,2026-06-01T21:48:21.450707+00:00,0.0193,8.1013
1780350502450,2026-06-01T21:48:22.450986+00:00,0.0204,8.7123
1780350503451,2026-06-01T21:48:23.451235+00:00,0.0221,9.6078
1780350504451,2026-06-01T21:48:24.451393+00:00,0.0174,7.2058
1780350505451,2026-06-01T21:48:25.451664+00:00,0.023,9.6078
1780350506451,2026-06-01T21:48:26.451822+00:00,0.0193,7.206
1780350507452,2026-06-01T21:48:27.452103+00:00,0.0208,9.6076
1780350508454,2026-06-01T21:48:28.454817+00:00,0.0191,7.2061
1780350509454,2026-06-01T21:48:29.454989+00:00,0.0209,9.6076
1780350510455,2026-06-01T21:48:30.455263+00:00,0.0172,7.2058
1780350511455,2026-06-01T21:48:31.455378+00:00,0.0233,9.6078
1780350512455,2026-06-01T21:48:32.455538+00:00,0.0171,7.2058
1780350513455,2026-06-01T21:48:33.455685+00:00,0.0225,9.6078
1780350514457,2026-06-01T21:48:34.457802+00:00,0.0189,7.206
1780350515457,2026-06-01T21:48:35.457980+00:00,0.0208,9.6075
1780350516459,2026-06-01T21:48:36.459807+00:00,0.0189,7.206
1780350517460,2026-06-01T21:48:37.460083+00:00,0.0209,9.6077
1780350518460,2026-06-01T21:48:38.460367+00:00,0.0227,9.6078
1780350519460,2026-06-01T21:48:39.460527+00:00,0.0174,7.2058
1780350520460,2026-06-01T21:48:40.460822+00:00,0.0224,9.6078
1780350521460,2026-06-01T21:48:41.460961+00:00,0.0187,7.206
1780350522461,2026-06-01T21:48:42.461075+00:00,0.0208,9.6075
1780350523463,2026-06-01T21:48:43.463822+00:00,0.0186,7.206
1780350524464,2026-06-01T21:48:44.464094+00:00,0.0205,9.6075
1780350525464,2026-06-01T21:48:45.464208+00:00,0.0203,9.1409
1780350526464,2026-06-01T21:48:46.464356+00:00,0.0192,7.6727
1780350527464,2026-06-01T21:48:47.464437+00:00,0.0198,8.9387
1780350528464,2026-06-01T21:48:48.464732+00:00,0.0203,7.875
1780350529464,2026-06-01T21:48:49.464817+00:00,0.0183,7.206
1780350530464,2026-06-01T21:48:50.464958+00:00,0.0205,9.6076
1780350531465,2026-06-01T21:48:51.465180+00:00,0.0184,7.6537
1780350532465,2026-06-01T21:48:52.465303+00:00,0.021,9.1599
1780350533465,2026-06-01T21:48:53.465599+00:00,0.0221,9.6078
