timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780349046661,2026-06-01T21:24:06.661500+00:00,0.001,0.0018
1780349047661,2026-06-01T21:24:07.661659+00:00,0.0305,12.0109
1780349048661,2026-06-01T21:24:08.661769+00:00,0.0401,16.8152
1780349049661,2026-06-01T21:24:09.661871+00:00,0.0346,14.413
1780349050661,2026-06-01T21:24:10.661950+00:00,0.0412,18.3025
1780349051662,2026-06-01T21:24:11.662039+00:00,0.0395,15.328
1780349052664,2026-06-01T21:24:12.664845+00:00,0.042,16.8152
1780349053664,2026-06-01T21:24:13.664953+00:00,0.0361,16.8151
1780349054665,2026-06-01T21:24:14.665137+00:00,0.01,2.4025
1780349055665,2026-06-01T21:24:15.665325+00:00,0.0,0.0
1780349056665,2026-06-01T21:24:16.665402+00:00,0.0083,3.9905
1780349057665,2026-06-01T21:24:17.665481+00:00,0.0355,13.7778
1780349058666,2026-06-01T21:24:18.666628+00:00,0.0399,15.8622
1780349059667,2026-06-01T21:24:19.667813+00:00,0.04,16.8152
1780349060668,2026-06-01T21:24:20.668833+00:00,0.0405,16.8152
1780349061668,2026-06-01T21:24:21.668951+00:00,0.0402,16.8152
1780349062673,2026-06-01T21:24:22.673840+00:00,0.0412,16.8152
1780349063674,2026-06-01T21:24:23.674095+00:00,0.038,16.8149
1780349064675,2026-06-01T21:24:24.675852+00:00,0.0371,14.4134
1780349065677,2026-06-01T21:24:25.677828+00:00,0.0401,16.8152
1780349066677,2026-06-01T21:24:26.677908+00:00,0.0404,16.8153
1780349067678,2026-06-01T21:24:27.678005+00:00,0.0354,14.413
1780349068678,2026-06-01T21:24:28.678121+00:00,0.0402,16.8152
1780349069679,2026-06-01T21:24:29.679841+00:00,0.0415,16.8153
1780349070680,2026-06-01T21:24:30.680113+00:00,0.0416,16.8152
1780349071680,2026-06-01T21:24:31.680203+00:00,0.0351,14.4131
1780349072680,2026-06-01T21:24:32.680308+00:00,0.0398,16.8152
1780349073680,2026-06-01T21:24:33.680483+00:00,0.0394,16.8153
1780349074680,2026-06-01T21:24:34.680635+00:00,0.0385,16.8149
1780349075680,2026-06-01T21:24:35.680804+00:00,0.0416,16.8155
1780349076681,2026-06-01T21:24:36.681825+00:00,0.0405,16.8153
1780349077683,2026-06-01T21:24:37.683840+00:00,0.0413,16.8152
1780349078683,2026-06-01T21:24:38.683987+00:00,0.0386,16.8149
1780349079684,2026-06-01T21:24:39.684081+00:00,0.043,16.8156
1780349080684,2026-06-01T21:24:40.684207+00:00,0.0405,16.8152
1780349081684,2026-06-01T21:24:41.684235+00:00,0.0387,16.8149
1780349082684,2026-06-01T21:24:42.684328+00:00,0.0379,14.4134
1780349083685,2026-06-01T21:24:43.685847+00:00,0.0405,16.8152
1780349084685,2026-06-01T21:24:44.685983+00:00,0.0369,16.8149
